,FAM21A_DEL,MRGPRX1_DEL,PTCH1_AMP,LOC100506776_DEL,PCCB_DEL,ZNF705G_AMP,HLA-DRB6_AMP,EP300_MUT,RBFOX1_DEL,LPA_AMP,FMN2_AMP,ADAM5_DEL,ADAM3A_DEL,SIRPB1_AMP,HLA-DRB1_AMP,HLA-DRB5_AMP,HLA-H_DEL,CDCA7L_DEL,GSTTP1_AMP,FBXL7_DEL,USP32P1_AMP,TPTE_DEL,KIAA1217_DEL,MST1P9_AMP,BTNL3_DEL,EPHA3_MUT,BTNL8_DEL,XKR6_AMP,SORD_AMP,OCM2_AMP
4195,1.0,0.0,50.0,38.0,2.0,33.0,21.0,10.0,4.0,25.0,77.0,7.0,6.0,8.0,48.0,3.0,1802.0,91.0,12.0,28.0,9.0,20.0,16.0,17.0,19.0,13.0,18.0,24.0,11.0,56.0
4244,2.0,7.0,18.0,6.0,1.0,9.0,36.0,26.0,24.0,124.0,10.0,4.0,5.0,3.0,59.0,23.0,35.0,55.0,12.0,15.0,20.0,22.0,194.0,21.0,52.0,19.0,53.0,33.0,8.0,29.0
4293,1.0,0.0,25.0,5.0,2.0,42.0,17.0,9.0,23.0,4.0,16.0,40.0,37.0,8.0,60.0,31.0,3.0,86.0,12.0,34.0,70.0,10.0,87.0,33.0,6.0,79.0,13.0,78.0,7.0,53.0
4342,1.0,0.0,16.0,6.0,2.0,24.0,5.0,26.0,8.0,3.0,7.0,20.0,19.0,10.0,17.0,4.0,21.0,58.0,30.0,23.0,13.0,9.0,28.0,43.0,12.0,15.0,25.0,116.0,18.0,65.0
4391,0.0,2.0,7.0,1.0,3.0,15.0,173.0,9.0,19.0,33.0,6.0,5.0,4.0,56.0,1034.0,84.0,20.0,62.0,32.0,43.0,13.0,21.0,11.0,92.0,29.0,16.0,38.0,64.0,28.0,37.0
4440,0.0,20.0,5.0,2.0,11.0,8.0,9.0,10.0,7.0,37.0,3.0,13.0,14.0,4.0,19.0,96.0,26.0,143.0,22.0,16.0,24.0,519.0,6.0,35.0,1.0,17.0,15.0,27.0,18.0,66.0
4489,3.0,34.0,2.0,25.0,0.0,10.0,16.0,15.0,73.0,7.0,20.0,4.0,1.0,28.0,44.0,18.0,24.0,51.0,101.0,27.0,9.0,116.0,12.0,110.0,5.0,8.0,19.0,353.0,42.0,102.0
4538,18.0,26.0,2.0,1.0,10.0,3.0,8.0,6.0,15.0,72.0,0.0,14.0,13.0,164.0,37.0,187.0,4.0,19.0,56.0,32.0,44.0,1603.0,85.0,86.0,29.0,7.0,241.0,40.0,16.0,149.0
4587,7.0,19.0,3.0,10.0,1.0,12.0,0.0,11.0,16.0,27.0,15.0,2.0,4.0,14.0,6.0,24.0,18.0,17.0,38.0,40.0,68.0,887.0,31.0,50.0,5.0,13.0,37.0,99.0,30.0,127.0
4636,0.0,4.0,16.0,1.0,8.0,5.0,102.0,12.0,2.0,26.0,7.0,19.0,17.0,18.0,50.0,669.0,36.0,15.0,23.0,3.0,111.0,3345.0,74.0,86.0,6.0,38.0,54.0,34.0,30.0,33.0
4685,10.0,16.0,7.0,14.0,8.0,5.0,12.0,15.0,9.0,11.0,0.0,2.0,1.0,3.0,39.0,75.0,100.0,18.0,22.0,35.0,42.0,284.0,32.0,27.0,6.0,17.0,28.0,29.0,4.0,47.0
4734,0.0,7.0,2.0,33.0,25.0,9.0,6.0,28.0,14.0,26.0,8.0,17.0,18.0,21.0,16.0,312.0,4.0,53.0,11.0,46.0,39.0,283.0,179.0,117.0,5.0,35.0,37.0,40.0,13.0,43.0
4783,6.0,12.0,4.0,8.0,1.0,9.0,3.0,2.0,23.0,21.0,5.0,134.0,121.0,14.0,10.0,105.0,7.0,11.0,18.0,16.0,26.0,538.0,13.0,6365.0,45.0,15.0,70.0,20.0,1028.0,90.0
4832,1.0,0.0,4.0,12.0,6.0,24.0,7.0,27.0,53.0,16.0,15.0,3.0,2.0,5.0,14.0,73.0,8.0,40.0,23.0,11.0,17.0,234.0,100.0,387.0,22.0,20.0,360.0,41.0,9.0,64.0
4881,2.0,1.0,5.0,4.0,3.0,21.0,63.0,10.0,14.0,86.0,0.0,26.0,24.0,23.0,179.0,985.0,9.0,12.0,8.0,20.0,40.0,448.0,37.0,46.0,15.0,49.0,219.0,25.0,41.0,65.0
