,PDLIM4,NDN,CTD-2231H16.1,MEIS3P1,BHLHE41,FBXL7,TWIST2,CASC9,RP11-12D24.6,NUP210,ACOT1,GGT6,UCHL1,PCDHB17,GLB1L2,UNC5B,RP11-834C11.4,PRKCQ-AS1,BMPR1B,RP11-745O10.2,CP,LINC00839,GDPD5,ZNF215,DACH1,LXN,ACOT2,ADM,ATP6V0D2,MRC2
8,0.0,2.0,3.0,1.0,41.0,13.0,5.0,25.0,12.0,19.0,16.0,4.0,9.0,8.0,82.0,340.0,7.0,47.0,215.0,33.0,775.0,6.0,216.0,34.0,135.0,99.0,42.0,20.0,96.0,95.0
57,0.0,6.0,1.0,2.0,16.0,7.0,3.0,5.0,4.0,9.0,13.0,8.0,27.0,11.0,63.0,167.0,15.0,10.0,23.0,12.0,100.0,28.0,97.0,30.0,20.0,90.0,29.0,49.0,265.0,162.0
106,0.0,3.0,2.0,1.0,18.0,13.0,5.0,14.0,9.0,7.0,23.0,6.0,4.0,8.0,363.0,30.0,32.0,11.0,47.0,92.0,57.0,36.0,20.0,28.0,31.0,249.0,272.0,10.0,33.0,34.0
155,0.0,8.0,2.0,1.0,9.0,11.0,3.0,25.0,50.0,13.0,18.0,4.0,162.0,29.0,20.0,65.0,21.0,12.0,349.0,76.0,5.0,69.0,6.0,26.0,36.0,7.0,100.0,28.0,34.0,44.0
204,0.0,3.0,1.0,4.0,20.0,8.0,2.0,7.0,5.0,32.0,25.0,21.0,18.0,13.0,11.0,30.0,15.0,6.0,35.0,26.0,668.0,67.0,27.0,9.0,134.0,38.0,34.0,39.0,22.0,54.0
253,0.0,5.0,1.0,12.0,160.0,6.0,4.0,2.0,8.0,21.0,89.0,11.0,19.0,3.0,330.0,258.0,10.0,18.0,32.0,312.0,105.0,124.0,15.0,24.0,52.0,650.0,131.0,38.0,370.0,97.0
302,0.0,1.0,7.0,3.0,4.0,9.0,2.0,18.0,5.0,10.0,21.0,6.0,16.0,8.0,60.0,37.0,22.0,26.0,222.0,57.0,418.0,13.0,20.0,19.0,23.0,48.0,81.0,42.0,43.0,49.0
351,0.0,10.0,1.0,2.0,19.0,11.0,6.0,35.0,5.0,20.0,24.0,7.0,46.0,4.0,52.0,18.0,55.0,9.0,87.0,8.0,15.0,120.0,17.0,3.0,16.0,292.0,57.0,26.0,54.0,128.0
400,0.0,8.0,1.0,3.0,9.0,7.0,2.0,31.0,5.0,87.0,15.0,55.0,27.0,13.0,28.0,54.0,35.0,10.0,20.0,6.0,48.0,29.0,4.0,178.0,11.0,125.0,50.0,49.0,51.0,45.0
449,1.0,3.0,2.0,0.0,16.0,14.0,6.0,5.0,4.0,12.0,8.0,7.0,17.0,27.0,114.0,72.0,46.0,9.0,53.0,36.0,119.0,18.0,10.0,34.0,15.0,106.0,126.0,28.0,81.0,113.0
498,2.0,19.0,10.0,16.0,5.0,11.0,18.0,205.0,168.0,14.0,33.0,65.0,32.0,169.0,17.0,0.0,59.0,31.0,4.0,3.0,35.0,25.0,72.0,8.0,161.0,1.0,40.0,305.0,6.0,88.0
547,0.0,2.0,71.0,6.0,21.0,45.0,5.0,42.0,246.0,3.0,18.0,35.0,7.0,123.0,135.0,23.0,19.0,61.0,73.0,1.0,66.0,16.0,69.0,9.0,397.0,65.0,48.0,47.0,4.0,52.0
596,0.0,1.0,26.0,33.0,106.0,18.0,2.0,4.0,76.0,7.0,5.0,72.0,31.0,123.0,24.0,27.0,40.0,14.0,6.0,63.0,60.0,59.0,178.0,3.0,271.0,10.0,87.0,30.0,39.0,93.0
645,0.0,1.0,193.0,55.0,3.0,6.0,5.0,88.0,232.0,11.0,26.0,41.0,8.0,77.0,33.0,19.0,28.0,48.0,384.0,2.0,187.0,43.0,446.0,50.0,860.0,20.0,66.0,38.0,18.0,31.0
694,0.0,66.0,102.0,18.0,3.0,15.0,4.0,6.0,283.0,19.0,8.0,60.0,57.0,281.0,33.0,85.0,1.0,268.0,37.0,2.0,790.0,150.0,176.0,44.0,1303.0,73.0,5.0,132.0,11.0,53.0
743,0.0,1.0,9.0,14.0,16.0,3.0,5.0,32.0,155.0,7.0,12.0,38.0,10.0,120.0,18.0,8.0,31.0,11.0,13.0,2.0,24.0,499.0,131.0,4.0,364.0,63.0,17.0,23.0,6.0,21.0
792,0.0,53.0,19.0,20.0,12.0,5.0,31.0,18.0,48.0,6.0,13.0,143.0,49.0,588.0,8.0,1.0,32.0,33.0,17.0,7.0,15.0,38.0,252.0,29.0,362.0,10.0,37.0,220.0,4.0,98.0
841,0.0,11.0,87.0,43.0,10.0,17.0,38.0,16.0,474.0,13.0,180.0,495.0,40.0,60.0,247.0,71.0,6.0,29.0,7.0,2.0,37.0,14.0,740.0,1.0,113.0,90.0,54.0,30.0,226.0,23.0
890,1.0,45.0,71.0,2.0,3.0,47.0,4.0,107.0,149.0,64.0,7.0,53.0,22.0,11.0,74.0,101.0,93.0,44.0,5.0,0.0,36.0,106.0,15.0,16.0,113.0,32.0,31.0,14.0,19.0,75.0
939,0.0,7.0,20.0,5.0,6.0,18.0,11.0,3.0,710.0,8.0,13.0,30.0,72.0,28.0,66.0,40.0,48.0,39.0,29.0,23.0,87.0,128.0,136.0,27.0,357.0,1.0,108.0,117.0,2.0,37.0
988,2.0,16.0,0.0,1.0,3.0,8.0,22.0,61.0,7.0,47.0,21.0,91.0,27.0,63.0,14.0,17.0,217.0,50.0,203.0,20.0,87.0,12.0,29.0,59.0,23.0,143.0,32.0,171.0,18.0,66.0
