,GPX3,ADORA1,LINC00942,NDN,GPX1P1,SYTL1,PRKCH,RP11-390F4.3,FAM110C,NLRP2,CORO2A,DSG2,AIF1L,SULF2,RP11-560J1.2,SCEL,CTD-2354A18.1,RNF224,PSAT1P3,RP11-47I22.1,DHRS4-AS1,RTKN2,MPP7,MYEOV,ZNF853,MBOAT1,PHLDA3,C18orf25,HMGA1P4,KCNK1
2556,1.0,19.0,5.0,2.0,0.0,8.0,74.0,18.0,147.0,16.0,7.0,48.0,692.0,340.0,32.0,3.0,6.0,23.0,400.0,78.0,15.0,249.0,14.0,49.0,56.0,33.0,20.0,42.0,22.0,35.0
2605,2.0,7.0,1.0,3.0,0.0,4.0,108.0,5.0,70.0,6.0,19.0,123.0,206.0,105.0,49.0,13.0,18.0,44.0,228.0,256.0,54.0,47.0,56.0,14.0,91.0,134.0,257.0,25.0,35.0,33.0
2654,1.0,26.0,4.0,13.0,0.0,5.0,18.0,3.0,107.0,38.0,43.0,246.0,79.0,108.0,25.0,2.0,32.0,10.0,167.0,42.0,22.0,69.0,15.0,7.0,185.0,90.0,177.0,36.0,14.0,16.0
2703,0.0,70.0,7.0,2.0,126.0,14.0,5.0,1.0,53.0,245.0,15.0,251.0,243.0,1317.0,8.0,3.0,73.0,24.0,118.0,31.0,20.0,56.0,25.0,195.0,6.0,40.0,1792.0,72.0,36.0,19.0
2752,0.0,4.0,3.0,5.0,1.0,6.0,12.0,10.0,68.0,33.0,8.0,118.0,38.0,191.0,36.0,2.0,116.0,11.0,392.0,31.0,51.0,26.0,48.0,14.0,39.0,32.0,35.0,45.0,52.0,153.0
2801,0.0,4.0,3.0,6.0,11.0,8.0,10.0,1.0,45.0,5.0,18.0,109.0,41.0,210.0,9.0,2.0,31.0,7.0,322.0,16.0,32.0,46.0,15.0,39.0,62.0,57.0,177.0,21.0,61.0,30.0
2850,2.0,63.0,1.0,7.0,3.0,6.0,18.0,0.0,190.0,25.0,23.0,86.0,59.0,590.0,4.0,5.0,14.0,12.0,279.0,16.0,8.0,28.0,9.0,45.0,108.0,87.0,299.0,10.0,57.0,40.0
2899,1.0,8.0,0.0,7.0,2.0,3.0,9.0,5.0,154.0,6.0,38.0,39.0,129.0,216.0,17.0,4.0,76.0,58.0,317.0,27.0,34.0,107.0,93.0,36.0,133.0,56.0,135.0,31.0,69.0,83.0
2948,0.0,4.0,39.0,2.0,8.0,21.0,9.0,1.0,3.0,15.0,131.0,16.0,6.0,17.0,40.0,32.0,27.0,93.0,11.0,66.0,345.0,64.0,33.0,13.0,147.0,143.0,203.0,44.0,54.0,35.0
2997,0.0,41.0,14.0,7.0,24.0,5.0,12.0,1.0,32.0,4.0,54.0,17.0,8.0,3.0,28.0,343.0,11.0,19.0,27.0,219.0,127.0,243.0,26.0,6.0,625.0,36.0,29.0,48.0,34.0,13.0
3046,0.0,1.0,24.0,2.0,3.0,27.0,13.0,14.0,9.0,11.0,434.0,31.0,4.0,5.0,16.0,29.0,123.0,10.0,33.0,46.0,239.0,60.0,291.0,38.0,57.0,51.0,76.0,25.0,28.0,17.0
3095,1.0,12.0,3.0,0.0,63.0,45.0,17.0,2.0,70.0,31.0,317.0,11.0,7.0,26.0,13.0,246.0,227.0,42.0,16.0,34.0,185.0,74.0,14.0,86.0,312.0,50.0,595.0,71.0,169.0,148.0
3144,0.0,2.0,13.0,1.0,20.0,22.0,86.0,6.0,8.0,37.0,24.0,17.0,16.0,3.0,14.0,34.0,45.0,257.0,38.0,136.0,115.0,51.0,10.0,64.0,139.0,7.0,49.0,68.0,33.0,30.0
3193,0.0,8.0,5.0,2.0,67.0,11.0,18.0,9.0,25.0,1.0,1545.0,4.0,6.0,3.0,13.0,43.0,23.0,24.0,29.0,50.0,258.0,123.0,92.0,34.0,149.0,130.0,113.0,10.0,21.0,79.0
3242,0.0,4.0,3.0,1.0,7.0,9.0,106.0,2.0,84.0,8.0,392.0,17.0,14.0,5.0,120.0,63.0,29.0,121.0,20.0,198.0,105.0,55.0,24.0,64.0,138.0,80.0,45.0,95.0,62.0,101.0
