,XBP1,beta-Catenin,Chk1_pS345,HER3,alpha-Catenin,Claudin-7,Chk2,VEGFR2,VAV1,SF2,MSH6,Src_pY416,Bcl-xL,AMPK_alpha,Transglutaminase,PEA15,BRCA2,Chk1,P-Cadherin,YAP_pS127,Lck,RAD51,C-Raf(BD610151),c-Myc,Stathmin,PAI-1,Smad4,Bap1 c-4,eEF2,Rb
0,0.0,9.0,15.0,10.0,8.0,1.0,5.0,6.0,12.0,105.0,3.0,23.0,26.0,17.0,29.0,25.0,2.0,28.0,7.0,42.0,32.0,65.0,48.0,35.0,21.0,16.0,72.0,40.0,61.0,27.0
49,0.0,9.0,31.0,12.0,14.0,4.0,3.0,1.0,7.0,58.0,6.0,16.0,32.0,35.0,44.0,10.0,22.0,48.0,8.0,99.0,11.0,18.0,17.0,50.0,60.0,2.0,13.0,141.0,27.0,34.0
98,2.0,8.0,0.0,6.0,3.0,9.0,1.0,11.0,5.0,17.0,14.0,161.0,28.0,35.0,26.0,10.0,18.0,19.0,4.0,34.0,24.0,22.0,7.0,64.0,44.0,21.0,25.0,67.0,45.0,12.0
147,0.0,33.0,1.0,7.0,25.0,20.0,4.0,3.0,5.0,9.0,6.0,36.0,57.0,48.0,17.0,8.0,24.0,29.0,18.0,43.0,2.0,27.0,82.0,13.0,12.0,10.0,16.0,41.0,38.0,30.0
196,0.0,26.0,20.0,8.0,10.0,33.0,16.0,17.0,28.0,27.0,30.0,3.0,25.0,50.0,39.0,2.0,29.0,14.0,11.0,82.0,4.0,18.0,1.0,19.0,48.0,5.0,13.0,66.0,15.0,62.0
245,5.0,16.0,10.0,6.0,13.0,20.0,2.0,1.0,9.0,56.0,0.0,19.0,24.0,36.0,14.0,17.0,52.0,22.0,18.0,25.0,3.0,4.0,8.0,37.0,7.0,23.0,75.0,78.0,21.0,34.0
294,1.0,4.0,3.0,12.0,0.0,18.0,2.0,11.0,6.0,23.0,7.0,34.0,83.0,5.0,54.0,15.0,131.0,28.0,19.0,47.0,9.0,14.0,10.0,21.0,111.0,16.0,58.0,63.0,22.0,13.0
343,0.0,41.0,6.0,22.0,4.0,15.0,5.0,19.0,17.0,14.0,23.0,39.0,18.0,3.0,35.0,16.0,89.0,2.0,26.0,20.0,21.0,1.0,51.0,40.0,11.0,7.0,25.0,60.0,27.0,12.0
392,0.0,2.0,3.0,4.0,8.0,109.0,1.0,58.0,131.0,11.0,5.0,14.0,39.0,6.0,13.0,16.0,41.0,9.0,24.0,76.0,21.0,12.0,15.0,35.0,53.0,27.0,30.0,59.0,54.0,17.0
441,0.0,57.0,9.0,7.0,2.0,31.0,10.0,22.0,11.0,3.0,5.0,1.0,46.0,13.0,19.0,23.0,53.0,24.0,40.0,59.0,29.0,33.0,49.0,34.0,28.0,104.0,32.0,16.0,47.0,21.0
490,0.0,27.0,3.0,1.0,2.0,14.0,53.0,8.0,7.0,28.0,52.0,4.0,80.0,11.0,22.0,10.0,18.0,17.0,23.0,40.0,50.0,6.0,5.0,66.0,130.0,39.0,12.0,76.0,21.0,15.0
539,3.0,0.0,7.0,2.0,1.0,5.0,20.0,6.0,4.0,14.0,24.0,10.0,45.0,13.0,12.0,74.0,54.0,43.0,8.0,34.0,17.0,11.0,23.0,36.0,80.0,26.0,49.0,33.0,35.0,30.0
588,0.0,11.0,2.0,1.0,5.0,10.0,91.0,4.0,3.0,83.0,8.0,7.0,43.0,13.0,23.0,24.0,63.0,77.0,18.0,29.0,45.0,51.0,9.0,112.0,95.0,25.0,37.0,46.0,6.0,12.0
