,hsa-miR-363,hsa-miR-328,hsa-miR-371-3p,hsa-miR-218,hsa-miR-579,hsa-miR-516a-5p,hsa-miR-608,hsa-miR-9,hsa-miR-551a,hsa-miR-488,hsa-miR-30c,ebv-miR-BART19-5p,hsa-miR-638,hsv1-miR-H8,hsa-let-7e,hsa-miR-147,hsa-miR-2113,hsa-miR-30a,hsa-miR-342-3p,hsa-miR-582-5p,hsa-miR-641,hsa-miR-219-5p,hsa-miR-450a,hsa-miR-1271,ebv-miR-BART6-5p,hsa-miR-1287,hsa-miR-324-3p,hsa-miR-323-5p,hsa-miR-885-3p,hsa-miR-885-5p
14,0.0,28.0,2.0,1.0,38.0,4.0,22.0,23.0,144.0,76.0,13.0,6.0,15.0,12.0,68.0,11.0,124.0,5.0,177.0,197.0,64.0,98.0,53.0,17.0,60.0,279.0,138.0,47.0,26.0,31.0
63,0.0,3.0,2.0,4.0,132.0,510.0,95.0,89.0,111.0,479.0,14.0,131.0,49.0,39.0,37.0,6.0,20.0,63.0,68.0,365.0,206.0,362.0,28.0,119.0,72.0,78.0,105.0,204.0,7.0,394.0
112,0.0,57.0,1.0,4.0,5.0,24.0,96.0,2.0,52.0,108.0,79.0,19.0,280.0,14.0,505.0,362.0,43.0,182.0,160.0,49.0,83.0,435.0,7.0,195.0,105.0,102.0,276.0,6.0,8.0,50.0
161,0.0,2.0,3.0,107.0,1.0,172.0,21.0,36.0,76.0,55.0,181.0,201.0,182.0,47.0,13.0,224.0,19.0,7.0,616.0,273.0,14.0,67.0,18.0,266.0,87.0,149.0,10.0,35.0,6.0,60.0
210,0.0,20.0,3.0,1.0,2.0,16.0,356.0,35.0,110.0,9.0,17.0,216.0,19.0,42.0,319.0,64.0,13.0,48.0,14.0,191.0,171.0,23.0,5.0,79.0,78.0,181.0,8.0,95.0,6.0,56.0
259,0.0,70.0,1.0,50.0,13.0,47.0,348.0,4.0,36.0,33.0,53.0,10.0,35.0,18.0,51.0,40.0,28.0,66.0,223.0,5.0,20.0,355.0,42.0,23.0,204.0,24.0,242.0,72.0,64.0,17.0
308,0.0,78.0,12.0,24.0,1.0,23.0,424.0,14.0,193.0,9.0,3.0,18.0,47.0,61.0,194.0,80.0,36.0,2.0,81.0,7.0,293.0,55.0,5.0,201.0,148.0,29.0,145.0,30.0,6.0,154.0
357,0.0,16.0,2.0,5.0,19.0,11.0,406.0,28.0,7.0,27.0,36.0,3.0,69.0,26.0,215.0,1.0,14.0,102.0,289.0,12.0,198.0,187.0,37.0,245.0,70.0,13.0,87.0,41.0,38.0,521.0
406,0.0,11.0,45.0,2.0,3.0,82.0,4.0,554.0,20.0,14.0,5.0,24.0,186.0,349.0,1.0,30.0,8.0,15.0,533.0,197.0,327.0,99.0,322.0,57.0,72.0,55.0,137.0,60.0,84.0,203.0
455,0.0,30.0,3.0,7.0,8.0,17.0,13.0,2.0,20.0,74.0,39.0,48.0,215.0,67.0,6.0,335.0,21.0,93.0,423.0,5.0,128.0,49.0,15.0,508.0,214.0,336.0,198.0,85.0,126.0,47.0
504,3.0,15.0,1.0,0.0,13.0,20.0,29.0,248.0,4.0,24.0,39.0,2.0,35.0,14.0,19.0,125.0,67.0,12.0,96.0,513.0,27.0,18.0,132.0,43.0,46.0,5.0,443.0,7.0,30.0,32.0
553,0.0,2.0,3.0,30.0,16.0,1.0,191.0,26.0,5.0,27.0,449.0,23.0,107.0,33.0,596.0,226.0,18.0,4.0,497.0,31.0,29.0,24.0,492.0,71.0,331.0,76.0,83.0,39.0,433.0,175.0
602,0.0,2.0,3.0,101.0,94.0,43.0,403.0,19.0,1.0,61.0,122.0,108.0,27.0,121.0,207.0,392.0,85.0,58.0,26.0,208.0,9.0,282.0,355.0,201.0,213.0,77.0,350.0,69.0,139.0,44.0
651,0.0,256.0,1.0,3.0,54.0,11.0,131.0,2.0,5.0,4.0,238.0,28.0,88.0,244.0,206.0,386.0,25.0,196.0,8.0,95.0,288.0,84.0,602.0,155.0,20.0,7.0,425.0,6.0,331.0,338.0
700,0.0,1.0,8.0,25.0,86.0,68.0,75.0,2.0,11.0,72.0,12.0,10.0,78.0,19.0,34.0,497.0,273.0,24.0,3.0,31.0,23.0,193.0,489.0,32.0,70.0,13.0,139.0,7.0,356.0,6.0
749,0.0,5.0,8.0,2.0,499.0,7.0,12.0,101.0,13.0,18.0,9.0,6.0,108.0,88.0,183.0,272.0,109.0,73.0,10.0,3.0,421.0,19.0,452.0,197.0,42.0,32.0,211.0,585.0,606.0,34.0
798,0.0,1.0,4.0,5.0,45.0,8.0,9.0,164.0,83.0,2.0,40.0,6.0,3.0,50.0,160.0,544.0,12.0,28.0,82.0,49.0,319.0,154.0,281.0,213.0,81.0,250.0,587.0,88.0,443.0,20.0
