,TNK2_MUT,DST_MUT,GRB7_AMP,ACACB_MUT,APBA1_AMP,ERBB2_AMP,ZFP14_DEL,MIR4728_AMP,PGAP3_AMP,DEFT1P_DEL,DEFT1P2_DEL,CNTLN_DEL,PPFIA1_AMP,OR2T27_DEL,STARD3_AMP,BRAF.V600E_MUT,CTNNA2_MUT,JAK2_AMP,CCND1_AMP,BMPR2_MUT,ETS1_DEL,OR51A4_DEL,OR51A2_DEL,FADD_AMP,MIR548K_AMP,MTRNR2L6_DEL,TCAP_AMP,CT45A2_DEL,EPHA8_MUT,MYEOV_AMP
812,318.0,17.0,10.0,2.0,13309.0,30.0,139.0,527.0,203.0,1.0,0.0,34.0,101.0,84.0,17860.0,1067.0,111.0,1355.0,934.0,376.0,428.0,11230.0,66.0,19550.0,15851.0,18918.0,19416.0,758.0,506.0,614.0
861,16608.0,2.0,13485.0,1026.0,13294.0,13747.0,1955.0,1623.0,19873.0,83.0,18604.0,1.0,19457.0,8.0,17858.0,22.0,16560.0,37.0,21439.0,16909.0,130.0,3404.0,3403.0,501.0,15964.0,459.0,19409.0,17.0,16697.0,13066.0
910,1909.0,2453.0,26.0,167.0,1263.0,3.0,108.0,16202.0,170.0,37.0,454.0,227.0,712.0,15.0,323.0,20605.0,16566.0,27.0,1021.0,76.0,5122.0,2262.0,2678.0,324.0,15972.0,350.0,19439.0,8578.0,222.0,157.0
959,60.0,10699.0,17653.0,1155.0,17438.0,16396.0,31.0,21202.0,22849.0,1498.0,352.0,1396.0,37.0,4938.0,15084.0,1176.0,9525.0,13.0,15.0,10848.0,5566.0,1072.0,613.0,161.0,1015.0,147.0,24100.0,12.0,387.0,18116.0
1008,2793.0,27.0,373.0,170.0,80.0,13769.0,12523.0,16177.0,546.0,4483.0,19064.0,26.0,15.0,321.0,6.0,9.0,16543.0,15026.0,21396.0,709.0,1590.0,1.0,724.0,5.0,1155.0,18858.0,126.0,7.0,150.0,47.0
1057,11.0,16893.0,13513.0,4.0,47.0,243.0,32.0,15.0,247.0,2657.0,2579.0,10591.0,79.0,53.0,5.0,18.0,16549.0,56.0,219.0,62.0,84.0,3893.0,1745.0,12.0,88.0,27.0,19401.0,869.0,16578.0,13042.0
1106,895.0,116.0,13529.0,0.0,19.0,1343.0,538.0,65.0,665.0,4554.0,2399.0,10615.0,30.0,8.0,41.0,3.0,757.0,16.0,236.0,367.0,5117.0,143.0,2684.0,13.0,15964.0,1363.0,19399.0,76.0,16577.0,89.0
1155,4.0,8.0,14076.0,2111.0,26.0,219.0,19.0,13689.0,572.0,265.0,19980.0,11623.0,22.0,23.0,1.0,3.0,445.0,6.0,146.0,4895.0,85.0,2742.0,234.0,2.0,34.0,508.0,70.0,97.0,9957.0,17387.0
1204,10.0,8.0,899.0,16435.0,16.0,84.0,3.0,23.0,258.0,162.0,18643.0,19.0,1523.0,315.0,9.0,21.0,2777.0,18.0,21405.0,456.0,476.0,0.0,2457.0,7.0,2776.0,59.0,500.0,1743.0,407.0,2213.0
1253,51.0,2.0,13522.0,626.0,211.0,656.0,142.0,229.0,823.0,5560.0,2738.0,8.0,660.0,187.0,6.0,55.0,428.0,1052.0,264.0,340.0,307.0,0.0,2009.0,5.0,15956.0,205.0,19452.0,8558.0,13.0,13008.0
1302,3.0,18.0,399.0,108.0,580.0,103.0,38.0,16251.0,19862.0,6.0,66.0,1389.0,37.0,3368.0,307.0,20115.0,94.0,592.0,65.0,16955.0,4822.0,125.0,47.0,354.0,271.0,15.0,10.0,1275.0,257.0,210.0
1351,259.0,0.0,13438.0,24.0,389.0,1808.0,1373.0,16198.0,19816.0,833.0,46.0,1.0,41.0,1621.0,17775.0,671.0,25.0,432.0,56.0,265.0,70.0,98.0,112.0,85.0,291.0,10.0,19513.0,1569.0,80.0,684.0
1400,1.0,71.0,86.0,26.0,486.0,30.0,2087.0,16206.0,11.0,4458.0,80.0,7.0,14.0,41.0,91.0,20127.0,1358.0,1090.0,18.0,301.0,4817.0,16.0,1646.0,245.0,540.0,1401.0,788.0,8531.0,16626.0,782.0
1449,10.0,144.0,13495.0,69.0,1567.0,169.0,295.0,253.0,138.0,6716.0,19064.0,39.0,2546.0,7.0,1228.0,20131.0,16538.0,294.0,26.0,117.0,1.0,197.0,773.0,13.0,15907.0,985.0,19503.0,297.0,5.0,644.0
1498,1.0,2455.0,680.0,24.0,13337.0,1381.0,14.0,16222.0,89.0,2682.0,71.0,941.0,50.0,2034.0,17858.0,265.0,12.0,15086.0,170.0,1177.0,6026.0,545.0,2.0,362.0,936.0,852.0,19399.0,9716.0,72.0,13010.0
1547,1.0,93.0,13441.0,2123.0,205.0,13736.0,0.0,16200.0,160.0,559.0,144.0,12783.0,19371.0,141.0,297.0,20112.0,4.0,15074.0,21895.0,96.0,7066.0,1476.0,5.0,374.0,127.0,18857.0,1244.0,10036.0,309.0,245.0
1596,4.0,271.0,412.0,80.0,142.0,370.0,50.0,2317.0,115.0,4874.0,18588.0,606.0,8.0,5.0,24.0,1355.0,9.0,15117.0,21438.0,357.0,244.0,2051.0,39.0,19541.0,90.0,18915.0,175.0,8452.0,187.0,106.0
1645,8.0,7.0,1771.0,1140.0,13287.0,13723.0,12536.0,167.0,21.0,796.0,312.0,401.0,239.0,3668.0,998.0,244.0,16557.0,24.0,75.0,16911.0,863.0,3656.0,11.0,19530.0,10.0,25.0,246.0,48.0,18.0,484.0
1694,16613.0,133.0,13525.0,16449.0,13374.0,631.0,49.0,1.0,868.0,6305.0,18604.0,10.0,867.0,4064.0,17868.0,2.0,647.0,32.0,66.0,325.0,2553.0,3950.0,510.0,145.0,2227.0,76.0,61.0,8565.0,126.0,619.0
1743,3.0,709.0,14.0,190.0,931.0,223.0,484.0,31.0,169.0,2549.0,381.0,1958.0,261.0,2.0,447.0,151.0,16565.0,753.0,101.0,417.0,4896.0,432.0,0.0,2766.0,88.0,18911.0,17.0,59.0,96.0,580.0
1792,90.0,94.0,13518.0,658.0,2476.0,13800.0,0.0,31.0,254.0,69.0,117.0,620.0,32.0,4116.0,17795.0,457.0,56.0,15106.0,21412.0,16948.0,5.0,963.0,12.0,543.0,15761.0,2300.0,19405.0,7.0,16705.0,47.0
1841,1344.0,0.0,605.0,33.0,172.0,571.0,1896.0,16220.0,19874.0,4569.0,255.0,644.0,19461.0,211.0,17840.0,46.0,44.0,935.0,716.0,67.0,5118.0,116.0,50.0,19508.0,2819.0,327.0,28.0,929.0,16581.0,41.0
1890,96.0,373.0,13442.0,16474.0,84.0,31.0,4.0,525.0,482.0,4953.0,18670.0,11.0,91.0,356.0,1605.0,0.0,1329.0,657.0,21491.0,420.0,701.0,265.0,104.0,19416.0,553.0,571.0,651.0,562.0,156.0,13124.0
1939,72.0,20.0,825.0,569.0,338.0,13744.0,12.0,1603.0,94.0,5456.0,2408.0,13.0,419.0,77.0,17854.0,962.0,80.0,1023.0,21437.0,58.0,0.0,368.0,913.0,19540.0,180.0,288.0,691.0,534.0,492.0,87.0
1988,164.0,16923.0,614.0,137.0,78.0,122.0,117.0,272.0,8.0,6598.0,493.0,2715.0,689.0,764.0,0.0,66.0,16569.0,24.0,599.0,316.0,4.0,1057.0,746.0,184.0,15945.0,18921.0,219.0,1455.0,204.0,13044.0
2037,214.0,113.0,12.0,16429.0,44.0,13787.0,20.0,11.0,19874.0,470.0,19074.0,159.0,515.0,189.0,17847.0,302.0,16583.0,53.0,21424.0,23.0,193.0,2295.0,674.0,388.0,15947.0,18877.0,30.0,8572.0,16569.0,1440.0
2086,159.0,4.0,87.0,16419.0,194.0,25.0,1248.0,228.0,50.0,292.0,61.0,139.0,19421.0,130.0,123.0,19.0,1006.0,15101.0,670.0,90.0,5.0,451.0,4084.0,224.0,15970.0,18921.0,19391.0,8347.0,16576.0,0.0
2135,14.0,10.0,13512.0,51.0,13343.0,13778.0,0.0,16194.0,19741.0,4544.0,571.0,10610.0,1263.0,162.0,17823.0,341.0,506.0,15111.0,472.0,223.0,303.0,754.0,465.0,124.0,72.0,8.0,234.0,1081.0,59.0,654.0
2184,6.0,16900.0,5.0,16447.0,53.0,2262.0,7.0,13.0,970.0,8.0,18604.0,10607.0,19452.0,4074.0,49.0,20124.0,55.0,23.0,65.0,16903.0,5615.0,233.0,1456.0,816.0,562.0,97.0,19402.0,205.0,16585.0,13024.0
2233,77.0,179.0,63.0,1399.0,22.0,630.0,7.0,16343.0,66.0,5302.0,18614.0,213.0,2716.0,3551.0,8.0,0.0,281.0,1.0,21425.0,16927.0,93.0,1556.0,3442.0,11.0,15725.0,42.0,797.0,73.0,44.0,2240.0
2282,0.0,16892.0,50.0,453.0,6.0,13718.0,24.0,16221.0,101.0,6141.0,452.0,10268.0,9.0,917.0,620.0,779.0,16547.0,509.0,21425.0,41.0,71.0,1.0,354.0,59.0,15918.0,768.0,19387.0,1297.0,26.0,1121.0
2331,95.0,16918.0,0.0,2027.0,41.0,57.0,102.0,31.0,30.0,4494.0,18602.0,19.0,753.0,4066.0,17776.0,415.0,72.0,3.0,364.0,16920.0,1075.0,44.0,524.0,4.0,1568.0,2.0,1482.0,313.0,1.0,13023.0
2380,2.0,268.0,0.0,2152.0,11.0,6.0,4.0,291.0,90.0,98.0,677.0,293.0,19.0,29.0,17862.0,1678.0,17.0,15041.0,21419.0,16901.0,2559.0,2680.0,2291.0,19506.0,15964.0,354.0,842.0,8568.0,304.0,69.0
2429,72.0,439.0,10.0,119.0,1.0,13730.0,4.0,808.0,27.0,2201.0,18610.0,126.0,44.0,428.0,33.0,20123.0,787.0,83.0,21419.0,16934.0,4870.0,28.0,3398.0,0.0,71.0,739.0,1123.0,3.0,16688.0,165.0
2478,1031.0,30.0,84.0,38.0,32.0,13819.0,1238.0,1.0,795.0,4536.0,232.0,10150.0,19430.0,352.0,17840.0,672.0,18.0,801.0,21443.0,47.0,4.0,4039.0,4038.0,151.0,15981.0,340.0,76.0,358.0,16587.0,1416.0
2527,378.0,1602.0,164.0,1.0,61.0,192.0,3.0,209.0,19733.0,1077.0,5.0,2440.0,4.0,50.0,399.0,1014.0,587.0,147.0,18.0,551.0,5015.0,3303.0,2765.0,19398.0,15952.0,18910.0,255.0,325.0,197.0,1384.0
2576,843.0,37.0,79.0,1312.0,0.0,66.0,836.0,2.0,214.0,5537.0,108.0,10127.0,19421.0,34.0,17841.0,59.0,70.0,1.0,659.0,812.0,3.0,279.0,3548.0,19498.0,143.0,49.0,5.0,287.0,788.0,55.0
2625,8.0,16890.0,9.0,47.0,2.0,7.0,99.0,43.0,19882.0,4484.0,37.0,166.0,19377.0,1355.0,1004.0,461.0,1578.0,353.0,21656.0,595.0,473.0,2772.0,2796.0,19454.0,15940.0,20.0,19511.0,8431.0,652.0,36.0
2674,199.0,1175.0,15.0,10.0,1.0,5.0,228.0,124.0,125.0,235.0,14.0,10132.0,443.0,2856.0,7.0,23.0,712.0,843.0,21465.0,220.0,175.0,2833.0,2828.0,1076.0,2545.0,1539.0,83.0,29.0,49.0,1467.0
2723,0.0,369.0,13395.0,59.0,13312.0,1.0,253.0,220.0,19744.0,126.0,6.0,10134.0,287.0,28.0,17856.0,758.0,887.0,14968.0,21438.0,644.0,1252.0,3365.0,1202.0,19535.0,15954.0,445.0,130.0,2194.0,16558.0,13079.0
