,XXbac-BPG181B23.7,RP11-408B11.2,CORO2A,GPR158,SLC38A9,SLC6A15,SLC25A24P1,CLSTN3,RP11-734I18.1,RP3-460G2.2,PLAG1,RP11-151A6.4,HLA-U,BTBD11,LRRIQ1,PDE9A,ZNF593,RP11-152F13.7,DUSP6,TMCC3,UBR2,ABCC10,ZNF732,RP11-430L17.1,PALM2,BEND6,PRR5L,JAGN1,TYW1B,CTB-88F18.3
2950,1.0,5.0,8.0,0.0,140.0,33.0,145.0,219.0,172.0,337.0,17.0,4.0,19.0,85.0,66.0,87.0,9.0,6.0,125.0,13.0,171.0,130.0,24.0,124.0,30.0,237.0,160.0,636.0,1121.0,81.0
2999,15.0,3.0,5.0,1.0,28.0,17.0,259.0,149.0,12.0,42.0,69.0,2.0,4.0,35.0,65.0,34.0,37.0,83.0,229.0,0.0,156.0,93.0,143.0,47.0,6.0,54.0,1265.0,541.0,645.0,233.0
3048,1.0,0.0,5.0,8.0,53.0,149.0,30.0,98.0,39.0,402.0,44.0,4.0,88.0,42.0,122.0,35.0,83.0,9.0,730.0,6.0,100.0,153.0,90.0,242.0,20.0,40.0,118.0,353.0,1061.0,50.0
3097,8.0,4.0,7.0,172.0,24.0,792.0,46.0,17.0,9.0,1051.0,150.0,10.0,0.0,33.0,92.0,20.0,18.0,3.0,110.0,2.0,113.0,122.0,77.0,207.0,67.0,11.0,1345.0,231.0,627.0,42.0
3146,30.0,9.0,6.0,3.0,66.0,54.0,33.0,18.0,10.0,139.0,0.0,24.0,1.0,827.0,11.0,75.0,16.0,39.0,234.0,2.0,141.0,130.0,21.0,188.0,19.0,41.0,287.0,517.0,238.0,46.0
3195,5.0,3.0,1.0,0.0,63.0,519.0,12.0,22.0,41.0,649.0,14.0,7.0,2.0,32.0,78.0,39.0,86.0,83.0,87.0,21.0,103.0,165.0,59.0,439.0,6.0,52.0,118.0,595.0,50.0,82.0
3244,7.0,2.0,0.0,33.0,79.0,105.0,3.0,21.0,108.0,107.0,6.0,73.0,275.0,39.0,161.0,57.0,14.0,4.0,13.0,1.0,188.0,136.0,5.0,77.0,20.0,99.0,1644.0,397.0,8.0,16.0
3293,3.0,7.0,5.0,0.0,118.0,99.0,65.0,88.0,6.0,267.0,43.0,2.0,15.0,926.0,13.0,4.0,113.0,22.0,156.0,155.0,95.0,130.0,28.0,190.0,9.0,37.0,159.0,571.0,441.0,107.0
3342,3.0,0.0,1.0,5.0,68.0,486.0,43.0,92.0,15.0,726.0,34.0,24.0,13.0,199.0,57.0,72.0,28.0,2.0,396.0,26.0,69.0,94.0,437.0,54.0,9.0,45.0,174.0,431.0,66.0,103.0
3391,22.0,0.0,2.0,20.0,60.0,19.0,29.0,123.0,6.0,170.0,8.0,7.0,4.0,15.0,150.0,89.0,16.0,3.0,51.0,1.0,209.0,128.0,28.0,182.0,14.0,53.0,153.0,630.0,228.0,39.0
3440,0.0,5.0,163.0,27.0,4.0,3.0,23.0,34.0,597.0,1.0,29.0,10.0,2.0,42.0,31.0,7.0,9.0,14.0,108.0,41.0,8.0,13.0,26.0,6.0,168.0,52.0,572.0,22.0,49.0,32.0
3489,2.0,67.0,39.0,33.0,9.0,1.0,12.0,85.0,84.0,3.0,32.0,8.0,7.0,35.0,49.0,40.0,14.0,6.0,16.0,112.0,80.0,26.0,5.0,17.0,166.0,96.0,28.0,18.0,100.0,133.0
3538,2.0,0.0,1.0,133.0,18.0,10.0,8.0,32.0,22.0,12.0,7.0,5.0,50.0,6.0,55.0,128.0,9.0,11.0,171.0,26.0,72.0,68.0,3.0,40.0,15.0,334.0,140.0,61.0,51.0,247.0
3587,1.0,13.0,22.0,0.0,8.0,2.0,20.0,9.0,558.0,4.0,5.0,16.0,37.0,12.0,45.0,14.0,26.0,42.0,53.0,104.0,67.0,31.0,6.0,21.0,35.0,195.0,248.0,48.0,167.0,149.0
3636,2.0,1.0,20.0,99.0,11.0,6.0,0.0,136.0,21.0,3.0,27.0,7.0,16.0,48.0,19.0,74.0,33.0,15.0,116.0,310.0,186.0,37.0,5.0,13.0,32.0,486.0,181.0,47.0,133.0,43.0
3685,1.0,7.0,50.0,0.0,9.0,18.0,10.0,34.0,63.0,12.0,13.0,2.0,51.0,70.0,19.0,25.0,43.0,11.0,200.0,242.0,84.0,39.0,6.0,24.0,28.0,457.0,57.0,26.0,31.0,184.0
3734,0.0,4.0,109.0,90.0,8.0,3.0,2.0,11.0,42.0,15.0,49.0,1.0,45.0,9.0,30.0,14.0,16.0,24.0,32.0,142.0,53.0,41.0,12.0,52.0,55.0,108.0,37.0,36.0,320.0,93.0
3783,17.0,1.0,4.0,8.0,10.0,6.0,5.0,14.0,73.0,0.0,20.0,13.0,93.0,25.0,15.0,22.0,57.0,3.0,230.0,33.0,91.0,53.0,54.0,39.0,55.0,130.0,40.0,24.0,220.0,142.0
3832,11.0,2.0,6.0,5.0,4.0,12.0,1.0,10.0,156.0,0.0,13.0,16.0,29.0,43.0,14.0,126.0,20.0,3.0,26.0,81.0,35.0,27.0,22.0,57.0,66.0,231.0,421.0,18.0,38.0,169.0
3881,2.0,0.0,31.0,4.0,7.0,1.0,16.0,90.0,47.0,35.0,18.0,10.0,57.0,101.0,32.0,828.0,25.0,8.0,219.0,123.0,33.0,49.0,6.0,11.0,213.0,521.0,151.0,71.0,38.0,40.0
3930,3.0,0.0,5.0,11.0,2.0,29.0,8.0,16.0,144.0,145.0,180.0,80.0,103.0,33.0,28.0,253.0,39.0,30.0,105.0,56.0,43.0,7.0,17.0,42.0,88.0,58.0,55.0,27.0,465.0,19.0
3979,4.0,0.0,7.0,2.0,3.0,25.0,6.0,35.0,34.0,33.0,23.0,96.0,84.0,24.0,40.0,229.0,140.0,113.0,10.0,65.0,32.0,37.0,57.0,257.0,151.0,61.0,197.0,12.0,20214.0,20.0
4028,2.0,1.0,19.0,3.0,0.0,6.0,7.0,64.0,4.0,73.0,239.0,196.0,47.0,17.0,21.0,75.0,144.0,139.0,211.0,62.0,27.0,11.0,52.0,40.0,126.0,29.0,20.0,5.0,179.0,14.0
4077,4.0,0.0,1.0,13.0,3.0,123.0,8.0,41.0,14.0,206.0,331.0,121.0,12.0,31.0,34.0,38.0,60.0,132.0,62.0,102.0,114.0,7.0,35.0,90.0,458.0,40.0,230.0,28.0,17442.0,2.0
4126,1.0,0.0,3.0,22.0,5.0,29.0,12.0,103.0,258.0,516.0,25.0,365.0,20.0,7.0,37.0,514.0,75.0,160.0,343.0,78.0,31.0,39.0,33.0,74.0,108.0,30.0,44.0,19.0,45.0,23.0
4175,2.0,1.0,0.0,343.0,3.0,6.0,4.0,17.0,29.0,366.0,166.0,351.0,7.0,30.0,36.0,317.0,24.0,186.0,134.0,82.0,89.0,48.0,33.0,373.0,53.0,10.0,99.0,8.0,117.0,11.0
4224,8.0,0.0,43.0,1.0,2.0,14.0,4.0,37.0,95.0,19.0,104.0,116.0,13.0,500.0,15.0,97.0,93.0,27.0,315.0,268.0,73.0,40.0,352.0,83.0,23.0,29.0,65.0,6.0,55.0,5.0
4273,16.0,1.0,4.0,10.0,3.0,6.0,0.0,17.0,45.0,22.0,28.0,53.0,5.0,23.0,38.0,9.0,147.0,140.0,330.0,223.0,40.0,34.0,25.0,70.0,63.0,55.0,47.0,31.0,248.0,19.0
4322,1.0,2.0,17.0,141.0,0.0,26.0,3.0,16.0,121.0,1000.0,12.0,245.0,23.0,9.0,39.0,471.0,262.0,47.0,44.0,50.0,32.0,20.0,48.0,29.0,1147.0,78.0,117.0,41.0,49.0,7.0
4371,2.0,33.0,3.0,62.0,0.0,30.0,113.0,32.0,428.0,251.0,52.0,6.0,18.0,14.0,151.0,356.0,47.0,121.0,74.0,134.0,27.0,37.0,12.0,95.0,64.0,57.0,40.0,8.0,65.0,5.0
4420,1.0,0.0,2.0,36.0,54.0,567.0,23.0,5.0,3.0,10.0,92.0,25.0,597.0,19.0,66.0,18.0,26.0,118.0,11.0,7.0,32.0,34.0,136.0,140.0,94.0,102.0,213.0,106.0,33.0,30.0
4469,1.0,2.0,0.0,22.0,31.0,26.0,43.0,12.0,3.0,107.0,14.0,30.0,60.0,37.0,19.0,16.0,27.0,61.0,8.0,6.0,145.0,44.0,75.0,32.0,64.0,9.0,856.0,211.0,24.0,18.0
4518,3.0,4.0,0.0,1.0,44.0,12.0,2.0,5.0,62.0,6.0,31.0,43.0,14.0,84.0,22.0,8.0,16.0,20.0,13.0,41.0,29.0,9.0,699.0,95.0,11.0,51.0,169.0,66.0,40.0,36.0
4567,0.0,2.0,6.0,8.0,55.0,7.0,3.0,12.0,1.0,39.0,16.0,14.0,40.0,17.0,27.0,23.0,26.0,150.0,9.0,19.0,64.0,52.0,32.0,147.0,18.0,266.0,20.0,56.0,84.0,104.0
4616,0.0,5.0,2.0,43.0,20.0,28.0,29.0,12.0,60.0,1.0,14.0,58.0,549.0,4.0,56.0,25.0,21.0,8.0,42.0,3.0,99.0,38.0,51.0,88.0,52.0,30.0,142.0,65.0,37.0,67.0
4665,0.0,5.0,1.0,11.0,49.0,14.0,4.0,6.0,3.0,27.0,31.0,24.0,2.0,493.0,22.0,10.0,33.0,21.0,116.0,64.0,124.0,61.0,53.0,121.0,42.0,29.0,212.0,56.0,60.0,99.0
4714,0.0,6.0,1.0,14.0,20.0,2.0,26.0,12.0,13.0,4.0,9.0,41.0,130.0,3.0,31.0,24.0,100.0,86.0,66.0,10.0,43.0,11.0,108.0,163.0,214.0,5.0,53.0,57.0,17.0,32.0
4763,0.0,4.0,1.0,7.0,40.0,66.0,31.0,5.0,11.0,70.0,37.0,178.0,448.0,13.0,58.0,8.0,154.0,83.0,15.0,6.0,127.0,184.0,23.0,132.0,19.0,34.0,292.0,32.0,14.0,108.0
4812,3.0,13.0,0.0,247.0,8.0,23.0,770.0,16.0,1.0,6.0,31.0,36.0,34.0,15.0,30.0,5.0,94.0,93.0,4.0,2.0,22.0,71.0,791.0,57.0,86.0,73.0,655.0,28.0,9.0,277.0
4861,21.0,6.0,0.0,2.0,94.0,5.0,19.0,8.0,1.0,30.0,4.0,17.0,49.0,10.0,22.0,7.0,168.0,15.0,13.0,3.0,111.0,35.0,155.0,288.0,11.0,73.0,52.0,43.0,42.0,57.0
