,PDLIM7,WWTR1,LTBP2,LOXL2,RGS20,MT2A,AGAP2,AFAP1L1,IGFBP6,BCAR3,OSMR,SHISA4,UBTD1,NTN4,ACSS1,SDC3,RP11-537E18.1,RP11-166D19.1,MET,GSDMB,ANAPC5,NHS,PER2,TTF1,GPR176,FAM114A1,COL6A1,AK1,SEC14L2,ADCK3
11,0.0,3.0,2.0,22.0,7.0,46.0,16.0,8.0,26.0,31.0,4.0,6.0,48.0,69.0,956.0,35.0,12.0,1.0,156.0,115.0,6295.0,20.0,12583.0,2088.0,54.0,82.0,25.0,11.0,51.0,276.0
60,2.0,3.0,0.0,4.0,7.0,11.0,9.0,6.0,19.0,30.0,13.0,1.0,12.0,29.0,26.0,57.0,47.0,34.0,15.0,21.0,14.0,518.0,16.0,28.0,60.0,50.0,669.0,48.0,9035.0,173.0
109,0.0,3.0,5.0,1.0,40.0,10.0,2.0,19.0,27.0,14.0,13.0,6.0,26.0,45.0,64.0,78.0,13272.0,25.0,129.0,38.0,58.0,28.0,20.0,20550.0,69.0,47.0,22.0,20466.0,684.0,52.0
158,30.0,40.0,0.0,13.0,4.0,11.0,2.0,14.0,20.0,27.0,29.0,1.0,8.0,60.0,54.0,24.0,41.0,17.0,18867.0,712.0,3.0,405.0,6.0,44.0,50.0,52.0,26.0,31.0,8965.0,191.0
207,28.0,1.0,3.0,4.0,6.0,10537.0,16.0,11.0,20.0,242.0,14.0,0.0,38.0,66.0,62.0,7.0,35.0,9.0,30.0,99.0,5.0,9324.0,82.0,29.0,3196.0,13878.0,120.0,49.0,13.0,130.0
256,2.0,0.0,1.0,24.0,7.0,11.0,6.0,13.0,17.0,4.0,55.0,5.0,18.0,33.0,36.0,37.0,13200.0,41.0,96.0,73.0,35.0,9320.0,113.0,62.0,81.0,13892.0,31.0,105.0,8963.0,119.0
305,4.0,1.0,0.0,12.0,118.0,2.0,9.0,10.0,17.0,40.0,5.0,6.0,21.0,39.0,26.0,78.0,13268.0,85.0,291.0,55.0,46.0,2362.0,7.0,44.0,32.0,49.0,13.0,59.0,9055.0,203.0
354,28.0,1.0,0.0,9.0,3.0,33.0,19.0,8.0,17.0,61.0,27.0,4.0,22.0,41.0,66.0,85.0,38.0,35.0,18859.0,26.0,5.0,55.0,69.0,115.0,15.0,421.0,10.0,77.0,9028.0,92.0
403,1.0,14409.0,0.0,3.0,9.0,19.0,7.0,12.0,14.0,25.0,22.0,6.0,15.0,95.0,71.0,60.0,34.0,8.0,157.0,97.0,58.0,9339.0,12563.0,55.0,18.0,549.0,42.0,33.0,9031.0,88.0
452,0.0,53.0,56.0,2.0,1.0,38.0,5.0,9.0,13.0,272.0,16.0,4.0,23.0,7.0,54.0,29.0,13184.0,4743.0,18882.0,17.0,113.0,69.0,10.0,2083.0,3528.0,51.0,63.0,34.0,9010.0,61.0
