,PDLIM7,WWTR1,LTBP2,LOXL2,RGS20,MT2A,AGAP2,AFAP1L1,IGFBP6,BCAR3,OSMR,SHISA4,UBTD1,NTN4,ACSS1,SDC3,RP11-537E18.1,RP11-166D19.1,MET,GSDMB,ANAPC5,NHS,PER2,TTF1,GPR176,FAM114A1,COL6A1,AK1,SEC14L2,ADCK3
501,1.0,2.0,4.0,0.0,3.0,9.0,13.0,15.0,20.0,11.0,30.0,7.0,590.0,24.0,38.0,42.0,89.0,36.0,46.0,31.0,77.0,370.0,113.0,20619.0,66.0,13992.0,6.0,19.0,9040.0,60.0
550,1.0,2.0,5.0,0.0,4.0,10573.0,20.0,19.0,18.0,21.0,11.0,10.0,587.0,70.0,45.0,57.0,13265.0,29.0,113.0,55.0,59.0,51.0,3.0,34.0,14.0,8.0,13.0,68.0,489.0,15.0
599,8.0,1.0,4.0,0.0,10.0,6.0,2.0,19.0,11.0,27.0,21.0,5.0,17.0,46.0,54.0,26.0,13252.0,86.0,103.0,15.0,62.0,83.0,12550.0,28.0,37.0,14.0,70.0,29.0,8965.0,87.0
648,51.0,3.0,0.0,1.0,4.0,11.0,22.0,8.0,35.0,13.0,27.0,5.0,7.0,107.0,14.0,15.0,49.0,16.0,112.0,89.0,95.0,9341.0,6.0,88.0,10.0,77.0,138.0,177.0,67.0,50.0
697,2.0,0.0,5.0,1.0,7.0,34.0,16.0,11.0,10.0,20.0,30.0,4.0,12.0,18.0,31.0,21.0,63.0,68.0,51.0,52.0,9.0,9324.0,12530.0,25.0,3652.0,97.0,9097.0,43.0,1530.0,35.0
746,3.0,0.0,4.0,2.0,5.0,14.0,19.0,7.0,10.0,9.0,24.0,1.0,31.0,8.0,26.0,23.0,13263.0,4708.0,62.0,76.0,35.0,9360.0,18.0,55.0,49.0,13966.0,12.0,97.0,9026.0,78.0
795,0.0,4.0,2.0,1.0,3.0,9.0,37.0,20.0,21.0,19.0,23.0,14.0,19884.0,16.0,31.0,30.0,13261.0,44.0,18739.0,18.0,50.0,9367.0,8.0,114.0,10.0,105.0,211.0,106.0,9062.0,54.0
844,1.0,49.0,3.0,0.0,6.0,2.0,9.0,13.0,32.0,15.0,28.0,12.0,30.0,55.0,34.0,40.0,13242.0,4.0,114.0,91.0,64.0,10.0,8.0,134.0,36.0,13927.0,80.0,20466.0,9037.0,17.0
893,3.0,5.0,1.0,0.0,4.0,6.0,17.0,19.0,12.0,11.0,31.0,120.0,19889.0,66.0,23.0,29.0,13290.0,50.0,85.0,44.0,36.0,71.0,8.0,126.0,34.0,13916.0,7.0,72.0,9063.0,112.0
942,1.0,0.0,26.0,2.0,28.0,31.0,3.0,6.0,11.0,71.0,17.0,147.0,27.0,61.0,7147.0,21.0,92.0,52.0,41.0,19.0,5786.0,70.0,22.0,29.0,4003.0,13973.0,132.0,50.0,9065.0,101.0
991,0.0,1.0,5.0,2.0,87.0,8.0,11.0,15.0,45.0,190.0,28.0,86.0,19938.0,7.0,7133.0,50.0,35.0,17.0,49.0,19.0,111.0,9.0,12574.0,39.0,33.0,13980.0,4.0,60.0,48.0,41.0
1040,1.0,15.0,0.0,5.0,69.0,7.0,11.0,4.0,34.0,177.0,86.0,2.0,94.0,45.0,20.0,23.0,8.0,21.0,68.0,40.0,110.0,41.0,12529.0,50.0,76.0,13915.0,359.0,30.0,47.0,134.0
1089,30.0,2.0,3.0,9.0,6.0,41.0,4.0,24.0,66.0,13.0,45.0,101.0,19944.0,77.0,7127.0,60.0,47.0,102.0,16.0,10185.0,73.0,34.0,12594.0,36.0,118.0,28.0,0.0,197.0,12.0,32.0
1138,1.0,0.0,8.0,7.0,65.0,4.0,11.0,31.0,42.0,17.0,37.0,70.0,19940.0,10.0,1349.0,22.0,61.0,9.0,68.0,2.0,131.0,13.0,14.0,41.0,54.0,103.0,29.0,111.0,74.0,99.0
1187,25.0,3.0,1.0,0.0,19004.0,95.0,8.0,19.0,30.0,24.0,74.0,2.0,5.0,67.0,1194.0,47.0,64.0,39.0,37.0,22.0,4843.0,21.0,188.0,26.0,12.0,42.0,15.0,18.0,97.0,52.0
1236,39.0,1.0,3.0,19188.0,70.0,10.0,13.0,23.0,38.0,55.0,41.0,0.0,2055.0,20.0,7034.0,25.0,26.0,88.0,4.0,8.0,5589.0,49.0,12586.0,66.0,48.0,13892.0,212.0,54.0,322.0,115.0
1285,0.0,22.0,2.0,25.0,6.0,5.0,20.0,9.0,11.0,19.0,30.0,7.0,34.0,12.0,37.0,87.0,57.0,8.0,46.0,13.0,66.0,31.0,12596.0,75.0,62.0,74.0,1.0,60.0,44.0,113.0
1334,0.0,14399.0,3.0,86.0,1.0,7.0,9.0,21.0,45.0,209.0,94.0,68.0,1820.0,51.0,7142.0,5.0,48.0,90.0,77.0,23.0,36.0,9310.0,132.0,19.0,81.0,78.0,25.0,53.0,101.0,26.0
1383,2.0,1.0,3.0,21.0,29.0,9.0,7.0,12.0,23.0,11.0,77.0,15.0,115.0,28.0,7116.0,16.0,25.0,13.0,59.0,19.0,22.0,33.0,317.0,20565.0,61.0,13982.0,318.0,41.0,38.0,112.0
1432,1.0,0.0,115.0,26.0,13.0,2.0,6.0,16.0,65.0,33.0,41.0,5.0,3.0,40.0,77.0,138.0,13240.0,79.0,85.0,31.0,111.0,48.0,12489.0,20571.0,153.0,63.0,233.0,67.0,38.0,51.0
1481,1926.0,80.0,0.0,3.0,59.0,46.0,74.0,1.0,7.0,250.0,38.0,17289.0,48.0,64.0,33.0,21.0,29.0,16.0,112.0,54.0,4.0,17.0,12573.0,20552.0,45.0,446.0,8381.0,115.0,55.0,146.0
1530,1.0,0.0,2.0,4.0,3.0,33.0,15.0,5.0,9.0,16.0,11.0,54.0,19929.0,41.0,46.0,58.0,28.0,99.0,25.0,9702.0,24.0,9352.0,53.0,20631.0,82.0,1315.0,47.0,94.0,1369.0,96.0
1579,20650.0,1.0,0.0,4.0,2.0,10.0,18.0,12.0,7.0,129.0,5.0,17280.0,22.0,27.0,28.0,29.0,25.0,11.0,30.0,123.0,32.0,76.0,12574.0,55.0,68.0,40.0,39.0,156.0,1368.0,141.0
1628,20764.0,6.0,2.0,0.0,7.0,4.0,24.0,11.0,26.0,25.0,3.0,50.0,19867.0,40.0,28.0,69.0,16.0,46.0,1.0,71.0,10.0,9327.0,12530.0,72.0,42.0,13957.0,57.0,102.0,9011.0,8.0
1677,20669.0,3.0,5.0,1.0,2.0,20.0,6.0,8.0,14.0,175.0,4.0,69.0,11.0,10.0,26.0,45.0,18.0,4754.0,29.0,102.0,168.0,39.0,12566.0,33.0,109.0,13912.0,37.0,141.0,47.0,17611.0
1726,51.0,3.0,0.0,11.0,2.0,32.0,16.0,20.0,7.0,26.0,1.0,17302.0,19932.0,42.0,19.0,49.0,12.0,5.0,9.0,39.0,46.0,9378.0,12599.0,20617.0,98.0,13917.0,43.0,53.0,33.0,59.0
1775,20668.0,3.0,0.0,4.0,2.0,17.0,15.0,13.0,10.0,133.0,5.0,17270.0,19858.0,8.0,18.0,79.0,31.0,111.0,12.0,76.0,5815.0,9366.0,12570.0,46.0,3716.0,13901.0,538.0,124.0,9060.0,119.0
1824,20923.0,0.0,11.0,12.0,243.0,6.0,3.0,16.0,2.0,172.0,1.0,1300.0,19944.0,45.0,65.0,53.0,26.0,57.0,46.0,344.0,7.0,37.0,12591.0,31.0,114.0,109.0,62.0,104.0,5.0,64.0
1873,0.0,1.0,5.0,3.0,4.0,45.0,37.0,9.0,12.0,915.0,6.0,2.0,19873.0,25.0,27.0,35.0,19.0,18.0,61.0,10141.0,8.0,9337.0,12551.0,20566.0,90.0,44.0,680.0,28.0,102.0,105.0
1922,31.0,1.0,2.0,15.0,3.0,6.0,22.0,7.0,11.0,0.0,5.0,10.0,13.0,37.0,36.0,45.0,13191.0,4.0,96.0,10110.0,32.0,9312.0,12487.0,86.0,35.0,13891.0,60.0,68.0,49.0,95.0
1971,0.0,3.0,4.0,1.0,5.0,60.0,11.0,15.0,62.0,14.0,7.0,2.0,31.0,56.0,7136.0,16.0,38.0,4729.0,18765.0,61.0,21.0,168.0,68.0,74.0,86.0,13914.0,13.0,39.0,9.0,246.0
2020,20.0,42.0,2.0,3.0,741.0,10561.0,6.0,9.0,81.0,16.0,15.0,50.0,10.0,31.0,7143.0,28.0,13278.0,115.0,155.0,56.0,0.0,9338.0,5.0,65.0,14.0,94.0,123.0,88.0,4.0,84.0
2069,3.0,0.0,2.0,12.0,10.0,88.0,1.0,14.0,25.0,9.0,8.0,55.0,18.0,39.0,23.0,16353.0,50.0,368.0,18743.0,86.0,34.0,3531.0,75.0,20633.0,80.0,13928.0,740.0,138.0,5.0,28.0
2118,1.0,39.0,0.0,8.0,83.0,24.0,19.0,7.0,50.0,194.0,2.0,15.0,13.0,69.0,29.0,11.0,38.0,5261.0,99.0,26.0,20.0,9369.0,9.0,457.0,2541.0,17.0,380.0,21.0,3.0,17604.0
2167,0.0,18.0,2.0,7.0,21.0,10582.0,10.0,20.0,30.0,15.0,4.0,74.0,9.0,17.0,14.0,27.0,1152.0,5276.0,1110.0,42.0,6.0,9367.0,5.0,20590.0,77.0,40.0,12.0,70.0,1.0,17675.0
2216,0.0,50.0,2.0,15.0,240.0,22.0,13.0,26.0,52.0,12.0,41.0,110.0,48.0,40.0,24.0,16374.0,71.0,80.0,117.0,2208.0,21.0,9393.0,3.0,8.0,144.0,14001.0,95.0,130.0,4.0,118.0
2265,2.0,1.0,3.0,0.0,31.0,29.0,16.0,10.0,33.0,5.0,15.0,41.0,12.0,28.0,20.0,42.0,91.0,90.0,110.0,59.0,19.0,65.0,6.0,20561.0,88.0,115.0,161.0,39.0,11.0,112.0
2314,10.0,0.0,3.0,13.0,4.0,74.0,12.0,15.0,30.0,6.0,22.0,35.0,23.0,63.0,25.0,39.0,13256.0,128.0,18753.0,53.0,21.0,9365.0,62.0,1822.0,130.0,13885.0,76.0,38.0,18.0,135.0
2363,1.0,0.0,2.0,4.0,23.0,8.0,9.0,21.0,19.0,7.0,15.0,62.0,13.0,20.0,45.0,47.0,32.0,88.0,125.0,10139.0,116.0,9328.0,104.0,112.0,84.0,13898.0,100.0,20492.0,33.0,17588.0
2412,0.0,2.0,4.0,11.0,14.0,5.0,10.0,6.0,46.0,7.0,1.0,21.0,36.0,9.0,33.0,16376.0,13235.0,4760.0,27.0,754.0,39.0,9328.0,113.0,20564.0,112.0,13900.0,134.0,63.0,13.0,2090.0
2461,1.0,15.0,7.0,22.0,0.0,3.0,36.0,26.0,31.0,52.0,49.0,5.0,9.0,154.0,9003.0,16338.0,13239.0,106.0,38.0,55.0,64.0,2807.0,41.0,57.0,27.0,44.0,29.0,73.0,10152.0,2.0
2510,21.0,2.0,5.0,8.0,7.0,4.0,13.0,18.0,75.0,1042.0,1.0,3.0,22.0,205.0,7150.0,16343.0,13280.0,0.0,35.0,47.0,10.0,9348.0,14.0,31.0,73.0,44.0,9157.0,116.0,30.0,119.0
2559,17.0,0.0,4.0,19.0,3.0,40.0,13.0,10.0,35.0,14.0,54.0,26.0,18.0,98.0,7101.0,58.0,90.0,38.0,16.0,52.0,50.0,9336.0,2.0,25.0,3359.0,39.0,9069.0,79.0,66.0,70.0
2608,27.0,0.0,4.0,2.0,9.0,6.0,18.0,26.0,3.0,15137.0,32.0,5.0,13.0,100.0,69.0,1121.0,59.0,8.0,180.0,11.0,7.0,760.0,1.0,56.0,3561.0,35.0,9062.0,99.0,20.0,111.0
2657,0.0,2.0,27.0,5.0,62.0,15.0,9.0,32.0,19.0,319.0,71.0,42.0,19944.0,81.0,1327.0,973.0,199.0,73.0,3.0,18.0,45.0,63.0,4.0,1985.0,4184.0,23.0,619.0,65.0,9040.0,8.0
2706,3.0,0.0,8.0,5.0,4.0,48.0,1.0,19.0,49.0,26.0,13.0,10.0,15.0,6510.0,78.0,16334.0,73.0,61.0,130.0,18.0,76.0,8534.0,2.0,29.0,40.0,20.0,1022.0,28.0,8981.0,136.0
2755,23.0,2.0,3.0,8.0,0.0,1.0,14.0,15.0,45.0,20.0,67.0,6.0,42.0,140.0,59.0,244.0,99.0,115.0,109.0,49.0,19.0,46.0,5.0,35.0,107.0,40.0,939.0,64.0,9051.0,110.0
2804,15.0,2.0,3.0,6.0,33.0,1.0,0.0,41.0,123.0,443.0,48.0,4.0,22.0,150.0,7136.0,401.0,57.0,88.0,169.0,46.0,23.0,63.0,73.0,10.0,3385.0,55.0,1348.0,160.0,1238.0,96.0
2853,2.0,0.0,7.0,3.0,5.0,10597.0,18.0,25.0,86.0,338.0,1.0,42.0,26.0,6559.0,7152.0,16355.0,13275.0,62.0,170.0,34.0,82.0,825.0,88.0,13.0,3743.0,4.0,9111.0,104.0,1135.0,17588.0
2902,15.0,0.0,3844.0,1.0,4.0,5.0,28.0,33.0,42.0,8.0,76.0,3.0,23.0,6604.0,7069.0,16428.0,13236.0,70.0,317.0,48.0,19.0,110.0,7.0,279.0,68.0,12.0,403.0,57.0,154.0,51.0
2951,1.0,18.0,4.0,0.0,59.0,5.0,3.0,34.0,2.0,23.0,16.0,110.0,58.0,22.0,37.0,16457.0,12.0,9.0,10.0,41.0,53.0,13.0,106.0,15.0,52.0,13935.0,717.0,49.0,40.0,8.0
3000,0.0,2.0,1.0,5.0,9.0,11.0,22.0,23.0,12.0,27.0,48.0,75.0,19926.0,10.0,8.0,25.0,26.0,65.0,76.0,11885.0,7.0,19.0,117.0,20562.0,77.0,13913.0,8420.0,47.0,50.0,69.0
3049,0.0,3.0,1.0,53.0,4.0,5.0,9.0,26.0,2.0,285.0,7.0,74.0,19927.0,10.0,17.0,43.0,8.0,118.0,51.0,30.0,5091.0,6.0,58.0,20618.0,64.0,13902.0,149.0,54.0,12.0,24.0
3098,0.0,2.0,1.0,4.0,10.0,20.0,17.0,38.0,3.0,15096.0,5.0,24.0,19857.0,22.0,31.0,59.0,29.0,67.0,64.0,116.0,5835.0,6.0,178.0,34.0,3685.0,13893.0,21.0,90.0,138.0,42.0
3147,1.0,2.0,0.0,39.0,4.0,6.0,11.0,22.0,13.0,19.0,34.0,3.0,33.0,20.0,16.0,95.0,31.0,52.0,7.0,80.0,5790.0,21.0,101.0,9.0,50.0,13975.0,276.0,77.0,64.0,58.0
3196,0.0,1.0,17.0,6.0,41.0,56.0,10.0,30.0,2.0,15.0,3.0,17281.0,19870.0,4.0,38.0,100.0,42.0,31.0,36.0,7.0,6463.0,21.0,135.0,14.0,2738.0,13932.0,393.0,50.0,70.0,16.0
3245,1.0,22.0,0.0,5.0,2.0,35.0,16.0,40.0,4.0,230.0,58.0,7.0,19870.0,10.0,7110.0,55.0,17.0,13.0,73.0,3.0,987.0,39.0,195.0,68.0,108.0,13963.0,9083.0,80.0,81.0,29.0
3294,1.0,0.0,30.0,48.0,27.0,10780.0,3.0,19.0,9.0,12.0,68.0,4.0,92.0,34.0,11.0,60.0,18.0,70.0,47.0,94.0,6246.0,24.0,58.0,20591.0,32.0,5.0,300.0,116.0,1534.0,89.0
3343,0.0,2.0,18.0,15.0,8.0,21.0,6.0,20.0,4.0,48.0,10.0,98.0,26.0,1.0,19.0,40.0,13.0,17.0,3.0,74.0,29.0,16.0,78.0,20582.0,4061.0,112.0,104.0,44.0,5.0,89.0
3392,0.0,2.0,1.0,14.0,23.0,3.0,30.0,11.0,6.0,312.0,77.0,33.0,19869.0,13.0,32.0,47.0,28.0,22.0,5.0,82.0,5804.0,60.0,27.0,34.0,3630.0,13952.0,26.0,20470.0,9061.0,16.0
3441,0.0,1.0,6.0,15.0,5.0,3.0,26.0,17.0,4.0,13.0,32.0,10.0,18.0,96.0,56.0,48.0,2108.0,49.0,36.0,77.0,5810.0,16.0,8.0,136.0,127.0,41.0,9.0,72.0,11.0,66.0
3490,45.0,0.0,2.0,1.0,3.0,16.0,25.0,31.0,15.0,59.0,27.0,35.0,297.0,44.0,82.0,16451.0,13272.0,115.0,52.0,130.0,104.0,6.0,67.0,60.0,3648.0,8.0,46.0,102.0,34.0,49.0
3539,0.0,2.0,1.0,3.0,4.0,8.0,21.0,14.0,15.0,18.0,16.0,23.0,19708.0,31.0,1156.0,58.0,36.0,71.0,28.0,11028.0,46.0,6.0,5.0,2214.0,51.0,11.0,1349.0,68.0,33.0,39.0
3588,33.0,0.0,3.0,10.0,4.0,19.0,12.0,13.0,16.0,7.0,32.0,21.0,19874.0,110.0,52.0,24.0,13222.0,157.0,37.0,9900.0,1619.0,6.0,8.0,28.0,67.0,26.0,43.0,42.0,9032.0,98.0
3637,29.0,0.0,4.0,15.0,5.0,34.0,2.0,39.0,24.0,10.0,1.0,12.0,16.0,143.0,52.0,16336.0,13267.0,70.0,11.0,35.0,4940.0,36.0,163.0,20556.0,22.0,59.0,87.0,20470.0,9065.0,3.0
3686,37.0,1.0,0.0,33.0,4.0,3.0,30.0,17.0,12.0,7.0,28.0,20.0,21.0,39.0,31.0,83.0,13228.0,49.0,5.0,483.0,72.0,38.0,62.0,113.0,91.0,24.0,44.0,89.0,36.0,67.0
3735,3.0,0.0,2.0,4.0,15.0,28.0,22.0,16.0,1.0,14.0,43.0,35.0,19853.0,88.0,55.0,16348.0,12.0,13.0,7.0,9688.0,5741.0,20.0,118.0,70.0,47.0,32.0,64.0,1632.0,9043.0,53.0
3784,35.0,1.0,0.0,10.0,2.0,37.0,18.0,21.0,22.0,4.0,8.0,27.0,121.0,139.0,32.0,16364.0,13234.0,132.0,39.0,7.0,5782.0,15.0,11.0,71.0,2535.0,42.0,9060.0,79.0,9033.0,16.0
3833,4.0,0.0,3.0,44.0,9.0,29.0,2.0,32.0,23.0,11.0,27.0,8.0,19873.0,63.0,57.0,22.0,12.0,24.0,35.0,65.0,88.0,7.0,164.0,40.0,85.0,1.0,614.0,74.0,20.0,54.0
3882,30.0,0.0,1.0,2.0,5.0,24.0,22.0,16.0,31.0,9.0,15.0,3.0,19751.0,50.0,58.0,68.0,1223.0,46.0,35.0,40.0,5680.0,39.0,13.0,47.0,42.0,51.0,139.0,109.0,23.0,12.0
3931,0.0,1.0,2.0,5.0,32.0,40.0,11.0,13.0,17.0,8.0,4.0,36.0,22.0,27.0,10.0,21.0,15.0,42.0,44.0,66.0,20.0,9338.0,7.0,20340.0,43.0,35.0,149.0,73.0,9001.0,47.0
3980,0.0,1.0,52.0,4.0,3.0,5.0,18.0,23.0,30.0,12.0,24.0,32.0,1234.0,31.0,35.0,33.0,19.0,6.0,41.0,15.0,36.0,9357.0,7.0,66.0,54.0,10.0,83.0,89.0,9045.0,57.0
4029,0.0,1.0,5.0,18.0,2.0,22.0,3.0,25.0,24.0,14.0,12.0,7.0,8.0,54.0,42.0,37.0,13214.0,26.0,61.0,17.0,35.0,9313.0,13.0,69.0,43.0,29.0,98.0,20598.0,38.0,78.0
4078,0.0,1.0,4.0,9.0,11.0,10564.0,13.0,14.0,15.0,8.0,2.0,36.0,262.0,23.0,44.0,48.0,18.0,27.0,55.0,98.0,24.0,111.0,3.0,38.0,29.0,101.0,181.0,112.0,9003.0,218.0
4127,1.0,5.0,26.0,4.0,3.0,2.0,31.0,21.0,20.0,0.0,22.0,27.0,7.0,78.0,35.0,70.0,33.0,30.0,23.0,82.0,76.0,9359.0,6.0,20571.0,79.0,11.0,32.0,48.0,10.0,121.0
4176,0.0,1.0,32.0,31.0,14.0,27.0,3.0,13.0,12.0,6.0,2.0,50.0,4.0,16.0,36.0,85.0,23.0,22.0,55.0,49.0,61.0,30.0,97.0,35.0,113.0,43.0,8.0,82.0,385.0,45.0
4225,2.0,3.0,4.0,6.0,0.0,5.0,1.0,10.0,13.0,12.0,18.0,14.0,861.0,26.0,44.0,28.0,29.0,19.0,33.0,42.0,80.0,9322.0,7.0,20332.0,46.0,21.0,52.0,51.0,50.0,115.0
4274,2.0,0.0,3.0,5.0,4.0,36.0,9.0,12.0,22.0,8.0,21.0,27.0,19851.0,46.0,20.0,28.0,19.0,18.0,70.0,10.0,61.0,9355.0,111.0,31.0,90.0,26.0,50.0,114.0,9051.0,41.0
4323,0.0,2.0,1.0,3.0,40.0,10541.0,11.0,8.0,16.0,29.0,5.0,15.0,19883.0,33.0,67.0,28.0,23.0,36.0,74.0,17.0,20.0,43.0,61.0,52.0,38.0,41.0,18.0,75.0,175.0,145.0
4372,0.0,1.0,4.0,10.0,2.0,3.0,15.0,17.0,8.0,18.0,13.0,28.0,9.0,29.0,22.0,102.0,20.0,31.0,6.0,124.0,69.0,9284.0,50.0,16.0,85.0,5.0,330.0,25.0,30.0,153.0
4421,3.0,1.0,5.0,4.0,0.0,2.0,17.0,13.0,16.0,403.0,9.0,122.0,27.0,53.0,38.0,66.0,30.0,60.0,7.0,51.0,45.0,24.0,10.0,8.0,52.0,70.0,6.0,93.0,41.0,32.0
4470,1.0,0.0,2.0,15.0,3.0,10.0,24.0,18.0,13.0,220.0,5.0,500.0,19852.0,28.0,44.0,32.0,33.0,42.0,31.0,10010.0,12.0,21.0,91.0,66.0,50.0,52.0,58.0,78.0,6.0,80.0
4519,1.0,0.0,3.0,5.0,29.0,2.0,26.0,13.0,15.0,259.0,30.0,9.0,19880.0,69.0,14.0,48.0,13242.0,92.0,66.0,53.0,5718.0,36.0,78.0,88.0,43.0,1901.0,6.0,58.0,10.0,148.0
4568,19.0,3.0,4.0,15.0,8.0,1.0,28.0,10.0,21.0,9.0,37.0,145.0,30.0,52.0,13.0,72.0,134.0,59.0,11.0,80.0,75.0,41.0,194.0,40.0,25.0,51.0,70.0,120.0,140.0,79.0
4617,4.0,0.0,6.0,2.0,1.0,3.0,23.0,18.0,9.0,28.0,25.0,14.0,19852.0,81.0,43.0,106.0,74.0,5440.0,77.0,50.0,6390.0,12.0,15.0,46.0,61.0,68.0,41.0,54.0,11.0,69.0
4666,18.0,2.0,5.0,0.0,1.0,8.0,25.0,13.0,16.0,208.0,14.0,50.0,19855.0,30.0,60.0,41.0,61.0,57.0,29.0,71.0,5725.0,32.0,7.0,10.0,42.0,33.0,19.0,95.0,258.0,73.0
4715,0.0,2.0,3.0,24.0,5.0,12.0,35.0,15.0,16.0,28.0,57.0,137.0,1904.0,82.0,61.0,51.0,52.0,64.0,1.0,74.0,139.0,43.0,4.0,65.0,13.0,13874.0,48.0,47.0,388.0,107.0
4764,0.0,3.0,2.0,16.0,4.0,1.0,27.0,17.0,23.0,457.0,43.0,190.0,25.0,35.0,11.0,7.0,41.0,4823.0,14.0,56.0,53.0,13.0,8.0,28.0,1181.0,39.0,236.0,72.0,376.0,38.0
4813,1.0,4.0,2.0,6.0,0.0,3.0,61.0,14.0,7.0,34.0,25.0,92.0,11.0,47.0,26.0,56.0,62.0,5062.0,79.0,103.0,68.0,29.0,9.0,90.0,130.0,52.0,19.0,78.0,21.0,36.0
4862,2.0,3.0,6.0,12.0,5.0,0.0,1.0,15.0,17.0,24.0,28.0,75.0,19869.0,19.0,62.0,38.0,13238.0,5441.0,78.0,20.0,49.0,47.0,8.0,20579.0,37.0,77.0,34.0,112.0,13.0,53.0
