,OESOPHAGUS,KIDNEY,AERODIGESTIVE,PROSTATE,THYROID,PANCREAS,ENDOMETRIUM,PLEURA,SALIVARY,STOMACH,GANGLIA,LARGE_INTESTINE,OVARY,URINARY,LUNG,BONE,SOFT_TISSUE,HAEMATOPOIETIC,BILIARY,NERVOUS,BREAST,LIVER,SKIN
44,0.0,2.0,6.0,1.0,11.0,8.0,3.0,7.0,5.0,4.0,12.0,10.0,15.0,9.0,16.0,13.0,17.0,14.0,20.0,19.0,18.0,21.0,22.0
93,0.0,2.0,4.0,1.0,3.0,6.0,5.0,8.0,7.0,9.0,10.0,12.0,13.0,11.0,15.0,20.0,16.0,14.0,18.0,19.0,17.0,21.0,22.0
142,0.0,1.0,3.0,6.0,2.0,5.0,4.0,8.0,7.0,9.0,12.0,10.0,11.0,13.0,15.0,18.0,16.0,14.0,17.0,20.0,19.0,21.0,22.0
191,0.0,6.0,3.0,1.0,2.0,5.0,4.0,8.0,7.0,10.0,12.0,9.0,11.0,15.0,19.0,14.0,16.0,13.0,18.0,20.0,17.0,21.0,22.0
240,0.0,2.0,4.0,1.0,3.0,8.0,5.0,7.0,6.0,9.0,13.0,10.0,11.0,14.0,15.0,16.0,12.0,17.0,19.0,20.0,18.0,21.0,22.0
289,0.0,2.0,5.0,3.0,1.0,8.0,4.0,7.0,6.0,9.0,13.0,10.0,11.0,14.0,17.0,16.0,20.0,12.0,19.0,15.0,18.0,21.0,22.0
338,0.0,5.0,3.0,1.0,4.0,6.0,2.0,8.0,7.0,9.0,10.0,12.0,14.0,11.0,20.0,15.0,16.0,13.0,17.0,18.0,19.0,21.0,22.0
387,0.0,4.0,2.0,1.0,3.0,6.0,5.0,12.0,7.0,8.0,14.0,11.0,10.0,15.0,18.0,9.0,13.0,16.0,17.0,20.0,19.0,21.0,22.0
436,0.0,6.0,3.0,1.0,2.0,5.0,4.0,7.0,10.0,8.0,11.0,12.0,13.0,9.0,15.0,16.0,17.0,14.0,19.0,18.0,20.0,21.0,22.0
485,0.0,3.0,2.0,5.0,4.0,8.0,9.0,6.0,7.0,10.0,13.0,12.0,1.0,14.0,21.0,17.0,18.0,15.0,11.0,16.0,20.0,19.0,22.0
534,1.0,0.0,4.0,3.0,5.0,2.0,7.0,6.0,8.0,9.0,11.0,13.0,10.0,14.0,16.0,18.0,17.0,15.0,12.0,20.0,21.0,19.0,22.0
583,2.0,1.0,5.0,3.0,4.0,0.0,7.0,6.0,8.0,9.0,13.0,10.0,11.0,15.0,16.0,14.0,12.0,19.0,17.0,20.0,18.0,21.0,22.0
632,0.0,2.0,5.0,3.0,4.0,1.0,6.0,7.0,9.0,8.0,11.0,13.0,10.0,12.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
681,6.0,2.0,8.0,1.0,3.0,0.0,5.0,4.0,9.0,10.0,7.0,13.0,12.0,11.0,15.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
730,1.0,3.0,5.0,2.0,4.0,0.0,6.0,11.0,7.0,8.0,9.0,15.0,10.0,12.0,14.0,13.0,16.0,17.0,18.0,20.0,19.0,21.0,22.0
