,TP53_MUT,WNK1_MUT,KANK1_AMP,GALNT13_DEL,PRB1_AMP,PKHD1_MUT,EP300_MUT,DPP6_DEL,ZNF705G_AMP,RPTOR_AMP,SLC7A5P2_DEL,NBPF4_DEL,OR2L13_MUT,GRIN2B_MUT,UGT2B28_DEL,CWF19L2_DEL,CSMD3_MUT,TTN_MUT,FAM106CP_AMP,PCCB_DEL,CCDC144A_AMP,CCND2_DEL,RSU1_DEL,APOBEC3B_DEL,USP32P1_AMP,LOC100271836_DEL,PTPRD_DEL,NRAS_MUT,APOBEC3A_B_DEL,NIN_MUT
31,0.0,11.0,25.0,1.0,24.0,34.0,65.0,3.0,18.0,5.0,38.0,45.0,269.0,110.0,41.0,47.0,37.0,36.0,23.0,27.0,22.0,33.0,461.0,148.0,20.0,141.0,31.0,226.0,119.0,193.0
80,0.0,7.0,2.0,9.0,113.0,82.0,29.0,50.0,135.0,6.0,3.0,5.0,151.0,342.0,353.0,208.0,54.0,96.0,191.0,8.0,192.0,31.0,256.0,4.0,173.0,14.0,30.0,172.0,1.0,80.0
129,0.0,1.0,6.0,19.0,33.0,15.0,18.0,7.0,5.0,10.0,13.0,8.0,271.0,25.0,37.0,20.0,31.0,657.0,2.0,28.0,3.0,82.0,95.0,11.0,4.0,36.0,52.0,235.0,14.0,30.0
178,0.0,7.0,23.0,8.0,62.0,74.0,6.0,3.0,4.0,5.0,29.0,37.0,349.0,9.0,22.0,12.0,1.0,17.0,14.0,10.0,13.0,30.0,129.0,21.0,16.0,167.0,119.0,142.0,18.0,77.0
227,0.0,8.0,2.0,52.0,90.0,101.0,11.0,4.0,27.0,59.0,81.0,9.0,1265.0,36.0,15.0,33.0,3.0,91.0,106.0,113.0,107.0,69.0,95.0,39.0,110.0,325.0,654.0,419.0,28.0,226.0
276,0.0,5.0,43.0,15.0,52.0,84.0,2.0,11.0,1.0,4.0,17.0,3.0,401.0,25.0,19.0,23.0,16.0,14.0,8.0,13.0,9.0,75.0,95.0,24.0,10.0,56.0,164.0,111.0,12.0,48.0
325,0.0,1.0,55.0,4.0,112.0,42.0,54.0,25.0,21.0,24.0,86.0,49.0,458.0,3.0,5.0,85.0,10.0,140.0,66.0,190.0,67.0,669.0,120.0,96.0,53.0,309.0,716.0,289.0,125.0,602.0
374,0.0,3.0,5.0,7.0,85.0,11.0,154.0,2.0,8.0,13.0,48.0,6.0,476.0,46.0,56.0,15.0,14.0,115.0,36.0,9.0,37.0,61.0,71.0,29.0,35.0,57.0,119.0,130.0,28.0,88.0
423,0.0,9.0,6.0,24.0,34.0,13.0,15.0,16.0,12.0,17.0,51.0,10.0,100.0,11.0,18.0,14.0,23.0,2.0,3.0,20.0,4.0,33.0,83.0,60.0,5.0,130.0,170.0,458.0,97.0,46.0
472,0.0,1.0,147.0,21.0,34.0,8.0,5.0,51.0,6.0,23.0,85.0,7.0,112.0,3.0,16.0,13.0,2.0,12.0,25.0,57.0,24.0,128.0,54.0,92.0,20.0,296.0,736.0,277.0,192.0,60.0
521,9.0,2.0,2737.0,14.0,20.0,31.0,6.0,1.0,4.0,7.0,0.0,29.0,17.0,42.0,118.0,5.0,62.0,18.0,215.0,48.0,216.0,38.0,36.0,58.0,73.0,3.0,11.0,47.0,162.0,26.0
570,0.0,2.0,2607.0,1.0,12.0,45.0,4.0,21.0,24.0,7.0,3.0,20.0,101.0,41.0,184.0,19.0,154.0,6.0,51.0,46.0,52.0,15.0,17.0,26.0,18.0,9.0,5.0,10.0,38.0,76.0
619,1.0,2.0,312.0,4.0,34.0,10.0,3.0,0.0,29.0,64.0,5.0,450.0,30.0,18.0,53.0,13.0,118.0,116.0,33.0,6.0,32.0,69.0,19.0,7.0,11.0,16.0,24.0,20.0,9.0,28.0
668,2.0,0.0,37.0,4.0,6.0,13.0,34.0,1.0,82.0,27.0,7.0,9.0,14.0,133.0,113.0,11.0,1149.0,47.0,30.0,35.0,31.0,19.0,18.0,12.0,5.0,49.0,3.0,52.0,17.0,44.0
717,0.0,1.0,757.0,5.0,168.0,17.0,2.0,3.0,62.0,22.0,26.0,18.0,119.0,124.0,2484.0,29.0,30.0,31.0,35.0,6.0,34.0,39.0,14.0,11.0,16.0,75.0,7.0,15.0,19.0,21.0
766,3.0,0.0,103.0,10.0,9.0,16.0,4.0,1.0,14.0,42.0,7.0,122.0,168.0,53.0,458.0,158.0,48.0,2.0,144.0,8.0,143.0,61.0,30.0,60.0,36.0,13.0,6.0,166.0,161.0,11.0
815,2.0,4.0,578.0,30.0,36.0,32.0,1.0,0.0,101.0,17.0,3.0,75.0,16.0,60.0,55.0,21.0,125.0,7.0,460.0,6.0,461.0,25.0,38.0,8.0,108.0,10.0,5.0,12.0,11.0,69.0
864,0.0,8.0,1843.0,10.0,21.0,13.0,4.0,1.0,2.0,55.0,3.0,34.0,15.0,68.0,1086.0,137.0,115.0,6.0,52.0,7.0,51.0,78.0,16.0,89.0,53.0,5.0,19.0,12.0,24.0,59.0
913,4.0,0.0,245.0,2.0,26.0,21.0,12.0,1.0,651.0,60.0,3.0,50.0,59.0,22.0,628.0,14.0,35.0,11.0,74.0,40.0,73.0,20.0,54.0,47.0,25.0,13.0,17.0,28.0,58.0,15.0
962,1.0,0.0,13172.0,28.0,14.0,19.0,15.0,4.0,12.0,37.0,2.0,24.0,9.0,18.0,66.0,29.0,191.0,112.0,34.0,46.0,33.0,8.0,27.0,6.0,17.0,5.0,3.0,90.0,16.0,13.0
1011,0.0,2.0,1.0,8.0,16.0,46.0,5.0,23.0,26.0,22.0,20.0,3.0,6.0,7.0,936.0,52.0,41.0,43.0,218.0,11.0,217.0,10.0,36.0,18.0,864.0,57.0,45.0,25.0,4.0,19.0
1060,1.0,2.0,0.0,4.0,3.0,24.0,22.0,70.0,26.0,8.0,43.0,30.0,6.0,32.0,1166.0,27.0,51.0,74.0,307.0,9.0,306.0,25.0,79.0,369.0,360.0,213.0,455.0,50.0,141.0,15.0
1109,0.0,1.0,4.0,9.0,17.0,93.0,23.0,27.0,41.0,6.0,3.0,7.0,19.0,107.0,498.0,256.0,730.0,66.0,67.0,18.0,68.0,26.0,29.0,46.0,30.0,12.0,2.0,32.0,11.0,5.0
