,ELF3,WASL,AGAP2,DOCK1,HGF,PERP,PPIC,CARD8,ORC1,TTC31,KIF2A,S100A16,NTN4,C3orf52,TFAP2A,TRGV5P,C16orf54,HCFC1,COBLL1,B4GALNT4,ST6GALNAC2,HELB,ITPRIPL1,CXCL16,SLC39A7,STARD13,LINC00511,SAMSN1,BCAM,JRK
11,16.0,47.0,0.0,1.0,6.0,25.0,7.0,31.0,104.0,694.0,67.0,80.0,37.0,85.0,53.0,79.0,5.0,8880.0,28.0,61.0,70.0,18.0,1393.0,68.0,100.0,73.0,105.0,76.0,7783.0,13.0
60,628.0,1.0,0.0,3.0,23.0,11.0,5.0,53.0,35.0,4.0,73.0,12.0,31.0,33.0,34.0,57.0,32.0,124.0,2.0,19802.0,171.0,13.0,16930.0,87.0,17.0,6747.0,81.0,68.0,45.0,26.0
109,1.0,36.0,4.0,5.0,12.0,7.0,10.0,64.0,15.0,2.0,30.0,56.0,22.0,11.0,20807.0,116.0,33.0,158.0,3.0,19665.0,253.0,148.0,16951.0,106.0,43.0,201.0,53.0,88.0,68.0,18025.0
158,0.0,32.0,2.0,7.0,50.0,14.0,5.0,3.0,27.0,12.0,4.0,15581.0,28.0,1.0,24.0,61.0,40.0,23.0,89.0,355.0,133.0,19.0,67.0,30.0,6.0,5308.0,74.0,60.0,34.0,2509.0
207,224.0,40.0,0.0,6.0,22576.0,13.0,9.0,41.0,57.0,37.0,45.0,15606.0,26.0,12994.0,47.0,123.0,28.0,8819.0,10.0,19688.0,11.0,14.0,66.0,95.0,21036.0,6059.0,17.0,12.0,16.0,7.0
256,9.0,6.0,12.0,11.0,127.0,21.0,14.0,54.0,10.0,4.0,36.0,83.0,18.0,143.0,56.0,52.0,1.0,5316.0,8.0,5.0,136.0,80.0,1738.0,67.0,37.0,6506.0,81.0,53.0,7451.0,7.0
305,7.0,11.0,0.0,5.0,4.0,2.0,14.0,22.0,828.0,19.0,597.0,15574.0,30.0,12870.0,20815.0,43.0,34.0,49.0,50.0,40.0,9.0,6574.0,97.0,27.0,28.0,386.0,35.0,48.0,7813.0,17978.0
354,160.0,29.0,0.0,101.0,2.0,25.0,12.0,9525.0,27.0,17.0,87.0,69.0,3.0,128.0,1405.0,22098.0,70.0,157.0,13209.0,19692.0,99.0,51.0,237.0,58.0,47.0,100.0,68.0,40.0,86.0,17957.0
403,118.0,4.0,2.0,3.0,1419.0,10.0,9.0,18.0,48.0,42.0,87.0,8.0,43.0,29.0,62.0,84.0,35.0,41.0,16.0,38.0,11839.0,11.0,16989.0,56.0,33.0,5.0,97.0,85.0,7921.0,18101.0
452,16.0,2.0,11.0,9.0,1.0,7.0,3.0,13.0,31.0,22.0,64.0,15581.0,45.0,19.0,18.0,115.0,39.0,262.0,85.0,19687.0,6.0,59.0,107.0,198.0,25.0,113.0,75.0,37.0,10.0,145.0
501,0.0,9.0,12.0,3.0,1.0,26.0,5.0,13.0,43.0,39.0,21675.0,56.0,38.0,137.0,20809.0,47.0,102.0,28.0,13206.0,14.0,23.0,68.0,10.0,78.0,84.0,92.0,65.0,51.0,1365.0,18075.0
550,0.0,7.0,14.0,161.0,60.0,17.0,23.0,34.0,41.0,111.0,38.0,51.0,123.0,3.0,20745.0,45.0,31.0,21.0,52.0,379.0,29.0,37.0,13.0,183.0,164.0,9.0,100.0,7503.0,2.0,17967.0
599,2.0,1.0,13.0,3.0,8.0,18.0,5.0,20.0,77.0,35.0,43.0,37.0,55.0,31.0,15.0,2621.0,84.0,34.0,13235.0,19689.0,29.0,129.0,91.0,69.0,62.0,177.0,41.0,65.0,12.0,114.0
648,0.0,6.0,3.0,4.0,1.0,8.0,24.0,17.0,147.0,120.0,10.0,21.0,2.0,5.0,49.0,56.0,73.0,14.0,868.0,19682.0,77.0,32.0,26.0,47.0,21022.0,5241.0,71.0,7482.0,23.0,17952.0
697,0.0,4.0,20.0,19714.0,11.0,28.0,32.0,58.0,2.0,17263.0,95.0,73.0,184.0,47.0,53.0,84.0,10657.0,66.0,13250.0,24.0,9.0,94.0,176.0,132.0,21145.0,191.0,35.0,7494.0,2199.0,18078.0
746,0.0,54.0,23.0,57.0,117.0,12.0,29.0,46.0,87.0,30.0,21613.0,97.0,45.0,5.0,63.0,51.0,61.0,15.0,652.0,19667.0,67.0,32.0,2.0,102.0,33.0,196.0,56.0,7540.0,10.0,17975.0
795,2.0,16.0,9.0,124.0,17.0,15.0,4.0,71.0,76.0,324.0,65.0,56.0,109.0,12.0,87.0,72.0,219.0,19.0,249.0,19698.0,82.0,98.0,119.0,145.0,21040.0,80.0,89.0,7502.0,8.0,189.0
844,0.0,16.0,14.0,83.0,1.0,22.0,25.0,28.0,6.0,218.0,19.0,59.0,114.0,13.0,84.0,39.0,40.0,96.0,13251.0,19694.0,3.0,60.0,20.0,24.0,97.0,49.0,12164.0,45.0,2.0,229.0
893,3.0,23.0,9.0,91.0,46.0,13.0,8.0,35.0,84.0,78.0,21.0,26.0,16.0,1.0,20770.0,47.0,49.0,48.0,757.0,19678.0,14.0,59.0,140.0,1330.0,38.0,161.0,129.0,30.0,20.0,189.0
942,133.0,17.0,1.0,212.0,5.0,10.0,3.0,13.0,15446.0,744.0,63.0,61.0,5953.0,29.0,20808.0,20.0,57.0,88.0,13235.0,19733.0,12.0,470.0,16992.0,10931.0,21024.0,60.0,100.0,121.0,6.0,16.0
991,1.0,4.0,13.0,38.0,8.0,12.0,5.0,18.0,34.0,0.0,1230.0,41.0,68.0,117.0,15496.0,20.0,105.0,51.0,136.0,20587.0,10865.0,130.0,63.0,79.0,14559.0,14.0,25.0,59.0,3.0,98.0
1040,0.0,19.0,10.0,64.0,1.0,5.0,4.0,16.0,11.0,138.0,21625.0,79.0,55.0,45.0,7.0,66.0,289.0,36.0,6.0,20.0,8417.0,58.0,98.0,71.0,21026.0,8.0,92.0,67.0,9801.0,9.0
1089,0.0,3.0,12.0,93.0,6.0,14.0,91.0,25.0,67.0,58.0,56.0,15583.0,85.0,41.0,22.0,78.0,263.0,51.0,43.0,19696.0,54.0,6600.0,144.0,108.0,115.0,1.0,113.0,212.0,7.0,13.0
1138,3.0,9.0,0.0,6.0,2.0,17.0,32.0,65.0,12.0,36.0,118.0,15598.0,14.0,46.0,70.0,22084.0,47.0,63.0,195.0,27.0,116.0,147.0,17015.0,100.0,21027.0,1.0,54.0,93.0,7803.0,22.0
1187,0.0,8.0,13.0,98.0,3.0,7.0,40.0,10.0,104.0,28.0,110.0,73.0,114.0,59.0,20826.0,86.0,23.0,54.0,39.0,44.0,11851.0,5760.0,15.0,10958.0,21048.0,5.0,80.0,66.0,6.0,33.0
1236,0.0,30.0,12.0,11.0,2.0,20.0,28.0,36.0,14.0,57.0,21683.0,87.0,27.0,22.0,51.0,81.0,142.0,63.0,3.0,371.0,127.0,39.0,59.0,2816.0,53.0,1.0,8.0,79.0,9.0,10.0
1285,2.0,7.0,3.0,165.0,21.0,19.0,33.0,51.0,11.0,20.0,15.0,15563.0,75.0,54.0,36.0,74.0,10654.0,61.0,16.0,19793.0,180.0,56.0,49.0,10956.0,21015.0,0.0,66.0,109.0,8.0,68.0
1334,0.0,5.0,11.0,10.0,1.0,20.0,14.0,15.0,73.0,44.0,13.0,43.0,16.0,4.0,27.0,45.0,39.0,89.0,2586.0,1182.0,21.0,63.0,94.0,10913.0,93.0,2.0,81.0,38.0,6.0,17981.0
1383,0.0,6.0,5.0,86.0,7.0,13.0,10.0,43.0,18.0,68.0,25.0,50.0,39.0,32.0,189.0,55.0,37.0,30.0,2.0,12.0,52.0,170.0,36.0,81.0,2659.0,1.0,11.0,19.0,1152.0,4.0
1432,188.0,27.0,18.0,1.0,0.0,19.0,17.0,12.0,58.0,3.0,69.0,44.0,28.0,7.0,20693.0,71.0,294.0,86.0,13216.0,19787.0,109.0,60.0,77.0,167.0,21028.0,11.0,65.0,229.0,5.0,26.0
1481,2.0,39.0,11.0,144.0,62.0,34.0,15.0,182.0,10.0,17128.0,21673.0,28.0,95.0,72.0,52.0,90.0,10705.0,13.0,3.0,24.0,97.0,5906.0,6.0,10951.0,21087.0,5.0,1.0,7723.0,7802.0,7.0
1530,1.0,20.0,10.0,122.0,99.0,30.0,4.0,64.0,8.0,9.0,18.0,77.0,90.0,188.0,49.0,79.0,10719.0,5.0,96.0,17.0,13.0,5672.0,150.0,101.0,21058.0,297.0,224.0,38.0,991.0,36.0
1579,3.0,1.0,2.0,62.0,95.0,9.0,33.0,133.0,24.0,17249.0,74.0,55.0,51.0,12981.0,84.0,58.0,10655.0,8925.0,13180.0,6.0,11936.0,6536.0,175.0,87.0,20.0,0.0,97.0,110.0,7793.0,11.0
1628,0.0,24.0,8.0,90.0,6.0,40.0,25.0,71.0,9.0,955.0,34.0,41.0,51.0,42.0,2.0,61.0,216.0,26.0,13241.0,48.0,27.0,4834.0,28.0,143.0,65.0,127.0,79.0,33.0,7828.0,20.0
1677,0.0,13.0,7.0,101.0,2.0,14.0,18.0,63.0,12.0,82.0,37.0,41.0,35.0,12949.0,26.0,40.0,3249.0,8974.0,45.0,17.0,74.0,6534.0,81.0,96.0,78.0,10.0,125.0,85.0,7920.0,5.0
1726,8.0,0.0,17.0,19710.0,6.0,33.0,20.0,54.0,1.0,182.0,40.0,14.0,190.0,12870.0,5.0,11.0,266.0,63.0,13253.0,19.0,4.0,1037.0,166.0,120.0,50.0,97.0,12096.0,7736.0,69.0,1794.0
1775,4.0,14.0,5.0,10.0,15.0,35.0,28.0,69.0,19.0,58.0,56.0,59.0,37.0,45.0,81.0,50.0,60.0,92.0,11.0,9.0,8.0,6630.0,17.0,105.0,21054.0,0.0,94.0,91.0,7809.0,73.0
1824,8.0,21.0,11.0,153.0,17.0,31.0,24.0,79.0,35.0,60.0,4.0,95.0,123.0,128.0,20769.0,81.0,16.0,20.0,9.0,15.0,3.0,6516.0,96.0,206.0,2726.0,5765.0,213.0,125.0,7761.0,296.0
1873,511.0,3.0,4.0,100.0,79.0,13.0,20.0,76.0,16.0,41.0,2.0,62.0,61.0,24.0,19.0,38.0,247.0,30.0,45.0,26.0,6.0,6528.0,15.0,97.0,21014.0,5846.0,31.0,21.0,7766.0,1564.0
1922,0.0,32.0,5.0,132.0,1.0,24.0,27.0,100.0,18.0,59.0,102.0,58.0,112.0,139.0,20808.0,29.0,425.0,39.0,45.0,10.0,141.0,6592.0,148.0,10975.0,38.0,33.0,190.0,7515.0,485.0,34.0
1971,20.0,19.0,10.0,55.0,13.0,7.0,2.0,9636.0,28.0,27.0,15.0,6.0,18.0,47.0,8.0,36.0,77.0,6094.0,58.0,16.0,26.0,31.0,3.0,57.0,12.0,0.0,80.0,9079.0,9547.0,24.0
2020,0.0,3.0,14.0,2.0,19.0,17.0,15.0,21.0,10.0,6.0,31.0,9.0,106.0,98.0,20695.0,23.0,39.0,6050.0,30.0,47.0,74.0,171.0,22.0,154.0,32.0,69.0,42.0,43.0,9610.0,109.0
2069,4.0,3.0,8.0,5.0,22585.0,17.0,14.0,16.0,51.0,33.0,2.0,35.0,112.0,138.0,0.0,23.0,73.0,99.0,27.0,43.0,100.0,13.0,85.0,36.0,47.0,41.0,28.0,40.0,7841.0,119.0
