,GABA,alpha-hydroxybutyrate,phosphocreatine,serine,alpha-glycerophosphocholine,alpha-glycerophosphate,pyroglutamic acid,niacinamide,C16:0 LPE,C22:6 LPE,isocitrate,palmitoylcarnitine,UMP,C36:4 PC-B,valerylcarnitine,C18:0 LPC,adenosine,asparagine,SDMA/ADMA,urate,3-phosphoglycerate,NADP,creatinine,inositol,hypoxanthine,C56:5 TAG,C34:4 PC,cytidine,pantothenate,serotonin
22,0.0,6.0,1.0,13.0,4.0,3.0,8.0,15.0,9.0,7.0,2.0,18.0,11.0,24.0,23.0,20.0,27.0,29.0,17.0,12.0,10.0,19.0,25.0,5.0,14.0,16.0,46.0,39.0,33.0,35.0
71,5.0,0.0,1.0,4.0,21.0,15.0,25.0,3.0,8.0,2.0,9.0,18.0,6.0,13.0,23.0,12.0,11.0,27.0,24.0,19.0,17.0,32.0,7.0,22.0,20.0,10.0,41.0,35.0,26.0,37.0
120,0.0,5.0,1.0,19.0,6.0,7.0,28.0,25.0,2.0,10.0,3.0,38.0,26.0,12.0,34.0,30.0,4.0,13.0,33.0,15.0,22.0,31.0,45.0,9.0,8.0,24.0,42.0,27.0,32.0,16.0
169,0.0,2.0,3.0,9.0,12.0,1.0,11.0,7.0,22.0,6.0,4.0,17.0,10.0,18.0,8.0,19.0,14.0,28.0,13.0,5.0,24.0,38.0,26.0,29.0,23.0,32.0,36.0,43.0,40.0,31.0
218,1.0,2.0,0.0,11.0,4.0,7.0,6.0,3.0,5.0,14.0,12.0,21.0,27.0,13.0,8.0,20.0,15.0,24.0,19.0,10.0,17.0,28.0,25.0,22.0,9.0,32.0,39.0,26.0,34.0,16.0
267,0.0,6.0,2.0,11.0,3.0,1.0,20.0,9.0,21.0,16.0,4.0,23.0,8.0,7.0,24.0,31.0,19.0,15.0,12.0,27.0,10.0,30.0,14.0,13.0,22.0,5.0,52.0,48.0,25.0,33.0
316,1.0,12.0,2.0,0.0,3.0,5.0,8.0,15.0,10.0,9.0,14.0,29.0,18.0,21.0,22.0,17.0,23.0,7.0,16.0,6.0,13.0,20.0,30.0,24.0,4.0,19.0,34.0,26.0,28.0,32.0
365,0.0,3.0,1.0,5.0,6.0,10.0,15.0,8.0,2.0,4.0,7.0,12.0,17.0,11.0,9.0,31.0,14.0,20.0,19.0,18.0,30.0,32.0,23.0,13.0,21.0,28.0,44.0,27.0,25.0,35.0
414,0.0,3.0,4.0,7.0,2.0,1.0,18.0,14.0,13.0,5.0,11.0,16.0,15.0,10.0,30.0,24.0,22.0,12.0,19.0,21.0,26.0,9.0,20.0,6.0,8.0,17.0,33.0,34.0,37.0,27.0
463,0.0,6.0,7.0,8.0,1.0,9.0,10.0,4.0,5.0,16.0,30.0,23.0,35.0,15.0,12.0,11.0,2.0,19.0,25.0,24.0,33.0,22.0,29.0,14.0,32.0,20.0,61.0,28.0,13.0,49.0
