,Akt_pS473,AR,CDK1,c-Jun_pS73,MEK1_pS217_S221,TIGAR,HER3,PRAS40_pT246,Syk,Acetyl-a-Tubulin (Lys40),FRA1,Rab25,Src_pY416,E-Cadherin,JNK2,p70S6K_pT389,PKC-pan_BetaII_pS660,Heregulin,Src,MIG-6,CD49b,SHP-2_pY542,Claudin-7,TFRC,Smad3,STAT5-alpha,VHL,RBM15,Bax,Gab2
4,0.0,1.0,7.0,9.0,4.0,2.0,14.0,11.0,21.0,8.0,3.0,26.0,22.0,6.0,52.0,18.0,35.0,10.0,15.0,38.0,51.0,109.0,12.0,44.0,5.0,96.0,54.0,90.0,30.0,53.0
53,0.0,5.0,7.0,2.0,1.0,6.0,23.0,10.0,3.0,12.0,4.0,9.0,17.0,49.0,48.0,13.0,24.0,25.0,33.0,14.0,75.0,16.0,27.0,73.0,15.0,53.0,29.0,45.0,18.0,69.0
102,0.0,6.0,2.0,5.0,4.0,3.0,1.0,21.0,12.0,25.0,38.0,7.0,10.0,27.0,11.0,56.0,103.0,9.0,30.0,93.0,54.0,48.0,8.0,43.0,26.0,65.0,77.0,39.0,24.0,18.0
151,0.0,1.0,4.0,11.0,6.0,2.0,7.0,3.0,14.0,12.0,8.0,45.0,34.0,15.0,39.0,18.0,20.0,5.0,25.0,30.0,66.0,19.0,31.0,81.0,10.0,38.0,48.0,49.0,58.0,78.0
200,0.0,3.0,14.0,1.0,8.0,5.0,2.0,6.0,4.0,26.0,102.0,15.0,11.0,17.0,24.0,27.0,13.0,9.0,63.0,115.0,22.0,28.0,20.0,88.0,16.0,48.0,18.0,10.0,19.0,96.0
249,0.0,2.0,4.0,5.0,1.0,3.0,7.0,6.0,10.0,16.0,45.0,13.0,8.0,31.0,17.0,19.0,33.0,14.0,59.0,24.0,126.0,55.0,44.0,129.0,28.0,75.0,12.0,9.0,27.0,49.0
298,0.0,6.0,4.0,3.0,1.0,5.0,7.0,2.0,8.0,15.0,9.0,34.0,18.0,10.0,60.0,29.0,42.0,45.0,37.0,11.0,35.0,21.0,24.0,58.0,25.0,61.0,26.0,17.0,53.0,98.0
347,0.0,4.0,2.0,7.0,6.0,3.0,5.0,1.0,43.0,33.0,9.0,22.0,10.0,50.0,21.0,11.0,14.0,18.0,49.0,17.0,71.0,56.0,30.0,76.0,12.0,34.0,16.0,39.0,28.0,55.0
396,0.0,4.0,1.0,8.0,3.0,2.0,6.0,5.0,9.0,45.0,31.0,13.0,35.0,7.0,19.0,22.0,18.0,17.0,10.0,28.0,34.0,30.0,24.0,87.0,12.0,68.0,36.0,33.0,55.0,41.0
445,0.0,3.0,1.0,11.0,10.0,2.0,4.0,7.0,15.0,45.0,22.0,25.0,55.0,5.0,51.0,14.0,52.0,27.0,20.0,8.0,18.0,32.0,6.0,91.0,16.0,30.0,29.0,21.0,72.0,34.0
494,0.0,1.0,11.0,5.0,3.0,8.0,2.0,17.0,9.0,13.0,14.0,7.0,43.0,6.0,26.0,10.0,149.0,15.0,4.0,84.0,22.0,16.0,25.0,127.0,39.0,12.0,105.0,50.0,19.0,32.0
543,0.0,5.0,4.0,7.0,1.0,6.0,19.0,34.0,2.0,9.0,14.0,8.0,3.0,11.0,16.0,27.0,52.0,26.0,30.0,18.0,53.0,73.0,13.0,37.0,68.0,23.0,38.0,43.0,28.0,120.0
592,0.0,1.0,10.0,11.0,4.0,3.0,9.0,5.0,2.0,16.0,8.0,6.0,12.0,34.0,7.0,28.0,18.0,24.0,19.0,41.0,159.0,75.0,74.0,45.0,53.0,26.0,23.0,48.0,57.0,22.0
641,0.0,9.0,8.0,14.0,5.0,3.0,13.0,6.0,7.0,4.0,44.0,1.0,12.0,2.0,28.0,24.0,22.0,27.0,20.0,95.0,30.0,16.0,11.0,64.0,105.0,57.0,17.0,77.0,68.0,15.0
690,0.0,6.0,12.0,13.0,1.0,4.0,5.0,17.0,2.0,31.0,11.0,8.0,3.0,15.0,7.0,30.0,43.0,25.0,9.0,48.0,110.0,23.0,24.0,73.0,26.0,33.0,37.0,82.0,129.0,59.0
739,0.0,2.0,11.0,32.0,3.0,4.0,26.0,16.0,9.0,39.0,1.0,33.0,7.0,23.0,12.0,8.0,19.0,5.0,29.0,35.0,79.0,95.0,14.0,43.0,53.0,50.0,21.0,58.0,31.0,80.0
788,0.0,1.0,5.0,7.0,2.0,6.0,3.0,8.0,9.0,21.0,24.0,13.0,4.0,17.0,14.0,15.0,42.0,12.0,28.0,67.0,153.0,50.0,88.0,44.0,103.0,10.0,48.0,146.0,40.0,18.0
837,0.0,1.0,6.0,10.0,4.0,7.0,27.0,23.0,2.0,33.0,17.0,21.0,8.0,11.0,19.0,26.0,20.0,28.0,5.0,30.0,136.0,64.0,3.0,15.0,34.0,32.0,29.0,12.0,37.0,43.0
886,0.0,1.0,4.0,7.0,2.0,5.0,11.0,23.0,52.0,13.0,19.0,40.0,3.0,8.0,33.0,10.0,64.0,27.0,15.0,41.0,54.0,18.0,140.0,58.0,29.0,17.0,38.0,50.0,84.0,59.0
935,0.0,8.0,2.0,3.0,1.0,4.0,12.0,5.0,13.0,10.0,29.0,11.0,7.0,6.0,92.0,16.0,24.0,47.0,9.0,21.0,33.0,22.0,54.0,148.0,80.0,18.0,57.0,107.0,90.0,56.0
984,0.0,4.0,3.0,1.0,10.0,8.0,6.0,7.0,26.0,15.0,2.0,72.0,13.0,37.0,24.0,5.0,16.0,75.0,9.0,98.0,58.0,29.0,100.0,21.0,35.0,25.0,23.0,51.0,63.0,31.0
1033,0.0,1.0,3.0,10.0,8.0,2.0,5.0,21.0,31.0,9.0,14.0,30.0,11.0,49.0,27.0,12.0,18.0,6.0,4.0,13.0,33.0,17.0,135.0,7.0,45.0,28.0,26.0,35.0,61.0,71.0
