,hsa-miR-483-3p,hsa-miR-125a-3p,hsa-miR-934,hsa-miR-744,hsa-miR-485-3p,hsa-miR-582-5p,hsa-miR-10b,hsa-miR-1977,hsa-miR-142-5p,hsa-miR-124,hsa-miR-764,hsa-miR-628-5p,hsa-miR-92a,hsa-miR-590-5p,hsa-miR-1976,hsa-miR-223,hsa-miR-34a,ebv-miR-BART2-5p,hsa-miR-150,hsa-miR-555,hsa-miR-579,hsa-miR-623,hsa-miR-550,hsa-miR-591,hsa-miR-1259,hsa-miR-581,hsa-miR-887,hsa-miR-1979,hsa-miR-199b-5p,hsa-miR-921
4182,29.0,1.0,12.0,0.0,76.0,86.0,18.0,13.0,9.0,88.0,4.0,37.0,31.0,20.0,14.0,22.0,5.0,3.0,33.0,25.0,6.0,30.0,126.0,52.0,41.0,16.0,2.0,7.0,19.0,49.0
4231,13.0,1.0,3.0,0.0,44.0,21.0,8.0,58.0,50.0,64.0,10.0,25.0,66.0,6.0,48.0,5.0,46.0,53.0,24.0,45.0,12.0,68.0,14.0,41.0,81.0,11.0,79.0,32.0,33.0,57.0
4280,5.0,1.0,3.0,0.0,17.0,14.0,31.0,18.0,16.0,23.0,35.0,41.0,53.0,54.0,19.0,7.0,34.0,28.0,40.0,12.0,52.0,37.0,78.0,24.0,421.0,15.0,76.0,50.0,30.0,26.0
4329,47.0,2.0,3.0,0.0,33.0,19.0,74.0,11.0,8.0,54.0,14.0,26.0,30.0,40.0,25.0,9.0,1.0,5.0,41.0,12.0,29.0,44.0,6.0,111.0,86.0,10.0,62.0,42.0,17.0,18.0
4378,6.0,0.0,20.0,1.0,47.0,64.0,52.0,10.0,3.0,38.0,22.0,45.0,12.0,28.0,15.0,5.0,2.0,7.0,19.0,30.0,42.0,72.0,35.0,86.0,371.0,21.0,78.0,27.0,17.0,31.0
4427,14.0,6.0,23.0,1.0,9.0,2.0,7.0,29.0,13.0,8.0,3.0,32.0,10.0,0.0,66.0,22.0,5.0,75.0,24.0,68.0,39.0,11.0,20.0,19.0,52.0,120.0,4.0,27.0,371.0,42.0
4476,10.0,3.0,11.0,2.0,5.0,0.0,32.0,42.0,9.0,37.0,1.0,8.0,13.0,19.0,12.0,23.0,25.0,47.0,26.0,48.0,27.0,55.0,40.0,71.0,18.0,39.0,6.0,43.0,400.0,38.0
4525,9.0,1.0,3.0,8.0,32.0,10.0,22.0,7.0,28.0,44.0,0.0,11.0,20.0,25.0,16.0,13.0,14.0,29.0,40.0,74.0,57.0,54.0,158.0,4.0,52.0,93.0,18.0,33.0,41.0,30.0
4574,0.0,2.0,5.0,6.0,11.0,4.0,15.0,8.0,50.0,48.0,1.0,10.0,14.0,9.0,26.0,29.0,66.0,57.0,24.0,25.0,62.0,63.0,116.0,12.0,7.0,30.0,3.0,16.0,367.0,80.0
4623,2.0,26.0,5.0,6.0,13.0,1.0,3.0,49.0,43.0,101.0,4.0,12.0,18.0,10.0,8.0,52.0,11.0,44.0,33.0,54.0,72.0,63.0,38.0,35.0,76.0,32.0,0.0,15.0,48.0,17.0
4672,1.0,4.0,5.0,6.0,9.0,3.0,11.0,15.0,414.0,39.0,0.0,41.0,28.0,7.0,26.0,48.0,27.0,43.0,18.0,222.0,37.0,45.0,85.0,22.0,30.0,81.0,2.0,49.0,84.0,36.0
4721,0.0,16.0,2.0,6.0,1.0,3.0,8.0,33.0,4.0,77.0,5.0,11.0,10.0,81.0,7.0,32.0,73.0,25.0,31.0,30.0,57.0,20.0,135.0,23.0,91.0,65.0,12.0,15.0,80.0,37.0
4770,31.0,2.0,21.0,1.0,22.0,15.0,26.0,41.0,6.0,61.0,7.0,3.0,8.0,12.0,4.0,34.0,17.0,25.0,11.0,50.0,48.0,76.0,37.0,20.0,83.0,124.0,0.0,13.0,60.0,16.0
4819,0.0,3.0,12.0,8.0,10.0,39.0,26.0,17.0,63.0,52.0,5.0,7.0,15.0,19.0,35.0,34.0,2.0,40.0,31.0,42.0,32.0,51.0,69.0,11.0,16.0,105.0,1.0,58.0,57.0,33.0
4868,1.0,6.0,5.0,19.0,4.0,0.0,2.0,54.0,82.0,16.0,3.0,9.0,7.0,12.0,17.0,47.0,21.0,22.0,18.0,111.0,25.0,46.0,80.0,15.0,11.0,128.0,10.0,8.0,76.0,37.0
