,3-phosphoglycerate,5-HIAA,C22:6 LPE,glutamine,inositol,C36:1 DAG,C36:4 PC-B,DHAP/glyceraldehyde 3P,creatine,acetylcholine,2-deoxycytidine,C56:5 TAG,serotonin,asparagine,C16:0 LPE,C22:6 CE,C18:0 LPE,C18:0 LPC,taurodeoxycholate,C22:6 LPC,C20:4 CE,creatinine,isocitrate,C34:4 PC,pantothenate,alpha-glycerophosphate,guanosine,inosine,PEP,hypoxanthine
27,2.0,1.0,4.0,0.0,21.0,28.0,32.0,9.0,13.0,64.0,31.0,60.0,58.0,18.0,41.0,24.0,34.0,19.0,54.0,22.0,40.0,16.0,46.0,38.0,51.0,10.0,7.0,30.0,33.0,48.0
76,2.0,17.0,1.0,0.0,4.0,7.0,25.0,10.0,15.0,16.0,8.0,60.0,3.0,23.0,32.0,19.0,30.0,39.0,54.0,26.0,9.0,14.0,46.0,38.0,6.0,11.0,20.0,49.0,5.0,48.0
125,7.0,1.0,0.0,4.0,13.0,5.0,23.0,2.0,11.0,21.0,47.0,14.0,59.0,18.0,19.0,29.0,22.0,42.0,53.0,17.0,41.0,16.0,9.0,35.0,50.0,27.0,6.0,30.0,26.0,10.0
174,6.0,12.0,1.0,3.0,11.0,30.0,32.0,2.0,19.0,63.0,18.0,20.0,58.0,56.0,43.0,41.0,17.0,5.0,0.0,15.0,22.0,14.0,24.0,36.0,4.0,23.0,27.0,50.0,33.0,49.0
223,12.0,14.0,0.0,8.0,1.0,42.0,5.0,6.0,63.0,34.0,7.0,16.0,15.0,2.0,18.0,43.0,37.0,40.0,33.0,13.0,26.0,64.0,31.0,4.0,53.0,32.0,27.0,50.0,23.0,10.0
272,4.0,9.0,39.0,3.0,10.0,6.0,29.0,15.0,21.0,20.0,1.0,23.0,58.0,56.0,0.0,5.0,38.0,8.0,11.0,18.0,42.0,46.0,25.0,7.0,34.0,43.0,14.0,24.0,12.0,53.0
321,2.0,18.0,7.0,26.0,5.0,45.0,4.0,6.0,59.0,15.0,11.0,10.0,12.0,50.0,41.0,24.0,22.0,21.0,9.0,47.0,3.0,60.0,29.0,23.0,62.0,46.0,34.0,38.0,33.0,1.0
370,1.0,8.0,11.0,10.0,2.0,21.0,0.0,43.0,4.0,60.0,5.0,55.0,23.0,32.0,14.0,24.0,16.0,13.0,34.0,41.0,22.0,61.0,28.0,19.0,7.0,27.0,31.0,33.0,48.0,9.0
419,12.0,17.0,0.0,10.0,29.0,30.0,37.0,47.0,20.0,63.0,9.0,16.0,18.0,14.0,25.0,42.0,6.0,13.0,34.0,24.0,5.0,4.0,2.0,43.0,32.0,1.0,31.0,49.0,11.0,8.0
468,13.0,0.0,18.0,2.0,30.0,20.0,19.0,33.0,12.0,11.0,9.0,4.0,54.0,14.0,16.0,21.0,17.0,7.0,29.0,15.0,3.0,8.0,28.0,5.0,37.0,26.0,25.0,32.0,6.0,35.0
517,14.0,5.0,23.0,11.0,3.0,7.0,10.0,6.0,16.0,15.0,20.0,1.0,19.0,18.0,2.0,30.0,29.0,13.0,12.0,42.0,4.0,17.0,25.0,27.0,26.0,24.0,48.0,9.0,51.0,28.0
566,25.0,7.0,43.0,8.0,3.0,10.0,11.0,32.0,17.0,58.0,20.0,14.0,52.0,56.0,1.0,9.0,24.0,45.0,5.0,12.0,13.0,18.0,29.0,21.0,6.0,28.0,34.0,36.0,61.0,33.0
615,3.0,6.0,27.0,24.0,25.0,34.0,2.0,48.0,64.0,0.0,10.0,17.0,59.0,57.0,35.0,14.0,8.0,41.0,7.0,33.0,20.0,45.0,46.0,26.0,28.0,12.0,29.0,11.0,9.0,22.0
664,11.0,13.0,9.0,5.0,34.0,0.0,1.0,48.0,18.0,63.0,21.0,22.0,60.0,4.0,30.0,7.0,31.0,16.0,26.0,2.0,36.0,19.0,3.0,10.0,53.0,29.0,50.0,33.0,54.0,25.0
713,16.0,9.0,22.0,47.0,6.0,44.0,7.0,32.0,14.0,13.0,25.0,11.0,53.0,17.0,10.0,5.0,21.0,39.0,1.0,0.0,23.0,15.0,34.0,8.0,2.0,45.0,27.0,29.0,3.0,33.0
762,9.0,26.0,21.0,33.0,40.0,23.0,1.0,36.0,13.0,12.0,15.0,10.0,7.0,52.0,20.0,0.0,41.0,43.0,3.0,4.0,24.0,14.0,38.0,2.0,8.0,39.0,28.0,31.0,35.0,5.0
811,2.0,11.0,10.0,5.0,3.0,16.0,21.0,29.0,62.0,63.0,18.0,14.0,12.0,7.0,1.0,0.0,24.0,47.0,36.0,23.0,8.0,15.0,28.0,42.0,33.0,37.0,30.0,6.0,34.0,31.0
860,3.0,5.0,40.0,8.0,27.0,10.0,9.0,30.0,19.0,21.0,17.0,55.0,53.0,49.0,2.0,20.0,7.0,23.0,4.0,6.0,11.0,18.0,28.0,22.0,25.0,44.0,32.0,45.0,26.0,33.0
909,21.0,11.0,32.0,13.0,5.0,29.0,0.0,27.0,20.0,19.0,1.0,9.0,14.0,15.0,4.0,41.0,33.0,35.0,12.0,26.0,25.0,45.0,23.0,30.0,34.0,46.0,50.0,31.0,22.0,8.0
958,2.0,0.0,24.0,58.0,54.0,33.0,4.0,28.0,64.0,16.0,22.0,61.0,60.0,1.0,36.0,25.0,32.0,23.0,27.0,42.0,3.0,14.0,11.0,26.0,35.0,29.0,17.0,7.0,34.0,47.0
1007,10.0,15.0,0.0,8.0,7.0,6.0,2.0,1.0,19.0,18.0,3.0,60.0,14.0,13.0,22.0,36.0,23.0,20.0,55.0,11.0,44.0,63.0,48.0,33.0,9.0,35.0,50.0,28.0,31.0,29.0
