,PANCREAS,SKIN,BREAST,LARGE_INTESTINE,NERVOUS,BONE,LIVER,LUNG,HAEMATOPOIETIC,STOMACH,OESOPHAGUS,ENDOMETRIUM,THYROID,GANGLIA,OVARY,AERODIGESTIVE,URINARY,SOFT_TISSUE,PROSTATE,PLEURA,KIDNEY,SALIVARY,BILIARY
42,1.0,2.0,3.0,0.0,4.0,7.0,5.0,6.0,8.0,10.0,12.0,16.0,9.0,15.0,11.0,17.0,13.0,14.0,18.0,19.0,21.0,20.0,22.0
91,2.0,3.0,0.0,1.0,4.0,5.0,8.0,6.0,10.0,9.0,12.0,18.0,11.0,7.0,13.0,15.0,16.0,14.0,17.0,19.0,21.0,20.0,22.0
140,0.0,3.0,2.0,1.0,8.0,4.0,5.0,6.0,9.0,12.0,13.0,16.0,10.0,11.0,7.0,15.0,17.0,14.0,18.0,19.0,21.0,20.0,22.0
189,2.0,0.0,3.0,1.0,4.0,5.0,6.0,7.0,11.0,16.0,12.0,15.0,8.0,9.0,10.0,13.0,17.0,14.0,18.0,19.0,21.0,20.0,22.0
238,1.0,0.0,3.0,2.0,4.0,6.0,5.0,7.0,8.0,9.0,15.0,14.0,17.0,11.0,10.0,12.0,16.0,13.0,18.0,21.0,20.0,19.0,22.0
287,1.0,2.0,0.0,3.0,4.0,5.0,7.0,6.0,8.0,12.0,11.0,15.0,10.0,13.0,9.0,14.0,17.0,16.0,19.0,18.0,20.0,21.0,22.0
336,0.0,1.0,3.0,2.0,6.0,5.0,4.0,7.0,10.0,11.0,13.0,15.0,9.0,14.0,12.0,8.0,17.0,16.0,18.0,19.0,21.0,20.0,22.0
385,1.0,3.0,0.0,2.0,4.0,6.0,7.0,9.0,10.0,8.0,5.0,15.0,12.0,11.0,13.0,17.0,14.0,16.0,18.0,19.0,21.0,20.0,22.0
434,0.0,1.0,3.0,2.0,4.0,6.0,5.0,9.0,11.0,10.0,12.0,16.0,13.0,7.0,8.0,19.0,15.0,14.0,17.0,18.0,21.0,20.0,22.0
483,0.0,3.0,2.0,1.0,5.0,4.0,6.0,7.0,10.0,9.0,14.0,13.0,11.0,8.0,12.0,17.0,15.0,16.0,18.0,19.0,21.0,20.0,22.0
532,0.0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,10.0,8.0,12.0,14.0,15.0,5.0,13.0,17.0,16.0,11.0,18.0,19.0,21.0,20.0,22.0
581,2.0,3.0,0.0,1.0,6.0,5.0,4.0,10.0,8.0,14.0,12.0,13.0,9.0,7.0,11.0,16.0,15.0,18.0,17.0,19.0,21.0,20.0,22.0
630,0.0,2.0,1.0,3.0,5.0,8.0,4.0,11.0,13.0,9.0,10.0,14.0,12.0,7.0,6.0,16.0,15.0,17.0,18.0,19.0,21.0,20.0,22.0
