,hsa-miR-22,hsa-miR-130a,hsa-miR-449c,hsa-miR-151-3p,hsa-miR-507,hsa-miR-210,hsa-miR-96,hsa-miR-323-5p,hsa-miR-1978,hsa-miR-605,hsa-miR-483-3p,hsa-miR-486-3p,ebv-miR-BART19-5p,hsa-miR-657,hsa-miR-455-5p,hsa-miR-611,hsa-miR-513a-5p,hsa-miR-2117,hsa-miR-206,hsa-miR-1979,hsa-miR-1293,hsa-miR-545,hsa-miR-623,hsa-miR-1246,hsa-let-7c,hsa-miR-591,hsa-miR-30a,hsv1-miR-H7,hsa-miR-663,hsa-miR-28-5p
1146,6.0,9.0,28.0,26.0,144.0,70.0,86.0,96.0,100.0,16.0,94.0,152.0,66.0,207.0,594.0,59.0,128.0,116.0,56.0,513.0,560.0,136.0,265.0,361.0,21.0,7.0,124.0,77.0,227.0,142.0
1195,3.0,6.0,33.0,459.0,113.0,28.0,363.0,424.0,58.0,165.0,31.0,73.0,32.0,49.0,43.0,34.0,90.0,177.0,19.0,485.0,91.0,126.0,129.0,115.0,63.0,21.0,120.0,72.0,350.0,163.0
1244,11.0,436.0,59.0,27.0,115.0,55.0,263.0,97.0,68.0,119.0,161.0,162.0,44.0,314.0,28.0,112.0,556.0,595.0,66.0,416.0,79.0,52.0,307.0,90.0,105.0,172.0,125.0,95.0,99.0,173.0
1293,5.0,4.0,31.0,26.0,151.0,41.0,257.0,628.0,100.0,20.0,154.0,508.0,94.0,14.0,51.0,141.0,556.0,83.0,18.0,411.0,60.0,109.0,164.0,128.0,460.0,24.0,139.0,90.0,305.0,25.0
1342,5.0,46.0,167.0,379.0,157.0,22.0,168.0,623.0,121.0,79.0,514.0,161.0,103.0,310.0,15.0,107.0,556.0,500.0,83.0,417.0,105.0,111.0,59.0,85.0,464.0,55.0,95.0,125.0,338.0,47.0
1391,589.0,7.0,62.0,90.0,128.0,15.0,52.0,627.0,67.0,106.0,21.0,98.0,61.0,304.0,91.0,17.0,556.0,58.0,84.0,412.0,472.0,125.0,170.0,132.0,459.0,213.0,126.0,279.0,313.0,147.0
1440,499.0,31.0,35.0,8.0,155.0,37.0,7.0,401.0,72.0,265.0,76.0,117.0,40.0,206.0,126.0,77.0,95.0,135.0,88.0,36.0,18.0,171.0,191.0,144.0,319.0,123.0,79.0,57.0,174.0,68.0
1489,0.0,21.0,63.0,77.0,103.0,54.0,148.0,121.0,104.0,62.0,23.0,46.0,116.0,30.0,91.0,160.0,558.0,564.0,19.0,108.0,474.0,133.0,106.0,82.0,463.0,210.0,93.0,29.0,122.0,578.0
1538,4.0,50.0,84.0,5.0,83.0,38.0,366.0,48.0,112.0,57.0,113.0,118.0,99.0,36.0,617.0,249.0,132.0,96.0,489.0,498.0,421.0,156.0,13.0,89.0,319.0,126.0,138.0,155.0,64.0,164.0
1587,21.0,111.0,98.0,30.0,112.0,405.0,83.0,509.0,84.0,69.0,101.0,61.0,107.0,87.0,605.0,80.0,518.0,42.0,43.0,110.0,140.0,25.0,1.0,56.0,160.0,252.0,48.0,133.0,344.0,437.0
1636,27.0,389.0,134.0,84.0,43.0,10.0,25.0,73.0,144.0,96.0,91.0,59.0,102.0,1.0,503.0,320.0,47.0,99.0,107.0,399.0,61.0,68.0,22.0,150.0,459.0,98.0,6.0,146.0,42.0,567.0
1685,36.0,136.0,92.0,26.0,29.0,58.0,10.0,155.0,107.0,73.0,64.0,94.0,80.0,126.0,71.0,49.0,76.0,564.0,408.0,78.0,116.0,140.0,13.0,435.0,169.0,81.0,40.0,160.0,119.0,134.0
1734,6.0,53.0,37.0,157.0,87.0,43.0,107.0,95.0,120.0,163.0,41.0,106.0,62.0,116.0,65.0,51.0,102.0,112.0,80.0,413.0,88.0,26.0,181.0,167.0,16.0,135.0,140.0,79.0,156.0,585.0
1783,19.0,22.0,89.0,151.0,20.0,613.0,29.0,38.0,80.0,136.0,83.0,105.0,52.0,90.0,511.0,170.0,23.0,591.0,77.0,407.0,101.0,64.0,11.0,120.0,97.0,47.0,94.0,130.0,301.0,152.0
1832,595.0,91.0,52.0,20.0,68.0,60.0,94.0,141.0,42.0,131.0,54.0,43.0,113.0,80.0,499.0,357.0,75.0,69.0,594.0,22.0,93.0,118.0,133.0,443.0,87.0,86.0,112.0,109.0,115.0,127.0
1881,30.0,99.0,57.0,14.0,68.0,3.0,58.0,97.0,105.0,77.0,116.0,94.0,40.0,89.0,506.0,70.0,550.0,496.0,401.0,104.0,93.0,132.0,298.0,433.0,51.0,126.0,66.0,160.0,131.0,125.0
1930,0.0,26.0,48.0,129.0,23.0,58.0,15.0,107.0,87.0,136.0,153.0,55.0,47.0,301.0,506.0,83.0,552.0,589.0,78.0,401.0,66.0,99.0,68.0,117.0,81.0,148.0,96.0,135.0,328.0,86.0
1979,588.0,55.0,30.0,85.0,101.0,39.0,250.0,132.0,25.0,33.0,29.0,105.0,96.0,56.0,19.0,13.0,561.0,122.0,140.0,411.0,472.0,135.0,21.0,32.0,463.0,239.0,116.0,359.0,40.0,59.0
2028,5.0,444.0,62.0,64.0,23.0,68.0,356.0,0.0,488.0,136.0,19.0,93.0,111.0,69.0,612.0,202.0,520.0,407.0,107.0,27.0,33.0,97.0,11.0,152.0,80.0,115.0,39.0,305.0,347.0,72.0
2077,92.0,0.0,50.0,16.0,58.0,94.0,34.0,6.0,82.0,55.0,43.0,67.0,95.0,89.0,514.0,10.0,11.0,497.0,125.0,24.0,100.0,214.0,328.0,73.0,46.0,91.0,140.0,174.0,8.0,90.0
2126,19.0,6.0,59.0,139.0,70.0,61.0,257.0,16.0,408.0,118.0,29.0,75.0,43.0,93.0,511.0,173.0,556.0,121.0,400.0,28.0,470.0,171.0,37.0,146.0,100.0,3.0,128.0,141.0,22.0,90.0
2175,5.0,36.0,15.0,124.0,160.0,92.0,367.0,24.0,98.0,86.0,128.0,48.0,77.0,107.0,76.0,141.0,42.0,20.0,64.0,12.0,41.0,38.0,177.0,95.0,78.0,262.0,442.0,136.0,2.0,145.0
2224,4.0,61.0,111.0,132.0,86.0,96.0,275.0,24.0,139.0,226.0,105.0,80.0,33.0,55.0,53.0,94.0,2.0,17.0,70.0,58.0,482.0,43.0,151.0,134.0,13.0,0.0,140.0,297.0,318.0,52.0
2273,8.0,131.0,94.0,109.0,124.0,125.0,64.0,19.0,101.0,102.0,66.0,112.0,91.0,130.0,58.0,32.0,3.0,590.0,134.0,406.0,430.0,140.0,77.0,118.0,95.0,0.0,114.0,283.0,68.0,169.0
2322,19.0,38.0,90.0,69.0,39.0,103.0,150.0,32.0,119.0,105.0,57.0,114.0,55.0,137.0,520.0,176.0,67.0,412.0,421.0,84.0,168.0,4.0,2.0,113.0,283.0,7.0,572.0,288.0,8.0,160.0
2371,2.0,134.0,73.0,8.0,117.0,121.0,260.0,31.0,141.0,57.0,46.0,76.0,53.0,104.0,36.0,15.0,72.0,592.0,74.0,50.0,120.0,169.0,238.0,158.0,459.0,0.0,129.0,282.0,21.0,99.0
2420,3.0,6.0,57.0,137.0,100.0,93.0,26.0,48.0,80.0,84.0,21.0,112.0,87.0,115.0,506.0,166.0,550.0,588.0,596.0,33.0,428.0,75.0,95.0,91.0,149.0,202.0,626.0,291.0,45.0,121.0
2469,597.0,434.0,144.0,162.0,16.0,140.0,87.0,100.0,39.0,62.0,53.0,101.0,122.0,104.0,530.0,4.0,20.0,65.0,72.0,420.0,6.0,79.0,57.0,21.0,96.0,33.0,160.0,64.0,360.0,63.0
2518,8.0,24.0,40.0,87.0,34.0,27.0,18.0,33.0,36.0,17.0,505.0,502.0,241.0,66.0,65.0,102.0,548.0,142.0,495.0,400.0,464.0,130.0,73.0,119.0,457.0,59.0,617.0,11.0,308.0,106.0
2567,590.0,133.0,51.0,374.0,30.0,56.0,16.0,124.0,97.0,120.0,70.0,146.0,144.0,348.0,514.0,34.0,558.0,35.0,139.0,31.0,43.0,116.0,12.0,439.0,41.0,28.0,24.0,53.0,342.0,82.0
2616,5.0,528.0,37.0,51.0,39.0,26.0,104.0,80.0,41.0,136.0,175.0,178.0,147.0,153.0,599.0,100.0,132.0,69.0,117.0,17.0,48.0,171.0,126.0,354.0,62.0,164.0,56.0,22.0,191.0,140.0
2665,30.0,62.0,127.0,68.0,26.0,45.0,9.0,27.0,69.0,92.0,55.0,94.0,138.0,82.0,604.0,229.0,514.0,19.0,103.0,402.0,469.0,44.0,2.0,153.0,262.0,121.0,81.0,146.0,336.0,424.0
2714,0.0,528.0,119.0,408.0,43.0,50.0,379.0,398.0,79.0,71.0,141.0,117.0,103.0,42.0,574.0,64.0,603.0,78.0,76.0,470.0,38.0,136.0,1.0,60.0,9.0,27.0,61.0,41.0,199.0,454.0
2763,26.0,35.0,157.0,383.0,41.0,107.0,14.0,33.0,34.0,87.0,91.0,150.0,5.0,160.0,68.0,110.0,53.0,131.0,170.0,417.0,106.0,143.0,115.0,104.0,468.0,78.0,582.0,191.0,367.0,84.0
2812,483.0,38.0,117.0,463.0,39.0,35.0,13.0,41.0,64.0,45.0,89.0,88.0,152.0,77.0,628.0,121.0,53.0,8.0,503.0,91.0,110.0,112.0,60.0,207.0,82.0,143.0,102.0,33.0,187.0,409.0
2861,1.0,36.0,84.0,53.0,70.0,88.0,15.0,595.0,23.0,46.0,123.0,133.0,121.0,348.0,516.0,180.0,33.0,94.0,412.0,116.0,474.0,138.0,330.0,25.0,45.0,16.0,573.0,68.0,344.0,584.0
2910,502.0,144.0,143.0,17.0,30.0,71.0,9.0,15.0,36.0,105.0,134.0,515.0,181.0,89.0,519.0,189.0,125.0,19.0,416.0,424.0,136.0,88.0,336.0,22.0,465.0,84.0,574.0,120.0,56.0,41.0
2959,103.0,469.0,122.0,140.0,35.0,16.0,49.0,17.0,31.0,69.0,68.0,144.0,160.0,42.0,28.0,187.0,83.0,23.0,97.0,63.0,52.0,58.0,88.0,50.0,369.0,148.0,159.0,341.0,10.0,38.0
3008,3.0,159.0,155.0,41.0,144.0,22.0,18.0,57.0,44.0,63.0,81.0,138.0,101.0,45.0,507.0,72.0,55.0,20.0,61.0,68.0,67.0,121.0,74.0,46.0,149.0,193.0,140.0,91.0,102.0,119.0
3057,410.0,394.0,30.0,11.0,568.0,44.0,59.0,94.0,83.0,80.0,125.0,48.0,62.0,45.0,618.0,31.0,77.0,115.0,491.0,27.0,585.0,43.0,49.0,159.0,307.0,255.0,42.0,151.0,351.0,97.0
3106,3.0,15.0,53.0,608.0,121.0,11.0,22.0,42.0,34.0,168.0,19.0,184.0,378.0,127.0,40.0,141.0,16.0,478.0,548.0,27.0,73.0,104.0,39.0,355.0,327.0,180.0,74.0,99.0,226.0,82.0
3155,417.0,109.0,23.0,140.0,64.0,55.0,105.0,18.0,22.0,131.0,157.0,46.0,92.0,136.0,87.0,251.0,14.0,70.0,510.0,58.0,97.0,73.0,79.0,172.0,104.0,61.0,43.0,16.0,67.0,88.0
3204,588.0,120.0,113.0,163.0,79.0,60.0,63.0,36.0,15.0,129.0,88.0,86.0,155.0,125.0,48.0,161.0,2.0,24.0,34.0,410.0,472.0,35.0,22.0,17.0,462.0,98.0,53.0,210.0,275.0,102.0
3253,498.0,7.0,66.0,63.0,110.0,87.0,75.0,27.0,53.0,52.0,125.0,123.0,72.0,181.0,36.0,50.0,83.0,508.0,459.0,469.0,120.0,57.0,262.0,357.0,317.0,242.0,55.0,330.0,43.0,69.0
3302,3.0,383.0,61.0,363.0,89.0,101.0,108.0,28.0,17.0,126.0,45.0,149.0,92.0,122.0,42.0,182.0,81.0,29.0,496.0,20.0,32.0,121.0,62.0,11.0,458.0,22.0,67.0,34.0,100.0,26.0
3351,86.0,1.0,126.0,69.0,161.0,54.0,71.0,18.0,34.0,90.0,10.0,167.0,41.0,277.0,27.0,327.0,135.0,136.0,40.0,411.0,43.0,87.0,325.0,22.0,75.0,124.0,47.0,164.0,77.0,163.0
3400,392.0,93.0,43.0,22.0,524.0,8.0,37.0,59.0,88.0,154.0,151.0,84.0,69.0,125.0,77.0,65.0,127.0,19.0,443.0,41.0,54.0,70.0,29.0,48.0,303.0,217.0,58.0,179.0,343.0,105.0
