,TRIM49_DEL,ETS1_DEL,OR2T35_AMP,SCN3B_DEL,CREBBP_MUT,KRAS.G12_13_MUT,PDE4DIP_AMP,MCEE_AMP,CNTN5_DEL,MYH8_DEL,EP300_MUT,CDC73_AMP,NRG1_DEL,SLC25A37_AMP,GSTTP2_DEL,KALRN_MUT,RGS6_DEL,PTCH1_AMP,NETO1_DEL,GPHN_DEL,CCBE1_DEL,ZNF705G_AMP,PRH1-PRR4_AMP,TP53_MUT,JAK2_DEL,ME3_DEL,HLA-DRB6_AMP,NAV3_MUT,DNAH8_MUT,CWF19L2_AMP
33,37.0,35.0,13750.0,15.0,14.0,76.0,59.0,20.0,158.0,12.0,73.0,128.0,121.0,48.0,41.0,104.0,8273.0,83.0,124.0,13.0,10.0,75.0,34.0,129.0,165.0,118.0,94.0,16427.0,82.0,56.0
82,24.0,64.0,112.0,4.0,57.0,51.0,29.0,23.0,10416.0,2116.0,20.0,99.0,137.0,59.0,43.0,33.0,8273.0,21877.0,104.0,105.0,8.0,147.0,15574.0,124.0,158.0,127.0,50.0,16426.0,128.0,126.0
131,11684.0,36.0,13733.0,74.0,19.0,41.0,35.0,62.0,27.0,95.0,16207.0,115.0,28.0,100.0,118.0,64.0,8281.0,56.0,137.0,103.0,3715.0,83.0,87.0,167.0,178.0,45.0,127.0,16427.0,152.0,121.0
180,74.0,39.0,18.0,22.0,72.0,37.0,24.0,97.0,0.0,34.0,117.0,62.0,823.0,120.0,83.0,19.0,8283.0,86.0,32.0,79.0,7.0,108.0,174.0,166.0,156.0,4064.0,98.0,16433.0,163.0,17279.0
229,21.0,20.0,2.0,94.0,23.0,37.0,60.0,47.0,54.0,83.0,78.0,114.0,145.0,34.0,49.0,82.0,8285.0,104.0,55.0,72.0,3699.0,134.0,101.0,105.0,103.0,124.0,171.0,16431.0,27.0,87.0
278,17.0,134.0,13733.0,79.0,16070.0,23.0,59.0,81.0,31.0,53.0,124.0,101.0,30.0,103.0,51.0,86.0,91.0,98.0,151.0,64.0,97.0,88.0,15578.0,129.0,84.0,22.0,45.0,142.0,47.0,130.0
327,35.0,49.0,16.0,9.0,50.0,54.0,29.0,42.0,14.0,20.0,126.0,79.0,48.0,84.0,59.0,38.0,8283.0,73.0,124.0,20374.0,3695.0,158.0,125.0,143.0,195.0,47.0,146.0,111.0,148.0,100.0
376,75.0,160.0,77.0,10.0,16072.0,106.0,37.0,76.0,18.0,2167.0,2.0,23175.0,23.0,91.0,65.0,112.0,8280.0,113.0,24.0,20370.0,3713.0,80.0,48.0,130.0,168.0,45.0,167.0,141.0,16087.0,17279.0
425,13.0,67.0,20.0,5.0,45.0,104.0,60.0,111.0,36.0,34.0,28.0,99.0,44.0,109.0,129.0,16430.0,8284.0,59.0,106.0,93.0,70.0,126.0,81.0,110.0,131.0,69.0,118.0,127.0,63.0,123.0
474,11691.0,68.0,13736.0,47.0,33.0,28.0,53.0,69.0,41.0,2144.0,89.0,103.0,36.0,62.0,112.0,34.0,45.0,52.0,6502.0,17.0,40.0,115.0,104.0,76.0,91.0,30.0,138.0,16427.0,16088.0,173.0
