,YAP_pS127,MAPK_pT202_Y204,GAPDH,Porin,E-Cadherin,MSH6,Caveolin-1,MIG-6,Akt,PTEN,G6PD,RAD51,A-Raf_pS299,FOXO3a,Akt_pS473,Notch1,SETD2,CD49b,Rictor_pT1135,XBP1,HER2_pY1248,Rad50,PDCD4,beta-Catenin_pT41_S45,RBM15,PDK1,TSC1,AR,Transglutaminase,Paxillin
5,58.0,155.0,13.0,11.0,19.0,80.0,123.0,10.0,56.0,28.0,18.0,158.0,33.0,75.0,55.0,30.0,42.0,39.0,45.0,53.0,161.0,157.0,142.0,16.0,26.0,35.0,52.0,93.0,132.0,50.0
54,5.0,2.0,29.0,49.0,38.0,11.0,102.0,4.0,0.0,65.0,71.0,77.0,53.0,26.0,24.0,81.0,42.0,72.0,25.0,13.0,8.0,111.0,147.0,76.0,37.0,93.0,31.0,64.0,88.0,74.0
103,47.0,18.0,5.0,49.0,28.0,33.0,130.0,52.0,53.0,26.0,38.0,46.0,82.0,6.0,22.0,63.0,30.0,32.0,35.0,70.0,145.0,112.0,76.0,19.0,25.0,20.0,11.0,85.0,40.0,149.0
152,53.0,3.0,6.0,55.0,57.0,59.0,27.0,16.0,1.0,14.0,36.0,8.0,54.0,103.0,44.0,62.0,17.0,30.0,47.0,2.0,155.0,28.0,87.0,31.0,160.0,141.0,129.0,90.0,93.0,61.0
201,36.0,4.0,5.0,25.0,64.0,39.0,7.0,21.0,147.0,33.0,47.0,154.0,59.0,60.0,26.0,31.0,57.0,63.0,73.0,77.0,126.0,48.0,10.0,16.0,100.0,122.0,6.0,95.0,132.0,102.0
250,29.0,23.0,0.0,48.0,31.0,61.0,28.0,35.0,33.0,37.0,81.0,79.0,56.0,15.0,120.0,62.0,47.0,103.0,95.0,51.0,4.0,20.0,118.0,55.0,53.0,36.0,97.0,24.0,12.0,74.0
299,14.0,158.0,16.0,9.0,73.0,4.0,93.0,7.0,0.0,28.0,68.0,101.0,54.0,64.0,26.0,45.0,43.0,23.0,19.0,71.0,154.0,57.0,150.0,34.0,81.0,39.0,117.0,69.0,46.0,38.0
348,29.0,0.0,1.0,48.0,21.0,16.0,109.0,106.0,39.0,46.0,12.0,38.0,141.0,25.0,80.0,50.0,26.0,143.0,86.0,31.0,88.0,76.0,22.0,56.0,49.0,81.0,53.0,55.0,77.0,113.0
397,10.0,1.0,18.0,39.0,61.0,17.0,28.0,63.0,0.0,57.0,111.0,64.0,36.0,69.0,56.0,51.0,24.0,54.0,70.0,87.0,20.0,44.0,96.0,23.0,22.0,92.0,41.0,29.0,66.0,11.0
446,15.0,157.0,12.0,19.0,32.0,20.0,104.0,1.0,138.0,38.0,28.0,21.0,10.0,24.0,74.0,26.0,41.0,39.0,16.0,118.0,160.0,46.0,100.0,84.0,103.0,69.0,45.0,34.0,123.0,96.0
495,56.0,3.0,71.0,47.0,12.0,75.0,30.0,9.0,20.0,40.0,67.0,74.0,19.0,44.0,11.0,14.0,52.0,103.0,38.0,21.0,112.0,114.0,45.0,95.0,121.0,53.0,115.0,64.0,116.0,162.0
