,YAP_pS127,MAPK_pT202_Y204,GAPDH,Porin,E-Cadherin,MSH6,Caveolin-1,MIG-6,Akt,PTEN,G6PD,RAD51,A-Raf_pS299,FOXO3a,Akt_pS473,Notch1,SETD2,CD49b,Rictor_pT1135,XBP1,HER2_pY1248,Rad50,PDCD4,beta-Catenin_pT41_S45,RBM15,PDK1,TSC1,AR,Transglutaminase,Paxillin
544,142.0,98.0,119.0,36.0,26.0,28.0,3.0,49.0,83.0,27.0,20.0,99.0,9.0,71.0,2.0,73.0,89.0,7.0,74.0,39.0,146.0,87.0,147.0,96.0,38.0,81.0,41.0,82.0,106.0,37.0
593,14.0,11.0,112.0,30.0,28.0,16.0,24.0,19.0,57.0,33.0,78.0,50.0,70.0,148.0,10.0,97.0,98.0,15.0,35.0,133.0,66.0,47.0,144.0,93.0,37.0,69.0,122.0,59.0,13.0,150.0
642,4.0,14.0,114.0,17.0,23.0,31.0,40.0,20.0,127.0,28.0,45.0,48.0,79.0,120.0,119.0,115.0,65.0,158.0,111.0,138.0,34.0,76.0,60.0,63.0,38.0,29.0,30.0,70.0,71.0,163.0
691,16.0,76.0,108.0,18.0,17.0,53.0,28.0,21.0,74.0,15.0,10.0,54.0,12.0,153.0,48.0,6.0,39.0,41.0,93.0,7.0,23.0,43.0,90.0,104.0,49.0,144.0,82.0,81.0,140.0,13.0
740,72.0,79.0,71.0,5.0,17.0,49.0,43.0,31.0,80.0,19.0,29.0,10.0,68.0,20.0,139.0,157.0,67.0,145.0,130.0,6.0,151.0,133.0,122.0,76.0,33.0,81.0,128.0,110.0,114.0,55.0
789,5.0,115.0,92.0,36.0,19.0,34.0,7.0,62.0,47.0,53.0,59.0,77.0,61.0,57.0,81.0,31.0,48.0,17.0,88.0,138.0,60.0,35.0,0.0,103.0,71.0,16.0,119.0,43.0,18.0,152.0
838,33.0,18.0,70.0,64.0,42.0,39.0,48.0,36.0,2.0,41.0,82.0,1.0,98.0,27.0,8.0,31.0,51.0,45.0,23.0,119.0,52.0,66.0,57.0,54.0,20.0,43.0,93.0,106.0,24.0,32.0
887,3.0,23.0,134.0,36.0,62.0,20.0,135.0,10.0,91.0,22.0,6.0,85.0,54.0,99.0,37.0,162.0,58.0,136.0,87.0,114.0,46.0,73.0,152.0,90.0,51.0,8.0,77.0,72.0,33.0,153.0
936,7.0,1.0,58.0,47.0,53.0,32.0,9.0,23.0,127.0,61.0,11.0,22.0,134.0,137.0,89.0,36.0,66.0,91.0,69.0,83.0,20.0,156.0,104.0,81.0,102.0,143.0,117.0,33.0,17.0,0.0
985,13.0,5.0,14.0,30.0,22.0,6.0,55.0,17.0,54.0,48.0,35.0,43.0,90.0,158.0,59.0,82.0,61.0,19.0,34.0,16.0,20.0,42.0,72.0,74.0,27.0,10.0,53.0,46.0,122.0,77.0
1034,3.0,5.0,15.0,24.0,72.0,10.0,95.0,117.0,0.0,26.0,7.0,28.0,84.0,108.0,22.0,118.0,89.0,58.0,34.0,54.0,11.0,16.0,65.0,142.0,52.0,87.0,50.0,35.0,76.0,116.0
1083,73.0,6.0,0.0,27.0,34.0,135.0,22.0,92.0,37.0,72.0,76.0,7.0,8.0,84.0,113.0,36.0,29.0,31.0,38.0,100.0,17.0,9.0,44.0,51.0,111.0,98.0,26.0,23.0,45.0,158.0
1132,8.0,17.0,37.0,11.0,36.0,18.0,46.0,10.0,5.0,56.0,53.0,38.0,107.0,69.0,34.0,98.0,61.0,57.0,80.0,82.0,27.0,31.0,66.0,75.0,23.0,47.0,21.0,78.0,41.0,70.0
1181,10.0,4.0,7.0,42.0,51.0,19.0,38.0,153.0,82.0,21.0,94.0,37.0,104.0,57.0,17.0,79.0,76.0,18.0,117.0,47.0,80.0,121.0,53.0,54.0,114.0,87.0,103.0,99.0,66.0,48.0
1230,8.0,5.0,17.0,23.0,13.0,20.0,76.0,95.0,68.0,28.0,14.0,70.0,12.0,73.0,6.0,111.0,52.0,34.0,138.0,58.0,36.0,39.0,144.0,72.0,81.0,108.0,77.0,53.0,60.0,10.0
1279,4.0,2.0,8.0,53.0,31.0,34.0,101.0,148.0,3.0,29.0,16.0,102.0,39.0,139.0,114.0,83.0,35.0,156.0,81.0,63.0,65.0,10.0,19.0,100.0,28.0,94.0,33.0,61.0,12.0,52.0
1328,5.0,48.0,0.0,16.0,11.0,89.0,105.0,136.0,127.0,36.0,98.0,41.0,40.0,12.0,124.0,39.0,35.0,42.0,31.0,117.0,80.0,101.0,9.0,43.0,59.0,60.0,20.0,24.0,49.0,7.0
1377,6.0,5.0,12.0,22.0,8.0,24.0,139.0,105.0,62.0,26.0,43.0,52.0,9.0,88.0,91.0,80.0,73.0,18.0,81.0,119.0,55.0,31.0,74.0,65.0,57.0,56.0,61.0,54.0,53.0,59.0
1426,10.0,2.0,12.0,25.0,29.0,114.0,78.0,85.0,3.0,43.0,14.0,18.0,34.0,124.0,42.0,92.0,55.0,8.0,33.0,35.0,136.0,38.0,163.0,74.0,22.0,15.0,11.0,19.0,88.0,56.0
1475,10.0,7.0,62.0,22.0,33.0,18.0,125.0,80.0,0.0,21.0,160.0,84.0,133.0,49.0,63.0,68.0,42.0,119.0,61.0,123.0,11.0,41.0,145.0,90.0,114.0,15.0,95.0,60.0,103.0,57.0
1524,47.0,4.0,64.0,57.0,12.0,53.0,56.0,13.0,137.0,60.0,85.0,8.0,141.0,17.0,62.0,44.0,24.0,61.0,23.0,122.0,30.0,117.0,33.0,104.0,14.0,49.0,97.0,75.0,84.0,70.0
1573,17.0,143.0,67.0,72.0,8.0,15.0,105.0,108.0,88.0,41.0,117.0,137.0,50.0,18.0,87.0,23.0,37.0,82.0,94.0,7.0,140.0,16.0,68.0,11.0,66.0,21.0,62.0,63.0,49.0,10.0
1622,2.0,161.0,144.0,33.0,7.0,81.0,5.0,160.0,115.0,30.0,32.0,58.0,93.0,39.0,63.0,9.0,41.0,19.0,99.0,11.0,68.0,122.0,57.0,48.0,55.0,3.0,87.0,74.0,31.0,146.0
1671,133.0,7.0,3.0,43.0,35.0,21.0,121.0,53.0,28.0,25.0,96.0,77.0,31.0,63.0,20.0,2.0,64.0,47.0,8.0,17.0,61.0,160.0,110.0,101.0,83.0,56.0,116.0,41.0,46.0,54.0
1720,5.0,29.0,62.0,69.0,45.0,13.0,53.0,105.0,33.0,39.0,135.0,38.0,42.0,72.0,57.0,28.0,15.0,37.0,50.0,119.0,0.0,54.0,64.0,24.0,26.0,86.0,125.0,67.0,126.0,32.0
1769,99.0,4.0,32.0,39.0,25.0,28.0,144.0,117.0,136.0,68.0,79.0,81.0,33.0,2.0,26.0,163.0,46.0,96.0,50.0,0.0,59.0,78.0,75.0,7.0,82.0,14.0,57.0,34.0,21.0,42.0
1818,98.0,28.0,56.0,61.0,93.0,71.0,9.0,8.0,102.0,67.0,76.0,6.0,140.0,1.0,66.0,47.0,65.0,31.0,13.0,5.0,68.0,149.0,101.0,96.0,59.0,51.0,88.0,91.0,16.0,3.0
1867,43.0,79.0,5.0,16.0,35.0,121.0,11.0,49.0,7.0,20.0,84.0,52.0,41.0,93.0,36.0,34.0,65.0,45.0,26.0,9.0,59.0,60.0,17.0,54.0,74.0,62.0,92.0,94.0,137.0,73.0
1916,11.0,108.0,52.0,12.0,9.0,32.0,22.0,16.0,55.0,101.0,141.0,160.0,40.0,68.0,79.0,18.0,39.0,41.0,53.0,4.0,31.0,84.0,27.0,67.0,57.0,10.0,127.0,30.0,17.0,150.0
1965,13.0,23.0,29.0,21.0,12.0,20.0,19.0,135.0,0.0,103.0,56.0,34.0,4.0,45.0,125.0,50.0,74.0,52.0,54.0,7.0,136.0,162.0,14.0,25.0,2.0,69.0,70.0,75.0,40.0,153.0
2014,1.0,32.0,150.0,40.0,24.0,101.0,2.0,38.0,134.0,19.0,45.0,20.0,11.0,47.0,12.0,68.0,90.0,13.0,69.0,117.0,6.0,87.0,64.0,37.0,84.0,10.0,54.0,62.0,31.0,4.0
2063,5.0,4.0,2.0,18.0,24.0,12.0,6.0,17.0,1.0,27.0,20.0,16.0,29.0,72.0,14.0,34.0,78.0,44.0,51.0,56.0,3.0,110.0,65.0,23.0,62.0,0.0,57.0,77.0,121.0,148.0
2112,30.0,6.0,146.0,73.0,49.0,50.0,11.0,140.0,0.0,76.0,54.0,96.0,8.0,103.0,117.0,42.0,101.0,114.0,55.0,137.0,23.0,119.0,38.0,59.0,92.0,115.0,65.0,91.0,68.0,24.0
2161,6.0,154.0,1.0,27.0,41.0,72.0,0.0,92.0,43.0,56.0,50.0,20.0,14.0,37.0,35.0,62.0,68.0,82.0,102.0,36.0,67.0,156.0,2.0,31.0,83.0,143.0,21.0,44.0,130.0,26.0
2210,9.0,18.0,45.0,61.0,44.0,32.0,1.0,82.0,2.0,86.0,19.0,72.0,104.0,66.0,125.0,103.0,83.0,53.0,30.0,6.0,25.0,160.0,54.0,37.0,51.0,147.0,90.0,85.0,47.0,97.0
2259,17.0,6.0,60.0,47.0,54.0,26.0,9.0,50.0,40.0,38.0,28.0,63.0,66.0,51.0,43.0,89.0,52.0,99.0,93.0,88.0,25.0,136.0,157.0,53.0,16.0,59.0,123.0,101.0,119.0,114.0
2308,15.0,3.0,100.0,39.0,52.0,78.0,16.0,154.0,139.0,76.0,17.0,11.0,47.0,86.0,81.0,13.0,95.0,103.0,79.0,58.0,6.0,114.0,41.0,28.0,53.0,8.0,94.0,62.0,14.0,18.0
2357,3.0,8.0,62.0,25.0,57.0,13.0,16.0,7.0,2.0,75.0,69.0,28.0,12.0,10.0,54.0,45.0,44.0,61.0,94.0,81.0,20.0,97.0,53.0,88.0,23.0,40.0,11.0,41.0,21.0,51.0
2406,6.0,18.0,28.0,29.0,30.0,22.0,3.0,135.0,32.0,26.0,19.0,9.0,4.0,27.0,23.0,84.0,72.0,112.0,83.0,70.0,141.0,20.0,46.0,59.0,16.0,14.0,0.0,73.0,37.0,95.0
2455,62.0,44.0,43.0,34.0,17.0,67.0,157.0,49.0,61.0,22.0,70.0,60.0,116.0,20.0,92.0,33.0,19.0,7.0,16.0,11.0,4.0,53.0,59.0,27.0,68.0,104.0,131.0,84.0,50.0,12.0
2504,91.0,2.0,6.0,50.0,37.0,71.0,1.0,163.0,142.0,46.0,28.0,9.0,67.0,59.0,141.0,56.0,40.0,90.0,113.0,107.0,5.0,7.0,45.0,10.0,121.0,102.0,69.0,52.0,77.0,149.0
2553,97.0,161.0,22.0,32.0,17.0,103.0,45.0,63.0,136.0,38.0,29.0,58.0,24.0,68.0,35.0,31.0,15.0,43.0,30.0,85.0,47.0,53.0,56.0,5.0,79.0,89.0,127.0,46.0,12.0,77.0
2602,117.0,62.0,11.0,47.0,22.0,56.0,32.0,36.0,126.0,55.0,18.0,41.0,61.0,12.0,158.0,54.0,50.0,107.0,48.0,124.0,24.0,40.0,28.0,139.0,26.0,9.0,125.0,93.0,8.0,152.0
2651,21.0,120.0,15.0,61.0,16.0,99.0,90.0,98.0,13.0,27.0,71.0,17.0,0.0,147.0,45.0,44.0,37.0,35.0,78.0,76.0,141.0,72.0,25.0,89.0,5.0,40.0,46.0,38.0,91.0,59.0
2700,95.0,154.0,17.0,26.0,11.0,83.0,12.0,31.0,53.0,18.0,36.0,47.0,79.0,42.0,32.0,3.0,43.0,68.0,105.0,2.0,27.0,64.0,16.0,35.0,111.0,145.0,121.0,78.0,69.0,29.0
2749,29.0,59.0,45.0,6.0,23.0,115.0,158.0,67.0,21.0,30.0,16.0,65.0,2.0,79.0,7.0,162.0,33.0,31.0,44.0,55.0,9.0,17.0,36.0,163.0,13.0,28.0,89.0,64.0,57.0,3.0
2798,47.0,40.0,49.0,28.0,25.0,114.0,87.0,3.0,132.0,12.0,92.0,44.0,138.0,2.0,131.0,23.0,17.0,51.0,27.0,39.0,50.0,42.0,37.0,105.0,153.0,45.0,88.0,78.0,38.0,35.0
2847,36.0,133.0,19.0,18.0,31.0,44.0,67.0,25.0,117.0,24.0,29.0,60.0,125.0,115.0,48.0,51.0,42.0,94.0,72.0,10.0,7.0,161.0,47.0,64.0,71.0,52.0,26.0,80.0,8.0,20.0
2896,11.0,140.0,38.0,28.0,39.0,101.0,7.0,43.0,127.0,21.0,6.0,18.0,44.0,131.0,50.0,56.0,37.0,154.0,4.0,16.0,15.0,132.0,61.0,45.0,99.0,64.0,109.0,72.0,90.0,73.0
2945,8.0,5.0,22.0,27.0,31.0,10.0,6.0,44.0,3.0,32.0,17.0,75.0,26.0,57.0,40.0,63.0,72.0,20.0,35.0,29.0,159.0,55.0,50.0,43.0,18.0,34.0,12.0,69.0,23.0,16.0
2994,11.0,61.0,28.0,41.0,21.0,3.0,57.0,14.0,4.0,62.0,84.0,79.0,128.0,25.0,59.0,30.0,42.0,13.0,36.0,65.0,143.0,19.0,72.0,29.0,56.0,16.0,50.0,40.0,105.0,151.0
3043,1.0,4.0,24.0,13.0,21.0,7.0,34.0,100.0,40.0,42.0,15.0,57.0,55.0,156.0,132.0,118.0,36.0,50.0,48.0,136.0,39.0,51.0,142.0,3.0,86.0,20.0,38.0,25.0,56.0,116.0
3092,50.0,3.0,22.0,44.0,52.0,70.0,131.0,5.0,34.0,41.0,33.0,31.0,35.0,11.0,47.0,77.0,59.0,130.0,18.0,12.0,37.0,38.0,81.0,111.0,110.0,98.0,69.0,66.0,61.0,148.0
3141,9.0,65.0,35.0,36.0,34.0,19.0,102.0,42.0,0.0,57.0,52.0,83.0,55.0,157.0,84.0,89.0,67.0,123.0,56.0,6.0,3.0,49.0,145.0,25.0,63.0,86.0,27.0,48.0,114.0,100.0
3190,6.0,54.0,149.0,8.0,37.0,14.0,23.0,47.0,5.0,89.0,13.0,62.0,120.0,109.0,64.0,155.0,105.0,16.0,70.0,50.0,28.0,22.0,27.0,116.0,55.0,78.0,17.0,18.0,68.0,24.0
3239,17.0,3.0,8.0,33.0,34.0,1.0,127.0,36.0,18.0,23.0,47.0,29.0,42.0,43.0,38.0,55.0,68.0,136.0,97.0,76.0,27.0,14.0,7.0,83.0,45.0,50.0,16.0,31.0,60.0,146.0
3288,9.0,1.0,154.0,28.0,47.0,10.0,34.0,16.0,11.0,56.0,36.0,5.0,20.0,31.0,3.0,162.0,107.0,99.0,40.0,15.0,29.0,19.0,77.0,4.0,65.0,45.0,127.0,51.0,94.0,62.0
3337,6.0,10.0,19.0,54.0,53.0,1.0,75.0,5.0,17.0,62.0,25.0,15.0,14.0,136.0,0.0,94.0,66.0,109.0,43.0,73.0,132.0,60.0,151.0,12.0,64.0,35.0,23.0,18.0,102.0,38.0
3386,1.0,62.0,45.0,68.0,65.0,30.0,20.0,2.0,0.0,53.0,107.0,69.0,89.0,159.0,11.0,16.0,70.0,115.0,28.0,125.0,8.0,44.0,48.0,56.0,117.0,40.0,15.0,58.0,73.0,10.0
3435,8.0,0.0,64.0,68.0,41.0,29.0,31.0,19.0,1.0,48.0,46.0,81.0,7.0,9.0,43.0,50.0,61.0,63.0,67.0,140.0,114.0,150.0,13.0,75.0,28.0,148.0,10.0,60.0,71.0,113.0
3484,11.0,0.0,2.0,27.0,17.0,18.0,37.0,57.0,1.0,46.0,60.0,36.0,91.0,85.0,117.0,23.0,103.0,25.0,48.0,24.0,70.0,67.0,15.0,143.0,76.0,158.0,108.0,75.0,80.0,160.0
3533,26.0,3.0,13.0,15.0,45.0,31.0,136.0,27.0,0.0,82.0,30.0,18.0,25.0,40.0,9.0,64.0,101.0,69.0,68.0,43.0,5.0,17.0,42.0,11.0,103.0,57.0,33.0,49.0,76.0,148.0
3582,6.0,1.0,70.0,30.0,69.0,19.0,68.0,3.0,4.0,45.0,24.0,94.0,13.0,20.0,105.0,48.0,66.0,39.0,73.0,74.0,111.0,156.0,12.0,109.0,44.0,103.0,32.0,89.0,107.0,40.0
3631,14.0,20.0,37.0,22.0,12.0,76.0,1.0,8.0,36.0,16.0,19.0,95.0,15.0,33.0,97.0,93.0,63.0,28.0,64.0,115.0,34.0,56.0,47.0,84.0,68.0,121.0,29.0,57.0,31.0,147.0
3680,89.0,91.0,5.0,11.0,67.0,46.0,13.0,128.0,69.0,50.0,37.0,152.0,9.0,14.0,81.0,113.0,77.0,20.0,65.0,2.0,109.0,151.0,34.0,149.0,42.0,92.0,47.0,28.0,97.0,6.0
3729,20.0,66.0,34.0,45.0,23.0,29.0,101.0,35.0,0.0,46.0,79.0,5.0,24.0,31.0,32.0,43.0,78.0,22.0,71.0,76.0,70.0,127.0,3.0,21.0,11.0,150.0,88.0,103.0,15.0,44.0
3778,20.0,2.0,8.0,27.0,39.0,19.0,36.0,95.0,0.0,60.0,82.0,35.0,56.0,23.0,10.0,62.0,42.0,122.0,26.0,98.0,88.0,45.0,12.0,55.0,54.0,74.0,120.0,50.0,107.0,97.0
3827,16.0,17.0,30.0,23.0,54.0,10.0,31.0,11.0,0.0,63.0,97.0,88.0,2.0,14.0,1.0,62.0,76.0,29.0,49.0,78.0,26.0,3.0,43.0,161.0,53.0,58.0,65.0,51.0,36.0,71.0
3876,20.0,36.0,10.0,53.0,58.0,27.0,25.0,8.0,137.0,17.0,1.0,42.0,52.0,26.0,92.0,56.0,49.0,7.0,23.0,19.0,109.0,127.0,15.0,77.0,24.0,57.0,95.0,38.0,11.0,151.0
3925,13.0,39.0,61.0,22.0,71.0,31.0,41.0,2.0,1.0,50.0,73.0,19.0,129.0,12.0,33.0,48.0,69.0,135.0,8.0,16.0,151.0,26.0,10.0,93.0,52.0,9.0,27.0,57.0,127.0,4.0
3974,24.0,21.0,8.0,23.0,26.0,12.0,29.0,136.0,98.0,54.0,107.0,49.0,121.0,36.0,5.0,31.0,52.0,19.0,77.0,22.0,112.0,16.0,47.0,83.0,59.0,101.0,87.0,35.0,93.0,65.0
4023,28.0,2.0,13.0,51.0,29.0,53.0,37.0,74.0,135.0,23.0,64.0,33.0,97.0,14.0,11.0,48.0,46.0,35.0,96.0,9.0,157.0,24.0,77.0,101.0,41.0,145.0,72.0,38.0,17.0,146.0
4072,66.0,114.0,14.0,59.0,30.0,51.0,2.0,102.0,126.0,18.0,99.0,12.0,27.0,89.0,77.0,67.0,37.0,70.0,45.0,0.0,61.0,22.0,48.0,42.0,31.0,57.0,34.0,13.0,81.0,8.0
4121,77.0,25.0,11.0,46.0,8.0,85.0,23.0,98.0,69.0,42.0,26.0,36.0,0.0,74.0,28.0,152.0,59.0,86.0,43.0,68.0,30.0,14.0,51.0,80.0,104.0,73.0,56.0,48.0,38.0,144.0
4170,20.0,12.0,15.0,24.0,23.0,25.0,42.0,34.0,11.0,53.0,79.0,56.0,63.0,18.0,88.0,121.0,62.0,48.0,52.0,30.0,70.0,43.0,28.0,38.0,72.0,81.0,13.0,58.0,46.0,32.0
4219,8.0,29.0,9.0,21.0,16.0,105.0,120.0,18.0,17.0,95.0,20.0,46.0,26.0,13.0,79.0,156.0,91.0,110.0,40.0,33.0,32.0,153.0,75.0,6.0,62.0,52.0,57.0,55.0,34.0,51.0
4268,7.0,156.0,6.0,43.0,36.0,102.0,21.0,154.0,63.0,59.0,16.0,19.0,14.0,60.0,42.0,4.0,84.0,100.0,101.0,52.0,32.0,5.0,25.0,49.0,64.0,65.0,27.0,26.0,78.0,40.0
4317,16.0,15.0,5.0,43.0,67.0,9.0,37.0,96.0,14.0,27.0,21.0,35.0,82.0,60.0,29.0,56.0,80.0,13.0,158.0,22.0,39.0,51.0,54.0,48.0,45.0,20.0,44.0,72.0,36.0,25.0
4366,3.0,0.0,26.0,45.0,70.0,84.0,43.0,152.0,29.0,59.0,15.0,39.0,34.0,12.0,102.0,89.0,41.0,101.0,61.0,42.0,92.0,76.0,19.0,65.0,98.0,71.0,78.0,50.0,46.0,47.0
4415,2.0,3.0,34.0,47.0,31.0,48.0,124.0,30.0,115.0,67.0,53.0,160.0,27.0,85.0,51.0,91.0,78.0,60.0,37.0,64.0,152.0,12.0,6.0,28.0,43.0,10.0,35.0,46.0,128.0,61.0
4464,5.0,0.0,3.0,27.0,13.0,94.0,144.0,139.0,116.0,26.0,23.0,60.0,103.0,9.0,127.0,12.0,41.0,108.0,21.0,97.0,72.0,83.0,57.0,98.0,89.0,58.0,69.0,42.0,48.0,151.0
4513,7.0,1.0,14.0,67.0,52.0,59.0,145.0,34.0,39.0,100.0,58.0,54.0,36.0,19.0,5.0,10.0,25.0,23.0,62.0,108.0,75.0,155.0,44.0,37.0,43.0,41.0,120.0,87.0,49.0,151.0
4562,8.0,15.0,87.0,28.0,19.0,88.0,74.0,21.0,85.0,34.0,9.0,158.0,108.0,105.0,47.0,43.0,31.0,13.0,49.0,7.0,82.0,18.0,91.0,29.0,81.0,50.0,136.0,64.0,0.0,11.0
4611,11.0,4.0,47.0,59.0,82.0,84.0,29.0,8.0,117.0,52.0,18.0,76.0,124.0,1.0,65.0,22.0,33.0,31.0,25.0,24.0,103.0,95.0,153.0,13.0,96.0,152.0,23.0,43.0,101.0,155.0
4660,15.0,5.0,7.0,29.0,4.0,68.0,131.0,10.0,124.0,47.0,85.0,3.0,72.0,78.0,93.0,26.0,40.0,77.0,35.0,61.0,6.0,63.0,154.0,75.0,18.0,23.0,1.0,64.0,62.0,36.0
4709,8.0,2.0,112.0,22.0,85.0,38.0,35.0,15.0,140.0,10.0,32.0,27.0,30.0,29.0,99.0,13.0,66.0,11.0,101.0,19.0,9.0,47.0,149.0,93.0,31.0,91.0,18.0,55.0,89.0,150.0
4758,7.0,16.0,73.0,27.0,18.0,97.0,32.0,139.0,108.0,15.0,49.0,161.0,4.0,5.0,20.0,34.0,35.0,110.0,103.0,25.0,19.0,41.0,83.0,13.0,79.0,54.0,53.0,71.0,50.0,88.0
4807,7.0,24.0,28.0,22.0,44.0,98.0,13.0,32.0,25.0,91.0,93.0,9.0,48.0,29.0,105.0,30.0,68.0,77.0,65.0,17.0,150.0,64.0,1.0,0.0,117.0,12.0,11.0,66.0,27.0,23.0
4856,10.0,1.0,97.0,30.0,20.0,117.0,57.0,73.0,88.0,29.0,58.0,41.0,80.0,21.0,121.0,4.0,24.0,105.0,22.0,5.0,140.0,54.0,156.0,12.0,39.0,16.0,23.0,46.0,98.0,126.0
