,hsa-miR-218,hsa-miR-579,hsa-miR-342-3p,hsa-let-7e,hsa-miR-1283,hsa-miR-328,hsa-miR-137,hsa-miR-30a,hsa-miR-9,hsa-miR-371-3p,hsa-miR-551a,hsa-miR-363,ebv-miR-BART18-5p,hsa-miR-324-3p,hsa-miR-30c,hsa-miR-1287,hsa-miR-499-3p,hsa-miR-548m,hsa-miR-99a,hsa-miR-1266,hsa-miR-582-5p,ebv-miR-BART16,hsa-miR-521,hsa-miR-211,hsa-miR-764,hsa-miR-1281,hsa-miR-516a-5p,hsv1-miR-H8,hsa-miR-10b,hsa-miR-210
1929,0.0,2.0,15.0,1.0,5.0,17.0,63.0,52.0,27.0,19.0,467.0,18.0,47.0,13.0,79.0,12.0,7.0,201.0,107.0,179.0,114.0,243.0,117.0,281.0,67.0,223.0,98.0,22.0,167.0,9.0
1978,0.0,62.0,4.0,1.0,25.0,16.0,163.0,30.0,9.0,28.0,5.0,3.0,31.0,20.0,13.0,50.0,110.0,2.0,280.0,33.0,84.0,17.0,59.0,14.0,10.0,32.0,273.0,234.0,46.0,35.0
2027,2.0,1.0,4.0,0.0,142.0,6.0,122.0,10.0,3.0,7.0,160.0,5.0,196.0,119.0,24.0,405.0,17.0,23.0,171.0,100.0,322.0,59.0,274.0,20.0,333.0,305.0,389.0,397.0,22.0,12.0
2076,0.0,3.0,1.0,27.0,208.0,6.0,130.0,26.0,5.0,35.0,16.0,14.0,37.0,193.0,2.0,58.0,118.0,22.0,4.0,18.0,230.0,53.0,210.0,157.0,180.0,17.0,102.0,67.0,30.0,350.0
2125,0.0,1.0,6.0,3.0,9.0,56.0,29.0,4.0,5.0,23.0,370.0,8.0,118.0,179.0,7.0,75.0,98.0,2.0,274.0,60.0,127.0,89.0,73.0,131.0,299.0,91.0,51.0,472.0,15.0,415.0
2174,2.0,0.0,9.0,5.0,30.0,15.0,4.0,3.0,14.0,326.0,66.0,11.0,18.0,92.0,1.0,416.0,43.0,10.0,12.0,52.0,566.0,36.0,155.0,42.0,299.0,108.0,521.0,337.0,17.0,131.0
2223,0.0,4.0,10.0,29.0,6.0,8.0,347.0,2.0,7.0,11.0,134.0,3.0,151.0,120.0,9.0,320.0,60.0,147.0,20.0,5.0,449.0,146.0,50.0,130.0,97.0,86.0,28.0,461.0,14.0,82.0
2272,1.0,0.0,7.0,4.0,37.0,2.0,10.0,6.0,3.0,13.0,61.0,30.0,34.0,84.0,23.0,152.0,33.0,365.0,24.0,18.0,52.0,5.0,262.0,44.0,298.0,129.0,86.0,167.0,88.0,15.0
2321,0.0,2.0,4.0,1.0,5.0,27.0,15.0,3.0,12.0,117.0,53.0,8.0,17.0,41.0,7.0,602.0,109.0,21.0,9.0,38.0,147.0,101.0,180.0,236.0,19.0,131.0,13.0,328.0,50.0,297.0
2370,0.0,3.0,1.0,2.0,29.0,4.0,12.0,7.0,5.0,58.0,147.0,22.0,14.0,125.0,35.0,218.0,366.0,155.0,8.0,154.0,492.0,36.0,172.0,38.0,44.0,54.0,101.0,27.0,21.0,416.0
2419,0.0,2.0,9.0,1.0,231.0,119.0,58.0,6.0,3.0,20.0,53.0,29.0,82.0,312.0,4.0,162.0,40.0,31.0,22.0,47.0,96.0,568.0,368.0,230.0,12.0,152.0,161.0,124.0,66.0,123.0
2468,1.0,4.0,2.0,67.0,47.0,0.0,18.0,7.0,53.0,431.0,35.0,6.0,63.0,112.0,525.0,5.0,8.0,26.0,319.0,17.0,14.0,30.0,295.0,238.0,16.0,192.0,139.0,214.0,219.0,83.0
2517,0.0,48.0,5.0,13.0,7.0,9.0,87.0,34.0,6.0,8.0,10.0,21.0,29.0,27.0,138.0,12.0,1.0,90.0,69.0,105.0,84.0,19.0,16.0,40.0,232.0,26.0,195.0,541.0,206.0,102.0
2566,0.0,1.0,17.0,114.0,12.0,28.0,14.0,138.0,112.0,23.0,8.0,253.0,15.0,20.0,101.0,6.0,11.0,64.0,81.0,45.0,54.0,273.0,39.0,147.0,207.0,141.0,63.0,334.0,227.0,2.0
2615,0.0,1.0,2.0,3.0,38.0,6.0,8.0,4.0,14.0,212.0,22.0,11.0,45.0,33.0,9.0,34.0,10.0,16.0,624.0,138.0,26.0,20.0,104.0,36.0,28.0,169.0,53.0,110.0,15.0,92.0
2664,1.0,14.0,0.0,15.0,95.0,5.0,130.0,6.0,232.0,51.0,550.0,48.0,235.0,3.0,9.0,2.0,40.0,112.0,10.0,371.0,34.0,43.0,100.0,38.0,82.0,56.0,262.0,32.0,286.0,42.0
2713,0.0,15.0,1.0,19.0,6.0,5.0,192.0,36.0,85.0,9.0,25.0,64.0,28.0,7.0,32.0,4.0,2.0,54.0,455.0,384.0,56.0,97.0,137.0,282.0,62.0,31.0,59.0,144.0,47.0,22.0
2762,0.0,3.0,1.0,5.0,91.0,9.0,13.0,6.0,214.0,14.0,100.0,68.0,32.0,368.0,76.0,26.0,35.0,45.0,12.0,20.0,4.0,25.0,426.0,70.0,28.0,33.0,170.0,55.0,82.0,10.0
2811,0.0,1.0,4.0,39.0,119.0,13.0,29.0,3.0,68.0,82.0,182.0,7.0,36.0,91.0,11.0,32.0,17.0,5.0,159.0,162.0,2.0,127.0,66.0,128.0,428.0,16.0,41.0,54.0,455.0,306.0
2860,0.0,1.0,7.0,3.0,9.0,53.0,279.0,58.0,441.0,11.0,85.0,14.0,31.0,15.0,132.0,5.0,26.0,38.0,366.0,41.0,64.0,71.0,55.0,82.0,18.0,92.0,179.0,96.0,27.0,4.0
2909,0.0,2.0,1.0,4.0,313.0,5.0,9.0,40.0,131.0,44.0,64.0,32.0,79.0,65.0,11.0,59.0,10.0,20.0,43.0,219.0,52.0,18.0,143.0,23.0,72.0,173.0,160.0,35.0,301.0,3.0
2958,0.0,1.0,8.0,37.0,2.0,15.0,9.0,3.0,4.0,49.0,5.0,12.0,20.0,44.0,113.0,11.0,29.0,26.0,339.0,103.0,30.0,24.0,597.0,69.0,97.0,10.0,109.0,489.0,72.0,22.0
3007,0.0,3.0,22.0,12.0,6.0,1.0,2.0,5.0,8.0,70.0,250.0,10.0,4.0,65.0,57.0,24.0,116.0,259.0,20.0,414.0,108.0,52.0,316.0,27.0,33.0,246.0,261.0,378.0,435.0,49.0
3056,0.0,16.0,10.0,20.0,1.0,23.0,3.0,9.0,7.0,49.0,5.0,80.0,178.0,2.0,27.0,12.0,76.0,15.0,179.0,173.0,66.0,502.0,25.0,41.0,237.0,75.0,28.0,26.0,128.0,81.0
3105,1.0,12.0,19.0,3.0,9.0,5.0,0.0,153.0,20.0,2.0,16.0,11.0,77.0,18.0,80.0,23.0,116.0,6.0,182.0,17.0,45.0,620.0,304.0,42.0,34.0,74.0,48.0,33.0,112.0,117.0
3154,0.0,4.0,19.0,2.0,3.0,12.0,1.0,33.0,5.0,60.0,162.0,84.0,258.0,64.0,7.0,26.0,140.0,17.0,175.0,89.0,184.0,29.0,13.0,11.0,131.0,48.0,230.0,24.0,16.0,74.0
3203,0.0,16.0,1.0,518.0,4.0,6.0,3.0,137.0,5.0,68.0,146.0,15.0,14.0,71.0,84.0,388.0,116.0,64.0,36.0,34.0,2.0,11.0,17.0,170.0,99.0,184.0,93.0,225.0,30.0,31.0
3252,1.0,3.0,4.0,481.0,0.0,35.0,11.0,22.0,207.0,23.0,32.0,8.0,364.0,54.0,41.0,50.0,78.0,95.0,343.0,12.0,20.0,368.0,121.0,24.0,199.0,9.0,290.0,38.0,119.0,79.0
3301,0.0,1.0,6.0,34.0,9.0,2.0,29.0,14.0,5.0,4.0,27.0,13.0,7.0,19.0,100.0,15.0,403.0,295.0,24.0,17.0,26.0,178.0,31.0,36.0,235.0,25.0,42.0,48.0,12.0,60.0
3350,0.0,3.0,4.0,9.0,1.0,29.0,16.0,7.0,6.0,26.0,18.0,15.0,2.0,56.0,8.0,25.0,150.0,17.0,69.0,107.0,24.0,204.0,103.0,138.0,38.0,11.0,30.0,114.0,126.0,115.0
3399,0.0,2.0,12.0,8.0,4.0,7.0,11.0,1.0,6.0,181.0,191.0,3.0,151.0,13.0,134.0,214.0,117.0,17.0,14.0,78.0,101.0,303.0,20.0,25.0,149.0,49.0,10.0,199.0,451.0,84.0
3448,0.0,7.0,12.0,2.0,1.0,66.0,257.0,19.0,6.0,21.0,61.0,174.0,5.0,3.0,29.0,84.0,153.0,79.0,442.0,432.0,10.0,130.0,13.0,26.0,8.0,51.0,68.0,72.0,176.0,167.0
3497,0.0,3.0,4.0,12.0,1.0,7.0,62.0,251.0,28.0,324.0,73.0,351.0,25.0,20.0,76.0,37.0,90.0,128.0,80.0,11.0,8.0,14.0,34.0,138.0,59.0,317.0,17.0,42.0,13.0,204.0
3546,0.0,1.0,19.0,102.0,7.0,5.0,63.0,58.0,37.0,8.0,42.0,146.0,2.0,80.0,143.0,15.0,124.0,371.0,210.0,49.0,20.0,13.0,4.0,23.0,18.0,169.0,6.0,114.0,9.0,93.0
3595,0.0,2.0,21.0,5.0,18.0,3.0,91.0,19.0,4.0,311.0,7.0,17.0,28.0,20.0,181.0,33.0,414.0,251.0,208.0,9.0,56.0,30.0,161.0,35.0,347.0,209.0,29.0,163.0,22.0,15.0
3644,0.0,21.0,1.0,4.0,2.0,8.0,13.0,7.0,5.0,24.0,17.0,12.0,39.0,47.0,6.0,192.0,19.0,37.0,46.0,58.0,56.0,20.0,27.0,229.0,164.0,51.0,26.0,50.0,57.0,34.0
3693,0.0,6.0,2.0,114.0,11.0,80.0,36.0,246.0,1.0,5.0,30.0,251.0,21.0,19.0,40.0,167.0,140.0,200.0,323.0,8.0,38.0,205.0,54.0,279.0,555.0,97.0,28.0,377.0,98.0,42.0
3742,0.0,8.0,3.0,21.0,1.0,2.0,39.0,60.0,38.0,53.0,24.0,72.0,7.0,4.0,299.0,255.0,40.0,31.0,330.0,26.0,144.0,175.0,66.0,52.0,369.0,29.0,10.0,47.0,99.0,14.0
3791,0.0,3.0,4.0,49.0,1.0,21.0,44.0,66.0,34.0,17.0,11.0,563.0,38.0,52.0,167.0,170.0,95.0,202.0,24.0,32.0,8.0,362.0,20.0,120.0,28.0,12.0,18.0,74.0,5.0,25.0
3840,0.0,8.0,3.0,2.0,4.0,44.0,51.0,192.0,1.0,21.0,5.0,24.0,66.0,6.0,36.0,459.0,199.0,22.0,312.0,293.0,421.0,529.0,117.0,42.0,13.0,114.0,38.0,31.0,181.0,318.0
3889,0.0,23.0,1.0,3.0,2.0,7.0,5.0,230.0,4.0,8.0,19.0,141.0,30.0,18.0,57.0,250.0,134.0,25.0,11.0,27.0,125.0,218.0,48.0,29.0,277.0,132.0,39.0,21.0,12.0,126.0
3938,1.0,7.0,2.0,52.0,4.0,47.0,157.0,0.0,24.0,113.0,6.0,139.0,58.0,29.0,18.0,205.0,36.0,37.0,43.0,140.0,217.0,16.0,44.0,13.0,104.0,90.0,25.0,66.0,461.0,45.0
3987,0.0,11.0,1.0,139.0,2.0,14.0,20.0,4.0,10.0,78.0,105.0,3.0,269.0,18.0,5.0,6.0,50.0,7.0,30.0,384.0,86.0,82.0,16.0,63.0,19.0,99.0,60.0,42.0,168.0,12.0
4036,0.0,63.0,1.0,5.0,8.0,237.0,4.0,104.0,438.0,6.0,24.0,58.0,85.0,9.0,89.0,76.0,12.0,46.0,324.0,302.0,42.0,47.0,14.0,27.0,62.0,356.0,239.0,198.0,389.0,2.0
4085,0.0,10.0,1.0,133.0,2.0,26.0,7.0,3.0,20.0,316.0,11.0,32.0,44.0,6.0,9.0,29.0,83.0,205.0,235.0,366.0,114.0,236.0,56.0,18.0,38.0,4.0,136.0,64.0,25.0,65.0
4134,3.0,1.0,0.0,14.0,5.0,11.0,2.0,6.0,66.0,13.0,9.0,240.0,23.0,16.0,7.0,4.0,17.0,26.0,67.0,73.0,36.0,51.0,18.0,12.0,45.0,21.0,128.0,31.0,122.0,563.0
4183,0.0,4.0,1.0,95.0,7.0,84.0,3.0,11.0,53.0,26.0,13.0,8.0,112.0,32.0,5.0,2.0,49.0,14.0,31.0,106.0,172.0,76.0,18.0,142.0,86.0,109.0,443.0,50.0,87.0,25.0
4232,0.0,2.0,1.0,406.0,7.0,57.0,10.0,16.0,8.0,13.0,18.0,17.0,216.0,82.0,3.0,29.0,94.0,11.0,50.0,286.0,357.0,113.0,291.0,44.0,56.0,71.0,80.0,63.0,281.0,39.0
4281,1.0,26.0,0.0,4.0,2.0,7.0,413.0,36.0,380.0,54.0,8.0,174.0,106.0,32.0,55.0,35.0,5.0,75.0,162.0,415.0,6.0,58.0,89.0,67.0,16.0,180.0,88.0,12.0,113.0,71.0
4330,0.0,2.0,5.0,10.0,1.0,4.0,33.0,8.0,9.0,66.0,26.0,28.0,176.0,3.0,19.0,22.0,11.0,17.0,169.0,57.0,30.0,20.0,18.0,230.0,200.0,16.0,7.0,58.0,385.0,69.0
4379,0.0,2.0,5.0,4.0,8.0,3.0,6.0,7.0,217.0,135.0,1.0,83.0,237.0,53.0,13.0,18.0,38.0,76.0,14.0,80.0,165.0,163.0,415.0,43.0,47.0,182.0,40.0,27.0,184.0,20.0
4428,0.0,2.0,45.0,7.0,6.0,1.0,26.0,8.0,61.0,89.0,3.0,4.0,30.0,235.0,121.0,64.0,25.0,5.0,10.0,49.0,187.0,43.0,146.0,392.0,15.0,40.0,103.0,90.0,272.0,56.0
4477,0.0,3.0,1.0,5.0,9.0,202.0,16.0,153.0,50.0,73.0,49.0,6.0,85.0,4.0,321.0,25.0,19.0,54.0,7.0,14.0,172.0,121.0,36.0,68.0,101.0,39.0,107.0,380.0,150.0,124.0
4526,0.0,1.0,2.0,3.0,4.0,13.0,11.0,5.0,19.0,104.0,36.0,469.0,18.0,45.0,6.0,12.0,80.0,259.0,28.0,20.0,31.0,107.0,26.0,137.0,75.0,201.0,69.0,553.0,38.0,301.0
4575,0.0,6.0,7.0,2.0,23.0,8.0,30.0,93.0,436.0,11.0,1.0,159.0,5.0,164.0,14.0,9.0,90.0,187.0,38.0,39.0,78.0,246.0,46.0,227.0,178.0,13.0,53.0,386.0,240.0,168.0
4624,0.0,2.0,3.0,1.0,43.0,103.0,7.0,20.0,9.0,70.0,22.0,8.0,39.0,4.0,428.0,31.0,14.0,184.0,6.0,5.0,16.0,10.0,11.0,65.0,47.0,136.0,79.0,87.0,59.0,126.0
4673,0.0,2.0,29.0,1.0,48.0,3.0,61.0,71.0,21.0,53.0,6.0,9.0,18.0,8.0,432.0,30.0,94.0,33.0,358.0,126.0,586.0,252.0,175.0,142.0,39.0,34.0,22.0,132.0,125.0,512.0
4722,0.0,19.0,2.0,1.0,155.0,26.0,4.0,11.0,60.0,15.0,58.0,24.0,6.0,13.0,3.0,8.0,10.0,117.0,89.0,7.0,114.0,81.0,46.0,50.0,55.0,97.0,482.0,92.0,133.0,368.0
4771,0.0,1.0,12.0,7.0,2.0,61.0,341.0,3.0,509.0,5.0,10.0,24.0,228.0,15.0,9.0,8.0,58.0,28.0,19.0,4.0,138.0,48.0,67.0,96.0,108.0,14.0,50.0,200.0,516.0,40.0
4820,0.0,3.0,10.0,1.0,28.0,492.0,560.0,229.0,523.0,66.0,21.0,38.0,14.0,2.0,43.0,20.0,8.0,194.0,154.0,104.0,589.0,6.0,61.0,130.0,128.0,47.0,23.0,468.0,280.0,122.0
4869,1.0,4.0,3.0,0.0,105.0,15.0,5.0,8.0,227.0,11.0,42.0,7.0,24.0,100.0,120.0,52.0,58.0,13.0,27.0,2.0,228.0,364.0,19.0,32.0,39.0,84.0,158.0,22.0,256.0,133.0
