,Akt_pS473,PTEN,p62 Lck ligand,GATA3,p14 Arf(BetA300-340A),TFRC,RAD51,MIG-6,PRAS40_pT246,VAV1,Bcl-2,MAPK_pT202_Y204,Chk1,Chk1_pS345,YAP_pS127,Akt,IRS1,Rab25,JNK2,PKC-alpha,MEK1_pS217_S221,VEGFR2,HER2_pY1248,HER2,CDK1,4E-BP1,FOXO3a,4E-BP1_pT70,c-Myc,Syk
4,0.0,1.0,12.0,25.0,54.0,2.0,3.0,27.0,5.0,96.0,18.0,4.0,7.0,6.0,38.0,36.0,10.0,37.0,13.0,68.0,65.0,14.0,11.0,33.0,19.0,39.0,105.0,30.0,131.0,42.0
53,0.0,3.0,24.0,5.0,2.0,1.0,66.0,16.0,31.0,122.0,10.0,33.0,52.0,4.0,15.0,14.0,7.0,75.0,85.0,112.0,42.0,17.0,9.0,26.0,133.0,41.0,35.0,39.0,70.0,91.0
102,0.0,1.0,4.0,92.0,2.0,7.0,10.0,3.0,9.0,23.0,8.0,22.0,148.0,25.0,44.0,6.0,5.0,21.0,38.0,32.0,81.0,72.0,11.0,26.0,12.0,103.0,74.0,17.0,18.0,152.0
151,0.0,2.0,3.0,6.0,8.0,1.0,4.0,14.0,12.0,56.0,9.0,7.0,19.0,22.0,71.0,17.0,10.0,38.0,23.0,138.0,20.0,42.0,30.0,55.0,143.0,46.0,68.0,25.0,16.0,57.0
200,0.0,1.0,20.0,7.0,9.0,2.0,11.0,43.0,4.0,76.0,10.0,14.0,26.0,3.0,78.0,5.0,25.0,31.0,13.0,50.0,16.0,46.0,67.0,44.0,47.0,29.0,133.0,6.0,82.0,45.0
249,0.0,2.0,3.0,5.0,10.0,1.0,4.0,13.0,18.0,14.0,11.0,53.0,61.0,16.0,72.0,107.0,7.0,43.0,39.0,133.0,20.0,26.0,58.0,22.0,6.0,36.0,46.0,65.0,27.0,88.0
298,0.0,2.0,20.0,66.0,5.0,1.0,3.0,18.0,46.0,68.0,34.0,6.0,93.0,28.0,13.0,63.0,4.0,97.0,12.0,10.0,16.0,9.0,65.0,17.0,45.0,11.0,101.0,42.0,58.0,105.0
347,0.0,1.0,8.0,13.0,5.0,2.0,20.0,4.0,18.0,131.0,32.0,21.0,31.0,24.0,67.0,6.0,145.0,72.0,55.0,17.0,33.0,16.0,7.0,53.0,137.0,52.0,135.0,22.0,10.0,28.0
396,0.0,3.0,6.0,7.0,1.0,2.0,9.0,4.0,26.0,131.0,8.0,12.0,18.0,5.0,13.0,24.0,32.0,53.0,125.0,41.0,66.0,33.0,21.0,25.0,34.0,76.0,146.0,17.0,10.0,28.0
445,0.0,1.0,8.0,2.0,14.0,5.0,15.0,26.0,32.0,16.0,24.0,23.0,13.0,25.0,125.0,4.0,7.0,72.0,31.0,93.0,80.0,103.0,48.0,39.0,85.0,21.0,36.0,19.0,51.0,61.0
494,2.0,1.0,23.0,5.0,16.0,57.0,18.0,11.0,52.0,3.0,24.0,25.0,10.0,7.0,6.0,26.0,109.0,0.0,14.0,48.0,8.0,33.0,55.0,72.0,98.0,78.0,71.0,4.0,37.0,22.0
543,1.0,2.0,21.0,7.0,65.0,22.0,106.0,5.0,3.0,111.0,137.0,6.0,124.0,4.0,116.0,25.0,54.0,0.0,12.0,13.0,8.0,26.0,108.0,144.0,20.0,38.0,42.0,142.0,11.0,34.0
592,1.0,0.0,26.0,2.0,39.0,14.0,9.0,27.0,25.0,19.0,32.0,13.0,81.0,6.0,15.0,17.0,35.0,7.0,5.0,11.0,4.0,18.0,114.0,67.0,12.0,52.0,33.0,10.0,87.0,3.0
641,1.0,7.0,32.0,3.0,8.0,13.0,16.0,27.0,21.0,19.0,54.0,11.0,35.0,4.0,15.0,100.0,66.0,0.0,2.0,64.0,83.0,9.0,87.0,97.0,31.0,36.0,117.0,49.0,147.0,6.0
690,1.0,0.0,34.0,31.0,13.0,67.0,6.0,10.0,3.0,27.0,84.0,23.0,86.0,65.0,35.0,8.0,118.0,2.0,4.0,9.0,28.0,57.0,127.0,41.0,19.0,79.0,93.0,36.0,60.0,12.0
739,1.0,3.0,12.0,9.0,96.0,0.0,28.0,8.0,13.0,6.0,23.0,15.0,162.0,32.0,7.0,10.0,62.0,2.0,16.0,22.0,29.0,86.0,18.0,26.0,30.0,60.0,38.0,14.0,61.0,4.0
788,1.0,2.0,11.0,3.0,9.0,12.0,37.0,7.0,90.0,41.0,47.0,17.0,94.0,5.0,13.0,86.0,23.0,0.0,10.0,109.0,18.0,14.0,96.0,53.0,33.0,21.0,100.0,8.0,116.0,4.0
837,1.0,0.0,4.0,6.0,8.0,36.0,67.0,11.0,40.0,16.0,25.0,15.0,143.0,48.0,3.0,12.0,9.0,2.0,5.0,70.0,7.0,69.0,10.0,141.0,14.0,57.0,81.0,61.0,20.0,47.0
886,1.0,5.0,4.0,0.0,35.0,69.0,17.0,3.0,30.0,20.0,11.0,86.0,109.0,66.0,10.0,26.0,12.0,2.0,9.0,43.0,55.0,7.0,115.0,44.0,82.0,84.0,6.0,29.0,45.0,14.0
935,0.0,4.0,26.0,10.0,18.0,29.0,7.0,19.0,93.0,1.0,60.0,5.0,56.0,47.0,9.0,12.0,43.0,11.0,2.0,6.0,74.0,3.0,98.0,20.0,53.0,21.0,95.0,64.0,66.0,28.0
984,0.0,1.0,6.0,8.0,133.0,40.0,35.0,4.0,2.0,66.0,59.0,9.0,7.0,82.0,22.0,93.0,21.0,72.0,10.0,18.0,41.0,5.0,69.0,50.0,125.0,84.0,13.0,12.0,25.0,19.0
1033,0.0,1.0,23.0,39.0,13.0,4.0,29.0,5.0,6.0,12.0,11.0,16.0,68.0,3.0,65.0,104.0,80.0,2.0,66.0,73.0,27.0,43.0,10.0,30.0,35.0,9.0,19.0,51.0,17.0,24.0
1082,0.0,1.0,5.0,47.0,31.0,73.0,15.0,28.0,3.0,22.0,69.0,57.0,10.0,8.0,51.0,37.0,109.0,16.0,21.0,41.0,43.0,63.0,39.0,38.0,2.0,65.0,34.0,4.0,44.0,26.0
1131,0.0,1.0,2.0,6.0,50.0,11.0,45.0,4.0,3.0,9.0,33.0,5.0,87.0,61.0,24.0,46.0,10.0,133.0,141.0,7.0,75.0,30.0,22.0,16.0,118.0,44.0,8.0,32.0,58.0,21.0
1180,0.0,1.0,6.0,4.0,51.0,10.0,60.0,2.0,3.0,88.0,47.0,9.0,14.0,15.0,34.0,119.0,36.0,99.0,24.0,31.0,18.0,23.0,21.0,7.0,87.0,97.0,45.0,104.0,12.0,8.0
1229,0.0,1.0,2.0,3.0,51.0,24.0,7.0,19.0,13.0,10.0,6.0,107.0,122.0,16.0,4.0,112.0,66.0,96.0,31.0,36.0,81.0,38.0,83.0,41.0,33.0,5.0,14.0,22.0,102.0,67.0
1278,0.0,1.0,6.0,7.0,14.0,17.0,31.0,2.0,4.0,15.0,3.0,70.0,90.0,130.0,10.0,67.0,52.0,114.0,68.0,12.0,32.0,87.0,23.0,57.0,93.0,8.0,24.0,18.0,72.0,136.0
1327,0.0,1.0,2.0,18.0,7.0,5.0,57.0,4.0,59.0,12.0,76.0,79.0,14.0,10.0,23.0,44.0,35.0,101.0,87.0,6.0,8.0,3.0,31.0,17.0,61.0,36.0,41.0,85.0,33.0,25.0
1376,1.0,0.0,2.0,4.0,20.0,12.0,16.0,24.0,3.0,26.0,11.0,34.0,18.0,9.0,88.0,48.0,57.0,158.0,58.0,98.0,35.0,30.0,29.0,100.0,17.0,50.0,21.0,44.0,6.0,36.0
1425,0.0,1.0,5.0,3.0,63.0,32.0,19.0,9.0,7.0,52.0,15.0,31.0,4.0,26.0,87.0,142.0,75.0,25.0,12.0,59.0,21.0,89.0,14.0,11.0,133.0,24.0,27.0,53.0,60.0,17.0
1474,0.0,1.0,2.0,9.0,8.0,3.0,38.0,17.0,20.0,23.0,30.0,104.0,4.0,42.0,14.0,12.0,22.0,5.0,76.0,7.0,37.0,6.0,10.0,41.0,25.0,26.0,19.0,63.0,27.0,21.0
1523,0.0,9.0,21.0,3.0,26.0,1.0,7.0,62.0,38.0,2.0,11.0,77.0,24.0,37.0,50.0,17.0,12.0,13.0,27.0,39.0,16.0,5.0,74.0,15.0,102.0,6.0,95.0,4.0,14.0,91.0
