,Akt_pS473,PTEN,p62 Lck ligand,GATA3,p14 Arf(BetA300-340A),TFRC,RAD51,MIG-6,PRAS40_pT246,VAV1,Bcl-2,MAPK_pT202_Y204,Chk1,Chk1_pS345,YAP_pS127,Akt,IRS1,Rab25,JNK2,PKC-alpha,MEK1_pS217_S221,VEGFR2,HER2_pY1248,HER2,CDK1,4E-BP1,FOXO3a,4E-BP1_pT70,c-Myc,Syk
1572,0.0,1.0,28.0,7.0,4.0,3.0,27.0,55.0,17.0,80.0,8.0,124.0,13.0,10.0,14.0,31.0,30.0,32.0,21.0,20.0,11.0,9.0,73.0,19.0,2.0,72.0,63.0,46.0,66.0,61.0
1621,0.0,11.0,1.0,2.0,27.0,8.0,10.0,5.0,13.0,4.0,38.0,55.0,3.0,30.0,54.0,23.0,9.0,14.0,16.0,7.0,75.0,35.0,77.0,20.0,43.0,71.0,86.0,136.0,90.0,12.0
1670,0.0,1.0,5.0,4.0,7.0,8.0,6.0,131.0,3.0,12.0,13.0,92.0,2.0,39.0,36.0,33.0,24.0,17.0,27.0,21.0,43.0,11.0,9.0,15.0,40.0,129.0,38.0,63.0,19.0,28.0
1719,0.0,1.0,2.0,7.0,13.0,17.0,60.0,9.0,37.0,4.0,5.0,30.0,6.0,61.0,16.0,14.0,64.0,12.0,19.0,138.0,3.0,8.0,58.0,146.0,46.0,106.0,53.0,75.0,36.0,40.0
1768,0.0,1.0,3.0,5.0,22.0,4.0,45.0,63.0,29.0,8.0,2.0,49.0,9.0,37.0,87.0,26.0,18.0,13.0,6.0,159.0,14.0,17.0,24.0,123.0,95.0,65.0,16.0,75.0,7.0,15.0
1817,1.0,0.0,9.0,4.0,16.0,5.0,2.0,32.0,11.0,18.0,47.0,19.0,26.0,146.0,102.0,14.0,50.0,3.0,17.0,31.0,81.0,24.0,36.0,10.0,29.0,41.0,105.0,87.0,76.0,71.0
1866,1.0,0.0,3.0,2.0,115.0,7.0,58.0,21.0,11.0,5.0,13.0,29.0,6.0,42.0,9.0,20.0,15.0,57.0,16.0,10.0,38.0,4.0,41.0,65.0,24.0,26.0,8.0,79.0,32.0,76.0
1915,0.0,6.0,1.0,3.0,2.0,4.0,9.0,40.0,16.0,5.0,10.0,52.0,11.0,63.0,100.0,30.0,35.0,73.0,59.0,98.0,85.0,7.0,42.0,38.0,57.0,8.0,17.0,41.0,23.0,145.0
1964,0.0,3.0,2.0,1.0,6.0,4.0,12.0,13.0,8.0,5.0,41.0,122.0,14.0,77.0,104.0,28.0,11.0,20.0,24.0,57.0,17.0,53.0,39.0,9.0,75.0,49.0,69.0,46.0,83.0,72.0
2013,0.0,2.0,1.0,20.0,4.0,6.0,8.0,3.0,23.0,37.0,18.0,56.0,12.0,117.0,88.0,22.0,41.0,59.0,9.0,118.0,7.0,61.0,17.0,13.0,10.0,43.0,32.0,72.0,33.0,60.0
2062,0.0,1.0,2.0,9.0,10.0,7.0,11.0,8.0,13.0,3.0,35.0,66.0,16.0,28.0,120.0,53.0,12.0,5.0,17.0,140.0,62.0,81.0,6.0,20.0,47.0,86.0,95.0,55.0,144.0,149.0
2111,0.0,6.0,21.0,17.0,28.0,3.0,30.0,27.0,4.0,67.0,73.0,42.0,23.0,103.0,7.0,54.0,20.0,9.0,31.0,14.0,109.0,33.0,1.0,11.0,25.0,35.0,8.0,85.0,96.0,5.0
2160,0.0,4.0,1.0,38.0,2.0,93.0,15.0,14.0,5.0,3.0,45.0,7.0,10.0,52.0,24.0,84.0,109.0,87.0,131.0,54.0,21.0,29.0,17.0,9.0,26.0,18.0,42.0,40.0,88.0,39.0
2209,0.0,1.0,2.0,24.0,3.0,66.0,9.0,40.0,6.0,8.0,22.0,7.0,104.0,88.0,5.0,13.0,11.0,30.0,18.0,34.0,17.0,12.0,14.0,21.0,67.0,43.0,19.0,100.0,78.0,55.0
2258,2.0,1.0,3.0,6.0,0.0,15.0,8.0,4.0,18.0,21.0,10.0,23.0,25.0,33.0,82.0,5.0,9.0,28.0,62.0,17.0,87.0,29.0,7.0,13.0,19.0,26.0,24.0,42.0,113.0,141.0
2307,0.0,1.0,4.0,53.0,12.0,5.0,11.0,26.0,10.0,22.0,8.0,18.0,62.0,55.0,29.0,49.0,24.0,33.0,43.0,13.0,32.0,27.0,2.0,6.0,19.0,31.0,35.0,38.0,30.0,77.0
2356,0.0,1.0,2.0,3.0,10.0,14.0,142.0,40.0,74.0,16.0,4.0,26.0,20.0,94.0,59.0,95.0,144.0,38.0,102.0,78.0,17.0,6.0,5.0,18.0,13.0,23.0,12.0,28.0,15.0,39.0
2405,0.0,54.0,1.0,12.0,2.0,4.0,13.0,16.0,25.0,14.0,15.0,56.0,9.0,66.0,29.0,8.0,110.0,18.0,7.0,3.0,67.0,6.0,10.0,23.0,5.0,43.0,37.0,32.0,98.0,55.0
2454,2.0,0.0,3.0,1.0,9.0,31.0,41.0,26.0,109.0,25.0,4.0,17.0,15.0,44.0,13.0,35.0,16.0,52.0,6.0,112.0,14.0,76.0,20.0,28.0,148.0,57.0,63.0,84.0,93.0,54.0
2503,0.0,2.0,5.0,3.0,7.0,6.0,17.0,26.0,8.0,42.0,1.0,83.0,10.0,11.0,14.0,15.0,32.0,31.0,35.0,27.0,4.0,18.0,75.0,38.0,118.0,30.0,25.0,13.0,16.0,39.0
2552,0.0,3.0,1.0,2.0,8.0,6.0,15.0,10.0,4.0,5.0,7.0,9.0,65.0,74.0,19.0,31.0,38.0,27.0,13.0,14.0,12.0,75.0,57.0,16.0,29.0,36.0,63.0,49.0,110.0,86.0
2601,0.0,2.0,1.0,3.0,5.0,7.0,65.0,6.0,62.0,40.0,4.0,11.0,12.0,30.0,8.0,71.0,21.0,31.0,68.0,105.0,16.0,50.0,23.0,47.0,27.0,39.0,32.0,9.0,67.0,83.0
2650,0.0,1.0,2.0,5.0,3.0,25.0,31.0,18.0,4.0,76.0,9.0,66.0,63.0,38.0,42.0,28.0,101.0,7.0,19.0,11.0,6.0,12.0,106.0,62.0,69.0,15.0,131.0,29.0,104.0,30.0
2699,0.0,1.0,6.0,4.0,5.0,35.0,48.0,67.0,10.0,25.0,2.0,24.0,13.0,99.0,26.0,45.0,53.0,30.0,144.0,42.0,3.0,17.0,63.0,27.0,108.0,32.0,14.0,44.0,41.0,143.0
2748,0.0,1.0,3.0,5.0,4.0,12.0,55.0,64.0,6.0,45.0,2.0,17.0,10.0,32.0,21.0,26.0,24.0,54.0,57.0,130.0,43.0,48.0,41.0,62.0,61.0,101.0,47.0,39.0,60.0,109.0
2797,0.0,1.0,3.0,5.0,21.0,22.0,20.0,33.0,24.0,27.0,8.0,12.0,9.0,48.0,10.0,46.0,4.0,100.0,34.0,47.0,2.0,69.0,7.0,40.0,95.0,43.0,14.0,70.0,29.0,136.0
2846,1.0,4.0,3.0,2.0,7.0,0.0,12.0,63.0,84.0,24.0,14.0,38.0,54.0,11.0,13.0,25.0,16.0,67.0,43.0,5.0,10.0,26.0,8.0,18.0,72.0,21.0,34.0,22.0,47.0,50.0
2895,0.0,1.0,3.0,5.0,6.0,2.0,48.0,143.0,9.0,50.0,7.0,87.0,8.0,15.0,63.0,24.0,14.0,21.0,43.0,71.0,35.0,18.0,34.0,13.0,39.0,33.0,86.0,47.0,128.0,31.0
2944,1.0,2.0,3.0,5.0,0.0,9.0,22.0,8.0,21.0,18.0,4.0,40.0,122.0,6.0,57.0,19.0,17.0,68.0,55.0,15.0,79.0,7.0,30.0,45.0,10.0,32.0,50.0,59.0,102.0,140.0
2993,0.0,1.0,3.0,11.0,8.0,9.0,57.0,12.0,2.0,18.0,4.0,39.0,16.0,71.0,13.0,54.0,7.0,87.0,52.0,43.0,42.0,63.0,5.0,6.0,75.0,154.0,24.0,74.0,19.0,95.0
3042,0.0,1.0,2.0,101.0,17.0,24.0,3.0,20.0,26.0,6.0,38.0,8.0,5.0,22.0,7.0,36.0,64.0,54.0,27.0,28.0,10.0,4.0,19.0,13.0,15.0,68.0,37.0,113.0,11.0,12.0
3091,0.0,1.0,3.0,58.0,2.0,4.0,9.0,48.0,34.0,6.0,11.0,59.0,73.0,54.0,105.0,36.0,8.0,5.0,14.0,10.0,22.0,21.0,15.0,44.0,20.0,23.0,108.0,7.0,26.0,51.0
3140,0.0,2.0,7.0,34.0,1.0,33.0,10.0,20.0,46.0,4.0,18.0,103.0,29.0,11.0,3.0,23.0,8.0,40.0,12.0,27.0,5.0,59.0,16.0,115.0,26.0,21.0,19.0,17.0,13.0,96.0
3189,0.0,2.0,4.0,3.0,7.0,36.0,5.0,20.0,59.0,9.0,21.0,15.0,31.0,10.0,25.0,43.0,54.0,28.0,80.0,13.0,41.0,18.0,39.0,89.0,14.0,32.0,1.0,38.0,42.0,27.0
3238,0.0,2.0,5.0,3.0,1.0,9.0,4.0,8.0,30.0,12.0,37.0,23.0,74.0,6.0,18.0,51.0,82.0,24.0,14.0,21.0,11.0,15.0,34.0,31.0,29.0,20.0,148.0,17.0,36.0,119.0
3287,0.0,1.0,4.0,39.0,13.0,10.0,3.0,9.0,5.0,26.0,42.0,25.0,27.0,8.0,52.0,21.0,12.0,114.0,24.0,17.0,28.0,35.0,6.0,34.0,108.0,50.0,37.0,122.0,19.0,40.0
3336,0.0,1.0,17.0,25.0,28.0,6.0,9.0,4.0,27.0,2.0,20.0,159.0,18.0,3.0,41.0,34.0,13.0,48.0,29.0,62.0,36.0,8.0,14.0,15.0,98.0,101.0,58.0,22.0,80.0,46.0
3385,0.0,1.0,2.0,3.0,13.0,26.0,7.0,17.0,30.0,46.0,45.0,23.0,88.0,8.0,59.0,94.0,5.0,4.0,21.0,10.0,15.0,9.0,6.0,32.0,146.0,95.0,37.0,112.0,35.0,124.0
3434,0.0,1.0,2.0,5.0,104.0,10.0,3.0,13.0,9.0,34.0,22.0,24.0,16.0,77.0,32.0,26.0,49.0,12.0,15.0,30.0,21.0,96.0,20.0,44.0,103.0,99.0,33.0,83.0,65.0,74.0
3483,0.0,1.0,4.0,11.0,50.0,17.0,13.0,7.0,2.0,86.0,39.0,3.0,24.0,51.0,59.0,31.0,46.0,10.0,69.0,40.0,20.0,68.0,33.0,21.0,9.0,32.0,49.0,8.0,15.0,82.0
3532,1.0,0.0,3.0,4.0,35.0,7.0,12.0,6.0,43.0,28.0,114.0,13.0,10.0,17.0,22.0,26.0,41.0,63.0,30.0,15.0,105.0,31.0,5.0,2.0,38.0,29.0,64.0,134.0,11.0,33.0
3581,0.0,1.0,2.0,6.0,59.0,3.0,7.0,17.0,26.0,40.0,53.0,8.0,23.0,16.0,74.0,4.0,20.0,35.0,19.0,31.0,24.0,66.0,5.0,12.0,36.0,144.0,109.0,62.0,81.0,22.0
3630,0.0,1.0,3.0,22.0,21.0,4.0,24.0,8.0,5.0,26.0,11.0,75.0,28.0,56.0,25.0,46.0,27.0,69.0,6.0,32.0,30.0,59.0,51.0,12.0,10.0,76.0,118.0,14.0,74.0,102.0
3679,0.0,1.0,3.0,4.0,13.0,14.0,32.0,6.0,11.0,22.0,98.0,43.0,2.0,106.0,23.0,5.0,16.0,31.0,9.0,15.0,38.0,83.0,8.0,19.0,44.0,34.0,136.0,124.0,25.0,55.0
3728,0.0,1.0,66.0,11.0,20.0,4.0,6.0,16.0,10.0,25.0,36.0,14.0,7.0,5.0,22.0,19.0,93.0,24.0,51.0,138.0,158.0,144.0,9.0,3.0,2.0,15.0,39.0,27.0,26.0,76.0
3777,0.0,1.0,12.0,44.0,7.0,4.0,30.0,67.0,6.0,88.0,77.0,26.0,40.0,19.0,13.0,2.0,32.0,133.0,31.0,21.0,15.0,43.0,94.0,29.0,22.0,100.0,142.0,14.0,84.0,126.0
3826,0.0,1.0,3.0,5.0,21.0,69.0,9.0,10.0,32.0,18.0,49.0,4.0,22.0,56.0,24.0,6.0,13.0,66.0,7.0,86.0,64.0,89.0,60.0,59.0,45.0,109.0,95.0,40.0,17.0,119.0
3875,0.0,1.0,2.0,27.0,38.0,12.0,90.0,10.0,3.0,23.0,15.0,5.0,9.0,60.0,20.0,47.0,45.0,68.0,34.0,11.0,77.0,14.0,133.0,21.0,13.0,18.0,61.0,35.0,8.0,22.0
3924,0.0,2.0,1.0,7.0,37.0,20.0,8.0,3.0,40.0,5.0,93.0,13.0,57.0,24.0,48.0,11.0,6.0,4.0,103.0,14.0,44.0,98.0,95.0,117.0,16.0,99.0,35.0,107.0,34.0,100.0
3973,0.0,1.0,8.0,17.0,4.0,12.0,7.0,32.0,29.0,2.0,5.0,10.0,13.0,26.0,9.0,20.0,6.0,56.0,31.0,44.0,66.0,103.0,42.0,88.0,54.0,25.0,148.0,164.0,37.0,30.0
4022,0.0,1.0,11.0,3.0,7.0,34.0,2.0,13.0,19.0,8.0,44.0,20.0,4.0,6.0,32.0,49.0,10.0,16.0,98.0,18.0,60.0,87.0,17.0,12.0,85.0,160.0,37.0,45.0,80.0,26.0
4071,0.0,1.0,35.0,2.0,3.0,61.0,5.0,24.0,16.0,4.0,28.0,17.0,55.0,7.0,13.0,32.0,9.0,65.0,22.0,11.0,40.0,18.0,8.0,33.0,62.0,19.0,37.0,30.0,63.0,20.0
4120,0.0,1.0,13.0,10.0,23.0,30.0,2.0,8.0,12.0,22.0,26.0,39.0,41.0,4.0,32.0,25.0,33.0,5.0,108.0,3.0,89.0,44.0,11.0,14.0,51.0,85.0,103.0,50.0,74.0,73.0
4169,0.0,1.0,16.0,8.0,57.0,12.0,6.0,17.0,36.0,2.0,30.0,33.0,35.0,9.0,3.0,11.0,15.0,20.0,97.0,7.0,4.0,46.0,10.0,26.0,47.0,24.0,13.0,140.0,80.0,45.0
4218,0.0,1.0,8.0,4.0,6.0,18.0,35.0,13.0,14.0,5.0,42.0,7.0,54.0,11.0,24.0,56.0,22.0,2.0,82.0,3.0,137.0,20.0,46.0,43.0,17.0,16.0,32.0,107.0,69.0,10.0
4267,1.0,0.0,7.0,3.0,15.0,4.0,12.0,53.0,65.0,9.0,16.0,10.0,6.0,8.0,39.0,17.0,29.0,25.0,47.0,5.0,134.0,68.0,40.0,115.0,64.0,22.0,30.0,102.0,37.0,11.0
4316,0.0,1.0,12.0,18.0,7.0,10.0,22.0,25.0,8.0,2.0,27.0,44.0,123.0,54.0,4.0,3.0,16.0,14.0,26.0,32.0,82.0,57.0,13.0,31.0,91.0,139.0,50.0,21.0,66.0,23.0
4365,0.0,1.0,6.0,12.0,3.0,31.0,8.0,4.0,25.0,24.0,23.0,16.0,11.0,19.0,20.0,21.0,45.0,27.0,95.0,41.0,126.0,22.0,29.0,5.0,18.0,63.0,83.0,72.0,89.0,7.0
4414,5.0,0.0,8.0,1.0,6.0,18.0,3.0,27.0,55.0,51.0,79.0,12.0,49.0,4.0,59.0,13.0,20.0,9.0,28.0,22.0,26.0,44.0,54.0,16.0,2.0,39.0,72.0,24.0,21.0,36.0
4463,0.0,1.0,11.0,25.0,6.0,5.0,8.0,42.0,18.0,111.0,46.0,77.0,44.0,14.0,16.0,23.0,63.0,4.0,117.0,2.0,30.0,28.0,127.0,40.0,3.0,17.0,141.0,59.0,131.0,50.0
4512,2.0,31.0,3.0,26.0,1.0,5.0,4.0,24.0,52.0,38.0,70.0,30.0,33.0,35.0,46.0,28.0,59.0,7.0,69.0,8.0,15.0,10.0,92.0,88.0,0.0,14.0,17.0,130.0,9.0,22.0
4561,0.0,1.0,7.0,39.0,4.0,13.0,17.0,33.0,16.0,19.0,48.0,25.0,26.0,14.0,63.0,6.0,82.0,11.0,67.0,5.0,2.0,89.0,110.0,32.0,3.0,80.0,31.0,85.0,15.0,23.0
4610,0.0,2.0,1.0,4.0,9.0,5.0,17.0,10.0,18.0,100.0,13.0,14.0,120.0,21.0,31.0,84.0,46.0,6.0,105.0,30.0,27.0,39.0,12.0,96.0,7.0,50.0,106.0,22.0,47.0,25.0
4659,0.0,1.0,34.0,2.0,7.0,17.0,8.0,11.0,120.0,21.0,26.0,31.0,10.0,4.0,35.0,30.0,40.0,12.0,69.0,41.0,5.0,18.0,65.0,84.0,3.0,14.0,15.0,24.0,37.0,127.0
4708,0.0,2.0,3.0,6.0,66.0,1.0,20.0,11.0,37.0,61.0,16.0,25.0,31.0,4.0,14.0,39.0,54.0,7.0,35.0,8.0,78.0,19.0,26.0,18.0,5.0,45.0,47.0,10.0,12.0,21.0
4757,0.0,1.0,38.0,27.0,4.0,2.0,18.0,6.0,58.0,86.0,7.0,41.0,45.0,8.0,62.0,43.0,13.0,26.0,21.0,15.0,9.0,30.0,46.0,16.0,5.0,20.0,61.0,19.0,74.0,87.0
4806,0.0,1.0,20.0,9.0,7.0,32.0,11.0,13.0,39.0,16.0,74.0,4.0,146.0,3.0,75.0,2.0,70.0,17.0,47.0,24.0,128.0,15.0,82.0,107.0,6.0,5.0,31.0,28.0,40.0,21.0
4855,0.0,1.0,17.0,13.0,5.0,14.0,27.0,15.0,11.0,62.0,21.0,30.0,6.0,7.0,60.0,12.0,35.0,10.0,19.0,34.0,2.0,88.0,120.0,65.0,4.0,9.0,63.0,47.0,28.0,66.0
