,LOC100132111_AMP,ZAN_DEL,IGFBP1_AMP,SNX29_DEL,FAM86DP_DEL,OR2T27_DEL,LOC439994_DEL,DIAPH2_DEL,MIR4257_AMP,ERBB4_DEL,FGF1_AMP,RGPD4_AMP,DDTL_DEL,DDX11L10_AMP,RABGAP1L_DEL,TAG_DEL,ATG7_DEL,ODF3B_DEL,ZNF490_DEL,MGAM_DEL,FAM153A_DEL,FRMPD2P1_AMP,RBFOX1_DEL,HEATR4_DEL,OR51A2_DEL,JAK2_DEL,GSTM1_DEL,ZDHHC11_DEL,CCDC144B_DEL,HERC2P2_AMP
33,8.0,7250.0,26.0,47.0,18.0,57.0,2195.0,5403.0,15771.0,93.0,90.0,61.0,18684.0,15137.0,55.0,173.0,20031.0,68.0,39.0,69.0,84.0,145.0,76.0,105.0,73.0,62.0,129.0,71.0,130.0,165.0
82,0.0,51.0,11.0,7686.0,31.0,96.0,2264.0,32.0,23.0,9.0,60.0,12616.0,107.0,101.0,111.0,108.0,63.0,2268.0,11541.0,68.0,187.0,22765.0,55.0,36.0,143.0,158.0,136.0,47.0,86.0,109.0
131,62.0,11.0,15060.0,48.0,30.0,36.0,2260.0,75.0,4.0,98.0,123.0,158.0,15.0,72.0,8156.0,127.0,20048.0,151.0,11538.0,85.0,35.0,108.0,166.0,161.0,167.0,2523.0,145.0,114.0,132.0,186.0
180,3.0,37.0,17.0,85.0,45.0,30.0,1.0,64.0,15754.0,25.0,78.0,79.0,52.0,97.0,82.0,110.0,20039.0,83.0,11545.0,87.0,74.0,144.0,159.0,153.0,157.0,175.0,156.0,53.0,164.0,90.0
229,22.0,36.0,35.0,65.0,21.0,40.0,2201.0,5385.0,12.0,73.0,33.0,89.0,82.0,56.0,52.0,165.0,20035.0,2275.0,57.0,119.0,188.0,146.0,112.0,207.0,61.0,110.0,137.0,81.0,130.0,136.0
278,7.0,28.0,15056.0,13.0,6.0,1904.0,14.0,42.0,15749.0,55.0,47.0,146.0,18677.0,15164.0,18.0,79.0,20032.0,2275.0,125.0,119.0,98.0,135.0,9452.0,141.0,87.0,2516.0,131.0,56.0,123.0,157.0
327,18.0,28.0,89.0,60.0,65.0,67.0,2206.0,59.0,35.0,22.0,40.0,189.0,73.0,56.0,2.0,100.0,143.0,2279.0,11546.0,96.0,422.0,124.0,191.0,119.0,93.0,2526.0,147.0,131.0,53.0,84.0
376,4.0,35.0,15052.0,13.0,15.0,27.0,1.0,18.0,71.0,139.0,136.0,97.0,79.0,78.0,129.0,73.0,20037.0,44.0,141.0,121.0,52.0,148.0,9447.0,144.0,111.0,208.0,188.0,77.0,1392.0,55.0
425,2.0,10.0,15058.0,7687.0,53.0,95.0,9.0,68.0,35.0,76.0,177.0,96.0,37.0,11.0,155.0,94.0,20035.0,2276.0,11532.0,101.0,103.0,200.0,123.0,61.0,109.0,148.0,89.0,50.0,170.0,146.0
474,2.0,15.0,23.0,58.0,62.0,54.0,2204.0,38.0,13.0,53.0,79.0,66.0,141.0,81.0,34.0,159.0,20041.0,42.0,11547.0,190.0,413.0,175.0,117.0,172.0,162.0,142.0,111.0,6147.0,202.0,148.0
523,15447.0,15.0,15057.0,24.0,7217.0,28.0,2258.0,61.0,15755.0,69.0,89.0,198.0,58.0,15140.0,26.0,101.0,54.0,113.0,71.0,8874.0,451.0,99.0,9452.0,115.0,86.0,140.0,90.0,6204.0,92.0,169.0
572,41.0,37.0,15070.0,150.0,61.0,54.0,0.0,43.0,15738.0,170.0,135.0,84.0,91.0,15196.0,102.0,121.0,49.0,93.0,106.0,110.0,155.0,69.0,118.0,154.0,100.0,90.0,103.0,6145.0,117.0,134.0
621,4.0,58.0,15062.0,35.0,7221.0,28.0,0.0,64.0,15734.0,6026.0,13459.0,102.0,25.0,15192.0,139.0,165.0,74.0,125.0,50.0,169.0,449.0,90.0,178.0,162.0,71.0,200.0,161.0,129.0,184.0,127.0
