,SLFN11,XIST,KHDC1,RPSAP53,MX2,HIC1,TSPYL5,KRT17P3,ZNF215,AC124789.1,CTD-2203K17.1,MAGEC2,AP000783.1,Y_RNA,NDN,GPX1P1,SLFN12,GSTT1,SMAP1,FHOD3,RP11-834C11.4,INHBA,SPTBN2,HIST1H2BH,HNRNPUL1,RP11-401O9.4,TUBA3E,AC006050.2,EMP1,RP11-177C12.1
8,0.0,57.0,18.0,9.0,103.0,246.0,1.0,5.0,21.0,15.0,149.0,158.0,25.0,768.0,12.0,389.0,3.0,2.0,37.0,24.0,184.0,7.0,31.0,2275.0,113.0,3366.0,14.0,4.0,107.0,10.0
57,0.0,16.0,56.0,30.0,3.0,134.0,1.0,7.0,14.0,26.0,178.0,6.0,11.0,5488.0,5.0,292.0,10.0,18.0,15.0,102.0,33.0,8.0,17.0,72.0,48.0,358.0,137.0,85.0,9.0,19.0
106,0.0,137.0,48.0,17.0,3.0,220.0,4.0,13.0,18.0,40.0,122.0,16.0,15.0,417.0,5.0,117.0,2.0,1.0,45.0,9.0,118.0,6.0,8.0,59.0,20.0,51.0,26.0,24.0,10.0,21.0
155,0.0,705.0,13.0,25.0,62.0,565.0,1.0,8.0,230.0,9.0,163.0,19.0,6.0,177.0,26.0,619.0,28.0,2.0,70.0,86.0,104.0,60.0,11.0,136.0,328.0,186.0,57.0,32.0,3.0,24.0
204,0.0,47.0,14.0,20.0,12.0,248.0,1.0,8.0,27.0,21.0,106.0,15.0,22.0,190.0,7.0,395.0,3.0,2.0,18.0,36.0,99.0,4.0,9.0,135.0,30.0,133.0,29.0,16.0,6.0,24.0
253,0.0,5.0,18.0,35.0,21.0,499.0,4.0,12.0,6.0,15.0,73.0,2.0,131.0,3690.0,27.0,57.0,13.0,1.0,56.0,25.0,72.0,3.0,14.0,459.0,33.0,129.0,20.0,17.0,9.0,50.0
302,0.0,82.0,162.0,20.0,4.0,163.0,5.0,15.0,13.0,36.0,97.0,6.0,37.0,2080.0,7.0,287.0,29.0,1.0,32.0,9.0,117.0,2.0,18.0,342.0,8.0,89.0,16.0,14.0,3.0,55.0
351,0.0,205.0,33.0,5.0,23.0,144.0,2.0,11.0,17.0,20.0,457.0,19.0,7.0,440.0,3.0,1971.0,4.0,18.0,13.0,6.0,24.0,15.0,30.0,133.0,32.0,293.0,58.0,66.0,8.0,14.0
400,0.0,36.0,179.0,30.0,9.0,100.0,3.0,33.0,27.0,2.0,846.0,1.0,7.0,214.0,5.0,737.0,12.0,11.0,26.0,57.0,38.0,6.0,22.0,40.0,78.0,264.0,18.0,17.0,13.0,24.0
449,0.0,20.0,28.0,8.0,5.0,64.0,1.0,19.0,6.0,50.0,91.0,3.0,7.0,405.0,10.0,937.0,13.0,9.0,21.0,26.0,261.0,15.0,4.0,549.0,65.0,22.0,30.0,53.0,2.0,14.0
498,0.0,1.0,3.0,4.0,52.0,26.0,11.0,9.0,10.0,18.0,27.0,22.0,16.0,2.0,54.0,36.0,25.0,216.0,32.0,51.0,138.0,43.0,75.0,359.0,24.0,171.0,15.0,89.0,44.0,79.0
547,0.0,3.0,1.0,2.0,14.0,15.0,16.0,10.0,7.0,32.0,34.0,36.0,17.0,11.0,4.0,26.0,20.0,225.0,31.0,30.0,222.0,75.0,313.0,247.0,71.0,127.0,9.0,58.0,38.0,37.0
596,0.0,2.0,3.0,8.0,17.0,4.0,5.0,21.0,348.0,115.0,15.0,2181.0,22.0,11.0,69.0,16.0,33.0,79.0,57.0,10.0,51.0,43.0,55.0,189.0,35.0,119.0,19.0,135.0,47.0,38.0
645,0.0,1.0,2.0,4.0,20.0,7.0,3.0,62.0,41.0,37.0,19.0,33.0,18.0,12.0,22.0,84.0,21.0,235.0,29.0,15.0,150.0,130.0,75.0,205.0,36.0,139.0,14.0,95.0,40.0,43.0
694,0.0,1.0,2.0,8.0,19.0,9.0,3.0,7.0,96.0,16.0,67.0,40.0,18.0,11.0,13.0,84.0,59.0,226.0,27.0,56.0,33.0,52.0,159.0,313.0,65.0,74.0,32.0,62.0,45.0,37.0
743,0.0,1.0,3.0,2.0,89.0,11.0,10.0,12.0,15.0,7.0,8.0,72.0,35.0,32.0,67.0,57.0,29.0,28.0,30.0,118.0,145.0,39.0,17.0,1838.0,31.0,238.0,27.0,99.0,41.0,59.0
792,0.0,11.0,5.0,7.0,28.0,98.0,1.0,13.0,541.0,26.0,54.0,384.0,79.0,296.0,31.0,1088.0,36.0,15.0,17.0,45.0,55.0,43.0,42.0,2531.0,73.0,3950.0,6.0,86.0,33.0,53.0
841,0.0,3.0,5.0,1.0,93.0,9.0,10.0,18.0,23.0,47.0,60.0,242.0,27.0,6.0,2.0,28.0,53.0,101.0,24.0,29.0,889.0,71.0,177.0,441.0,74.0,34.0,166.0,2583.0,42.0,39.0
890,0.0,13.0,4.0,2.0,11.0,6.0,70.0,30.0,100.0,49.0,3.0,18.0,5.0,1.0,53.0,109.0,8.0,31.0,71.0,21.0,657.0,37.0,140.0,1119.0,146.0,51.0,12.0,80.0,313.0,77.0
939,0.0,12.0,1.0,2.0,10.0,4.0,20.0,22.0,33.0,21.0,27.0,345.0,6.0,16.0,76.0,310.0,7.0,53.0,73.0,17.0,227.0,75.0,292.0,198.0,106.0,3070.0,108.0,914.0,40.0,64.0
988,0.0,2.0,3.0,26.0,1.0,24.0,49.0,16.0,143.0,78.0,15.0,281.0,53.0,9.0,14.0,6.0,32.0,41.0,18.0,120.0,27.0,64.0,12.0,8.0,31.0,5.0,834.0,1559.0,22.0,13.0
1037,0.0,2.0,9.0,3.0,1.0,11.0,87.0,144.0,68.0,8.0,35.0,63.0,20.0,38.0,5.0,22.0,12.0,6.0,90.0,19.0,215.0,27.0,81.0,7.0,31.0,15.0,1634.0,2889.0,14.0,17.0
1086,0.0,3.0,5.0,13.0,2.0,17.0,88.0,25.0,42.0,161.0,16.0,33.0,109.0,91.0,4.0,1.0,19.0,8.0,80.0,14.0,38.0,11.0,35.0,37.0,20.0,26.0,164.0,205.0,85.0,62.0
1135,0.0,2.0,4.0,3.0,1.0,10.0,12.0,34.0,228.0,40.0,5.0,153.0,17.0,28.0,38.0,25.0,14.0,82.0,39.0,29.0,15.0,8.0,9.0,11.0,19.0,77.0,340.0,491.0,42.0,33.0
1184,0.0,2.0,4.0,30.0,1.0,7.0,39.0,27.0,20.0,25.0,22.0,38.0,26.0,73.0,17.0,8.0,33.0,145.0,61.0,43.0,35.0,6.0,11.0,5.0,32.0,10.0,526.0,555.0,12.0,24.0
1233,0.0,3.0,2.0,11.0,1.0,7.0,89.0,47.0,50.0,167.0,8.0,45.0,10.0,30.0,4.0,32.0,15.0,115.0,18.0,5.0,12.0,24.0,20.0,6.0,27.0,64.0,250.0,349.0,83.0,35.0
1282,0.0,1.0,5.0,10.0,2.0,11.0,88.0,19.0,16.0,167.0,17.0,50.0,12.0,20.0,9.0,82.0,24.0,123.0,54.0,21.0,18.0,6.0,13.0,89.0,43.0,98.0,437.0,256.0,236.0,48.0
1331,0.0,7.0,6.0,11.0,1.0,14.0,136.0,23.0,86.0,12.0,35.0,16.0,8.0,61.0,5.0,2.0,50.0,165.0,49.0,87.0,38.0,9.0,10.0,4.0,26.0,22.0,385.0,828.0,29.0,43.0
