,ZNF490_DEL,MTAP_DEL,GLI3_MUT,DEFB109P1_DEL,PRAMEF2_DEL,AXDND1_AMP,FLT3_MUT,JAK2_AMP,NRAS_MUT,DACH2_DEL,DPP6_DEL,APBA1_AMP,CERS6_DEL,ZMAT4_DEL,AFF2_DEL,C9orf53_DEL,ADARB2_DEL,GLIS3_DEL,FGF1_AMP,LOC729737_DEL,C1orf227_DEL,ETS1_DEL,PRKCE_DEL,LRRC37A_AMP,PLD1_MUT,INSRR_MUT,ZDHHC11_DEL,CDKN2B_DEL,RGL2_MUT,LCE1E_DEL
2576,9.0,15.0,16448.0,354.0,434.0,607.0,16666.0,2222.0,804.0,381.0,0.0,33.0,39.0,162.0,6619.0,10806.0,21104.0,5907.0,13656.0,877.0,1589.0,75.0,1249.0,801.0,16506.0,815.0,2632.0,502.0,13.0,5094.0
2625,7.0,679.0,44.0,7274.0,8728.0,62.0,37.0,1135.0,16555.0,51.0,4861.0,13367.0,6.0,1.0,7455.0,10348.0,20997.0,403.0,13653.0,1497.0,6051.0,497.0,12717.0,39.0,929.0,16408.0,9595.0,21233.0,53.0,31.0
2674,9.0,45.0,16544.0,170.0,280.0,54.0,423.0,15045.0,16507.0,127.0,279.0,199.0,6914.0,495.0,16.0,375.0,404.0,2.0,925.0,328.0,0.0,51.0,455.0,259.0,1224.0,7.0,1266.0,556.0,16946.0,1545.0
2723,1.0,11282.0,989.0,65.0,252.0,311.0,16663.0,635.0,112.0,73.0,5656.0,191.0,23.0,93.0,869.0,2746.0,21102.0,66.0,13613.0,10179.0,92.0,0.0,89.0,165.0,17.0,16456.0,9478.0,2781.0,59.0,4767.0
2772,43.0,11105.0,699.0,1581.0,11841.0,3.0,2.0,4.0,16533.0,44.0,4477.0,13356.0,1149.0,7401.0,6722.0,12.0,2513.0,317.0,13637.0,108.0,583.0,29.0,2526.0,51.0,554.0,1516.0,7377.0,2713.0,16999.0,18.0
2821,0.0,4.0,474.0,7239.0,11834.0,18185.0,16648.0,240.0,1508.0,35.0,1472.0,310.0,852.0,512.0,29.0,11381.0,21118.0,23.0,13854.0,338.0,1.0,5111.0,2440.0,19704.0,16511.0,184.0,534.0,69.0,195.0,179.0
2870,2257.0,8.0,2.0,1179.0,3.0,18185.0,16670.0,15007.0,228.0,269.0,162.0,13368.0,33.0,699.0,6687.0,21.0,1061.0,0.0,13864.0,8353.0,20.0,46.0,12358.0,13.0,451.0,889.0,83.0,1542.0,1852.0,14.0
2919,463.0,561.0,152.0,93.0,176.0,1749.0,579.0,45.0,710.0,13.0,884.0,665.0,6903.0,7310.0,6582.0,2635.0,21108.0,0.0,13569.0,8294.0,5585.0,392.0,12355.0,19703.0,1514.0,16364.0,7292.0,21019.0,564.0,122.0
2968,17.0,11005.0,2.0,86.0,11921.0,88.0,0.0,556.0,1049.0,2193.0,420.0,13353.0,20.0,15.0,8.0,175.0,287.0,54.0,11.0,8287.0,2027.0,4905.0,82.0,139.0,1844.0,16381.0,627.0,2781.0,16971.0,491.0
3017,0.0,1614.0,72.0,204.0,11973.0,700.0,1.0,6.0,325.0,137.0,119.0,207.0,7001.0,10.0,1634.0,2383.0,21116.0,298.0,577.0,1166.0,34.0,460.0,1646.0,458.0,14.0,1002.0,192.0,1224.0,622.0,4385.0
