,ZNF490_DEL,MTAP_DEL,GLI3_MUT,DEFB109P1_DEL,PRAMEF2_DEL,AXDND1_AMP,FLT3_MUT,JAK2_AMP,NRAS_MUT,DACH2_DEL,DPP6_DEL,APBA1_AMP,CERS6_DEL,ZMAT4_DEL,AFF2_DEL,C9orf53_DEL,ADARB2_DEL,GLIS3_DEL,FGF1_AMP,LOC729737_DEL,C1orf227_DEL,ETS1_DEL,PRKCE_DEL,LRRC37A_AMP,PLD1_MUT,INSRR_MUT,ZDHHC11_DEL,CDKN2B_DEL,RGL2_MUT,LCE1E_DEL
518,67.0,38.0,7.0,20.0,162.0,54.0,73.0,350.0,112.0,590.0,17.0,18.0,1375.0,2580.0,571.0,2541.0,409.0,4822.0,1960.0,7874.0,6101.0,638.0,74.0,529.0,209.0,0.0,31.0,300.0,848.0,3925.0
567,58.0,6.0,5.0,7131.0,138.0,4.0,16633.0,377.0,72.0,558.0,701.0,13294.0,7090.0,7387.0,1695.0,11127.0,88.0,2.0,1708.0,8290.0,167.0,489.0,961.0,369.0,11.0,16374.0,101.0,356.0,16901.0,229.0
616,40.0,93.0,159.0,2134.0,6.0,27.0,1979.0,15163.0,16.0,598.0,539.0,1636.0,7193.0,895.0,210.0,326.0,21120.0,139.0,81.0,2087.0,5861.0,765.0,84.0,19733.0,861.0,1686.0,96.0,21030.0,17005.0,3977.0
665,17.0,553.0,9.0,1698.0,14.0,5.0,16726.0,91.0,86.0,270.0,21.0,24.0,891.0,621.0,1008.0,2289.0,18.0,668.0,13838.0,1075.0,1928.0,7248.0,562.0,19695.0,16497.0,10.0,50.0,2525.0,915.0,497.0
714,1.0,8.0,3.0,93.0,19.0,134.0,76.0,438.0,75.0,430.0,119.0,502.0,7028.0,291.0,6711.0,21.0,2.0,300.0,539.0,89.0,5867.0,2074.0,763.0,2675.0,278.0,0.0,1895.0,94.0,22.0,136.0
763,2.0,0.0,218.0,6864.0,3.0,20.0,16641.0,112.0,1152.0,32.0,2645.0,328.0,10.0,7372.0,5005.0,1.0,22.0,409.0,2731.0,294.0,86.0,543.0,1699.0,1150.0,16493.0,1088.0,795.0,2745.0,16913.0,23.0
812,4.0,68.0,7.0,1538.0,31.0,18186.0,2120.0,28.0,317.0,69.0,1.0,626.0,1569.0,9877.0,331.0,10803.0,0.0,2554.0,349.0,9585.0,6269.0,7268.0,103.0,152.0,525.0,181.0,56.0,154.0,78.0,30.0
861,13.0,299.0,149.0,428.0,1039.0,173.0,210.0,15075.0,2.0,27.0,0.0,548.0,6941.0,349.0,19.0,52.0,4.0,177.0,2762.0,1208.0,5.0,107.0,12369.0,151.0,16494.0,268.0,413.0,21015.0,171.0,37.0
910,11940.0,723.0,14.0,6638.0,7767.0,13.0,82.0,2.0,466.0,19.0,43.0,13260.0,6368.0,259.0,56.0,2079.0,21006.0,5165.0,13858.0,88.0,627.0,113.0,11887.0,19585.0,16518.0,1359.0,905.0,77.0,333.0,2398.0
959,317.0,494.0,148.0,341.0,750.0,18302.0,16648.0,43.0,16538.0,8.0,25.0,13291.0,1517.0,431.0,934.0,629.0,21116.0,6176.0,5.0,7877.0,795.0,4961.0,125.0,1532.0,781.0,16438.0,565.0,67.0,1992.0,16.0
1008,1.0,54.0,10.0,2836.0,475.0,56.0,16659.0,15009.0,614.0,3.0,14.0,307.0,534.0,17.0,445.0,11406.0,26.0,271.0,60.0,149.0,64.0,4910.0,918.0,702.0,376.0,123.0,1628.0,21039.0,16980.0,176.0
1057,2.0,339.0,48.0,88.0,33.0,18181.0,1.0,150.0,28.0,20485.0,2386.0,2378.0,22.0,7414.0,5052.0,2654.0,0.0,826.0,2768.0,440.0,3596.0,5700.0,314.0,1354.0,187.0,132.0,7397.0,583.0,2154.0,227.0
1106,20.0,967.0,446.0,16.0,11845.0,1542.0,44.0,318.0,1515.0,438.0,6351.0,3.0,297.0,122.0,1121.0,11400.0,4.0,6672.0,1079.0,492.0,3250.0,1960.0,21.0,2801.0,215.0,70.0,625.0,98.0,16999.0,700.0
1155,5.0,2527.0,273.0,38.0,67.0,1021.0,1970.0,1658.0,341.0,125.0,2250.0,310.0,3.0,87.0,733.0,2824.0,10.0,7135.0,13844.0,17.0,3509.0,1535.0,43.0,252.0,786.0,16413.0,7365.0,14.0,17004.0,170.0
1204,138.0,20.0,38.0,110.0,11867.0,842.0,100.0,292.0,362.0,133.0,649.0,1265.0,747.0,207.0,132.0,156.0,10.0,1833.0,13651.0,8317.0,15.0,663.0,23.0,19591.0,1278.0,16411.0,7362.0,249.0,16970.0,49.0
1253,2.0,26.0,16575.0,277.0,11859.0,33.0,1071.0,1.0,1310.0,47.0,2802.0,651.0,268.0,440.0,6700.0,40.0,10.0,4802.0,4.0,170.0,5880.0,96.0,405.0,19588.0,16511.0,16470.0,7349.0,322.0,16999.0,32.0
1302,22.0,23.0,49.0,2425.0,11956.0,335.0,631.0,72.0,56.0,28.0,0.0,341.0,6979.0,1186.0,24.0,65.0,308.0,564.0,82.0,155.0,42.0,4926.0,8.0,544.0,397.0,1344.0,1410.0,751.0,295.0,4065.0
1351,111.0,1237.0,16684.0,796.0,1141.0,18189.0,1272.0,94.0,16535.0,567.0,1.0,13392.0,425.0,7293.0,4869.0,112.0,1006.0,5818.0,235.0,93.0,6143.0,5463.0,656.0,2456.0,24.0,273.0,2649.0,2027.0,17.0,35.0
1400,675.0,1093.0,16672.0,164.0,2772.0,51.0,1404.0,15148.0,1498.0,1697.0,3.0,13367.0,75.0,7425.0,6725.0,1950.0,33.0,4668.0,144.0,50.0,1229.0,712.0,12364.0,19695.0,186.0,191.0,220.0,22.0,16996.0,677.0
1449,9.0,1108.0,1257.0,2670.0,11945.0,18176.0,202.0,329.0,26.0,0.0,6.0,13375.0,438.0,7370.0,5943.0,103.0,363.0,100.0,64.0,716.0,1125.0,5014.0,384.0,116.0,160.0,16450.0,348.0,267.0,16983.0,569.0
1498,84.0,2.0,0.0,186.0,5.0,226.0,20.0,7.0,16517.0,4.0,407.0,1.0,5098.0,81.0,5665.0,11395.0,293.0,6130.0,13845.0,28.0,2884.0,80.0,12338.0,70.0,77.0,309.0,591.0,954.0,24.0,1389.0
