,GANGLIA,HAEMATOPOIETIC,STOMACH,PANCREAS,BREAST,OVARY,OESOPHAGUS,LUNG,SKIN,LARGE_INTESTINE,LIVER,URINARY,NERVOUS,AERODIGESTIVE,PROSTATE,PLEURA,BONE,SALIVARY,SOFT_TISSUE,THYROID,KIDNEY,ENDOMETRIUM,BILIARY
47,0.0,2.0,1.0,4.0,8.0,10.0,11.0,7.0,9.0,6.0,3.0,5.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
96,0.0,2.0,1.0,3.0,9.0,6.0,7.0,5.0,8.0,4.0,11.0,12.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
145,0.0,2.0,1.0,3.0,7.0,5.0,8.0,4.0,10.0,9.0,6.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
194,1.0,2.0,0.0,7.0,3.0,8.0,4.0,5.0,6.0,11.0,9.0,12.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
243,0.0,2.0,1.0,4.0,7.0,6.0,9.0,8.0,5.0,3.0,10.0,12.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
292,0.0,2.0,1.0,3.0,4.0,6.0,9.0,5.0,8.0,7.0,10.0,12.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
341,0.0,2.0,1.0,3.0,5.0,6.0,10.0,7.0,4.0,9.0,8.0,12.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
390,0.0,2.0,1.0,4.0,7.0,9.0,10.0,5.0,8.0,6.0,3.0,12.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
439,0.0,2.0,1.0,3.0,7.0,5.0,9.0,4.0,6.0,8.0,10.0,12.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
488,0.0,2.0,1.0,3.0,7.0,8.0,12.0,6.0,9.0,5.0,11.0,4.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
