,alpha-Catenin,CD49b,VEGFR2,beta-Catenin,Caveolin-1,YAP_pS127,Paxillin,Chk2,RAD51,Chk1_pS345,Fibronectin,PAI-1,MSH6,Bcl-2,Transglutaminase,EGFR,C-Raf(MP05-739),Akt,Cyclin_E2,HER3,c-Myc,Rb_pS807_S811,C-Raf(BD610151),IRS1,p62 Lck ligand,Cyclin_D1,c-Jun_pS73,VAV1,TAZ,FoxM1
0,3.0,4.0,0.0,6.0,1.0,9.0,2.0,8.0,19.0,13.0,17.0,14.0,16.0,35.0,10.0,15.0,18.0,7.0,63.0,30.0,77.0,12.0,43.0,24.0,50.0,5.0,11.0,78.0,23.0,44.0
49,8.0,4.0,6.0,0.0,1.0,2.0,11.0,3.0,9.0,26.0,19.0,17.0,22.0,14.0,35.0,10.0,12.0,5.0,30.0,33.0,84.0,18.0,20.0,23.0,67.0,15.0,7.0,83.0,45.0,13.0
98,28.0,6.0,0.0,9.0,2.0,3.0,1.0,19.0,4.0,18.0,23.0,20.0,12.0,16.0,36.0,32.0,31.0,14.0,42.0,48.0,82.0,5.0,15.0,11.0,71.0,13.0,10.0,64.0,30.0,25.0
147,8.0,10.0,3.0,12.0,0.0,5.0,1.0,18.0,27.0,6.0,4.0,51.0,11.0,16.0,110.0,32.0,41.0,20.0,78.0,22.0,13.0,7.0,68.0,2.0,33.0,81.0,31.0,147.0,42.0,25.0
196,5.0,21.0,1.0,11.0,2.0,6.0,3.0,13.0,12.0,15.0,19.0,22.0,14.0,0.0,7.0,53.0,26.0,34.0,20.0,43.0,41.0,10.0,32.0,29.0,31.0,9.0,28.0,63.0,55.0,4.0
245,1.0,14.0,6.0,0.0,22.0,8.0,2.0,9.0,4.0,19.0,17.0,63.0,103.0,7.0,72.0,47.0,3.0,12.0,26.0,53.0,61.0,5.0,11.0,64.0,73.0,20.0,10.0,30.0,68.0,13.0
294,6.0,1.0,10.0,3.0,34.0,5.0,4.0,0.0,7.0,8.0,11.0,89.0,47.0,14.0,17.0,20.0,2.0,19.0,93.0,32.0,60.0,31.0,68.0,41.0,82.0,15.0,12.0,55.0,24.0,107.0
343,2.0,3.0,0.0,5.0,8.0,7.0,4.0,1.0,13.0,12.0,36.0,25.0,20.0,6.0,24.0,109.0,10.0,17.0,149.0,22.0,23.0,41.0,87.0,9.0,53.0,74.0,16.0,30.0,102.0,15.0
392,5.0,25.0,1.0,9.0,18.0,17.0,6.0,23.0,0.0,8.0,11.0,93.0,20.0,10.0,44.0,53.0,4.0,3.0,126.0,33.0,21.0,2.0,77.0,7.0,104.0,19.0,28.0,12.0,43.0,15.0
441,8.0,3.0,5.0,16.0,40.0,2.0,6.0,7.0,1.0,14.0,9.0,71.0,10.0,15.0,46.0,26.0,0.0,37.0,21.0,29.0,30.0,32.0,64.0,19.0,61.0,31.0,23.0,82.0,33.0,11.0
490,2.0,1.0,9.0,51.0,3.0,0.0,67.0,16.0,15.0,10.0,20.0,12.0,14.0,5.0,4.0,22.0,13.0,8.0,76.0,18.0,115.0,62.0,24.0,43.0,7.0,28.0,106.0,96.0,121.0,86.0
539,2.0,0.0,30.0,27.0,4.0,1.0,31.0,12.0,14.0,23.0,8.0,10.0,3.0,5.0,13.0,37.0,16.0,75.0,24.0,15.0,9.0,7.0,11.0,18.0,50.0,6.0,105.0,32.0,26.0,21.0
588,52.0,1.0,6.0,11.0,0.0,3.0,18.0,8.0,34.0,60.0,2.0,9.0,10.0,4.0,5.0,14.0,30.0,40.0,13.0,41.0,16.0,56.0,23.0,28.0,109.0,12.0,42.0,39.0,36.0,32.0
637,2.0,0.0,1.0,4.0,13.0,8.0,49.0,21.0,5.0,16.0,10.0,11.0,15.0,6.0,19.0,54.0,41.0,101.0,24.0,32.0,28.0,20.0,12.0,48.0,18.0,7.0,142.0,17.0,26.0,34.0
686,10.0,1.0,0.0,18.0,16.0,9.0,83.0,14.0,109.0,36.0,12.0,17.0,7.0,4.0,32.0,15.0,53.0,27.0,52.0,122.0,11.0,29.0,8.0,5.0,30.0,2.0,3.0,26.0,13.0,6.0
735,6.0,3.0,9.0,43.0,19.0,13.0,83.0,14.0,18.0,15.0,5.0,24.0,0.0,4.0,1.0,20.0,12.0,23.0,8.0,76.0,41.0,11.0,2.0,73.0,47.0,33.0,35.0,29.0,16.0,17.0
784,13.0,2.0,15.0,23.0,19.0,7.0,77.0,68.0,66.0,20.0,1.0,9.0,0.0,47.0,6.0,8.0,45.0,38.0,5.0,30.0,12.0,17.0,3.0,18.0,10.0,46.0,31.0,67.0,48.0,22.0
833,1.0,2.0,5.0,17.0,9.0,3.0,20.0,47.0,24.0,31.0,7.0,6.0,19.0,16.0,4.0,23.0,10.0,37.0,13.0,80.0,54.0,41.0,0.0,33.0,12.0,28.0,30.0,14.0,8.0,25.0
882,1.0,0.0,17.0,6.0,9.0,2.0,18.0,138.0,28.0,37.0,22.0,7.0,5.0,4.0,10.0,56.0,48.0,24.0,11.0,36.0,32.0,26.0,8.0,45.0,3.0,31.0,54.0,155.0,14.0,35.0
931,5.0,0.0,10.0,22.0,6.0,3.0,24.0,26.0,28.0,95.0,19.0,11.0,4.0,17.0,9.0,1.0,20.0,48.0,44.0,100.0,38.0,2.0,7.0,21.0,14.0,18.0,60.0,71.0,53.0,32.0
980,12.0,1.0,13.0,45.0,11.0,10.0,8.0,7.0,0.0,5.0,6.0,9.0,20.0,53.0,3.0,4.0,117.0,31.0,21.0,17.0,18.0,37.0,34.0,24.0,62.0,73.0,95.0,28.0,2.0,27.0
1029,17.0,0.0,11.0,52.0,3.0,8.0,14.0,7.0,1.0,32.0,4.0,16.0,9.0,20.0,6.0,2.0,57.0,50.0,116.0,12.0,27.0,15.0,19.0,79.0,36.0,46.0,87.0,43.0,5.0,22.0
1078,6.0,65.0,3.0,7.0,35.0,1.0,15.0,26.0,0.0,12.0,8.0,21.0,11.0,52.0,9.0,13.0,102.0,23.0,44.0,4.0,56.0,10.0,24.0,95.0,40.0,33.0,78.0,14.0,2.0,5.0
1127,0.0,5.0,6.0,8.0,25.0,17.0,15.0,12.0,3.0,16.0,14.0,1.0,24.0,78.0,7.0,9.0,96.0,58.0,36.0,11.0,26.0,10.0,69.0,19.0,57.0,54.0,20.0,4.0,2.0,84.0
1176,2.0,8.0,10.0,14.0,17.0,15.0,3.0,29.0,6.0,11.0,7.0,9.0,13.0,20.0,5.0,1.0,45.0,52.0,39.0,16.0,47.0,22.0,4.0,36.0,60.0,112.0,58.0,123.0,0.0,18.0
1225,24.0,6.0,1.0,20.0,3.0,15.0,12.0,4.0,7.0,13.0,10.0,9.0,17.0,14.0,2.0,5.0,61.0,145.0,21.0,11.0,33.0,27.0,8.0,60.0,63.0,36.0,72.0,48.0,0.0,42.0
1274,4.0,14.0,12.0,60.0,6.0,9.0,29.0,22.0,1.0,8.0,10.0,18.0,19.0,95.0,17.0,20.0,11.0,52.0,27.0,2.0,34.0,23.0,49.0,56.0,51.0,44.0,26.0,7.0,0.0,47.0
1323,5.0,2.0,8.0,17.0,3.0,1.0,15.0,54.0,0.0,18.0,4.0,37.0,40.0,43.0,10.0,38.0,19.0,29.0,9.0,36.0,24.0,31.0,16.0,97.0,20.0,79.0,72.0,35.0,11.0,34.0
1372,14.0,1.0,3.0,39.0,51.0,12.0,18.0,33.0,0.0,4.0,7.0,32.0,10.0,79.0,5.0,8.0,11.0,70.0,55.0,9.0,20.0,2.0,13.0,81.0,6.0,127.0,87.0,50.0,22.0,19.0
1421,2.0,4.0,17.0,62.0,22.0,9.0,64.0,51.0,0.0,1.0,3.0,16.0,34.0,59.0,5.0,31.0,10.0,89.0,14.0,27.0,33.0,32.0,85.0,46.0,40.0,79.0,24.0,11.0,6.0,15.0
1470,0.0,1.0,4.0,57.0,8.0,3.0,17.0,14.0,32.0,27.0,15.0,21.0,23.0,6.0,5.0,19.0,10.0,2.0,147.0,37.0,38.0,24.0,25.0,16.0,35.0,43.0,62.0,30.0,42.0,60.0
1519,0.0,1.0,2.0,5.0,4.0,7.0,9.0,3.0,94.0,43.0,6.0,14.0,27.0,11.0,10.0,29.0,19.0,8.0,62.0,20.0,12.0,34.0,28.0,41.0,13.0,25.0,48.0,31.0,16.0,32.0
1568,0.0,6.0,2.0,4.0,7.0,20.0,9.0,22.0,24.0,17.0,5.0,8.0,59.0,10.0,11.0,15.0,3.0,1.0,49.0,18.0,23.0,25.0,27.0,30.0,36.0,26.0,158.0,12.0,40.0,45.0
1617,0.0,3.0,1.0,2.0,10.0,6.0,7.0,5.0,49.0,9.0,15.0,4.0,42.0,12.0,18.0,41.0,105.0,16.0,32.0,17.0,58.0,128.0,24.0,26.0,29.0,11.0,13.0,8.0,14.0,23.0
1666,1.0,3.0,2.0,20.0,0.0,21.0,6.0,4.0,36.0,5.0,24.0,8.0,16.0,25.0,7.0,12.0,51.0,10.0,50.0,13.0,35.0,15.0,11.0,23.0,9.0,18.0,30.0,42.0,22.0,157.0
1715,3.0,11.0,4.0,2.0,0.0,10.0,25.0,1.0,41.0,43.0,8.0,13.0,12.0,16.0,6.0,47.0,49.0,7.0,28.0,14.0,80.0,20.0,5.0,114.0,9.0,59.0,48.0,23.0,15.0,21.0
1764,1.0,3.0,2.0,7.0,5.0,13.0,0.0,6.0,157.0,64.0,4.0,10.0,57.0,18.0,30.0,12.0,25.0,8.0,60.0,28.0,29.0,86.0,35.0,16.0,31.0,19.0,43.0,11.0,23.0,24.0
