,DOCK1,WWTR1,LTBP2,NTN4,HRCT1,SLC4A3,AFAP1L1,SHISA4,NHS,ATAD5,PPIC,CYP26B1,PDLIM7,RGS20,ACSS1,UBTD1,SDC3,HSPG2,FASTKD1,GPR176,CTSL,BAIAP2,SLC25A19,FSTL3,STC1,C17orf62,BAG3,FAM127C,MET,RP11-244K5.8
1187,8.0,4.0,1.0,15.0,3.0,6.0,12.0,10.0,2.0,18.0,25.0,23.0,7.0,0.0,27.0,14.0,35.0,29.0,20.0,31.0,48.0,11834.0,68.0,11.0,44.0,45.0,19634.0,28.0,9.0,57.0
1236,113.0,5.0,1.0,3.0,2.0,17.0,20.0,37.0,6.0,12.0,31.0,10.0,0.0,629.0,63.0,46.0,89.0,44.0,23.0,36.0,69.0,65.0,25.0,21.0,33.0,73.0,19698.0,310.0,42.0,14.0
1285,3.0,4.0,30.0,8.0,5.0,17.0,29.0,7.0,12.0,13.0,27.0,10.0,0.0,45.0,20.0,16.0,46.0,15964.0,38.0,22.0,56.0,42.0,52.0,6.0,2.0,69.0,19734.0,1956.0,168.0,28.0
1334,5.0,51.0,22.0,2.0,7.0,19.0,13.0,1.0,0.0,11.0,12.0,4.0,3.0,53.0,34.0,28.0,24.0,50.0,46.0,70.0,33.0,27.0,39.0,18.0,10.0,82.0,554.0,32.0,36.0,58.0
1383,1.0,0.0,20.0,4.0,3.0,13.0,31.0,96.0,9.0,26.0,19.0,16.0,20648.0,91.0,28.0,38.0,37.0,23.0,49.0,76.0,21.0,40.0,42.0,2.0,12.0,43.0,19770.0,52.0,69.0,36.0
1432,2.0,4.0,0.0,6.0,5.0,30.0,16.0,58.0,27.0,9.0,47.0,10.0,3.0,12.0,45.0,7.0,17.0,15960.0,13177.0,19.0,43.0,11822.0,59.0,40.0,222.0,142.0,25.0,8.0,46.0,14.0
1481,3.0,6.0,2.0,0.0,4.0,17.0,18.0,7.0,10.0,5.0,22.0,8.0,20654.0,52.0,9.0,29.0,70.0,15.0,189.0,54.0,53.0,39.0,114.0,118.0,62.0,33.0,45.0,129.0,1460.0,178.0
1530,16.0,58.0,35.0,9.0,12.0,20.0,6.0,0.0,30.0,7.0,19.0,11.0,20641.0,36.0,39.0,19932.0,32.0,41.0,14.0,76.0,62.0,22.0,172.0,71.0,360.0,600.0,23.0,150.0,44.0,2.0
1579,0.0,37.0,57.0,3.0,67.0,5.0,14.0,7.0,17.0,6.0,11.0,29.0,20711.0,47.0,15.0,19927.0,64.0,28.0,45.0,30.0,23.0,12.0,821.0,11244.0,112.0,22.0,19635.0,155.0,4.0,1.0
1628,3.0,7.0,6.0,0.0,33.0,24.0,25.0,1.0,32.0,5.0,21.0,18.0,20656.0,606.0,34.0,14.0,16375.0,15977.0,51.0,65.0,11.0,29.0,11971.0,90.0,36.0,15.0,43.0,95.0,68.0,103.0
1677,1.0,52.0,4.0,0.0,82.0,2.0,25.0,216.0,61.0,8.0,3.0,9.0,20679.0,19008.0,12.0,19945.0,11.0,47.0,34.0,35.0,28.0,31.0,1228.0,66.0,195.0,36.0,42.0,85.0,18768.0,194.0
1726,1.0,5.0,2.0,12.0,0.0,18.0,7.0,11.0,14.0,4.0,25.0,6.0,20646.0,52.0,34.0,30.0,17.0,36.0,46.0,22.0,39.0,28.0,60.0,83.0,10.0,40.0,19766.0,65.0,15.0,16.0
1775,1.0,5.0,3.0,0.0,4.0,7.0,21.0,2.0,357.0,6.0,12.0,23.0,20709.0,19.0,25.0,41.0,8.0,24.0,32.0,34.0,30.0,48.0,11650.0,13.0,17.0,14.0,20.0,93.0,10.0,23133.0
1824,2.0,0.0,5.0,3.0,9.0,6.0,11.0,106.0,4.0,8.0,31.0,14.0,20661.0,1.0,32.0,10.0,64.0,51.0,54.0,44.0,13.0,11839.0,43.0,48.0,18.0,57.0,19758.0,88.0,46.0,24.0
1873,3.0,4.0,1.0,8.0,12.0,2.0,24.0,9.0,18.0,10.0,19.0,7.0,0.0,11.0,7136.0,17.0,60.0,15975.0,77.0,44.0,32.0,35.0,11722.0,80.0,101.0,65.0,1219.0,88.0,54.0,113.0
1922,97.0,12.0,36.0,1.0,11.0,8.0,13.0,107.0,3.0,4.0,22.0,9.0,20723.0,28.0,17.0,60.0,2503.0,66.0,20.0,26.0,49.0,29.0,40.0,118.0,7.0,38.0,15.0,105.0,32.0,0.0
1971,4.0,30.0,2.0,13.0,41.0,1.0,12.0,129.0,65.0,20.0,32.0,17.0,0.0,37.0,54.0,47.0,19.0,31.0,23.0,14.0,27.0,11849.0,3.0,5.0,121.0,62.0,19637.0,9.0,18757.0,58.0
2020,4.0,2.0,8.0,3.0,12.0,0.0,24.0,66.0,32.0,30.0,22.0,1.0,250.0,44.0,26.0,19918.0,35.0,27.0,21.0,46.0,55.0,31.0,18.0,13.0,63.0,28.0,37.0,6.0,1784.0,10.0
2069,3.0,1.0,2.0,14.0,74.0,5.0,19.0,4.0,22.0,30.0,24.0,228.0,20711.0,47.0,21.0,19948.0,25.0,15985.0,12.0,9.0,58.0,50.0,40.0,7.0,19190.0,43.0,55.0,8.0,52.0,23084.0
2118,2.0,4.0,5.0,10.0,0.0,9.0,21.0,3.0,9370.0,9637.0,22.0,17151.0,139.0,40.0,7172.0,19930.0,19.0,47.0,26.0,3719.0,46.0,53.0,8.0,58.0,198.0,42.0,28.0,6.0,18762.0,23095.0
2167,0.0,14504.0,1.0,3.0,38.0,8.0,7.0,59.0,10.0,23.0,29.0,17150.0,63.0,33.0,28.0,73.0,22.0,15969.0,20.0,2.0,20265.0,36.0,24.0,5.0,2209.0,39.0,19746.0,27.0,234.0,13.0
2216,26.0,4.0,0.0,9.0,2.0,22.0,6.0,17301.0,29.0,9670.0,34.0,45.0,1377.0,70.0,31.0,19928.0,62.0,37.0,43.0,17.0,49.0,35.0,15.0,10.0,100.0,61.0,36.0,12.0,25.0,58.0
2265,1.0,4.0,3.0,2.0,16.0,17.0,18.0,30.0,32.0,23.0,25.0,17189.0,5.0,52.0,22.0,46.0,24.0,14.0,38.0,20.0,28.0,36.0,34.0,6.0,15.0,13.0,19755.0,7.0,42.0,63.0
2314,0.0,14741.0,2.0,1.0,45.0,18.0,13.0,27.0,9394.0,10.0,17.0,50.0,47.0,31.0,35.0,19919.0,25.0,26.0,12.0,19.0,11.0,36.0,48.0,29.0,49.0,15.0,19697.0,6.0,1461.0,23113.0
2363,60.0,84.0,1.0,8.0,6.0,13.0,10.0,5.0,32.0,15.0,29.0,48.0,67.0,46.0,17.0,7.0,40.0,33.0,12.0,28.0,54.0,30.0,47.0,0.0,143.0,52.0,19754.0,4.0,1536.0,18.0
2412,5.0,35.0,3.0,13.0,0.0,12.0,24.0,2.0,9376.0,19.0,33.0,17.0,20673.0,23.0,29.0,19929.0,28.0,15960.0,25.0,31.0,58.0,45.0,36.0,6.0,197.0,37.0,19766.0,10.0,18871.0,47.0
2461,62.0,3.0,27.0,5.0,22.0,31.0,13.0,2.0,9.0,17.0,19.0,65.0,36.0,0.0,15.0,29.0,28.0,15969.0,14.0,6.0,18.0,11841.0,32.0,69.0,4.0,41.0,11.0,23.0,18773.0,34.0
2510,3.0,4.0,8.0,14.0,7.0,15.0,12.0,2.0,1.0,16.0,5.0,50.0,46.0,0.0,40.0,28.0,32.0,15969.0,25.0,11.0,53.0,11814.0,33.0,11240.0,10.0,44.0,19750.0,6.0,18759.0,184.0
2559,0.0,32.0,46.0,8.0,30.0,23.0,18.0,4.0,9.0,17.0,14.0,67.0,35.0,42.0,16.0,26.0,22.0,15960.0,60.0,6.0,48.0,40.0,41.0,61.0,7.0,19.0,5.0,10.0,13.0,2.0
2608,2.0,0.0,6.0,9.0,19.0,24.0,17.0,4.0,14.0,7.0,18.0,17177.0,3.0,1.0,28.0,23.0,22.0,8.0,97.0,5.0,47.0,11769.0,109.0,1359.0,18957.0,32.0,11.0,13.0,18875.0,71.0
2657,4.0,2.0,5.0,1.0,14.0,17.0,20.0,8.0,16.0,18.0,27.0,44.0,0.0,3.0,30.0,70.0,28.0,363.0,74.0,41.0,51.0,739.0,77.0,2470.0,6.0,53.0,9.0,15.0,190.0,13.0
2706,1.0,2.0,3.0,5.0,4.0,14.0,22.0,7.0,0.0,10.0,6.0,36.0,83.0,26.0,23.0,19921.0,24.0,15983.0,38.0,13.0,28.0,45.0,85.0,51.0,11.0,39.0,19752.0,18.0,41.0,12.0
2755,2.0,39.0,8.0,7.0,49.0,36.0,5.0,4.0,10.0,31.0,18.0,17042.0,1.0,0.0,23.0,32.0,9.0,15939.0,54.0,16.0,74.0,11791.0,55.0,48.0,131.0,27.0,461.0,11.0,29.0,76.0
2804,2.0,29.0,5.0,6.0,13.0,24.0,18.0,4.0,9.0,16.0,22.0,8.0,75.0,0.0,15.0,19936.0,17.0,15964.0,83.0,23.0,70.0,11829.0,101.0,40.0,1.0,31.0,19769.0,12.0,18762.0,7.0
2853,3.0,0.0,37.0,9.0,55.0,23.0,17.0,41.0,10.0,6.0,19.0,17166.0,20710.0,2.0,20.0,19944.0,7.0,15985.0,51.0,27.0,36.0,11827.0,111.0,11216.0,65.0,45.0,15.0,16.0,33.0,1.0
