,XAGE1E,CCND2,GUSB,C1orf233,MAGEA1,GPX3,STEAP1B,KCNK15,NDN,SLC2A3,IGSF3,TNFSF12,LEPREL4,HMGA2,PLA2G4A,SNTB1,RP11-197K6.1,NT5E,CGREF1,HERC5,LEPREL2,RP11-669N7.2,CKB,MAPK4,PLAG1,FAM109B,RP11-90B9.2,LINC00942,GRIN2D,DCP1B
10,0.0,6.0,3.0,8.0,1.0,2.0,59.0,12.0,4.0,22.0,99.0,28.0,20.0,27.0,232.0,264.0,1898.0,34.0,7.0,29.0,19.0,33.0,387.0,37.0,15.0,5.0,84.0,51.0,450.0,72.0
59,0.0,2.0,14.0,16.0,3.0,8.0,31.0,5.0,39.0,20.0,41.0,19.0,11.0,32.0,100.0,218.0,242.0,133.0,9.0,25.0,6.0,64.0,146.0,17.0,26.0,47.0,37.0,131.0,311.0,43.0
108,0.0,8.0,17.0,5.0,1.0,49.0,64.0,3.0,19.0,32.0,48.0,162.0,20.0,151.0,172.0,44.0,441.0,197.0,23.0,2333.0,12.0,33.0,840.0,21.0,51.0,31.0,83.0,101.0,1168.0,25.0
157,0.0,2.0,10.0,4.0,1.0,11.0,172.0,8.0,12.0,154.0,16.0,126.0,15.0,65.0,68.0,28.0,801.0,932.0,9.0,55.0,40.0,26.0,89.0,148.0,7.0,203.0,67.0,84.0,135.0,51.0
206,0.0,1.0,2.0,5.0,3.0,38.0,206.0,10.0,84.0,25.0,13.0,18.0,8.0,11.0,40.0,114.0,1158.0,140.0,35.0,32.0,28.0,144.0,236.0,23.0,27.0,42.0,88.0,37.0,617.0,69.0
255,1.0,6.0,0.0,4.0,30.0,34.0,52.0,9.0,5.0,50.0,28.0,90.0,23.0,301.0,82.0,41.0,319.0,130.0,7.0,185.0,15.0,3.0,67.0,81.0,88.0,35.0,84.0,17.0,700.0,156.0
304,0.0,2.0,7.0,5.0,1.0,72.0,267.0,11.0,8.0,37.0,30.0,38.0,3.0,129.0,154.0,261.0,125.0,93.0,10.0,53.0,49.0,61.0,147.0,32.0,31.0,35.0,80.0,21.0,121.0,48.0
353,0.0,1.0,7.0,4.0,3.0,5.0,21.0,9.0,50.0,113.0,62.0,89.0,8.0,33.0,131.0,172.0,311.0,249.0,17.0,217.0,38.0,44.0,57.0,14.0,15.0,46.0,36.0,13.0,65.0,122.0
402,0.0,1.0,5.0,11.0,2.0,25.0,68.0,9.0,3.0,71.0,24.0,65.0,10.0,21.0,38.0,30.0,315.0,28.0,12.0,90.0,45.0,32.0,204.0,19.0,8.0,54.0,34.0,55.0,74.0,99.0
451,0.0,1.0,15.0,14.0,23.0,243.0,30.0,186.0,8.0,2.0,7.0,5.0,22.0,21.0,117.0,65.0,2625.0,981.0,64.0,16.0,6.0,378.0,48.0,181.0,13.0,44.0,49.0,278.0,51.0,66.0
500,6.0,11.0,26.0,4.0,663.0,12.0,9.0,3.0,0.0,10.0,71.0,2.0,156.0,528.0,15.0,17.0,8.0,155.0,37.0,533.0,88.0,158.0,16.0,61.0,18.0,5.0,40.0,56.0,432.0,248.0
549,0.0,7.0,2.0,15.0,210.0,1.0,24.0,23.0,4.0,29.0,9.0,5.0,122.0,314.0,19.0,16.0,114.0,30.0,41.0,376.0,286.0,313.0,48.0,6.0,33.0,371.0,50.0,43.0,2710.0,304.0
598,2.0,5.0,30.0,20.0,41.0,1.0,3.0,73.0,0.0,34.0,18.0,26.0,82.0,95.0,169.0,143.0,109.0,280.0,12.0,551.0,248.0,182.0,6.0,67.0,127.0,126.0,35.0,266.0,111.0,56.0
647,5.0,9.0,7.0,1.0,56.0,31.0,0.0,10.0,4.0,34.0,33.0,148.0,41.0,64.0,58.0,21.0,32.0,2.0,8.0,44.0,589.0,281.0,3.0,27.0,67.0,534.0,63.0,458.0,184.0,71.0
696,1.0,10.0,7.0,68.0,381.0,0.0,2.0,4.0,3.0,16.0,11.0,839.0,20.0,287.0,35.0,19.0,57.0,82.0,43.0,394.0,64.0,395.0,25.0,30.0,132.0,90.0,47.0,125.0,282.0,303.0
745,0.0,8.0,20.0,24.0,789.0,5.0,3.0,66.0,1.0,23.0,7.0,59.0,48.0,1336.0,14.0,11.0,2.0,28.0,17.0,33.0,68.0,601.0,4.0,18.0,40.0,56.0,13.0,62.0,21.0,58.0
794,6.0,8.0,1.0,53.0,20.0,7.0,16.0,124.0,0.0,2.0,24.0,14.0,39.0,79.0,25.0,36.0,47.0,22.0,225.0,709.0,257.0,82.0,11.0,57.0,26.0,48.0,31.0,51.0,339.0,65.0
