,hsa-miR-142-5p,hsa-miR-744,hsa-miR-92a,hsa-miR-590-5p,hsa-miR-320c,hsa-miR-422a,hsa-miR-132,hsa-miR-147b,hcmv-miR-US5-1,hsa-miR-579,hsa-miR-668,hsa-miR-125a-3p,hsa-miR-1538,hsa-miR-578,hsa-miR-148a,hsa-miR-155,hsa-miR-1284,hsa-miR-550,hsa-miR-1308,hsa-miR-617,hsa-miR-877,hsa-miR-103,hsa-miR-223,hsa-miR-1276,hsa-miR-766,hsa-miR-643,hsa-miR-342-3p,hsa-miR-15b,hsa-miR-644,hsa-miR-16
17,1.0,2.0,0.0,3.0,4.0,10.0,11.0,17.0,6.0,7.0,16.0,5.0,20.0,12.0,335.0,18.0,13.0,8.0,14.0,52.0,27.0,39.0,15.0,23.0,33.0,24.0,43.0,40.0,19.0,21.0
66,0.0,8.0,3.0,1.0,4.0,5.0,6.0,21.0,18.0,13.0,10.0,2.0,25.0,7.0,42.0,27.0,16.0,12.0,39.0,31.0,9.0,24.0,22.0,11.0,50.0,29.0,75.0,47.0,26.0,36.0
115,0.0,3.0,1.0,2.0,7.0,10.0,37.0,13.0,8.0,18.0,4.0,5.0,29.0,6.0,32.0,25.0,11.0,9.0,22.0,43.0,26.0,33.0,16.0,19.0,47.0,28.0,489.0,35.0,14.0,17.0
164,0.0,6.0,1.0,7.0,2.0,14.0,5.0,3.0,15.0,19.0,12.0,4.0,27.0,22.0,59.0,17.0,32.0,18.0,9.0,34.0,53.0,39.0,10.0,25.0,30.0,26.0,43.0,64.0,28.0,29.0
213,5.0,0.0,4.0,6.0,7.0,11.0,1.0,23.0,13.0,10.0,17.0,3.0,25.0,18.0,24.0,22.0,26.0,2.0,36.0,44.0,20.0,31.0,15.0,9.0,34.0,27.0,52.0,45.0,8.0,33.0
262,0.0,3.0,1.0,4.0,7.0,6.0,9.0,18.0,8.0,11.0,5.0,2.0,22.0,16.0,38.0,20.0,23.0,15.0,14.0,19.0,21.0,26.0,13.0,10.0,32.0,31.0,67.0,25.0,17.0,27.0
311,1.0,2.0,0.0,13.0,9.0,19.0,14.0,11.0,6.0,18.0,8.0,4.0,17.0,25.0,45.0,24.0,15.0,3.0,36.0,32.0,20.0,10.0,28.0,12.0,38.0,26.0,68.0,44.0,7.0,34.0
360,1.0,4.0,2.0,3.0,6.0,7.0,9.0,15.0,16.0,0.0,10.0,8.0,64.0,21.0,23.0,17.0,18.0,12.0,34.0,117.0,33.0,11.0,13.0,14.0,82.0,58.0,52.0,41.0,20.0,28.0
409,0.0,2.0,4.0,12.0,11.0,3.0,18.0,9.0,8.0,13.0,7.0,1.0,26.0,29.0,336.0,14.0,32.0,6.0,24.0,27.0,25.0,19.0,15.0,16.0,58.0,53.0,473.0,65.0,5.0,37.0
458,0.0,1.0,3.0,2.0,11.0,6.0,8.0,15.0,5.0,25.0,10.0,9.0,32.0,16.0,52.0,23.0,26.0,4.0,31.0,187.0,27.0,12.0,13.0,7.0,37.0,39.0,29.0,56.0,17.0,68.0
507,1.0,0.0,2.0,10.0,45.0,8.0,21.0,11.0,5.0,46.0,19.0,18.0,13.0,27.0,20.0,17.0,29.0,12.0,38.0,6.0,4.0,7.0,24.0,15.0,48.0,9.0,33.0,26.0,3.0,16.0
556,1.0,0.0,2.0,5.0,8.0,17.0,4.0,23.0,10.0,7.0,82.0,13.0,6.0,45.0,19.0,3.0,31.0,12.0,27.0,22.0,14.0,21.0,37.0,18.0,24.0,16.0,11.0,29.0,15.0,36.0
605,0.0,1.0,2.0,6.0,13.0,10.0,3.0,12.0,11.0,38.0,14.0,9.0,5.0,23.0,52.0,7.0,28.0,4.0,21.0,27.0,32.0,18.0,15.0,24.0,72.0,17.0,20.0,29.0,8.0,41.0
654,1.0,0.0,7.0,2.0,23.0,9.0,4.0,11.0,16.0,6.0,14.0,19.0,13.0,31.0,53.0,12.0,29.0,17.0,5.0,15.0,33.0,26.0,24.0,28.0,47.0,25.0,8.0,18.0,3.0,43.0
703,0.0,1.0,2.0,8.0,6.0,12.0,7.0,14.0,20.0,31.0,37.0,3.0,17.0,32.0,10.0,23.0,47.0,5.0,27.0,4.0,55.0,18.0,16.0,43.0,44.0,15.0,19.0,53.0,28.0,38.0
752,0.0,1.0,2.0,31.0,7.0,25.0,12.0,21.0,5.0,4.0,33.0,23.0,3.0,34.0,8.0,18.0,15.0,16.0,44.0,11.0,27.0,10.0,19.0,20.0,46.0,9.0,13.0,22.0,14.0,24.0
801,0.0,1.0,2.0,12.0,13.0,3.0,4.0,6.0,11.0,37.0,32.0,40.0,14.0,48.0,24.0,8.0,43.0,16.0,31.0,26.0,62.0,9.0,39.0,75.0,69.0,7.0,17.0,5.0,18.0,20.0
850,0.0,1.0,3.0,2.0,13.0,15.0,27.0,17.0,8.0,7.0,5.0,6.0,16.0,29.0,10.0,20.0,65.0,18.0,9.0,31.0,60.0,33.0,12.0,38.0,28.0,11.0,30.0,14.0,4.0,46.0
899,0.0,1.0,4.0,23.0,6.0,19.0,2.0,12.0,18.0,35.0,7.0,28.0,17.0,24.0,14.0,8.0,55.0,102.0,3.0,11.0,22.0,20.0,10.0,30.0,15.0,43.0,9.0,60.0,36.0,27.0
948,0.0,2.0,1.0,3.0,4.0,11.0,8.0,22.0,5.0,9.0,33.0,15.0,14.0,43.0,29.0,20.0,24.0,13.0,12.0,7.0,303.0,51.0,46.0,30.0,17.0,21.0,49.0,27.0,10.0,23.0
997,0.0,2.0,1.0,3.0,5.0,15.0,51.0,16.0,22.0,30.0,43.0,52.0,4.0,17.0,9.0,7.0,47.0,8.0,44.0,14.0,23.0,34.0,38.0,21.0,24.0,6.0,27.0,18.0,19.0,13.0
1046,0.0,1.0,3.0,2.0,5.0,11.0,27.0,20.0,16.0,6.0,8.0,40.0,13.0,4.0,28.0,9.0,425.0,25.0,44.0,31.0,7.0,19.0,17.0,10.0,42.0,12.0,26.0,21.0,36.0,14.0
1095,0.0,1.0,2.0,3.0,8.0,9.0,19.0,26.0,11.0,33.0,24.0,42.0,5.0,6.0,7.0,12.0,34.0,32.0,20.0,17.0,4.0,43.0,18.0,16.0,22.0,10.0,13.0,21.0,55.0,27.0
1144,0.0,1.0,2.0,3.0,4.0,19.0,12.0,25.0,18.0,7.0,42.0,23.0,17.0,5.0,10.0,9.0,14.0,21.0,359.0,27.0,6.0,35.0,32.0,11.0,31.0,8.0,60.0,22.0,30.0,13.0
1193,0.0,3.0,2.0,1.0,5.0,21.0,9.0,18.0,17.0,20.0,30.0,440.0,7.0,11.0,13.0,19.0,16.0,10.0,51.0,12.0,4.0,48.0,33.0,37.0,45.0,6.0,64.0,15.0,49.0,23.0
1242,0.0,2.0,1.0,3.0,5.0,10.0,35.0,38.0,20.0,22.0,13.0,28.0,4.0,7.0,9.0,26.0,14.0,24.0,17.0,6.0,11.0,30.0,45.0,31.0,8.0,15.0,16.0,19.0,18.0,12.0
1291,0.0,1.0,2.0,23.0,4.0,5.0,66.0,20.0,6.0,24.0,26.0,10.0,11.0,8.0,3.0,7.0,31.0,21.0,337.0,18.0,9.0,28.0,59.0,12.0,34.0,14.0,25.0,17.0,51.0,15.0
1340,0.0,1.0,3.0,6.0,10.0,7.0,42.0,16.0,36.0,61.0,12.0,26.0,8.0,5.0,4.0,9.0,22.0,19.0,73.0,11.0,2.0,21.0,20.0,17.0,31.0,14.0,25.0,43.0,40.0,13.0
1389,0.0,2.0,1.0,6.0,12.0,5.0,18.0,21.0,11.0,13.0,20.0,32.0,7.0,3.0,4.0,16.0,9.0,52.0,46.0,31.0,10.0,54.0,28.0,8.0,29.0,14.0,23.0,73.0,48.0,30.0
1438,0.0,1.0,2.0,5.0,3.0,4.0,38.0,15.0,18.0,6.0,17.0,45.0,30.0,8.0,7.0,12.0,19.0,144.0,342.0,22.0,25.0,39.0,50.0,13.0,21.0,24.0,49.0,57.0,183.0,11.0
1487,0.0,4.0,2.0,10.0,3.0,5.0,1.0,21.0,28.0,9.0,27.0,16.0,33.0,61.0,17.0,8.0,11.0,65.0,12.0,13.0,29.0,39.0,52.0,63.0,25.0,56.0,26.0,59.0,34.0,35.0
1536,0.0,1.0,2.0,8.0,3.0,10.0,4.0,7.0,19.0,13.0,14.0,20.0,15.0,6.0,21.0,11.0,22.0,18.0,5.0,42.0,12.0,23.0,40.0,81.0,28.0,24.0,9.0,36.0,80.0,31.0
1585,0.0,1.0,4.0,3.0,6.0,9.0,2.0,11.0,26.0,5.0,12.0,8.0,10.0,15.0,13.0,38.0,17.0,33.0,14.0,64.0,20.0,32.0,29.0,394.0,16.0,37.0,7.0,46.0,23.0,39.0
1634,1.0,0.0,2.0,9.0,7.0,17.0,3.0,6.0,33.0,28.0,18.0,46.0,19.0,14.0,25.0,31.0,11.0,20.0,5.0,187.0,43.0,42.0,71.0,434.0,12.0,29.0,13.0,40.0,47.0,59.0
