,hsa-miR-548d-3p,hsa-miR-921,hsa-miR-591,hsa-miR-29c,hsa-miR-223,hsa-miR-26a,hsa-miR-492,hsa-miR-579,hsa-miR-147b,hsa-miR-1294,hsa-miR-323-5p,hsa-miR-489,hsa-miR-570,hsa-miR-615-3p,hsa-miR-1284,hsa-miR-320c,hsa-miR-485-5p,hsa-miR-125a-3p,hsa-miR-1278,hsa-miR-518d-3p,hsa-miR-622,hsa-miR-892a,hsa-miR-384,hsa-miR-26b,hsa-miR-1236,hsa-miR-616,hsa-miR-29b,hsa-miR-516a-3p,hsa-miR-770-5p,hsa-miR-642
16,1.0,0.0,14.0,25.0,7.0,18.0,33.0,10.0,59.0,13.0,4.0,16.0,5.0,2.0,6.0,9.0,3.0,20.0,37.0,35.0,12.0,66.0,38.0,28.0,76.0,19.0,60.0,24.0,45.0,11.0
65,0.0,1.0,10.0,48.0,4.0,36.0,20.0,41.0,66.0,12.0,7.0,31.0,5.0,8.0,11.0,22.0,6.0,18.0,63.0,19.0,29.0,28.0,32.0,71.0,238.0,30.0,35.0,16.0,72.0,2.0
114,0.0,5.0,33.0,21.0,34.0,2.0,31.0,51.0,54.0,23.0,12.0,6.0,11.0,20.0,37.0,17.0,1.0,29.0,14.0,24.0,91.0,8.0,7.0,22.0,109.0,15.0,45.0,47.0,81.0,10.0
163,3.0,2.0,18.0,21.0,8.0,12.0,43.0,0.0,36.0,10.0,1.0,13.0,16.0,6.0,17.0,9.0,5.0,24.0,55.0,11.0,15.0,4.0,30.0,33.0,122.0,39.0,14.0,46.0,143.0,7.0
212,1.0,0.0,20.0,18.0,6.0,12.0,44.0,16.0,53.0,27.0,13.0,5.0,15.0,9.0,4.0,19.0,54.0,59.0,8.0,24.0,11.0,3.0,91.0,39.0,98.0,41.0,14.0,30.0,65.0,7.0
261,1.0,2.0,7.0,24.0,12.0,13.0,16.0,5.0,26.0,23.0,0.0,22.0,8.0,10.0,11.0,6.0,9.0,25.0,20.0,30.0,17.0,32.0,31.0,40.0,96.0,52.0,14.0,39.0,36.0,19.0
310,2.0,5.0,27.0,13.0,1.0,15.0,8.0,22.0,16.0,35.0,11.0,38.0,7.0,14.0,3.0,10.0,4.0,28.0,44.0,18.0,21.0,46.0,36.0,42.0,55.0,48.0,17.0,30.0,62.0,0.0
359,0.0,7.0,16.0,36.0,15.0,8.0,63.0,9.0,42.0,3.0,1.0,20.0,6.0,5.0,14.0,12.0,4.0,29.0,74.0,25.0,22.0,27.0,23.0,40.0,166.0,11.0,13.0,33.0,21.0,2.0
408,2.0,3.0,24.0,22.0,6.0,15.0,77.0,4.0,26.0,20.0,12.0,37.0,7.0,29.0,0.0,8.0,5.0,1.0,16.0,11.0,71.0,40.0,23.0,74.0,41.0,91.0,18.0,21.0,33.0,10.0
457,0.0,9.0,13.0,25.0,1.0,26.0,49.0,2.0,5.0,35.0,6.0,11.0,17.0,7.0,8.0,47.0,20.0,50.0,10.0,57.0,33.0,73.0,36.0,43.0,56.0,32.0,41.0,67.0,93.0,19.0
