,KRAS.G12_13_MUT,TRIM49_DEL,CREBBP_MUT,PDE4DIP_AMP,GSTTP2_DEL,ETS1_DEL,CDC73_AMP,GRIN2B_DEL,ZBTB44_DEL,TMEM230_DEL,GRIN2A_DEL,ZCCHC4_DEL,WDR91_DEL,CCDC113_DEL,FOXN3-AS2_DEL,GRIK4_DEL,GRIN2D_DEL,ABR_DEL,SETD2_DEL,MRPL18_DEL,TIMM21_DEL,MRPL15_DEL,THYN1_DEL,CCDC59_DEL,MED4_DEL,HIPK2_DEL,NDUFAF4_DEL,STXBP6_DEL,CHMP4A_DEL,LINC00652_DEL
34,4.0,3.0,15.0,18854.0,2.0,25.0,43.0,78.0,73.0,77.0,79.0,74.0,75.0,72.0,61.0,80.0,76.0,60.0,71.0,70.0,124.0,105.0,63.0,65.0,67.0,46.0,68.0,167.0,64.0,69.0
83,2.0,21.0,19.0,12.0,1.0,5757.0,23100.0,117.0,52.0,73.0,75.0,58.0,55.0,57.0,98.0,99.0,70.0,100.0,48.0,61.0,67.0,69.0,51.0,68.0,63.0,101.0,62.0,66.0,71.0,59.0
132,0.0,15.0,16045.0,2.0,11004.0,1.0,23120.0,67.0,85.0,89.0,48.0,86.0,88.0,84.0,49.0,50.0,68.0,51.0,83.0,82.0,73.0,74.0,75.0,77.0,79.0,52.0,80.0,72.0,76.0,81.0
181,34.0,8.0,0.0,12.0,7.0,1.0,39.0,58.0,68.0,49.0,59.0,46.0,47.0,60.0,52.0,53.0,48.0,54.0,61.0,75.0,63.0,66.0,67.0,70.0,72.0,55.0,73.0,115.0,76.0,74.0
230,0.0,31.0,16044.0,30.0,32.0,33.0,47.0,80.0,75.0,79.0,81.0,76.0,77.0,73.0,82.0,62.0,78.0,54.0,72.0,70.0,188.0,127.0,169.0,65.0,66.0,48.0,68.0,187.0,85.0,69.0
279,0.0,10.0,39.0,7.0,10998.0,2.0,44.0,47.0,85.0,58.0,48.0,86.0,67.0,84.0,49.0,50.0,77.0,51.0,83.0,82.0,74.0,75.0,76.0,87.0,79.0,52.0,80.0,73.0,78.0,81.0
328,34.0,10.0,7.0,2.0,12.0,5752.0,23122.0,53.0,76.0,58.0,54.0,48.0,49.0,60.0,75.0,77.0,57.0,106.0,73.0,72.0,114.0,61.0,62.0,65.0,66.0,78.0,68.0,116.0,64.0,69.0
377,24134.0,0.0,16044.0,36.0,1.0,5.0,43.0,61.0,56.0,60.0,62.0,57.0,58.0,55.0,66.0,86.0,59.0,88.0,54.0,53.0,75.0,64.0,63.0,48.0,49.0,111.0,51.0,65.0,47.0,52.0
426,17.0,2.0,10.0,1.0,10998.0,4.0,0.0,51.0,48.0,49.0,55.0,46.0,45.0,50.0,79.0,99.0,58.0,80.0,52.0,53.0,67.0,71.0,73.0,77.0,60.0,102.0,57.0,66.0,75.0,54.0
475,0.0,19.0,2.0,3.0,17.0,1.0,27.0,59.0,50.0,51.0,71.0,47.0,46.0,53.0,94.0,73.0,48.0,97.0,62.0,55.0,58.0,63.0,70.0,65.0,66.0,98.0,68.0,57.0,64.0,69.0
524,11.0,42.0,33.0,18855.0,26.0,0.0,23119.0,70.0,87.0,71.0,69.0,88.0,89.0,86.0,68.0,48.0,90.0,49.0,85.0,84.0,76.0,77.0,78.0,80.0,81.0,50.0,82.0,75.0,79.0,83.0
573,2.0,36.0,34.0,1.0,27.0,31.0,23119.0,54.0,49.0,53.0,55.0,50.0,51.0,68.0,56.0,57.0,52.0,58.0,70.0,91.0,84.0,85.0,86.0,88.0,89.0,59.0,90.0,83.0,87.0,71.0
622,1.0,23.0,16.0,18.0,19.0,0.0,33.0,54.0,64.0,60.0,49.0,63.0,62.0,65.0,50.0,55.0,61.0,68.0,66.0,67.0,53.0,74.0,73.0,72.0,59.0,106.0,71.0,52.0,69.0,70.0
671,1.0,8.0,35.0,5.0,11000.0,2.0,0.0,55.0,69.0,56.0,54.0,61.0,60.0,70.0,52.0,51.0,58.0,50.0,72.0,73.0,57.0,59.0,63.0,68.0,77.0,114.0,76.0,113.0,64.0,75.0
720,0.0,4.0,35.0,1.0,3.0,7.0,40.0,54.0,47.0,52.0,57.0,48.0,50.0,46.0,59.0,44.0,51.0,60.0,55.0,72.0,75.0,76.0,77.0,79.0,80.0,56.0,81.0,74.0,78.0,62.0
769,32.0,0.0,11.0,14.0,11000.0,2.0,4.0,53.0,61.0,55.0,51.0,60.0,58.0,63.0,49.0,46.0,56.0,94.0,66.0,68.0,57.0,62.0,64.0,73.0,72.0,77.0,71.0,54.0,67.0,70.0
818,24134.0,16.0,16045.0,14.0,0.0,5756.0,36.0,80.0,49.0,114.0,79.0,54.0,55.0,47.0,100.0,101.0,75.0,102.0,46.0,50.0,72.0,73.0,74.0,76.0,60.0,103.0,68.0,70.0,78.0,58.0
867,12.0,25.0,23.0,2.0,1.0,5.0,43.0,61.0,56.0,60.0,62.0,57.0,58.0,55.0,76.0,88.0,59.0,89.0,54.0,53.0,63.0,45.0,46.0,48.0,49.0,90.0,50.0,64.0,47.0,52.0
916,0.0,11.0,33.0,1.0,11001.0,13.0,43.0,45.0,52.0,56.0,47.0,50.0,49.0,53.0,55.0,77.0,48.0,98.0,54.0,66.0,62.0,64.0,65.0,68.0,71.0,99.0,59.0,61.0,74.0,75.0
965,4.0,11609.0,1.0,23.0,18.0,0.0,2.0,70.0,69.0,59.0,54.0,66.0,65.0,57.0,53.0,51.0,64.0,48.0,67.0,71.0,52.0,58.0,60.0,68.0,63.0,55.0,62.0,56.0,61.0,50.0
1014,21.0,11643.0,16045.0,18854.0,11028.0,5732.0,1.0,47.0,89.0,66.0,48.0,69.0,68.0,88.0,49.0,50.0,67.0,51.0,87.0,86.0,78.0,80.0,90.0,82.0,83.0,52.0,84.0,77.0,81.0,85.0
1063,0.0,11611.0,44.0,9.0,11002.0,32.0,48.0,70.0,85.0,89.0,69.0,86.0,87.0,84.0,68.0,67.0,88.0,50.0,83.0,82.0,74.0,75.0,76.0,78.0,79.0,51.0,80.0,73.0,77.0,81.0
