,IFI27,PLAGL1,GSTT1,PREX2,PRICKLE1,SULF2,IQCA1,RP11-98I9.4,AC016683.6,PTPN13,KCTD14,RP11-390F4.3,DZIP1,CALB1,PRTFDC1,WSCD1,PCDHB2,FAM83A,RP11-389O22.4,G0S2,RP11-73M18.7,KCNK1,RNY3P8,LAMB3,TMEM117,RP11-477N3.1,FRYL,CTSZ,CEP152,SNORD68
8,15.0,3.0,53.0,9.0,7.0,1.0,386.0,17.0,0.0,10.0,234.0,19.0,40.0,8.0,399.0,45.0,2.0,73.0,630.0,36.0,183.0,66.0,25.0,14.0,50.0,56.0,44.0,28.0,24.0,495.0
57,1.0,18.0,5.0,11.0,3.0,30.0,549.0,2.0,0.0,20.0,28.0,234.0,29.0,14.0,17.0,1418.0,26.0,15.0,172.0,6.0,242.0,32.0,7.0,10.0,81.0,51.0,50.0,92.0,41.0,2917.0
106,2.0,22.0,26.0,1.0,3.0,0.0,16.0,5.0,4.0,18.0,6.0,21.0,40.0,7.0,11.0,29.0,49.0,8.0,217.0,419.0,10.0,44.0,41.0,61.0,37.0,54.0,9.0,550.0,31.0,2011.0
155,2.0,3.0,361.0,99.0,1.0,5.0,15.0,4.0,0.0,7.0,230.0,171.0,200.0,14.0,144.0,8.0,11.0,40.0,1796.0,73.0,114.0,90.0,18.0,17.0,132.0,9.0,53.0,83.0,151.0,545.0
204,3.0,1.0,248.0,4.0,0.0,6.0,190.0,5.0,2.0,18.0,12.0,78.0,9.0,8.0,75.0,23.0,7.0,218.0,251.0,45.0,70.0,82.0,14.0,17.0,49.0,133.0,42.0,81.0,51.0,1545.0
253,0.0,41.0,387.0,2.0,1.0,15.0,291.0,8.0,27.0,5.0,68.0,201.0,6.0,48.0,142.0,22.0,4.0,173.0,646.0,16.0,106.0,19.0,21.0,10.0,26.0,32.0,59.0,121.0,25.0,1861.0
302,0.0,7.0,2.0,4.0,6.0,33.0,216.0,10.0,1.0,9.0,96.0,234.0,8.0,5.0,44.0,20.0,3.0,90.0,187.0,36.0,38.0,37.0,34.0,15.0,31.0,76.0,16.0,35.0,11.0,592.0
351,2.0,8.0,14.0,13.0,1.0,5.0,186.0,23.0,0.0,34.0,42.0,139.0,21.0,11.0,189.0,81.0,10.0,27.0,571.0,39.0,69.0,19.0,51.0,17.0,78.0,50.0,44.0,20.0,24.0,439.0
400,3.0,4.0,20.0,7.0,2.0,0.0,62.0,31.0,1.0,15.0,9.0,70.0,22.0,23.0,5.0,60.0,19.0,59.0,720.0,13.0,14.0,99.0,25.0,8.0,124.0,112.0,33.0,185.0,54.0,711.0
449,3.0,0.0,51.0,9.0,2.0,39.0,16.0,17.0,1.0,38.0,364.0,40.0,50.0,130.0,49.0,157.0,4.0,58.0,297.0,121.0,643.0,261.0,33.0,25.0,18.0,93.0,83.0,20.0,64.0,265.0
498,0.0,2.0,30.0,9.0,19.0,84.0,5.0,54.0,4.0,124.0,52.0,18.0,11.0,77.0,3.0,44.0,6.0,13.0,88.0,28.0,25.0,12.0,64.0,152.0,36.0,35.0,48.0,176.0,7.0,1.0
547,0.0,9.0,29.0,4.0,8.0,44.0,12.0,5.0,88.0,21.0,22.0,7.0,14.0,59.0,35.0,37.0,18.0,1.0,42.0,36.0,137.0,40.0,10.0,242.0,16.0,26.0,41.0,331.0,90.0,2.0
596,0.0,1.0,48.0,4.0,74.0,3.0,22.0,8.0,361.0,16.0,41.0,19.0,2.0,35.0,44.0,15.0,5.0,6.0,33.0,39.0,83.0,9.0,18.0,24.0,12.0,30.0,206.0,27.0,91.0,11.0
645,2.0,0.0,1.0,60.0,22.0,106.0,46.0,8.0,346.0,3.0,32.0,208.0,7.0,16.0,170.0,147.0,42.0,15.0,45.0,39.0,33.0,38.0,34.0,124.0,44.0,10.0,63.0,305.0,150.0,26.0
694,0.0,4.0,10.0,2.0,1.0,15.0,33.0,3.0,7.0,70.0,55.0,24.0,5.0,31.0,34.0,12.0,23.0,97.0,1632.0,82.0,56.0,9.0,39.0,101.0,11.0,8.0,20.0,312.0,152.0,29.0
743,0.0,9.0,69.0,7.0,39.0,4.0,1.0,23.0,3.0,46.0,139.0,16.0,6.0,258.0,30.0,56.0,5.0,2.0,31.0,26.0,98.0,17.0,67.0,41.0,85.0,105.0,87.0,444.0,45.0,33.0
