,XBP1,Bcl-xL,Cyclin_B1,c-Jun_pS73,Gab2,FRA1,HER3,PDCD4,PEA15,p70S6K_pT389,PTEN,AMPK_alpha,Porin,Notch1,YB-1_pS102,P-Cadherin,Lck,VEGFR2,TIGAR,Src_pY527,PDK1_pS241,NF-kB-p65_pS536,PAI-1,PDK1,YAP_pS127,Paxillin,p90RSK_pT573,Rictor_pT1135,p53,p90RSK_pT359_S363
6,0.0,109.0,13.0,15.0,16.0,11.0,8.0,21.0,22.0,33.0,47.0,3.0,24.0,136.0,164.0,32.0,149.0,30.0,78.0,85.0,68.0,138.0,59.0,56.0,31.0,58.0,20.0,97.0,64.0,61.0
55,0.0,2.0,17.0,4.0,18.0,28.0,7.0,11.0,88.0,45.0,77.0,3.0,12.0,22.0,10.0,21.0,5.0,39.0,6.0,31.0,63.0,25.0,1.0,8.0,47.0,76.0,41.0,66.0,19.0,43.0
104,2.0,7.0,13.0,5.0,0.0,161.0,16.0,20.0,38.0,50.0,83.0,37.0,10.0,4.0,164.0,27.0,39.0,28.0,69.0,32.0,44.0,155.0,47.0,24.0,25.0,59.0,48.0,89.0,52.0,49.0
153,36.0,39.0,1.0,4.0,2.0,17.0,23.0,44.0,30.0,24.0,78.0,37.0,11.0,28.0,16.0,27.0,145.0,0.0,41.0,88.0,49.0,7.0,45.0,46.0,5.0,20.0,51.0,70.0,55.0,53.0
202,2.0,7.0,22.0,5.0,6.0,162.0,40.0,17.0,4.0,8.0,79.0,125.0,1.0,48.0,164.0,30.0,36.0,28.0,34.0,38.0,20.0,44.0,12.0,51.0,60.0,42.0,52.0,13.0,56.0,11.0
251,7.0,3.0,10.0,33.0,16.0,102.0,12.0,26.0,5.0,61.0,30.0,100.0,29.0,2.0,1.0,20.0,32.0,6.0,8.0,85.0,55.0,137.0,24.0,27.0,70.0,25.0,59.0,69.0,63.0,60.0
300,9.0,99.0,12.0,14.0,20.0,18.0,22.0,41.0,7.0,44.0,3.0,5.0,85.0,1.0,28.0,24.0,8.0,34.0,2.0,0.0,26.0,57.0,40.0,50.0,35.0,17.0,21.0,68.0,46.0,43.0
349,1.0,2.0,150.0,12.0,7.0,5.0,132.0,62.0,89.0,21.0,11.0,36.0,82.0,24.0,17.0,23.0,140.0,35.0,32.0,31.0,64.0,58.0,44.0,90.0,0.0,46.0,43.0,67.0,61.0,48.0
398,0.0,37.0,10.0,5.0,20.0,18.0,133.0,45.0,61.0,51.0,15.0,7.0,85.0,3.0,164.0,60.0,6.0,4.0,32.0,80.0,1.0,26.0,48.0,19.0,38.0,47.0,49.0,71.0,53.0,50.0
447,39.0,0.0,3.0,106.0,18.0,137.0,25.0,90.0,15.0,20.0,11.0,125.0,12.0,59.0,5.0,30.0,28.0,2.0,41.0,38.0,88.0,61.0,78.0,16.0,58.0,65.0,17.0,31.0,46.0,52.0
496,0.0,95.0,3.0,25.0,26.0,15.0,7.0,14.0,12.0,18.0,2.0,9.0,83.0,23.0,164.0,21.0,22.0,5.0,8.0,37.0,13.0,57.0,40.0,48.0,33.0,44.0,39.0,71.0,47.0,42.0
545,1.0,6.0,12.0,32.0,132.0,115.0,7.0,21.0,23.0,20.0,39.0,34.0,44.0,31.0,33.0,101.0,5.0,30.0,4.0,0.0,53.0,136.0,57.0,22.0,70.0,56.0,58.0,97.0,62.0,59.0
