,guanosine,2-deoxycytidine,N-carbamoyl-beta-alanine,C22:6 CE,PEP,C16:0 LPE,1-methylnicotinamide,homocysteine,3-phosphoglycerate,alpha-glycerophosphate,sarcosine,taurodeoxycholate,asparagine,GABA,cystathionine,cis/trans-hydroxyproline,hypoxanthine,cytidine,putrescine,C22:6 LPC,butyrylcarnitine/isobutyrylcarnitine,creatine,beta-alanine,palmitoylcarnitine,uridine,C20:4 CE,glutamine,C56:5 TAG,C34:2 DAG,SDMA/ADMA
25,1.0,2.0,5.0,9.0,4.0,32.0,0.0,6.0,13.0,7.0,18.0,38.0,8.0,30.0,21.0,12.0,46.0,3.0,11.0,20.0,22.0,17.0,24.0,55.0,37.0,33.0,25.0,14.0,36.0,48.0
74,3.0,1.0,23.0,33.0,12.0,7.0,2.0,39.0,8.0,30.0,4.0,5.0,10.0,24.0,20.0,9.0,6.0,40.0,44.0,14.0,25.0,45.0,27.0,21.0,34.0,38.0,18.0,0.0,29.0,41.0
123,12.0,2.0,13.0,16.0,7.0,0.0,6.0,9.0,17.0,15.0,1.0,20.0,33.0,4.0,24.0,18.0,8.0,21.0,5.0,44.0,39.0,37.0,10.0,22.0,26.0,47.0,3.0,31.0,40.0,38.0
172,11.0,7.0,1.0,2.0,3.0,4.0,20.0,5.0,10.0,25.0,8.0,9.0,13.0,15.0,23.0,0.0,18.0,6.0,26.0,19.0,12.0,21.0,37.0,46.0,28.0,22.0,34.0,36.0,51.0,39.0
221,5.0,3.0,0.0,16.0,2.0,10.0,1.0,8.0,18.0,9.0,4.0,6.0,23.0,7.0,35.0,19.0,48.0,15.0,29.0,32.0,14.0,13.0,11.0,34.0,36.0,22.0,50.0,21.0,41.0,40.0
270,2.0,1.0,3.0,16.0,8.0,5.0,10.0,34.0,18.0,14.0,4.0,15.0,7.0,9.0,20.0,11.0,0.0,29.0,6.0,17.0,25.0,40.0,37.0,21.0,28.0,36.0,50.0,38.0,26.0,43.0
319,0.0,11.0,5.0,7.0,2.0,14.0,3.0,23.0,33.0,6.0,12.0,40.0,10.0,1.0,9.0,13.0,25.0,35.0,22.0,19.0,4.0,16.0,32.0,20.0,44.0,29.0,8.0,51.0,27.0,21.0
368,3.0,2.0,4.0,5.0,0.0,14.0,26.0,7.0,6.0,15.0,1.0,19.0,29.0,13.0,27.0,45.0,36.0,18.0,20.0,12.0,17.0,30.0,42.0,16.0,40.0,31.0,11.0,10.0,39.0,37.0
417,0.0,5.0,1.0,10.0,11.0,45.0,4.0,17.0,25.0,6.0,12.0,26.0,9.0,21.0,20.0,42.0,7.0,54.0,16.0,39.0,3.0,14.0,2.0,62.0,47.0,24.0,28.0,19.0,22.0,30.0
466,7.0,11.0,4.0,3.0,0.0,22.0,1.0,36.0,5.0,9.0,10.0,8.0,56.0,23.0,13.0,51.0,15.0,25.0,43.0,12.0,24.0,16.0,26.0,44.0,18.0,48.0,31.0,38.0,17.0,6.0
515,1.0,0.0,12.0,7.0,11.0,18.0,5.0,3.0,56.0,6.0,35.0,8.0,2.0,20.0,9.0,4.0,33.0,26.0,13.0,38.0,10.0,23.0,32.0,34.0,14.0,64.0,31.0,21.0,19.0,22.0
564,11.0,7.0,0.0,3.0,1.0,17.0,18.0,5.0,28.0,6.0,13.0,8.0,23.0,16.0,2.0,24.0,29.0,10.0,25.0,4.0,56.0,19.0,14.0,50.0,33.0,12.0,36.0,60.0,32.0,9.0
613,6.0,2.0,11.0,1.0,3.0,4.0,17.0,5.0,49.0,0.0,22.0,9.0,13.0,18.0,15.0,47.0,12.0,7.0,23.0,14.0,21.0,16.0,10.0,19.0,33.0,48.0,27.0,38.0,53.0,36.0
662,9.0,0.0,1.0,3.0,5.0,6.0,20.0,10.0,25.0,33.0,64.0,2.0,19.0,15.0,8.0,36.0,23.0,28.0,17.0,26.0,12.0,43.0,4.0,7.0,29.0,27.0,57.0,16.0,48.0,14.0
711,8.0,2.0,0.0,13.0,10.0,14.0,7.0,1.0,37.0,28.0,5.0,11.0,15.0,56.0,9.0,16.0,4.0,12.0,20.0,33.0,26.0,18.0,3.0,38.0,24.0,23.0,25.0,41.0,45.0,27.0
760,8.0,0.0,18.0,4.0,10.0,15.0,1.0,14.0,26.0,11.0,21.0,6.0,7.0,23.0,17.0,9.0,30.0,16.0,3.0,13.0,29.0,32.0,28.0,45.0,20.0,12.0,24.0,33.0,35.0,2.0
809,4.0,6.0,0.0,9.0,7.0,2.0,5.0,1.0,52.0,27.0,28.0,10.0,25.0,21.0,3.0,35.0,17.0,8.0,26.0,14.0,11.0,23.0,24.0,19.0,18.0,13.0,33.0,20.0,56.0,42.0
858,5.0,2.0,0.0,1.0,11.0,4.0,10.0,3.0,31.0,29.0,20.0,14.0,7.0,36.0,6.0,18.0,40.0,12.0,8.0,13.0,9.0,37.0,28.0,49.0,32.0,16.0,46.0,33.0,41.0,52.0
907,0.0,7.0,10.0,2.0,4.0,8.0,3.0,13.0,33.0,6.0,12.0,17.0,1.0,14.0,27.0,15.0,9.0,22.0,39.0,26.0,24.0,19.0,5.0,37.0,59.0,20.0,40.0,11.0,44.0,49.0
956,6.0,39.0,4.0,1.0,21.0,5.0,29.0,8.0,17.0,9.0,50.0,20.0,24.0,2.0,16.0,0.0,18.0,3.0,10.0,44.0,7.0,27.0,32.0,28.0,53.0,15.0,54.0,41.0,26.0,23.0
1005,0.0,2.0,1.0,4.0,32.0,5.0,3.0,28.0,11.0,37.0,55.0,12.0,15.0,30.0,6.0,10.0,50.0,16.0,14.0,25.0,18.0,19.0,26.0,20.0,27.0,17.0,44.0,7.0,46.0,8.0
