,NQO1,MB21D1,MAGEA6,SLC16A3,AC074389.9,FAM109B,AC093627.9,HOXC10,MAGEA1,S100A4,WWP2,TNFSF9,CSPG4,CTD-2639E6.9,RP11-305M3.2,SNORA5B,PARP8,LY6G5C,LINC01021,TFR2,GOLGA8B,S100P,ALPK3,HOXA11,DNAJA4,SMC5,RIN1,HTRA3,CSNK1E,NMB
10,0.0,2.0,3.0,1.0,6.0,100.0,20.0,245.0,264.0,5.0,9.0,4.0,29.0,26.0,170.0,37.0,197.0,89.0,15.0,40.0,47.0,31.0,53.0,303.0,142.0,179.0,76.0,32.0,69.0,18.0
59,0.0,1.0,2.0,3.0,18.0,267.0,152.0,52.0,33.0,5.0,8.0,6.0,27.0,41.0,56.0,50.0,36.0,20.0,21.0,39.0,83.0,23.0,312.0,17.0,4.0,315.0,77.0,104.0,32.0,10.0
108,0.0,2.0,3.0,4.0,5.0,102.0,41.0,353.0,1.0,24.0,9.0,58.0,268.0,13.0,63.0,139.0,64.0,166.0,6.0,8.0,295.0,42.0,30.0,53.0,71.0,66.0,74.0,123.0,67.0,73.0
157,0.0,1.0,3.0,2.0,12.0,10.0,51.0,187.0,39.0,26.0,6.0,71.0,253.0,24.0,298.0,48.0,99.0,87.0,8.0,53.0,313.0,31.0,112.0,106.0,74.0,107.0,141.0,11.0,46.0,34.0
206,0.0,2.0,1.0,4.0,3.0,21.0,10.0,95.0,19.0,7.0,29.0,14.0,17.0,41.0,58.0,220.0,25.0,581.0,38.0,16.0,100.0,24.0,9.0,164.0,309.0,48.0,113.0,60.0,51.0,39.0
255,0.0,2.0,1.0,4.0,3.0,16.0,21.0,67.0,12.0,23.0,11.0,20.0,69.0,114.0,249.0,1421.0,53.0,131.0,7.0,64.0,490.0,5.0,102.0,19.0,45.0,43.0,271.0,40.0,30.0,142.0
304,0.0,1.0,3.0,2.0,42.0,116.0,11.0,102.0,77.0,24.0,4.0,15.0,48.0,133.0,56.0,31.0,220.0,622.0,12.0,40.0,63.0,8.0,86.0,289.0,594.0,43.0,66.0,532.0,26.0,21.0
353,0.0,1.0,2.0,3.0,4.0,7.0,20.0,18.0,8.0,6.0,5.0,87.0,152.0,34.0,474.0,210.0,36.0,94.0,32.0,13.0,67.0,51.0,62.0,113.0,39.0,471.0,306.0,72.0,47.0,115.0
402,0.0,2.0,3.0,1.0,19.0,89.0,32.0,21.0,26.0,4.0,8.0,15.0,82.0,92.0,235.0,43.0,86.0,138.0,10.0,6.0,37.0,12.0,68.0,191.0,70.0,75.0,277.0,18.0,23.0,50.0
451,0.0,2.0,1.0,3.0,4.0,47.0,25.0,53.0,9.0,36.0,10.0,56.0,63.0,38.0,64.0,177.0,19.0,347.0,5.0,20.0,167.0,79.0,43.0,8.0,23.0,84.0,218.0,70.0,49.0,6.0
