,TTTY22_DEL,AGMO_AMP,THSD4_AMP,TP53_MUT,BARX2_DEL,USP32P1_AMP,WDR91_DEL,ZBTB44_DEL,GRIN2D_DEL,TMEM230_DEL,ZCCHC4_DEL,GRIN2B_DEL,CCDC113_DEL,SETD2_DEL,MRPL18_DEL,NDUFAF4_DEL,LINC00652_DEL,GRIN2A_DEL,MED4_DEL,TIMM21_DEL,FOXN3-AS2_DEL,THYN1_DEL,CHMP4A_DEL,CCDC59_DEL,MRPL15_DEL,STXBP6_DEL,LINC00339_DEL,RANGRF_DEL,GRIK4_DEL,COMMD9_DEL
34,17.0,13666.0,19088.0,16272.0,9034.0,0.0,51.0,21.0,48.0,67.0,53.0,101.0,55.0,56.0,57.0,62.0,58.0,103.0,78.0,47.0,104.0,72.0,70.0,68.0,74.0,61.0,75.0,71.0,105.0,69.0
83,0.0,6.0,22.0,16292.0,9031.0,1.0,47.0,28.0,48.0,50.0,53.0,51.0,76.0,59.0,75.0,72.0,73.0,52.0,71.0,63.0,60.0,67.0,68.0,69.0,65.0,62.0,61.0,115.0,77.0,211.0
132,32.0,13662.0,20.0,4.0,9029.0,0.0,52.0,56.0,53.0,54.0,57.0,55.0,48.0,47.0,45.0,75.0,50.0,76.0,72.0,65.0,96.0,67.0,68.0,70.0,66.0,64.0,63.0,60.0,99.0,114.0
181,18.0,7.0,30.0,16292.0,9031.0,34.0,51.0,53.0,67.0,117.0,59.0,79.0,54.0,55.0,56.0,60.0,57.0,78.0,61.0,70.0,101.0,64.0,63.0,62.0,66.0,72.0,73.0,74.0,102.0,76.0
230,13.0,0.0,22.0,39.0,9034.0,28.0,54.0,21.0,52.0,50.0,72.0,49.0,56.0,71.0,70.0,69.0,73.0,51.0,68.0,63.0,53.0,65.0,66.0,67.0,64.0,62.0,61.0,60.0,96.0,59.0
279,0.0,13660.0,19091.0,16288.0,9027.0,47.0,54.0,51.0,55.0,56.0,52.0,57.0,49.0,48.0,63.0,79.0,65.0,59.0,69.0,77.0,99.0,74.0,71.0,70.0,76.0,53.0,61.0,60.0,119.0,116.0
328,5.0,11.0,0.0,36.0,9030.0,13072.0,75.0,47.0,96.0,77.0,44.0,117.0,55.0,54.0,48.0,49.0,52.0,100.0,46.0,71.0,101.0,65.0,53.0,45.0,56.0,70.0,69.0,67.0,102.0,74.0
377,34.0,15.0,33.0,0.0,9031.0,46.0,52.0,50.0,53.0,58.0,51.0,48.0,57.0,79.0,80.0,74.0,76.0,56.0,72.0,64.0,54.0,68.0,69.0,71.0,67.0,101.0,119.0,167.0,78.0,121.0
426,0.0,3.0,19084.0,16290.0,9033.0,13073.0,99.0,17.0,114.0,102.0,80.0,103.0,58.0,55.0,54.0,49.0,52.0,104.0,48.0,62.0,106.0,61.0,45.0,46.0,69.0,76.0,72.0,71.0,113.0,70.0
475,0.0,13667.0,20.0,16273.0,9036.0,1.0,50.0,59.0,52.0,55.0,49.0,56.0,73.0,61.0,62.0,64.0,63.0,57.0,74.0,54.0,98.0,66.0,72.0,67.0,51.0,65.0,68.0,69.0,76.0,70.0
524,20.0,11.0,21.0,16290.0,23.0,36.0,104.0,101.0,106.0,107.0,103.0,108.0,100.0,115.0,80.0,54.0,56.0,110.0,53.0,51.0,111.0,49.0,50.0,52.0,48.0,60.0,61.0,62.0,112.0,77.0
573,18.0,13662.0,19084.0,37.0,9030.0,46.0,50.0,61.0,51.0,58.0,77.0,59.0,60.0,75.0,73.0,69.0,71.0,54.0,68.0,115.0,55.0,65.0,66.0,67.0,64.0,117.0,213.0,119.0,56.0,187.0
622,12.0,14.0,1.0,16271.0,39.0,0.0,55.0,60.0,68.0,54.0,56.0,51.0,65.0,66.0,52.0,62.0,63.0,50.0,61.0,67.0,46.0,57.0,58.0,59.0,53.0,49.0,47.0,44.0,45.0,48.0
671,4941.0,13663.0,1.0,16272.0,9034.0,3.0,79.0,75.0,80.0,63.0,78.0,64.0,74.0,81.0,71.0,69.0,70.0,62.0,68.0,188.0,53.0,65.0,66.0,67.0,84.0,128.0,186.0,127.0,48.0,184.0
720,17.0,6.0,19087.0,34.0,9033.0,2.0,57.0,58.0,59.0,51.0,53.0,76.0,60.0,56.0,52.0,49.0,50.0,98.0,48.0,72.0,79.0,74.0,62.0,69.0,73.0,71.0,70.0,68.0,104.0,67.0
769,4943.0,13664.0,19086.0,16274.0,9033.0,2.0,47.0,55.0,75.0,115.0,53.0,76.0,52.0,51.0,56.0,48.0,50.0,98.0,54.0,72.0,99.0,59.0,66.0,57.0,73.0,70.0,69.0,68.0,100.0,74.0
818,2.0,18.0,16.0,33.0,9030.0,39.0,65.0,69.0,64.0,63.0,66.0,59.0,70.0,71.0,72.0,58.0,62.0,61.0,68.0,52.0,60.0,49.0,48.0,67.0,51.0,50.0,117.0,188.0,73.0,119.0
867,4.0,13659.0,28.0,33.0,9030.0,2.0,73.0,69.0,52.0,55.0,72.0,45.0,68.0,67.0,65.0,62.0,64.0,54.0,74.0,63.0,44.0,58.0,71.0,59.0,60.0,66.0,70.0,56.0,48.0,57.0
916,5.0,13662.0,14.0,4.0,8.0,34.0,46.0,49.0,44.0,45.0,48.0,47.0,51.0,66.0,60.0,63.0,61.0,67.0,64.0,58.0,111.0,62.0,53.0,65.0,59.0,57.0,56.0,55.0,69.0,54.0
965,24.0,12.0,23.0,44.0,9031.0,43.0,56.0,59.0,54.0,50.0,57.0,48.0,60.0,62.0,63.0,65.0,76.0,47.0,67.0,74.0,64.0,46.0,71.0,68.0,75.0,69.0,61.0,51.0,115.0,113.0
1014,35.0,0.0,8.0,16291.0,19.0,13068.0,80.0,76.0,81.0,83.0,79.0,82.0,75.0,74.0,73.0,69.0,72.0,62.0,68.0,127.0,46.0,85.0,65.0,67.0,125.0,185.0,184.0,182.0,47.0,181.0
1063,9.0,13664.0,19087.0,42.0,29.0,1.0,67.0,48.0,64.0,62.0,71.0,61.0,70.0,63.0,50.0,57.0,53.0,58.0,60.0,72.0,56.0,66.0,68.0,69.0,65.0,55.0,54.0,52.0,51.0,119.0
1112,5.0,13658.0,19083.0,38.0,24.0,13070.0,48.0,50.0,43.0,47.0,58.0,45.0,66.0,65.0,49.0,62.0,63.0,46.0,61.0,56.0,64.0,59.0,67.0,60.0,57.0,55.0,54.0,53.0,68.0,52.0
1161,4940.0,8.0,19085.0,1.0,22.0,13071.0,94.0,49.0,77.0,98.0,48.0,99.0,52.0,53.0,58.0,74.0,59.0,100.0,64.0,73.0,101.0,68.0,67.0,65.0,71.0,61.0,63.0,57.0,102.0,50.0
1210,0.0,20.0,19090.0,5.0,8.0,38.0,51.0,46.0,43.0,44.0,45.0,90.0,48.0,50.0,52.0,57.0,53.0,69.0,59.0,64.0,93.0,67.0,63.0,60.0,65.0,62.0,61.0,58.0,94.0,56.0
1259,3.0,9.0,19088.0,4.0,24.0,31.0,46.0,50.0,47.0,54.0,45.0,49.0,65.0,57.0,56.0,70.0,71.0,48.0,68.0,61.0,51.0,64.0,66.0,74.0,62.0,60.0,59.0,58.0,52.0,110.0
1308,1.0,13665.0,19088.0,0.0,34.0,13076.0,46.0,54.0,47.0,49.0,68.0,69.0,53.0,57.0,62.0,64.0,63.0,113.0,65.0,60.0,71.0,67.0,45.0,66.0,61.0,59.0,58.0,56.0,94.0,55.0
1357,1.0,14.0,19088.0,39.0,46.0,0.0,54.0,62.0,52.0,50.0,61.0,48.0,65.0,69.0,66.0,49.0,59.0,71.0,70.0,67.0,94.0,64.0,63.0,58.0,68.0,60.0,57.0,56.0,73.0,55.0
1406,11.0,37.0,19085.0,0.0,9031.0,13069.0,59.0,34.0,61.0,62.0,56.0,63.0,55.0,54.0,53.0,51.0,52.0,64.0,50.0,68.0,77.0,66.0,48.0,49.0,67.0,86.0,85.0,84.0,88.0,83.0
1455,4936.0,13657.0,4.0,0.0,9029.0,13069.0,58.0,60.0,57.0,55.0,59.0,52.0,63.0,65.0,53.0,64.0,66.0,51.0,62.0,45.0,48.0,54.0,56.0,61.0,67.0,44.0,47.0,99.0,46.0,114.0
1504,4944.0,13667.0,14.0,0.0,34.0,20.0,58.0,56.0,59.0,60.0,57.0,61.0,55.0,54.0,53.0,51.0,52.0,62.0,49.0,85.0,66.0,64.0,63.0,48.0,86.0,84.0,83.0,81.0,87.0,79.0
1553,4941.0,13668.0,14.0,39.0,9032.0,13075.0,49.0,47.0,50.0,51.0,48.0,61.0,46.0,45.0,62.0,63.0,73.0,52.0,82.0,77.0,54.0,79.0,80.0,81.0,78.0,76.0,75.0,83.0,55.0,74.0
1602,4940.0,1.0,19084.0,16270.0,16.0,13070.0,45.0,53.0,46.0,49.0,61.0,47.0,69.0,68.0,52.0,65.0,66.0,44.0,64.0,59.0,50.0,62.0,70.0,63.0,60.0,58.0,57.0,56.0,48.0,55.0
1651,4940.0,13661.0,14.0,17.0,9030.0,13068.0,57.0,55.0,50.0,47.0,56.0,45.0,54.0,58.0,52.0,49.0,51.0,81.0,48.0,60.0,116.0,53.0,44.0,46.0,80.0,79.0,78.0,77.0,82.0,76.0
1700,21.0,0.0,17.0,16291.0,9032.0,13068.0,51.0,66.0,59.0,49.0,67.0,48.0,64.0,63.0,62.0,68.0,61.0,47.0,60.0,54.0,65.0,56.0,57.0,58.0,55.0,53.0,52.0,100.0,69.0,114.0
1749,4939.0,13661.0,21.0,44.0,28.0,13071.0,55.0,57.0,46.0,47.0,56.0,48.0,75.0,74.0,71.0,68.0,69.0,49.0,66.0,59.0,50.0,61.0,62.0,65.0,60.0,112.0,115.0,186.0,54.0,117.0
