,IFI27,ENPP1,RP11-902B17.1,FAM189B,DSC2,LAMA5,ALS2CL,PKNOX2,SLC2A1,JUP,CEP170P1,LINC00473,AP003068.18,RRAGD,GREB1,RP11-554I8.2,FAM219A,AC021188.4,SEMA4B,TBC1D2,CCDC23,IRF4,AC002128.5,KRT17P3,ABCA12,HLA-V,HCFC2,PLEKHG5,PCDH9,RP11-44F14.2
2412,0.0,66.0,2.0,1.0,227.0,30.0,107.0,4.0,8.0,192.0,177.0,19.0,1023.0,81.0,9.0,333.0,44.0,241.0,5.0,20211.0,160.0,20961.0,11630.0,93.0,112.0,477.0,27.0,16255.0,16.0,26.0
2461,1997.0,9.0,0.0,42.0,154.0,83.0,2.0,81.0,5.0,26.0,43.0,10.0,1.0,106.0,449.0,61.0,18.0,177.0,3424.0,62.0,1327.0,137.0,84.0,103.0,13872.0,21319.0,1818.0,76.0,5955.0,112.0
2510,0.0,8.0,6.0,879.0,5.0,168.0,26.0,54.0,117.0,71.0,68.0,1.0,24.0,145.0,223.0,50.0,40.0,16957.0,466.0,93.0,708.0,83.0,3.0,9.0,13816.0,21345.0,107.0,16.0,4.0,124.0
2559,21.0,1.0,2.0,15672.0,14.0,7794.0,142.0,25.0,76.0,46.0,35.0,6.0,3.0,30.0,414.0,321.0,377.0,17022.0,5096.0,312.0,99.0,20751.0,64.0,31.0,2415.0,21322.0,4.0,16242.0,208.0,10536.0
2608,34.0,177.0,7.0,19778.0,2.0,42.0,56.0,24.0,4.0,296.0,66.0,29.0,5.0,0.0,285.0,31.0,19243.0,323.0,3428.0,51.0,11666.0,221.0,334.0,11477.0,12.0,587.0,7691.0,36.0,637.0,5522.0
2657,3703.0,2.0,6.0,61.0,14.0,171.0,131.0,97.0,98.0,72.0,39.0,0.0,36.0,4.0,16829.0,151.0,18573.0,191.0,1384.0,29.0,201.0,63.0,8039.0,194.0,13862.0,21274.0,733.0,87.0,128.0,10548.0
2706,1.0,0.0,2.0,42.0,5.0,79.0,59.0,41.0,16272.0,212.0,22.0,3.0,13.0,32.0,8.0,27.0,18603.0,10.0,113.0,64.0,269.0,20685.0,71.0,228.0,53.0,177.0,7098.0,35.0,5967.0,102.0
2755,126.0,1.0,4.0,1058.0,8.0,232.0,96.0,47.0,0.0,165.0,402.0,6.0,388.0,60.0,353.0,54.0,57.0,16974.0,10.0,94.0,46.0,147.0,48.0,575.0,170.0,21202.0,139.0,55.0,19.0,2788.0
2804,4504.0,0.0,7.0,730.0,3059.0,290.0,150.0,10.0,17.0,10471.0,51.0,16.0,1.0,102.0,417.0,195.0,45.0,39.0,4490.0,20202.0,8.0,289.0,93.0,352.0,13871.0,21330.0,222.0,12.0,373.0,10587.0
2853,56.0,2.0,0.0,13.0,1.0,46.0,40.0,44.0,14.0,24.0,92.0,21.0,3243.0,168.0,236.0,249.0,18612.0,16989.0,4643.0,178.0,16301.0,373.0,6.0,79.0,167.0,226.0,5.0,139.0,22.0,159.0
2902,3.0,84.0,0.0,15746.0,12204.0,19.0,63.0,148.0,464.0,31.0,106.0,20.0,6.0,44.0,16840.0,167.0,18620.0,125.0,1565.0,85.0,355.0,299.0,45.0,283.0,2559.0,21337.0,297.0,2.0,316.0,10574.0
2951,1.0,0.0,16.0,11.0,13.0,6.0,28.0,24.0,62.0,59.0,14154.0,455.0,44.0,22729.0,2.0,3.0,10.0,83.0,1245.0,7.0,45.0,92.0,66.0,8.0,13883.0,190.0,1517.0,275.0,143.0,10364.0
3000,2.0,11.0,296.0,14.0,7.0,13.0,21.0,16.0,24.0,8.0,1212.0,38.0,0.0,3.0,1.0,5.0,18560.0,47.0,17.0,63.0,50.0,154.0,145.0,122.0,13775.0,40.0,1982.0,16226.0,205.0,10538.0
3049,2.0,0.0,8.0,7.0,15.0,4.0,35.0,16.0,1.0,50.0,1488.0,23109.0,6410.0,32.0,6.0,3.0,18.0,111.0,25.0,39.0,307.0,20755.0,105.0,77.0,72.0,36.0,330.0,16260.0,4021.0,364.0
3098,3.0,0.0,2.0,4.0,6.0,5.0,33.0,41.0,43.0,15.0,14045.0,387.0,148.0,23.0,1400.0,98.0,32.0,54.0,103.0,8.0,24.0,125.0,51.0,11.0,13765.0,39.0,5884.0,16272.0,5391.0,217.0
3147,1.0,0.0,3.0,4.0,2.0,7.0,48.0,22.0,49.0,6.0,68.0,23075.0,33.0,102.0,77.0,20637.0,25.0,1835.0,236.0,19.0,32.0,156.0,56.0,2541.0,13838.0,233.0,176.0,16248.0,347.0,475.0
3196,0.0,4.0,1.0,12.0,3.0,18.0,5.0,65.0,11.0,13.0,649.0,2734.0,622.0,6.0,246.0,92.0,36.0,21.0,1550.0,35.0,16288.0,20746.0,32.0,11608.0,15.0,87.0,7009.0,146.0,269.0,149.0
3245,25.0,0.0,6.0,1.0,5.0,4.0,35.0,34.0,10.0,205.0,542.0,1117.0,23.0,20.0,16779.0,13.0,43.0,67.0,26.0,115.0,16261.0,20703.0,72.0,47.0,13845.0,8.0,1500.0,16242.0,6836.0,345.0
3294,1.0,0.0,13.0,3.0,73.0,2.0,49.0,51.0,83.0,5.0,401.0,22.0,4.0,19.0,6.0,121.0,9.0,99.0,379.0,25.0,109.0,20698.0,8047.0,82.0,54.0,179.0,7071.0,16261.0,454.0,494.0
3343,0.0,1.0,8.0,5.0,4.0,6.0,25.0,37.0,9.0,12.0,41.0,102.0,6515.0,49.0,93.0,48.0,109.0,77.0,3915.0,117.0,16302.0,46.0,60.0,160.0,39.0,81.0,5196.0,2751.0,6929.0,327.0
3392,33.0,1.0,133.0,15678.0,6.0,2.0,20.0,28.0,177.0,4.0,14431.0,23098.0,37.0,30.0,49.0,14.0,18593.0,86.0,3718.0,20168.0,16294.0,20684.0,120.0,71.0,35.0,121.0,104.0,16246.0,40.0,10510.0
3441,695.0,43.0,2.0,0.0,21.0,12.0,15.0,9.0,1.0,1360.0,27.0,229.0,5717.0,272.0,17284.0,14.0,122.0,13.0,267.0,517.0,10.0,8.0,63.0,298.0,5.0,137.0,16.0,165.0,34.0,89.0
3490,3.0,0.0,2.0,38.0,8.0,4.0,17.0,20.0,50.0,1.0,47.0,25.0,422.0,110.0,12.0,65.0,18560.0,53.0,9.0,20163.0,51.0,55.0,11.0,12244.0,28.0,16.0,7.0,84.0,246.0,106.0
3539,3666.0,72.0,4.0,2.0,17.0,14.0,1.0,35.0,0.0,12.0,58.0,6.0,3187.0,19.0,36.0,20614.0,69.0,25.0,330.0,246.0,5.0,32.0,21.0,1133.0,11.0,80.0,6043.0,43.0,6829.0,10559.0
3588,290.0,6.0,8.0,0.0,174.0,9.0,10.0,19.0,5.0,2.0,24.0,29.0,4.0,14.0,16775.0,212.0,11.0,12.0,193.0,20297.0,53.0,20816.0,109.0,9949.0,74.0,175.0,4938.0,146.0,272.0,30.0
3637,310.0,3.0,5.0,2.0,14.0,8.0,15.0,37.0,0.0,6.0,13978.0,1037.0,34.0,158.0,19.0,71.0,10.0,77.0,13.0,162.0,80.0,96.0,63.0,205.0,11.0,78.0,6735.0,85.0,279.0,118.0
3686,3.0,7.0,1.0,0.0,30.0,8.0,13.0,6.0,4.0,118.0,35.0,353.0,5810.0,308.0,16855.0,120.0,14.0,71.0,25.0,20195.0,68.0,103.0,11.0,9928.0,33.0,53.0,115.0,16252.0,2787.0,116.0
3735,27.0,15.0,3.0,1.0,12.0,6.0,5.0,29.0,0.0,18.0,55.0,2.0,53.0,19.0,16764.0,104.0,1219.0,9.0,129.0,47.0,48.0,20694.0,42.0,264.0,8.0,123.0,10.0,595.0,33.0,77.0
3784,3350.0,19.0,3.0,2.0,14.0,112.0,5.0,7.0,0.0,1.0,50.0,12.0,60.0,11.0,58.0,98.0,43.0,6.0,242.0,125.0,61.0,9.0,88.0,9942.0,8.0,269.0,16.0,29.0,35.0,82.0
3833,27.0,12.0,3.0,1.0,11.0,62.0,25.0,19.0,0.0,2.0,60.0,6.0,55.0,29.0,16826.0,36.0,28.0,23.0,228.0,98.0,21.0,20722.0,101.0,144.0,52.0,53.0,17.0,31.0,5.0,10548.0
3882,4631.0,19.0,7.0,8.0,4.0,6.0,0.0,46.0,1.0,3.0,18.0,284.0,13.0,25.0,262.0,92.0,52.0,27.0,131.0,12.0,35.0,20694.0,85.0,12328.0,21.0,61.0,54.0,80.0,42.0,91.0
3931,1.0,9.0,575.0,3.0,44.0,4.0,54.0,0.0,628.0,2.0,19.0,1380.0,8.0,64.0,283.0,260.0,157.0,17014.0,6.0,11.0,169.0,211.0,114.0,314.0,404.0,71.0,242.0,120.0,6884.0,576.0
3980,0.0,61.0,533.0,2.0,324.0,180.0,13.0,1.0,377.0,151.0,40.0,919.0,3277.0,76.0,8.0,271.0,50.0,54.0,6.0,70.0,12.0,41.0,11619.0,121.0,13886.0,386.0,3.0,16260.0,6609.0,1170.0
4029,12.0,27.0,15.0,0.0,10.0,183.0,20.0,18.0,17.0,11.0,23.0,193.0,5472.0,117.0,6.0,142.0,18583.0,61.0,87.0,3.0,21.0,112.0,107.0,9916.0,19.0,21342.0,5.0,16249.0,52.0,144.0
4078,9.0,6.0,15.0,2.0,12.0,0.0,4.0,3.0,19.0,170.0,29.0,1121.0,1068.0,27.0,16815.0,254.0,47.0,56.0,164.0,33.0,93.0,156.0,80.0,106.0,276.0,198.0,5.0,267.0,52.0,10551.0
4127,0.0,109.0,7.0,1.0,11.0,101.0,33.0,8.0,45.0,143.0,43.0,62.0,1369.0,34.0,16780.0,22.0,18569.0,16951.0,19.0,10.0,176.0,94.0,71.0,994.0,1557.0,445.0,335.0,85.0,6424.0,887.0
4176,0.0,18.0,6.0,3.0,16.0,85.0,5.0,1.0,180.0,13.0,11.0,23135.0,74.0,40.0,16839.0,195.0,104.0,53.0,2.0,73.0,187.0,81.0,8.0,1334.0,290.0,21213.0,9.0,152.0,170.0,237.0
4225,0.0,2.0,3.0,1.0,240.0,9.0,16.0,42.0,54.0,6.0,8.0,29.0,55.0,20.0,16824.0,15.0,7.0,43.0,113.0,103.0,4.0,37.0,159.0,9888.0,19.0,319.0,28.0,458.0,5998.0,2982.0
4274,2.0,3.0,18.0,0.0,114.0,21.0,5.0,13.0,9.0,135.0,14009.0,1621.0,5996.0,16.0,16845.0,263.0,48.0,37.0,6.0,15.0,39.0,49.0,172.0,85.0,87.0,255.0,75.0,256.0,6179.0,10600.0
4323,1.0,58.0,155.0,3.0,32.0,0.0,14.0,18.0,145.0,61.0,31.0,230.0,1307.0,152.0,16857.0,21.0,26.0,118.0,6.0,44.0,318.0,99.0,39.0,4.0,279.0,21260.0,242.0,104.0,472.0,719.0
4372,1.0,135.0,29.0,0.0,528.0,214.0,6.0,8.0,7.0,24.0,25.0,3.0,6640.0,11.0,4.0,1530.0,228.0,147.0,36.0,134.0,195.0,167.0,11611.0,158.0,27.0,435.0,43.0,16227.0,294.0,1165.0
4421,51.0,0.0,199.0,3.0,105.0,4.0,14.0,37.0,16280.0,122.0,83.0,23129.0,25.0,65.0,17.0,16.0,77.0,20.0,84.0,20196.0,10.0,435.0,92.0,8.0,163.0,275.0,126.0,16240.0,6802.0,10524.0
4470,6.0,1.0,3.0,37.0,54.0,12.0,15.0,10.0,23.0,0.0,16.0,30.0,11.0,101.0,16784.0,17.0,138.0,16944.0,585.0,14.0,26.0,115.0,52.0,35.0,76.0,38.0,122.0,70.0,237.0,44.0
4519,1214.0,9.0,7.0,1404.0,14.0,2.0,13.0,22.0,0.0,125.0,23.0,61.0,1.0,31.0,98.0,5.0,86.0,16945.0,4335.0,76.0,65.0,20685.0,72.0,12.0,87.0,20.0,38.0,16224.0,594.0,10203.0
4568,4606.0,1.0,4.0,17.0,7.0,2.0,0.0,29.0,38.0,72.0,115.0,328.0,14.0,97.0,68.0,69.0,141.0,17007.0,25.0,20193.0,63.0,20713.0,130.0,70.0,178.0,19.0,10.0,16245.0,702.0,118.0
4617,78.0,54.0,7.0,264.0,1.0,15.0,3.0,38.0,93.0,10.0,113.0,303.0,4.0,36.0,13.0,127.0,43.0,16939.0,3935.0,231.0,61.0,20692.0,173.0,201.0,13768.0,96.0,21.0,16231.0,366.0,190.0
4666,37.0,0.0,164.0,30.0,6.0,1.0,2.0,15.0,11.0,36.0,13069.0,1347.0,4.0,43.0,16.0,29.0,55.0,15854.0,498.0,176.0,47.0,14780.0,54.0,196.0,17812.0,45.0,147.0,1868.0,537.0,133.0
4715,3446.0,15.0,6.0,259.0,35.0,69.0,29.0,1.0,7.0,25.0,75.0,0.0,18.0,21.0,8.0,12.0,18567.0,2281.0,448.0,63.0,16237.0,20672.0,124.0,154.0,13770.0,10.0,26.0,313.0,307.0,126.0
4764,64.0,1.0,4.0,216.0,48.0,3.0,20.0,31.0,0.0,32.0,83.0,23103.0,5.0,2.0,14.0,72.0,18622.0,18.0,17.0,20191.0,35.0,22.0,132.0,42.0,68.0,125.0,187.0,16257.0,6068.0,129.0
4813,5.0,2.0,6.0,30.0,7.0,0.0,21.0,13.0,57.0,34.0,127.0,3.0,9.0,41.0,11.0,8.0,93.0,16957.0,18.0,20307.0,70.0,20696.0,161.0,32.0,13811.0,75.0,119.0,16241.0,6339.0,224.0
4862,25.0,13.0,3.0,19.0,6.0,0.0,11.0,55.0,572.0,5.0,33.0,23125.0,2.0,38.0,27.0,59.0,48.0,145.0,1390.0,272.0,47.0,104.0,71.0,24.0,13801.0,26.0,20.0,16247.0,833.0,10547.0
