,niacinamide,pyroglutamic acid,homocysteine,palmitoylcarnitine,isocitrate,C18:0 LPC,C56:5 TAG,dCMP,oxalate,sarcosine,3-phosphoglycerate,pantothenate,C16:0 LPE,UMP,GABA,alpha-glycerophosphate,hexoses (HILIC neg),cis/trans-hydroxyproline,2-deoxyadenosine,cotinine,C22:6 LPC,asparagine,5-HIAA,C34:2 DAG,C18:0 LPE,butyrylcarnitine/isobutyrylcarnitine,cytidine,serotonin,phosphocreatine,putrescine
26,3.0,5.0,48.0,24.0,19.0,10.0,30.0,29.0,4.0,40.0,6.0,16.0,22.0,14.0,25.0,41.0,65.0,52.0,17.0,13.0,42.0,36.0,8.0,21.0,44.0,37.0,60.0,35.0,54.0,56.0
75,7.0,5.0,23.0,16.0,4.0,20.0,10.0,6.0,9.0,21.0,17.0,12.0,32.0,14.0,28.0,13.0,54.0,37.0,27.0,15.0,11.0,38.0,31.0,33.0,19.0,8.0,65.0,50.0,51.0,1.0
124,4.0,57.0,23.0,18.0,38.0,45.0,13.0,62.0,5.0,6.0,46.0,15.0,10.0,1.0,27.0,56.0,54.0,51.0,34.0,28.0,43.0,61.0,42.0,19.0,7.0,14.0,22.0,48.0,8.0,32.0
173,5.0,1.0,60.0,19.0,0.0,8.0,9.0,18.0,6.0,30.0,21.0,24.0,48.0,25.0,22.0,32.0,27.0,64.0,43.0,11.0,10.0,4.0,7.0,41.0,15.0,13.0,59.0,29.0,52.0,46.0
222,18.0,31.0,1.0,16.0,47.0,24.0,25.0,3.0,9.0,22.0,26.0,44.0,27.0,15.0,19.0,57.0,55.0,7.0,35.0,10.0,46.0,13.0,17.0,12.0,32.0,30.0,40.0,29.0,63.0,52.0
271,12.0,53.0,10.0,22.0,50.0,26.0,21.0,46.0,19.0,6.0,43.0,15.0,33.0,1.0,27.0,52.0,4.0,38.0,32.0,45.0,18.0,2.0,23.0,42.0,14.0,17.0,9.0,41.0,0.0,3.0
320,7.0,10.0,19.0,33.0,2.0,13.0,24.0,52.0,21.0,60.0,39.0,51.0,16.0,5.0,27.0,42.0,48.0,35.0,32.0,20.0,18.0,9.0,43.0,22.0,23.0,12.0,49.0,54.0,3.0,0.0
369,21.0,4.0,8.0,57.0,39.0,19.0,13.0,47.0,34.0,43.0,23.0,6.0,15.0,14.0,11.0,20.0,35.0,59.0,17.0,33.0,36.0,66.0,54.0,53.0,10.0,7.0,18.0,40.0,0.0,42.0
418,7.0,0.0,10.0,22.0,23.0,8.0,35.0,14.0,51.0,18.0,13.0,12.0,15.0,11.0,36.0,60.0,56.0,66.0,49.0,46.0,9.0,3.0,38.0,31.0,58.0,2.0,54.0,37.0,4.0,65.0
467,23.0,42.0,11.0,1.0,14.0,39.0,7.0,37.0,41.0,30.0,26.0,10.0,9.0,17.0,6.0,51.0,4.0,48.0,16.0,52.0,27.0,3.0,24.0,29.0,36.0,45.0,5.0,13.0,53.0,32.0
516,3.0,1.0,21.0,13.0,0.0,48.0,42.0,8.0,47.0,10.0,23.0,43.0,4.0,58.0,28.0,46.0,63.0,6.0,35.0,12.0,24.0,51.0,15.0,29.0,11.0,5.0,52.0,32.0,2.0,19.0
565,4.0,0.0,53.0,15.0,3.0,6.0,47.0,44.0,25.0,7.0,21.0,41.0,18.0,38.0,26.0,35.0,49.0,13.0,5.0,33.0,32.0,45.0,37.0,19.0,10.0,9.0,1.0,56.0,61.0,12.0
614,4.0,0.0,30.0,22.0,9.0,3.0,7.0,54.0,29.0,11.0,14.0,17.0,32.0,62.0,19.0,38.0,51.0,41.0,16.0,24.0,26.0,45.0,28.0,20.0,44.0,15.0,33.0,40.0,12.0,35.0
663,9.0,0.0,32.0,19.0,18.0,11.0,45.0,50.0,22.0,14.0,21.0,1.0,29.0,25.0,31.0,30.0,47.0,5.0,28.0,13.0,27.0,51.0,33.0,41.0,37.0,52.0,54.0,46.0,26.0,34.0
712,0.0,3.0,9.0,22.0,1.0,7.0,11.0,40.0,27.0,43.0,17.0,8.0,26.0,59.0,10.0,19.0,41.0,51.0,13.0,5.0,39.0,4.0,18.0,20.0,33.0,53.0,58.0,35.0,63.0,14.0
761,8.0,1.0,34.0,3.0,4.0,9.0,24.0,38.0,11.0,12.0,18.0,13.0,31.0,48.0,52.0,16.0,10.0,6.0,58.0,51.0,29.0,42.0,32.0,30.0,28.0,43.0,23.0,47.0,53.0,33.0
810,4.0,0.0,13.0,36.0,5.0,14.0,7.0,8.0,51.0,27.0,26.0,66.0,35.0,55.0,16.0,38.0,15.0,23.0,43.0,3.0,12.0,52.0,54.0,30.0,57.0,22.0,53.0,33.0,63.0,17.0
859,2.0,6.0,28.0,14.0,1.0,0.0,64.0,8.0,13.0,31.0,16.0,44.0,4.0,23.0,22.0,61.0,57.0,17.0,5.0,20.0,29.0,54.0,11.0,39.0,46.0,21.0,52.0,43.0,63.0,32.0
908,1.0,2.0,49.0,6.0,3.0,17.0,46.0,9.0,10.0,27.0,7.0,31.0,24.0,32.0,44.0,41.0,40.0,13.0,30.0,21.0,18.0,8.0,14.0,19.0,51.0,53.0,60.0,38.0,66.0,4.0
957,5.0,2.0,63.0,10.0,19.0,9.0,20.0,56.0,26.0,22.0,30.0,42.0,12.0,17.0,24.0,18.0,8.0,25.0,11.0,3.0,14.0,38.0,29.0,58.0,40.0,50.0,52.0,28.0,62.0,47.0
1006,23.0,12.0,2.0,48.0,20.0,24.0,54.0,13.0,8.0,5.0,17.0,9.0,15.0,39.0,25.0,10.0,1.0,34.0,26.0,49.0,36.0,42.0,58.0,43.0,55.0,3.0,33.0,35.0,32.0,61.0
1055,13.0,56.0,33.0,5.0,40.0,8.0,36.0,18.0,29.0,32.0,23.0,17.0,50.0,58.0,21.0,34.0,12.0,6.0,37.0,44.0,15.0,53.0,55.0,39.0,10.0,54.0,4.0,22.0,0.0,26.0
1104,11.0,2.0,34.0,4.0,10.0,16.0,21.0,7.0,52.0,19.0,47.0,35.0,22.0,37.0,24.0,29.0,26.0,12.0,40.0,14.0,33.0,9.0,27.0,41.0,15.0,32.0,28.0,13.0,8.0,36.0
1153,7.0,23.0,17.0,10.0,13.0,43.0,58.0,50.0,8.0,21.0,19.0,4.0,38.0,3.0,29.0,26.0,18.0,2.0,24.0,42.0,44.0,52.0,48.0,15.0,55.0,1.0,25.0,49.0,32.0,61.0
1202,17.0,40.0,20.0,10.0,21.0,36.0,38.0,45.0,14.0,27.0,16.0,55.0,6.0,3.0,50.0,57.0,9.0,43.0,15.0,32.0,47.0,13.0,30.0,24.0,46.0,1.0,5.0,19.0,18.0,0.0
1251,4.0,0.0,10.0,6.0,3.0,11.0,19.0,9.0,38.0,24.0,21.0,53.0,7.0,48.0,14.0,65.0,8.0,40.0,30.0,15.0,12.0,64.0,13.0,33.0,28.0,20.0,31.0,25.0,2.0,17.0
1300,23.0,3.0,12.0,2.0,6.0,35.0,57.0,19.0,13.0,47.0,0.0,48.0,32.0,37.0,14.0,40.0,15.0,24.0,5.0,22.0,11.0,18.0,34.0,33.0,38.0,27.0,25.0,31.0,1.0,16.0
1349,8.0,11.0,25.0,22.0,9.0,32.0,54.0,13.0,16.0,3.0,23.0,24.0,57.0,28.0,29.0,21.0,17.0,12.0,35.0,7.0,18.0,43.0,19.0,27.0,31.0,5.0,30.0,34.0,15.0,46.0
1398,24.0,11.0,6.0,5.0,3.0,4.0,21.0,13.0,25.0,43.0,28.0,59.0,41.0,53.0,31.0,14.0,60.0,32.0,30.0,26.0,63.0,46.0,34.0,50.0,55.0,20.0,48.0,12.0,2.0,65.0
1447,4.0,8.0,12.0,0.0,40.0,48.0,18.0,11.0,44.0,21.0,43.0,24.0,27.0,5.0,28.0,20.0,3.0,36.0,25.0,54.0,35.0,22.0,32.0,46.0,15.0,17.0,10.0,13.0,33.0,30.0
1496,2.0,36.0,5.0,35.0,4.0,32.0,15.0,34.0,41.0,10.0,12.0,9.0,3.0,1.0,21.0,44.0,27.0,42.0,28.0,13.0,11.0,30.0,58.0,14.0,29.0,56.0,43.0,16.0,7.0,23.0
1545,8.0,11.0,24.0,6.0,9.0,28.0,18.0,51.0,45.0,41.0,47.0,55.0,19.0,44.0,23.0,31.0,22.0,34.0,16.0,50.0,15.0,64.0,37.0,54.0,32.0,65.0,20.0,29.0,12.0,62.0
1594,9.0,43.0,17.0,29.0,14.0,58.0,19.0,55.0,11.0,18.0,53.0,3.0,2.0,40.0,26.0,7.0,46.0,44.0,30.0,36.0,33.0,32.0,28.0,15.0,25.0,47.0,10.0,52.0,0.0,64.0
1643,5.0,7.0,3.0,2.0,4.0,22.0,44.0,63.0,29.0,42.0,27.0,12.0,8.0,24.0,23.0,15.0,65.0,1.0,40.0,56.0,13.0,6.0,18.0,59.0,31.0,46.0,50.0,30.0,60.0,43.0
1692,3.0,8.0,66.0,47.0,0.0,4.0,7.0,42.0,39.0,30.0,34.0,10.0,11.0,52.0,14.0,37.0,56.0,13.0,19.0,12.0,15.0,48.0,25.0,33.0,23.0,46.0,18.0,24.0,21.0,63.0
1741,7.0,18.0,2.0,19.0,26.0,35.0,10.0,12.0,28.0,43.0,60.0,17.0,55.0,25.0,14.0,23.0,1.0,30.0,24.0,4.0,8.0,15.0,22.0,59.0,36.0,29.0,31.0,50.0,13.0,40.0
1790,1.0,12.0,17.0,27.0,0.0,5.0,9.0,47.0,15.0,19.0,35.0,43.0,13.0,20.0,29.0,14.0,59.0,39.0,34.0,7.0,24.0,28.0,36.0,44.0,45.0,25.0,2.0,26.0,4.0,63.0
1839,16.0,12.0,55.0,11.0,27.0,45.0,6.0,17.0,48.0,51.0,34.0,35.0,26.0,65.0,21.0,24.0,66.0,3.0,32.0,43.0,20.0,29.0,30.0,19.0,58.0,62.0,47.0,49.0,1.0,37.0
1888,4.0,13.0,5.0,2.0,1.0,7.0,31.0,60.0,42.0,19.0,3.0,15.0,20.0,56.0,9.0,21.0,8.0,14.0,10.0,12.0,52.0,51.0,33.0,61.0,48.0,11.0,32.0,49.0,44.0,30.0
1937,5.0,10.0,25.0,16.0,4.0,9.0,57.0,26.0,27.0,24.0,37.0,17.0,7.0,66.0,18.0,20.0,39.0,3.0,31.0,51.0,21.0,47.0,52.0,13.0,19.0,44.0,14.0,15.0,8.0,23.0
1986,8.0,3.0,0.0,10.0,32.0,7.0,5.0,31.0,56.0,12.0,28.0,25.0,43.0,1.0,16.0,18.0,49.0,38.0,27.0,54.0,63.0,26.0,34.0,41.0,17.0,36.0,9.0,14.0,39.0,61.0
2035,13.0,8.0,4.0,6.0,19.0,15.0,10.0,11.0,43.0,3.0,46.0,1.0,17.0,32.0,14.0,31.0,66.0,59.0,25.0,57.0,56.0,55.0,51.0,9.0,2.0,36.0,18.0,40.0,45.0,42.0
2084,14.0,20.0,4.0,1.0,45.0,19.0,3.0,30.0,29.0,16.0,31.0,11.0,15.0,6.0,7.0,18.0,21.0,35.0,9.0,47.0,41.0,24.0,22.0,52.0,2.0,50.0,34.0,48.0,0.0,43.0
2133,8.0,26.0,9.0,53.0,29.0,40.0,45.0,52.0,10.0,34.0,19.0,27.0,3.0,2.0,1.0,44.0,33.0,57.0,21.0,46.0,28.0,25.0,13.0,42.0,17.0,4.0,55.0,41.0,35.0,20.0
2182,19.0,55.0,7.0,1.0,52.0,36.0,0.0,43.0,25.0,26.0,29.0,38.0,40.0,5.0,8.0,59.0,20.0,27.0,4.0,34.0,37.0,13.0,22.0,56.0,15.0,49.0,61.0,21.0,10.0,11.0
2231,6.0,27.0,1.0,44.0,48.0,37.0,14.0,22.0,9.0,21.0,30.0,47.0,13.0,0.0,23.0,10.0,41.0,5.0,34.0,26.0,20.0,45.0,36.0,56.0,52.0,39.0,8.0,60.0,15.0,4.0
2280,9.0,45.0,2.0,12.0,40.0,28.0,23.0,7.0,22.0,6.0,27.0,42.0,21.0,8.0,13.0,54.0,39.0,1.0,18.0,46.0,43.0,11.0,24.0,57.0,31.0,20.0,15.0,58.0,41.0,25.0
2329,1.0,18.0,40.0,8.0,10.0,9.0,23.0,17.0,11.0,2.0,21.0,6.0,7.0,24.0,15.0,16.0,3.0,62.0,27.0,13.0,14.0,12.0,49.0,52.0,20.0,39.0,4.0,29.0,48.0,34.0
2378,7.0,46.0,5.0,9.0,44.0,50.0,8.0,64.0,18.0,22.0,37.0,43.0,36.0,0.0,12.0,27.0,11.0,56.0,2.0,39.0,32.0,16.0,38.0,51.0,53.0,20.0,65.0,31.0,33.0,35.0
2427,17.0,25.0,3.0,6.0,59.0,51.0,14.0,32.0,26.0,29.0,18.0,12.0,35.0,1.0,8.0,45.0,62.0,21.0,10.0,33.0,60.0,19.0,24.0,44.0,66.0,16.0,46.0,36.0,4.0,9.0
2476,4.0,1.0,35.0,15.0,14.0,11.0,32.0,18.0,31.0,48.0,13.0,57.0,0.0,58.0,46.0,16.0,5.0,7.0,60.0,36.0,40.0,61.0,44.0,10.0,43.0,28.0,51.0,19.0,3.0,65.0
2525,7.0,2.0,61.0,51.0,5.0,9.0,16.0,11.0,39.0,4.0,53.0,54.0,1.0,0.0,45.0,22.0,10.0,18.0,14.0,24.0,38.0,50.0,56.0,47.0,17.0,63.0,12.0,13.0,66.0,30.0
2574,7.0,43.0,34.0,12.0,42.0,44.0,37.0,13.0,8.0,19.0,6.0,5.0,30.0,0.0,23.0,59.0,9.0,38.0,36.0,21.0,28.0,18.0,15.0,14.0,25.0,48.0,11.0,50.0,56.0,55.0
2623,8.0,3.0,14.0,1.0,2.0,18.0,19.0,62.0,30.0,44.0,5.0,12.0,25.0,15.0,9.0,41.0,64.0,48.0,7.0,33.0,34.0,29.0,22.0,61.0,10.0,24.0,21.0,26.0,39.0,51.0
2672,18.0,41.0,20.0,31.0,46.0,12.0,13.0,0.0,19.0,6.0,16.0,59.0,50.0,1.0,34.0,17.0,30.0,26.0,44.0,9.0,23.0,5.0,27.0,10.0,25.0,37.0,40.0,33.0,45.0,51.0
2721,10.0,5.0,3.0,12.0,20.0,40.0,23.0,43.0,11.0,22.0,34.0,28.0,4.0,13.0,47.0,33.0,8.0,2.0,58.0,27.0,1.0,29.0,17.0,26.0,50.0,16.0,63.0,19.0,32.0,30.0
2770,4.0,1.0,43.0,9.0,16.0,22.0,35.0,0.0,23.0,13.0,17.0,61.0,3.0,63.0,31.0,26.0,65.0,46.0,50.0,20.0,56.0,40.0,28.0,32.0,39.0,53.0,21.0,25.0,34.0,41.0
2819,25.0,12.0,32.0,9.0,18.0,2.0,38.0,3.0,20.0,1.0,24.0,55.0,7.0,46.0,14.0,17.0,59.0,11.0,37.0,27.0,61.0,6.0,21.0,4.0,15.0,31.0,30.0,16.0,8.0,35.0
2868,6.0,56.0,1.0,33.0,23.0,27.0,29.0,4.0,10.0,24.0,15.0,0.0,55.0,14.0,43.0,18.0,13.0,41.0,21.0,11.0,61.0,45.0,12.0,7.0,25.0,42.0,59.0,28.0,60.0,40.0
