,NF1_MUT,ANKRD36B_DEL,LRP1B_MUT,FAM72B_AMP,C15orf2_MUT,MRGPRX1_DEL,PI4KA_MUT,SLC25A37_AMP,CDK8_DEL,CHAMP1_AMP,LOC284344_DEL,C18orf61_DEL,YSK4_MUT,PCID2_AMP,TPTE2P6_DEL,DICER1_MUT,MCF2L_AMP,ATP11A_AMP,RNU6-52_DEL,PIK3C2G_MUT,PSG4_DEL,GRTP1_AMP,LINC00565_AMP,GAS6_AMP,SPATA13_DEL,UNC13C_DEL,LOC100506394_AMP,ATP4B_AMP,CES1_AMP,FCGR1B_AMP
32,0.0,80.0,13.0,47.0,593.0,9.0,16675.0,184.0,155.0,35.0,7.0,36.0,2.0,366.0,4627.0,2077.0,65.0,795.0,311.0,54.0,607.0,319.0,28.0,550.0,7735.0,275.0,17.0,246.0,25.0,1030.0
81,1.0,53.0,37.0,42.0,16796.0,10.0,704.0,11.0,1381.0,27.0,177.0,82.0,3.0,335.0,855.0,2290.0,300.0,452.0,20958.0,270.0,25.0,17.0,14.0,210.0,7613.0,19.0,23.0,301.0,126.0,181.0
130,0.0,371.0,195.0,15146.0,11193.0,522.0,243.0,20.0,855.0,16445.0,14.0,28.0,199.0,514.0,4852.0,334.0,192.0,447.0,20140.0,755.0,860.0,118.0,644.0,17537.0,7271.0,347.0,642.0,134.0,409.0,139.0
179,29.0,77.0,19.0,91.0,37.0,25.0,75.0,10.0,20768.0,5.0,45.0,2485.0,51.0,48.0,3981.0,67.0,7.0,4.0,240.0,3.0,49.0,186.0,17.0,87.0,869.0,43.0,14.0,79.0,157.0,13950.0
228,7.0,452.0,56.0,169.0,963.0,862.0,47.0,174.0,20766.0,94.0,0.0,26.0,349.0,432.0,106.0,836.0,22.0,280.0,5.0,17.0,1.0,21.0,91.0,14148.0,54.0,11251.0,730.0,30.0,201.0,68.0
277,11.0,1.0,4.0,1808.0,27.0,187.0,69.0,8.0,128.0,13042.0,268.0,2.0,16.0,66.0,3850.0,0.0,6.0,23.0,30.0,56.0,3338.0,65.0,510.0,14207.0,7080.0,573.0,1259.0,159.0,603.0,14025.0
326,0.0,60.0,231.0,509.0,2.0,29.0,13.0,87.0,20800.0,32.0,43.0,118.0,5.0,103.0,438.0,17.0,46.0,10.0,24.0,86.0,759.0,15.0,299.0,1450.0,146.0,579.0,200.0,78.0,2575.0,702.0
375,1.0,2.0,8.0,508.0,96.0,929.0,17.0,15121.0,1014.0,226.0,39.0,2805.0,18.0,113.0,3731.0,21.0,15.0,90.0,20942.0,76.0,195.0,73.0,16468.0,1329.0,956.0,420.0,107.0,14602.0,0.0,13993.0
424,305.0,45.0,1.0,166.0,21.0,29.0,266.0,0.0,86.0,13323.0,125.0,181.0,169.0,102.0,570.0,30.0,8.0,118.0,20680.0,94.0,5.0,22.0,42.0,702.0,140.0,346.0,400.0,78.0,52.0,13917.0
473,17.0,5.0,20.0,109.0,6.0,102.0,211.0,8.0,41.0,966.0,1258.0,208.0,98.0,150.0,16.0,40.0,12.0,87.0,48.0,737.0,225.0,77.0,175.0,14117.0,13.0,497.0,43.0,857.0,18108.0,719.0
