,hsa-miR-148a,hsa-miR-541,hsa-miR-766,bkv-miR-B1-3p+jcv-miR-J1-3p,kshv-miR-K12-8,hsa-miR-147,hsa-miR-223,hsa-miR-99a,hsa-miR-497,hsa-miR-769-3p,hsa-miR-892a,ebv-miR-BART15,hsa-miR-630,hsa-miR-1977,hsa-miR-744,hsa-miR-1538,hsa-miR-581,hsa-miR-93,hsa-miR-27b,hsa-miR-708,hsa-miR-1289,hsa-miR-608,hsa-miR-125a-3p,hsa-miR-1197,hsa-miR-659,hsa-miR-380,hsa-miR-26b,hsa-miR-26a,hsa-miR-616,hsa-miR-508-5p
15,1.0,2.0,9.0,40.0,20.0,5.0,10.0,25.0,59.0,0.0,6.0,14.0,3.0,27.0,34.0,28.0,136.0,26.0,32.0,24.0,4.0,12.0,117.0,13.0,23.0,7.0,111.0,37.0,11.0,86.0
64,2.0,0.0,4.0,11.0,1.0,21.0,6.0,8.0,58.0,14.0,26.0,29.0,15.0,35.0,7.0,17.0,34.0,81.0,5.0,20.0,3.0,16.0,28.0,65.0,57.0,67.0,101.0,82.0,45.0,86.0
113,0.0,1.0,10.0,43.0,7.0,4.0,22.0,31.0,15.0,42.0,79.0,3.0,27.0,25.0,44.0,18.0,192.0,16.0,5.0,87.0,11.0,48.0,65.0,172.0,19.0,80.0,101.0,39.0,24.0,55.0
162,3.0,0.0,7.0,65.0,23.0,2.0,6.0,24.0,49.0,4.0,14.0,9.0,16.0,11.0,31.0,54.0,43.0,33.0,5.0,18.0,1.0,15.0,104.0,34.0,113.0,240.0,70.0,60.0,22.0,28.0
211,1.0,0.0,7.0,27.0,5.0,4.0,13.0,10.0,32.0,9.0,11.0,20.0,33.0,46.0,12.0,8.0,110.0,30.0,24.0,59.0,3.0,62.0,85.0,98.0,82.0,36.0,111.0,22.0,61.0,29.0
260,5.0,1.0,3.0,174.0,59.0,4.0,98.0,74.0,82.0,11.0,12.0,2.0,42.0,25.0,49.0,7.0,70.0,95.0,0.0,46.0,10.0,14.0,256.0,321.0,39.0,87.0,33.0,36.0,13.0,99.0
309,1.0,2.0,6.0,20.0,33.0,9.0,12.0,8.0,15.0,5.0,59.0,4.0,22.0,17.0,11.0,18.0,63.0,72.0,31.0,21.0,0.0,3.0,212.0,45.0,23.0,27.0,89.0,50.0,35.0,41.0
358,3.0,0.0,11.0,7.0,19.0,12.0,10.0,2.0,26.0,1.0,5.0,9.0,17.0,44.0,14.0,27.0,34.0,18.0,36.0,64.0,13.0,8.0,196.0,54.0,55.0,107.0,118.0,50.0,4.0,28.0
407,1.0,0.0,11.0,7.0,32.0,5.0,15.0,19.0,16.0,6.0,82.0,4.0,3.0,76.0,115.0,13.0,132.0,69.0,2.0,8.0,84.0,31.0,156.0,14.0,35.0,22.0,50.0,28.0,43.0,34.0
456,0.0,4.0,9.0,31.0,46.0,17.0,19.0,5.0,16.0,6.0,8.0,2.0,15.0,59.0,7.0,23.0,35.0,43.0,3.0,61.0,1.0,14.0,66.0,21.0,33.0,96.0,182.0,57.0,24.0,41.0
505,1.0,0.0,7.0,5.0,46.0,62.0,59.0,16.0,56.0,12.0,26.0,57.0,4.0,18.0,37.0,148.0,11.0,70.0,29.0,36.0,3.0,14.0,13.0,2.0,31.0,10.0,24.0,53.0,45.0,22.0
554,0.0,11.0,9.0,4.0,10.0,74.0,8.0,34.0,45.0,25.0,7.0,18.0,6.0,12.0,5.0,85.0,17.0,82.0,26.0,32.0,51.0,65.0,21.0,3.0,44.0,1.0,49.0,42.0,30.0,15.0
603,0.0,1.0,20.0,29.0,23.0,5.0,26.0,38.0,27.0,46.0,2.0,9.0,7.0,63.0,19.0,51.0,30.0,34.0,33.0,61.0,28.0,82.0,6.0,13.0,53.0,3.0,25.0,17.0,11.0,18.0
652,0.0,3.0,34.0,4.0,7.0,13.0,25.0,2.0,80.0,1.0,48.0,54.0,19.0,15.0,18.0,178.0,10.0,38.0,5.0,51.0,9.0,23.0,30.0,39.0,24.0,12.0,61.0,55.0,33.0,6.0
701,0.0,1.0,16.0,9.0,8.0,69.0,15.0,18.0,59.0,2.0,23.0,12.0,3.0,35.0,21.0,78.0,13.0,29.0,60.0,25.0,22.0,38.0,67.0,5.0,77.0,6.0,30.0,14.0,11.0,7.0
750,0.0,4.0,10.0,15.0,2.0,16.0,48.0,37.0,137.0,8.0,26.0,73.0,11.0,3.0,49.0,47.0,31.0,34.0,9.0,54.0,38.0,12.0,5.0,1.0,44.0,7.0,92.0,94.0,21.0,13.0
799,0.0,1.0,21.0,2.0,11.0,5.0,22.0,12.0,59.0,47.0,23.0,29.0,26.0,7.0,57.0,89.0,16.0,46.0,98.0,37.0,9.0,15.0,14.0,4.0,10.0,3.0,68.0,62.0,117.0,6.0
848,0.0,4.0,3.0,6.0,1.0,29.0,25.0,32.0,49.0,27.0,30.0,39.0,8.0,11.0,14.0,165.0,22.0,26.0,5.0,53.0,12.0,20.0,10.0,2.0,59.0,45.0,64.0,24.0,35.0,28.0
897,1.0,0.0,12.0,14.0,44.0,20.0,28.0,5.0,25.0,39.0,54.0,86.0,10.0,17.0,22.0,89.0,96.0,42.0,2.0,35.0,4.0,51.0,45.0,41.0,13.0,19.0,26.0,6.0,15.0,3.0
946,0.0,1.0,17.0,26.0,4.0,6.0,85.0,55.0,122.0,96.0,9.0,113.0,16.0,24.0,72.0,151.0,8.0,31.0,46.0,57.0,15.0,39.0,3.0,14.0,13.0,2.0,40.0,11.0,35.0,12.0
995,3.0,13.0,12.0,21.0,0.0,32.0,5.0,4.0,30.0,9.0,18.0,45.0,25.0,6.0,48.0,22.0,14.0,7.0,269.0,136.0,8.0,57.0,1.0,11.0,41.0,2.0,117.0,124.0,80.0,69.0
1044,1.0,131.0,32.0,17.0,22.0,8.0,3.0,13.0,0.0,80.0,12.0,11.0,21.0,93.0,4.0,2.0,15.0,37.0,68.0,63.0,27.0,31.0,36.0,10.0,109.0,60.0,57.0,28.0,81.0,43.0
1093,8.0,1.0,9.0,7.0,4.0,3.0,12.0,26.0,0.0,5.0,51.0,13.0,33.0,6.0,2.0,14.0,15.0,18.0,70.0,128.0,25.0,41.0,24.0,179.0,77.0,34.0,54.0,21.0,19.0,53.0
1142,0.0,11.0,15.0,7.0,16.0,1.0,5.0,18.0,14.0,3.0,12.0,8.0,19.0,13.0,17.0,2.0,6.0,21.0,74.0,68.0,4.0,10.0,73.0,9.0,49.0,46.0,103.0,71.0,42.0,37.0
1191,0.0,8.0,16.0,6.0,4.0,2.0,95.0,28.0,5.0,10.0,15.0,13.0,25.0,20.0,19.0,9.0,35.0,1.0,100.0,73.0,65.0,23.0,154.0,69.0,41.0,17.0,119.0,33.0,39.0,42.0
1240,5.0,17.0,9.0,10.0,1.0,3.0,0.0,2.0,11.0,13.0,23.0,33.0,22.0,6.0,82.0,40.0,29.0,24.0,243.0,93.0,20.0,21.0,14.0,18.0,54.0,44.0,51.0,64.0,39.0,31.0
1289,0.0,1.0,4.0,33.0,38.0,5.0,15.0,18.0,16.0,7.0,83.0,6.0,12.0,22.0,8.0,10.0,3.0,23.0,248.0,54.0,13.0,14.0,24.0,2.0,124.0,43.0,55.0,32.0,30.0,76.0
1338,3.0,4.0,30.0,7.0,26.0,27.0,1.0,79.0,0.0,56.0,6.0,12.0,10.0,24.0,8.0,25.0,19.0,17.0,245.0,108.0,18.0,63.0,2.0,5.0,93.0,14.0,13.0,16.0,31.0,21.0
