,hsa-miR-548d-3p,hsa-miR-921,hsa-miR-1294,hsa-miR-591,hsa-miR-579,hsa-miR-320c,hsa-miR-323-5p,hsa-miR-29c,hsa-miR-223,hsa-miR-590-5p,hsa-miR-103,hsa-miR-570,hsa-miR-744,hsa-miR-26a,hsa-miR-615-3p,hsa-miR-125a-3p,hsa-miR-492,hsa-miR-147b,hsa-miR-485-5p,hsa-miR-609,hsa-miR-642,hsa-miR-622,hsa-miR-518d-3p,hsa-miR-892a,hsa-miR-202,hsa-miR-1284,hsv2-miR-H4-5p,hsa-miR-489,hsa-miR-516a-3p,hsa-miR-1278
17,0.0,1.0,12.0,13.0,11.0,10.0,4.0,17.0,6.0,8.0,32.0,3.0,14.0,29.0,2.0,24.0,42.0,80.0,5.0,26.0,15.0,20.0,36.0,55.0,66.0,7.0,31.0,25.0,23.0,44.0
66,0.0,1.0,12.0,10.0,57.0,18.0,6.0,37.0,2.0,15.0,11.0,4.0,250.0,38.0,13.0,32.0,25.0,56.0,9.0,33.0,3.0,21.0,20.0,31.0,7.0,19.0,47.0,54.0,16.0,67.0
115,1.0,11.0,15.0,26.0,50.0,2.0,16.0,10.0,25.0,41.0,13.0,18.0,9.0,6.0,27.0,37.0,63.0,61.0,4.0,21.0,14.0,110.0,33.0,5.0,47.0,52.0,34.0,12.0,43.0,32.0
164,2.0,5.0,4.0,16.0,0.0,10.0,1.0,19.0,9.0,15.0,60.0,14.0,11.0,27.0,8.0,46.0,63.0,33.0,6.0,64.0,7.0,28.0,17.0,3.0,13.0,29.0,31.0,30.0,40.0,86.0
213,1.0,2.0,13.0,24.0,10.0,20.0,7.0,25.0,3.0,0.0,17.0,14.0,6.0,12.0,22.0,48.0,68.0,47.0,70.0,67.0,4.0,21.0,37.0,5.0,26.0,11.0,54.0,8.0,31.0,16.0
262,1.0,4.0,16.0,7.0,2.0,3.0,0.0,17.0,18.0,45.0,28.0,10.0,32.0,12.0,11.0,19.0,22.0,31.0,9.0,21.0,15.0,13.0,39.0,36.0,20.0,14.0,48.0,29.0,38.0,30.0
311,1.0,10.0,14.0,28.0,8.0,9.0,7.0,11.0,2.0,12.0,41.0,6.0,13.0,21.0,17.0,24.0,20.0,18.0,5.0,29.0,0.0,33.0,26.0,54.0,42.0,3.0,39.0,45.0,31.0,57.0
360,0.0,11.0,2.0,19.0,8.0,6.0,4.0,24.0,16.0,15.0,17.0,10.0,1.0,13.0,7.0,41.0,81.0,46.0,5.0,87.0,3.0,27.0,35.0,34.0,32.0,14.0,40.0,31.0,42.0,77.0
409,1.0,2.0,16.0,17.0,3.0,4.0,13.0,30.0,5.0,7.0,22.0,14.0,26.0,19.0,40.0,6.0,109.0,35.0,9.0,48.0,12.0,102.0,11.0,37.0,41.0,0.0,57.0,51.0,27.0,18.0
458,1.0,17.0,11.0,7.0,3.0,34.0,4.0,32.0,0.0,2.0,10.0,21.0,31.0,41.0,8.0,64.0,75.0,6.0,30.0,47.0,28.0,33.0,99.0,82.0,20.0,15.0,38.0,12.0,85.0,22.0
507,0.0,3.0,2.0,7.0,4.0,5.0,16.0,15.0,6.0,11.0,17.0,13.0,57.0,41.0,12.0,53.0,9.0,31.0,10.0,39.0,44.0,23.0,28.0,73.0,30.0,8.0,29.0,24.0,21.0,1.0
556,0.0,4.0,2.0,1.0,29.0,26.0,5.0,16.0,12.0,20.0,33.0,15.0,8.0,47.0,31.0,19.0,7.0,6.0,54.0,38.0,36.0,11.0,57.0,14.0,18.0,3.0,21.0,27.0,68.0,50.0
605,0.0,1.0,15.0,3.0,4.0,17.0,24.0,21.0,5.0,7.0,39.0,26.0,14.0,11.0,2.0,8.0,9.0,18.0,6.0,280.0,20.0,42.0,16.0,45.0,12.0,10.0,35.0,28.0,36.0,13.0
654,0.0,1.0,7.0,17.0,8.0,6.0,47.0,30.0,4.0,10.0,12.0,36.0,9.0,24.0,3.0,26.0,5.0,11.0,13.0,92.0,20.0,28.0,22.0,21.0,19.0,2.0,32.0,15.0,44.0,16.0
703,0.0,1.0,15.0,16.0,36.0,11.0,10.0,2.0,4.0,3.0,48.0,31.0,20.0,19.0,9.0,18.0,17.0,28.0,14.0,26.0,70.0,45.0,23.0,6.0,21.0,8.0,56.0,7.0,101.0,12.0
752,2.0,0.0,7.0,13.0,16.0,6.0,14.0,9.0,11.0,5.0,27.0,18.0,19.0,26.0,4.0,8.0,10.0,3.0,28.0,22.0,40.0,25.0,21.0,52.0,46.0,1.0,38.0,41.0,50.0,35.0
801,0.0,17.0,3.0,8.0,11.0,9.0,24.0,13.0,1.0,7.0,12.0,21.0,16.0,22.0,2.0,19.0,10.0,26.0,25.0,34.0,41.0,86.0,58.0,74.0,28.0,6.0,53.0,4.0,55.0,5.0
850,0.0,3.0,13.0,19.0,1.0,15.0,6.0,10.0,4.0,2.0,11.0,34.0,7.0,12.0,23.0,43.0,16.0,32.0,14.0,26.0,25.0,38.0,102.0,39.0,62.0,8.0,40.0,17.0,48.0,18.0
899,0.0,1.0,2.0,10.0,3.0,5.0,15.0,11.0,23.0,7.0,4.0,8.0,12.0,18.0,33.0,40.0,6.0,9.0,14.0,102.0,55.0,296.0,46.0,76.0,32.0,24.0,19.0,29.0,52.0,13.0
948,1.0,0.0,4.0,7.0,2.0,8.0,21.0,11.0,23.0,5.0,18.0,24.0,3.0,26.0,6.0,13.0,14.0,48.0,37.0,35.0,19.0,22.0,32.0,29.0,10.0,9.0,27.0,72.0,64.0,15.0
997,0.0,2.0,19.0,1.0,20.0,15.0,3.0,24.0,26.0,5.0,12.0,39.0,16.0,18.0,71.0,28.0,7.0,23.0,51.0,10.0,30.0,47.0,56.0,6.0,358.0,62.0,17.0,14.0,27.0,9.0
1046,0.0,5.0,39.0,1.0,31.0,8.0,2.0,22.0,10.0,23.0,15.0,13.0,87.0,9.0,57.0,404.0,19.0,33.0,74.0,63.0,29.0,6.0,11.0,7.0,390.0,102.0,27.0,41.0,32.0,3.0
1095,1.0,15.0,3.0,2.0,4.0,5.0,6.0,17.0,11.0,20.0,16.0,32.0,23.0,39.0,50.0,31.0,14.0,12.0,34.0,36.0,49.0,9.0,19.0,0.0,60.0,330.0,13.0,7.0,21.0,8.0
