,SKIN,LARGE_INTESTINE,PANCREAS,BREAST,NERVOUS,LIVER,BONE,LUNG,OESOPHAGUS,HAEMATOPOIETIC,THYROID,ENDOMETRIUM,STOMACH,AERODIGESTIVE,OVARY,GANGLIA,PROSTATE,PLEURA,URINARY,SOFT_TISSUE,KIDNEY,SALIVARY,BILIARY
46,2.0,0.0,1.0,4.0,3.0,5.0,7.0,6.0,8.0,9.0,10.0,12.0,14.0,13.0,15.0,16.0,19.0,11.0,18.0,17.0,20.0,21.0,22.0
95,3.0,0.0,2.0,4.0,1.0,5.0,9.0,6.0,11.0,8.0,7.0,10.0,12.0,16.0,15.0,19.0,13.0,14.0,17.0,18.0,21.0,20.0,22.0
144,2.0,0.0,1.0,5.0,3.0,8.0,10.0,6.0,7.0,11.0,9.0,12.0,4.0,19.0,13.0,18.0,15.0,14.0,16.0,17.0,20.0,21.0,22.0
193,2.0,0.0,1.0,4.0,3.0,6.0,7.0,5.0,9.0,8.0,12.0,11.0,15.0,19.0,17.0,18.0,13.0,14.0,10.0,16.0,21.0,20.0,22.0
242,2.0,0.0,1.0,5.0,3.0,6.0,7.0,4.0,8.0,11.0,10.0,18.0,14.0,9.0,15.0,16.0,13.0,21.0,17.0,12.0,20.0,19.0,22.0
291,0.0,1.0,2.0,4.0,3.0,5.0,7.0,6.0,10.0,9.0,8.0,12.0,18.0,16.0,17.0,11.0,14.0,13.0,19.0,15.0,20.0,21.0,22.0
340,3.0,1.0,0.0,2.0,4.0,5.0,8.0,6.0,9.0,10.0,7.0,12.0,11.0,19.0,17.0,16.0,14.0,13.0,18.0,15.0,20.0,21.0,22.0
389,3.0,1.0,0.0,4.0,2.0,5.0,11.0,6.0,10.0,8.0,9.0,7.0,13.0,17.0,16.0,18.0,15.0,14.0,12.0,19.0,20.0,21.0,22.0
438,2.0,0.0,3.0,4.0,1.0,5.0,6.0,7.0,14.0,11.0,8.0,9.0,12.0,17.0,19.0,10.0,15.0,13.0,16.0,18.0,20.0,21.0,22.0
487,2.0,0.0,1.0,4.0,3.0,5.0,7.0,8.0,11.0,15.0,6.0,10.0,9.0,14.0,16.0,13.0,18.0,17.0,12.0,19.0,20.0,21.0,22.0
