,hsa-miR-34a,hsa-miR-222,hsv1-miR-H2-3p,hsa-miR-579,hsa-miR-26a,hsa-miR-591,hsa-miR-675,hsa-miR-1256,hsa-miR-891a,hsa-miR-581,hsa-miR-582-5p,hsa-miR-597,hsa-miR-28-5p,hsa-miR-1286,hsa-miR-654-3p,hsa-miR-298,hsa-miR-223,hsa-miR-921,hsa-miR-614,hsa-miR-934,hsa-miR-519e,hsa-miR-155,hcmv-miR-US25-2-3p,hsa-miR-601,hsa-miR-892a,hsa-miR-132,ebv-miR-BART5,hsa-miR-557,hsa-miR-302e,hsa-miR-133b
1143,0.0,3.0,1.0,4.0,13.0,36.0,2.0,30.0,10.0,7.0,19.0,29.0,8.0,9.0,62.0,26.0,25.0,5.0,48.0,66.0,18.0,20.0,65.0,23.0,51.0,47.0,24.0,86.0,32.0,74.0
1192,0.0,2.0,1.0,8.0,9.0,13.0,7.0,43.0,11.0,6.0,3.0,20.0,14.0,4.0,23.0,45.0,62.0,5.0,27.0,150.0,36.0,17.0,61.0,22.0,37.0,48.0,12.0,103.0,41.0,44.0
1241,0.0,2.0,8.0,7.0,5.0,29.0,1.0,11.0,42.0,12.0,6.0,9.0,14.0,17.0,25.0,18.0,10.0,15.0,20.0,154.0,37.0,41.0,3.0,34.0,50.0,70.0,19.0,246.0,59.0,133.0
1290,0.0,1.0,2.0,9.0,10.0,22.0,8.0,24.0,4.0,11.0,3.0,12.0,23.0,34.0,21.0,13.0,32.0,45.0,19.0,58.0,35.0,86.0,96.0,31.0,16.0,46.0,20.0,168.0,43.0,67.0
1339,0.0,4.0,35.0,6.0,24.0,21.0,1.0,2.0,17.0,23.0,12.0,7.0,10.0,9.0,16.0,59.0,36.0,3.0,25.0,63.0,39.0,32.0,19.0,20.0,153.0,44.0,28.0,66.0,49.0,140.0
1388,0.0,29.0,1.0,6.0,8.0,11.0,12.0,10.0,5.0,23.0,9.0,22.0,3.0,20.0,18.0,26.0,36.0,2.0,65.0,39.0,48.0,31.0,40.0,70.0,67.0,139.0,16.0,197.0,55.0,50.0
1437,0.0,14.0,9.0,19.0,43.0,24.0,2.0,12.0,7.0,3.0,8.0,21.0,5.0,6.0,18.0,31.0,64.0,1.0,25.0,215.0,27.0,70.0,68.0,32.0,198.0,36.0,28.0,194.0,26.0,37.0
1486,0.0,1.0,6.0,13.0,14.0,5.0,20.0,57.0,34.0,8.0,16.0,28.0,18.0,59.0,64.0,3.0,26.0,2.0,11.0,62.0,36.0,17.0,21.0,9.0,55.0,22.0,49.0,68.0,41.0,39.0
1535,0.0,2.0,1.0,8.0,5.0,6.0,22.0,9.0,33.0,3.0,42.0,40.0,39.0,24.0,90.0,55.0,17.0,11.0,19.0,25.0,43.0,12.0,4.0,30.0,37.0,35.0,18.0,56.0,28.0,36.0
1584,0.0,1.0,5.0,2.0,9.0,17.0,40.0,10.0,44.0,24.0,14.0,25.0,6.0,19.0,18.0,21.0,11.0,12.0,103.0,101.0,38.0,3.0,13.0,23.0,63.0,32.0,30.0,54.0,56.0,94.0
1633,0.0,7.0,2.0,6.0,11.0,4.0,24.0,5.0,32.0,19.0,48.0,1.0,25.0,33.0,21.0,13.0,28.0,38.0,37.0,65.0,23.0,3.0,10.0,16.0,73.0,29.0,27.0,102.0,26.0,61.0
1682,1.0,0.0,13.0,4.0,9.0,3.0,18.0,7.0,34.0,31.0,37.0,108.0,20.0,28.0,91.0,26.0,47.0,41.0,109.0,16.0,19.0,39.0,5.0,79.0,183.0,52.0,14.0,113.0,21.0,59.0
1731,2.0,1.0,3.0,5.0,21.0,29.0,26.0,13.0,19.0,14.0,23.0,12.0,44.0,51.0,94.0,8.0,4.0,0.0,85.0,38.0,62.0,41.0,18.0,25.0,82.0,11.0,48.0,79.0,43.0,58.0
1780,0.0,8.0,14.0,2.0,16.0,9.0,3.0,1.0,10.0,13.0,38.0,80.0,18.0,33.0,73.0,11.0,22.0,7.0,46.0,42.0,35.0,24.0,6.0,5.0,119.0,31.0,26.0,81.0,29.0,50.0
1829,0.0,1.0,25.0,3.0,20.0,13.0,5.0,45.0,21.0,17.0,8.0,9.0,26.0,33.0,12.0,22.0,23.0,53.0,55.0,7.0,39.0,14.0,11.0,48.0,35.0,47.0,24.0,68.0,63.0,83.0
1878,0.0,5.0,2.0,6.0,8.0,1.0,19.0,42.0,15.0,4.0,60.0,57.0,48.0,33.0,61.0,16.0,20.0,45.0,69.0,204.0,43.0,13.0,3.0,46.0,32.0,37.0,23.0,125.0,73.0,78.0
1927,0.0,7.0,54.0,13.0,2.0,5.0,29.0,59.0,6.0,11.0,88.0,23.0,12.0,30.0,27.0,3.0,20.0,113.0,15.0,72.0,52.0,9.0,4.0,53.0,169.0,17.0,22.0,40.0,45.0,44.0
1976,0.0,2.0,4.0,24.0,7.0,1.0,5.0,33.0,6.0,59.0,77.0,12.0,10.0,34.0,46.0,17.0,52.0,43.0,31.0,9.0,53.0,8.0,38.0,15.0,51.0,25.0,58.0,18.0,32.0,22.0
2025,0.0,2.0,1.0,10.0,9.0,25.0,15.0,29.0,4.0,23.0,11.0,5.0,28.0,24.0,3.0,34.0,33.0,105.0,22.0,8.0,46.0,21.0,59.0,45.0,6.0,27.0,49.0,35.0,36.0,63.0
2074,0.0,1.0,12.0,8.0,11.0,4.0,7.0,14.0,20.0,13.0,21.0,2.0,18.0,60.0,5.0,19.0,45.0,6.0,36.0,17.0,35.0,22.0,62.0,28.0,3.0,32.0,24.0,9.0,29.0,41.0
2123,0.0,1.0,5.0,22.0,25.0,6.0,2.0,14.0,21.0,78.0,18.0,4.0,3.0,51.0,12.0,23.0,35.0,36.0,20.0,8.0,30.0,16.0,28.0,10.0,113.0,15.0,19.0,47.0,26.0,60.0
2172,0.0,1.0,3.0,10.0,33.0,15.0,18.0,53.0,6.0,9.0,7.0,8.0,2.0,63.0,16.0,17.0,12.0,183.0,29.0,5.0,43.0,4.0,41.0,34.0,57.0,60.0,46.0,35.0,37.0,24.0
2221,0.0,1.0,2.0,23.0,9.0,11.0,35.0,16.0,14.0,13.0,34.0,3.0,18.0,54.0,5.0,17.0,29.0,15.0,4.0,25.0,26.0,49.0,131.0,8.0,6.0,45.0,31.0,12.0,42.0,21.0
2270,0.0,2.0,28.0,3.0,4.0,6.0,14.0,31.0,11.0,18.0,21.0,7.0,23.0,38.0,5.0,37.0,61.0,12.0,40.0,13.0,47.0,71.0,85.0,10.0,1.0,29.0,74.0,30.0,33.0,86.0
2319,0.0,1.0,2.0,15.0,32.0,17.0,19.0,3.0,7.0,16.0,13.0,21.0,9.0,48.0,8.0,50.0,33.0,60.0,27.0,4.0,40.0,88.0,80.0,12.0,23.0,70.0,66.0,10.0,30.0,46.0
2368,0.0,1.0,3.0,6.0,18.0,2.0,20.0,8.0,14.0,12.0,25.0,13.0,24.0,45.0,10.0,17.0,125.0,50.0,33.0,4.0,34.0,52.0,78.0,26.0,28.0,9.0,39.0,11.0,41.0,37.0
2417,0.0,2.0,18.0,32.0,14.0,7.0,30.0,6.0,3.0,22.0,12.0,20.0,21.0,74.0,39.0,36.0,34.0,1.0,69.0,10.0,35.0,26.0,103.0,8.0,11.0,13.0,24.0,5.0,23.0,56.0
2466,0.0,2.0,1.0,9.0,11.0,10.0,33.0,6.0,5.0,3.0,7.0,56.0,17.0,23.0,216.0,22.0,30.0,82.0,8.0,72.0,20.0,4.0,37.0,205.0,18.0,168.0,64.0,49.0,38.0,21.0
2515,0.0,2.0,1.0,3.0,21.0,34.0,77.0,12.0,11.0,18.0,49.0,88.0,13.0,27.0,42.0,29.0,81.0,25.0,4.0,36.0,33.0,22.0,20.0,102.0,7.0,179.0,60.0,19.0,52.0,14.0
2564,0.0,1.0,2.0,3.0,71.0,41.0,26.0,7.0,15.0,4.0,5.0,39.0,9.0,40.0,13.0,33.0,28.0,50.0,6.0,14.0,25.0,10.0,78.0,168.0,45.0,21.0,93.0,18.0,42.0,12.0
2613,0.0,4.0,1.0,2.0,5.0,27.0,91.0,6.0,14.0,3.0,11.0,18.0,8.0,23.0,40.0,15.0,54.0,48.0,9.0,57.0,25.0,10.0,31.0,139.0,7.0,69.0,62.0,19.0,29.0,22.0
2662,0.0,13.0,1.0,3.0,17.0,51.0,98.0,5.0,15.0,7.0,10.0,22.0,24.0,54.0,37.0,19.0,65.0,95.0,31.0,39.0,14.0,16.0,42.0,124.0,2.0,185.0,53.0,8.0,48.0,18.0
2711,0.0,32.0,1.0,3.0,15.0,23.0,46.0,7.0,4.0,2.0,31.0,62.0,5.0,13.0,67.0,8.0,20.0,53.0,35.0,9.0,22.0,52.0,49.0,60.0,11.0,114.0,50.0,14.0,25.0,39.0
2760,0.0,2.0,1.0,3.0,18.0,13.0,72.0,25.0,21.0,4.0,103.0,24.0,43.0,20.0,45.0,5.0,26.0,27.0,8.0,36.0,14.0,29.0,47.0,67.0,6.0,41.0,37.0,12.0,46.0,40.0
2809,0.0,3.0,1.0,2.0,5.0,15.0,32.0,6.0,11.0,13.0,12.0,130.0,28.0,27.0,44.0,7.0,26.0,29.0,4.0,35.0,16.0,9.0,91.0,108.0,111.0,122.0,118.0,42.0,18.0,41.0
2858,0.0,3.0,1.0,4.0,12.0,27.0,50.0,20.0,10.0,13.0,18.0,60.0,28.0,14.0,41.0,25.0,38.0,80.0,54.0,9.0,16.0,21.0,31.0,118.0,6.0,26.0,103.0,2.0,44.0,70.0
2907,0.0,1.0,4.0,2.0,21.0,29.0,45.0,3.0,44.0,9.0,43.0,37.0,33.0,110.0,52.0,10.0,23.0,6.0,12.0,8.0,16.0,14.0,24.0,89.0,22.0,19.0,71.0,17.0,26.0,38.0
2956,0.0,2.0,6.0,1.0,3.0,13.0,41.0,9.0,11.0,52.0,5.0,23.0,30.0,4.0,7.0,18.0,135.0,28.0,12.0,69.0,37.0,70.0,61.0,47.0,120.0,27.0,20.0,38.0,53.0,10.0
3005,0.0,2.0,7.0,3.0,1.0,14.0,34.0,16.0,21.0,6.0,12.0,20.0,19.0,13.0,23.0,22.0,65.0,78.0,11.0,33.0,56.0,103.0,69.0,73.0,28.0,24.0,27.0,17.0,101.0,4.0
3054,1.0,3.0,9.0,5.0,0.0,7.0,21.0,66.0,36.0,30.0,6.0,26.0,28.0,8.0,39.0,34.0,75.0,13.0,48.0,11.0,44.0,88.0,67.0,54.0,24.0,17.0,50.0,53.0,128.0,18.0
3103,0.0,1.0,4.0,3.0,2.0,7.0,35.0,71.0,8.0,17.0,9.0,14.0,44.0,18.0,16.0,13.0,83.0,54.0,19.0,46.0,53.0,123.0,97.0,22.0,62.0,11.0,39.0,38.0,102.0,43.0
3152,0.0,1.0,5.0,6.0,2.0,9.0,37.0,22.0,8.0,26.0,10.0,3.0,63.0,11.0,33.0,12.0,103.0,36.0,34.0,32.0,31.0,71.0,65.0,68.0,49.0,17.0,16.0,27.0,47.0,7.0
3201,0.0,2.0,12.0,1.0,27.0,8.0,23.0,4.0,6.0,11.0,3.0,43.0,61.0,5.0,10.0,38.0,152.0,31.0,21.0,13.0,25.0,60.0,35.0,49.0,44.0,33.0,36.0,28.0,77.0,15.0
3250,0.0,2.0,30.0,3.0,1.0,5.0,36.0,98.0,26.0,4.0,23.0,8.0,37.0,6.0,14.0,41.0,88.0,56.0,7.0,19.0,73.0,166.0,72.0,29.0,50.0,11.0,15.0,113.0,64.0,12.0
3299,0.0,1.0,7.0,2.0,3.0,20.0,30.0,92.0,5.0,8.0,6.0,13.0,32.0,11.0,9.0,24.0,90.0,138.0,15.0,4.0,45.0,131.0,184.0,27.0,10.0,12.0,62.0,39.0,84.0,16.0
3348,0.0,1.0,4.0,3.0,2.0,12.0,14.0,45.0,19.0,38.0,15.0,8.0,69.0,23.0,10.0,5.0,7.0,50.0,6.0,52.0,32.0,193.0,68.0,109.0,28.0,20.0,18.0,118.0,74.0,22.0
3397,0.0,1.0,5.0,4.0,2.0,71.0,50.0,35.0,10.0,41.0,3.0,13.0,38.0,22.0,18.0,24.0,59.0,195.0,64.0,19.0,63.0,65.0,36.0,37.0,8.0,9.0,17.0,95.0,58.0,14.0
3446,0.0,1.0,3.0,11.0,18.0,29.0,9.0,12.0,15.0,8.0,4.0,82.0,5.0,33.0,14.0,10.0,22.0,95.0,35.0,157.0,7.0,31.0,30.0,21.0,173.0,25.0,47.0,41.0,83.0,40.0
3495,1.0,0.0,3.0,11.0,15.0,7.0,14.0,4.0,16.0,32.0,2.0,103.0,27.0,48.0,36.0,50.0,18.0,40.0,33.0,90.0,8.0,12.0,26.0,46.0,64.0,71.0,78.0,114.0,25.0,47.0
3544,0.0,3.0,1.0,16.0,11.0,14.0,2.0,10.0,49.0,8.0,5.0,88.0,25.0,139.0,20.0,17.0,41.0,52.0,32.0,68.0,12.0,78.0,9.0,13.0,4.0,15.0,62.0,69.0,42.0,46.0
3593,0.0,3.0,1.0,6.0,4.0,14.0,21.0,22.0,37.0,28.0,2.0,85.0,11.0,25.0,26.0,34.0,9.0,23.0,27.0,147.0,18.0,59.0,16.0,48.0,103.0,12.0,51.0,8.0,66.0,20.0
3642,0.0,1.0,2.0,3.0,6.0,7.0,32.0,47.0,25.0,30.0,5.0,16.0,12.0,53.0,26.0,17.0,13.0,46.0,21.0,63.0,9.0,44.0,28.0,11.0,15.0,10.0,57.0,37.0,60.0,55.0
3691,4.0,0.0,1.0,21.0,7.0,44.0,6.0,35.0,17.0,46.0,8.0,42.0,13.0,64.0,20.0,3.0,23.0,65.0,82.0,52.0,12.0,43.0,31.0,24.0,9.0,22.0,74.0,41.0,50.0,45.0
3740,6.0,0.0,2.0,10.0,29.0,59.0,33.0,18.0,16.0,14.0,3.0,19.0,11.0,82.0,21.0,12.0,5.0,80.0,26.0,101.0,24.0,7.0,1.0,79.0,73.0,23.0,94.0,32.0,35.0,41.0
3789,2.0,5.0,1.0,19.0,11.0,48.0,6.0,0.0,10.0,60.0,3.0,79.0,9.0,58.0,7.0,12.0,53.0,18.0,39.0,127.0,13.0,26.0,27.0,77.0,118.0,71.0,24.0,36.0,63.0,46.0
3838,0.0,3.0,4.0,8.0,19.0,12.0,2.0,5.0,59.0,134.0,16.0,34.0,11.0,110.0,43.0,65.0,14.0,104.0,42.0,36.0,15.0,17.0,20.0,28.0,171.0,9.0,37.0,47.0,32.0,74.0
3887,0.0,1.0,6.0,5.0,21.0,12.0,4.0,11.0,32.0,34.0,2.0,16.0,28.0,25.0,7.0,36.0,26.0,72.0,58.0,77.0,20.0,17.0,3.0,18.0,22.0,10.0,45.0,31.0,76.0,24.0
3936,2.0,7.0,1.0,5.0,10.0,4.0,11.0,25.0,21.0,29.0,13.0,17.0,90.0,16.0,28.0,183.0,6.0,9.0,12.0,61.0,32.0,83.0,37.0,3.0,0.0,65.0,45.0,60.0,23.0,22.0
3985,1.0,0.0,8.0,5.0,3.0,2.0,41.0,26.0,10.0,48.0,79.0,17.0,83.0,6.0,4.0,118.0,19.0,9.0,65.0,38.0,36.0,91.0,25.0,11.0,12.0,14.0,37.0,23.0,21.0,28.0
4034,1.0,0.0,8.0,3.0,2.0,5.0,12.0,10.0,14.0,22.0,15.0,24.0,48.0,30.0,11.0,223.0,6.0,4.0,31.0,38.0,18.0,63.0,33.0,7.0,9.0,62.0,36.0,26.0,25.0,23.0
4083,1.0,5.0,0.0,6.0,9.0,2.0,18.0,8.0,23.0,10.0,70.0,57.0,48.0,11.0,22.0,62.0,7.0,3.0,42.0,26.0,41.0,128.0,75.0,14.0,4.0,21.0,65.0,15.0,25.0,37.0
4132,0.0,1.0,3.0,6.0,24.0,5.0,25.0,19.0,8.0,23.0,61.0,91.0,36.0,40.0,28.0,180.0,16.0,4.0,87.0,30.0,37.0,92.0,66.0,22.0,2.0,97.0,62.0,26.0,32.0,12.0
4181,0.0,1.0,2.0,3.0,6.0,11.0,7.0,8.0,19.0,61.0,28.0,55.0,20.0,10.0,21.0,196.0,4.0,16.0,14.0,46.0,30.0,45.0,17.0,13.0,5.0,50.0,56.0,23.0,15.0,39.0
4230,0.0,1.0,10.0,8.0,4.0,14.0,2.0,6.0,23.0,7.0,46.0,97.0,53.0,9.0,36.0,38.0,16.0,11.0,34.0,12.0,30.0,126.0,168.0,3.0,40.0,61.0,82.0,99.0,33.0,27.0
4279,0.0,1.0,10.0,18.0,3.0,4.0,7.0,17.0,9.0,81.0,15.0,59.0,32.0,45.0,43.0,196.0,2.0,11.0,28.0,13.0,51.0,47.0,19.0,37.0,12.0,111.0,75.0,36.0,33.0,23.0
4328,2.0,0.0,6.0,13.0,4.0,5.0,7.0,10.0,61.0,11.0,21.0,24.0,134.0,26.0,31.0,100.0,1.0,22.0,43.0,15.0,44.0,205.0,32.0,35.0,3.0,46.0,30.0,40.0,16.0,29.0
4377,22.0,1.0,11.0,10.0,6.0,4.0,30.0,18.0,16.0,48.0,7.0,29.0,102.0,8.0,15.0,167.0,3.0,24.0,23.0,28.0,40.0,120.0,34.0,2.0,0.0,52.0,68.0,12.0,35.0,54.0
4426,0.0,7.0,2.0,5.0,1.0,11.0,3.0,43.0,36.0,9.0,32.0,6.0,24.0,22.0,38.0,52.0,10.0,18.0,80.0,29.0,30.0,27.0,26.0,48.0,14.0,51.0,16.0,65.0,46.0,17.0
4475,0.0,4.0,2.0,10.0,1.0,8.0,5.0,35.0,50.0,25.0,86.0,9.0,17.0,33.0,26.0,21.0,14.0,45.0,85.0,20.0,18.0,49.0,32.0,13.0,12.0,34.0,28.0,40.0,43.0,30.0
4524,0.0,3.0,88.0,4.0,2.0,6.0,8.0,28.0,23.0,70.0,31.0,20.0,65.0,7.0,5.0,68.0,10.0,32.0,46.0,49.0,18.0,45.0,37.0,13.0,50.0,40.0,81.0,29.0,38.0,42.0
4573,0.0,14.0,9.0,3.0,22.0,7.0,4.0,19.0,37.0,11.0,57.0,83.0,23.0,28.0,5.0,15.0,114.0,163.0,21.0,17.0,16.0,48.0,81.0,24.0,27.0,43.0,31.0,29.0,8.0,18.0
4622,0.0,1.0,9.0,6.0,4.0,28.0,5.0,12.0,51.0,55.0,62.0,17.0,11.0,33.0,68.0,14.0,27.0,57.0,7.0,45.0,19.0,34.0,3.0,159.0,41.0,60.0,8.0,25.0,40.0,32.0
4671,0.0,16.0,12.0,13.0,6.0,1.0,4.0,34.0,82.0,5.0,61.0,7.0,36.0,22.0,10.0,53.0,17.0,23.0,51.0,92.0,18.0,15.0,11.0,49.0,2.0,3.0,32.0,27.0,39.0,45.0
4720,0.0,9.0,6.0,15.0,3.0,5.0,2.0,25.0,30.0,8.0,197.0,37.0,69.0,71.0,53.0,14.0,7.0,65.0,17.0,36.0,33.0,16.0,23.0,19.0,35.0,20.0,24.0,133.0,39.0,48.0
4769,0.0,3.0,5.0,22.0,10.0,14.0,7.0,20.0,40.0,27.0,145.0,2.0,55.0,70.0,57.0,32.0,13.0,183.0,65.0,9.0,16.0,15.0,19.0,115.0,21.0,4.0,47.0,101.0,31.0,12.0
4818,0.0,1.0,24.0,3.0,4.0,7.0,9.0,14.0,26.0,5.0,89.0,35.0,98.0,13.0,31.0,100.0,30.0,55.0,15.0,17.0,39.0,29.0,12.0,36.0,38.0,11.0,65.0,18.0,27.0,20.0
4867,0.0,5.0,1.0,4.0,3.0,8.0,2.0,60.0,66.0,19.0,18.0,21.0,50.0,23.0,14.0,25.0,12.0,130.0,16.0,71.0,15.0,37.0,36.0,46.0,31.0,55.0,43.0,99.0,72.0,61.0
