,MLIP_DEL,LOC348120_AMP,NF1P2_AMP,POTEB_AMP,NME7_DEL,HLA-DQB1_AMP,FHIT_DEL,KANSL1_AMP,BMPR2_AMP,KANSL1-AS1_AMP,UBE2Q2P3_AMP,UBE2Q2P2_AMP,FAM35B_DEL,HLA-H_DEL,FFAR3_DEL,ADAM5_DEL,BAGE4_DEL,BAGE_DEL,C10orf11_DEL,BAGE3_DEL,BAGE2_DEL,RPS17L_AMP,GOLGA6L9_AMP,RPS17_AMP,LGALS9C_DEL,ANKRD36B_DEL,DST_MUT,PRSS2_DEL,LINC00202_DEL,PRSS3P2_DEL
815,0.0,18.0,9.0,10.0,3.0,15.0,5.0,4.0,16.0,7.0,51.0,52.0,115.0,1.0,45.0,97.0,27.0,19.0,24.0,29.0,28.0,92.0,90.0,91.0,2.0,17.0,49.0,65.0,20.0,66.0
864,5.0,3.0,2.0,1.0,10.0,11.0,57.0,58.0,13.0,88.0,30.0,31.0,37.0,0.0,335.0,82.0,74.0,78.0,32.0,76.0,75.0,50.0,49.0,51.0,9.0,106.0,19.0,22.0,71.0,21.0
913,0.0,4.0,2.0,3.0,14.0,193.0,5444.0,30.0,16.0,26.0,18.0,17.0,58.0,1.0,192.0,347.0,73.0,29.0,2367.0,72.0,74.0,24.0,23.0,25.0,12.0,86.0,36.0,60.0,28.0,61.0
962,0.0,11.0,9.0,10.0,76.0,7.0,43.0,41.0,5.0,62.0,19.0,18.0,50.0,6.0,44.0,268.0,298.0,99.0,52.0,297.0,296.0,21.0,17.0,20.0,1.0,29.0,25.0,35.0,15.0,34.0
1011,0.0,22.0,26.0,27.0,9.0,29.0,8.0,1.0,15.0,3.0,25.0,24.0,4.0,191.0,33.0,13.0,44.0,112.0,21.0,46.0,45.0,52.0,51.0,50.0,148.0,7.0,105.0,11686.0,42.0,4779.0
1060,0.0,13.0,11.0,12.0,42.0,38.0,22.0,1.0,18.0,4.0,6.0,5.0,3.0,382.0,20.0,48.0,33.0,47.0,17.0,34.0,35.0,16.0,15.0,14.0,30.0,2.0,212.0,551.0,75.0,550.0
1109,0.0,34.0,33.0,32.0,47.0,5.0,6.0,7.0,3.0,13.0,49.0,48.0,12.0,2.0,27.0,63.0,96.0,59.0,4.0,95.0,97.0,119.0,117.0,118.0,121.0,39.0,116.0,1760.0,30.0,1761.0
1158,6.0,63.0,26.0,27.0,37.0,0.0,14.0,13.0,1.0,33.0,2.0,3.0,12.0,160.0,289.0,15.0,48.0,51.0,4.0,47.0,49.0,9.0,10.0,11.0,533.0,71.0,61.0,901.0,64.0,902.0
1207,6.0,11.0,13.0,12.0,39.0,5.0,0.0,22.0,23.0,32.0,1.0,2.0,21.0,68.0,46.0,35.0,8.0,18.0,7.0,9.0,10.0,15.0,14.0,16.0,41.0,48.0,117.0,12090.0,31.0,4768.0
1256,0.0,35.0,38.0,39.0,351.0,9.0,52.0,14.0,3.0,20.0,18.0,19.0,11.0,188.0,113.0,6.0,32.0,24.0,1.0,33.0,34.0,42.0,41.0,40.0,100.0,133.0,161.0,566.0,53.0,565.0
1305,25.0,5.0,6.0,7.0,67.0,8.0,16.0,3.0,83.0,14.0,13.0,12.0,58.0,93.0,82.0,0.0,53.0,42.0,1.0,54.0,55.0,22.0,20.0,21.0,1216.0,248.0,30.0,41.0,68.0,40.0
1354,1.0,30.0,45.0,46.0,89.0,0.0,3.0,19.0,4.0,34.0,13.0,15.0,9.0,232.0,456.0,6.0,59.0,54.0,26.0,57.0,58.0,12.0,11.0,14.0,691.0,39.0,92.0,233.0,36.0,234.0
1403,0.0,3.0,4.0,5.0,32.0,1.0,2.0,23.0,13.0,17.0,15.0,16.0,21.0,84.0,102.0,7.0,89.0,37.0,6.0,88.0,87.0,28.0,29.0,30.0,12.0,76.0,570.0,11753.0,73.0,4366.0
1452,6.0,39.0,48.0,49.0,1277.0,0.0,4.0,17.0,29.0,27.0,11.0,10.0,5.0,51.0,270.0,19.0,81.0,52.0,23.0,80.0,82.0,26.0,25.0,24.0,16.0,7.0,15.0,8110.0,100.0,6982.0
1501,10.0,43.0,36.0,37.0,4.0,6.0,0.0,3.0,2.0,5.0,7.0,8.0,18.0,75.0,1.0,26.0,30.0,29.0,239.0,31.0,32.0,16.0,14.0,15.0,77.0,22.0,62.0,25.0,44.0,24.0
1550,19.0,199.0,99.0,100.0,18.0,0.0,16.0,8.0,37.0,9.0,1.0,2.0,29.0,41.0,17.0,38.0,75.0,53.0,457.0,73.0,74.0,5.0,6.0,4.0,10.0,40.0,51.0,32.0,43.0,33.0
1599,0.0,17.0,11.0,10.0,7.0,21.0,23.0,6.0,9.0,8.0,4.0,3.0,27.0,39.0,36.0,34.0,19.0,16.0,389.0,20.0,18.0,13.0,14.0,12.0,107.0,15.0,160.0,2.0,37.0,1.0
1648,1.0,21.0,29.0,30.0,6.0,15.0,0.0,12.0,5.0,17.0,3.0,4.0,20.0,53.0,33.0,46.0,67.0,75.0,586.0,65.0,66.0,11.0,9.0,10.0,78.0,26.0,7.0,38.0,32.0,37.0
1697,1.0,314.0,938.0,939.0,10.0,4.0,2.0,7.0,33.0,6.0,15.0,13.0,12.0,21.0,3.0,96.0,76.0,54.0,143.0,77.0,78.0,16.0,14.0,17.0,34.0,0.0,1190.0,41.0,63.0,42.0
1746,2.0,78.0,83.0,84.0,9.0,8.0,0.0,4.0,13.0,7.0,16.0,15.0,14.0,11.0,3.0,25.0,222.0,71.0,412.0,221.0,223.0,22.0,23.0,21.0,77.0,10.0,43.0,5.0,30.0,6.0
1795,1.0,21.0,18.0,19.0,10.0,6.0,0.0,17.0,15.0,26.0,3.0,2.0,14.0,250.0,4.0,64.0,236.0,74.0,112.0,235.0,237.0,9.0,7.0,8.0,33.0,5.0,12.0,25.0,42.0,24.0
1844,1.0,33.0,27.0,26.0,3.0,2.0,0.0,15.0,32.0,21.0,7.0,6.0,5.0,37.0,4.0,18.0,63.0,201.0,608.0,64.0,65.0,13.0,11.0,12.0,43.0,24.0,20.0,67.0,39.0,68.0
1893,0.0,103.0,34.0,33.0,51.0,1.0,2.0,45.0,8.0,53.0,5.0,6.0,26.0,31.0,3.0,28.0,98.0,73.0,482.0,97.0,99.0,13.0,12.0,14.0,1460.0,25.0,104.0,105.0,11.0,106.0
1942,2.0,39.0,35.0,36.0,12.0,45.0,3.0,40.0,31.0,43.0,5.0,4.0,11.0,114.0,10.0,200.0,26.0,18.0,8452.0,25.0,24.0,9.0,7.0,8.0,16.0,116.0,171.0,0.0,19.0,1.0
1991,9.0,0.0,3.0,2.0,22.0,1.0,10.0,25.0,30.0,23.0,7.0,6.0,8.0,14.0,12.0,5.0,27.0,11.0,70.0,28.0,26.0,18.0,17.0,16.0,54.0,21.0,75.0,19.0,32.0,20.0
2040,9.0,0.0,2.0,1.0,11.0,8.0,40.0,34.0,17.0,46.0,15.0,16.0,5.0,85.0,65.0,6.0,37.0,22.0,13.0,36.0,35.0,28.0,30.0,29.0,67.0,49.0,12.0,4.0,27.0,3.0
2089,104.0,9.0,16.0,15.0,8.0,0.0,17.0,1.0,126.0,5.0,20.0,19.0,23.0,155.0,10.0,21.0,2.0,7.0,28.0,3.0,4.0,37.0,35.0,36.0,26.0,6.0,194.0,70.0,108.0,69.0
2138,19.0,0.0,2.0,1.0,4.0,6.0,50.0,31.0,76.0,47.0,15.0,16.0,13.0,89.0,7.0,3.0,9.0,8.0,92.0,10.0,11.0,30.0,28.0,29.0,18.0,14.0,60.0,55.0,48.0,56.0
2187,18.0,1.0,3.0,2.0,0.0,11.0,9.0,5.0,60.0,7.0,44.0,43.0,10.0,260.0,29.0,8.0,16.0,12.0,126.0,15.0,14.0,102.0,101.0,100.0,25.0,19.0,21.0,128.0,26.0,129.0
2236,50.0,2.0,9.0,8.0,28.0,11.0,33.0,12.0,38.0,19.0,4.0,5.0,23.0,116.0,27.0,3.0,24.0,20.0,13.0,26.0,25.0,16.0,14.0,15.0,35.0,46.0,32.0,1.0,78.0,0.0
