,HAEMATOPOIETIC,LARGE_INTESTINE,BREAST,GANGLIA,PANCREAS,ENDOMETRIUM,SKIN,AERODIGESTIVE,PLEURA,THYROID,OVARY,LUNG,URINARY,OESOPHAGUS,LIVER,BONE,NERVOUS,STOMACH,SOFT_TISSUE,BILIARY,KIDNEY,SALIVARY,PROSTATE
42,0.0,1.0,2.0,4.0,3.0,6.0,8.0,5.0,7.0,9.0,10.0,13.0,14.0,11.0,15.0,16.0,12.0,17.0,18.0,22.0,20.0,21.0,19.0
91,1.0,0.0,3.0,2.0,5.0,7.0,6.0,4.0,8.0,10.0,9.0,15.0,11.0,12.0,14.0,17.0,13.0,16.0,18.0,22.0,21.0,19.0,20.0
140,1.0,2.0,0.0,3.0,8.0,7.0,5.0,4.0,6.0,10.0,9.0,14.0,12.0,15.0,11.0,16.0,13.0,19.0,17.0,22.0,21.0,18.0,20.0
189,1.0,0.0,4.0,3.0,9.0,2.0,5.0,7.0,6.0,8.0,14.0,16.0,10.0,12.0,11.0,17.0,15.0,18.0,13.0,22.0,21.0,19.0,20.0
238,2.0,0.0,3.0,1.0,9.0,4.0,5.0,6.0,8.0,11.0,10.0,13.0,12.0,7.0,14.0,15.0,17.0,16.0,18.0,22.0,21.0,19.0,20.0
287,1.0,0.0,3.0,2.0,9.0,5.0,6.0,4.0,7.0,8.0,13.0,14.0,12.0,10.0,17.0,15.0,11.0,18.0,16.0,22.0,21.0,19.0,20.0
336,1.0,0.0,2.0,3.0,6.0,7.0,4.0,5.0,9.0,8.0,10.0,12.0,14.0,11.0,16.0,15.0,13.0,17.0,19.0,22.0,21.0,18.0,20.0
385,1.0,0.0,2.0,4.0,8.0,5.0,3.0,7.0,6.0,9.0,16.0,13.0,10.0,17.0,14.0,12.0,11.0,18.0,15.0,22.0,21.0,19.0,20.0
434,1.0,0.0,6.0,2.0,7.0,4.0,5.0,3.0,10.0,9.0,11.0,14.0,8.0,13.0,12.0,16.0,15.0,18.0,17.0,22.0,21.0,19.0,20.0
483,1.0,0.0,4.0,2.0,8.0,9.0,3.0,5.0,10.0,21.0,6.0,13.0,16.0,11.0,17.0,7.0,14.0,15.0,12.0,22.0,20.0,18.0,19.0
532,0.0,2.0,1.0,6.0,7.0,4.0,5.0,3.0,8.0,10.0,18.0,11.0,16.0,13.0,9.0,15.0,12.0,14.0,17.0,20.0,21.0,19.0,22.0
581,1.0,2.0,0.0,5.0,8.0,6.0,4.0,3.0,10.0,11.0,9.0,15.0,16.0,13.0,14.0,17.0,7.0,12.0,18.0,21.0,19.0,20.0,22.0
630,4.0,1.0,0.0,7.0,2.0,6.0,3.0,5.0,8.0,10.0,9.0,12.0,11.0,15.0,13.0,17.0,18.0,16.0,14.0,19.0,21.0,20.0,22.0
679,0.0,2.0,1.0,5.0,6.0,3.0,4.0,7.0,8.0,11.0,13.0,14.0,12.0,10.0,9.0,17.0,15.0,16.0,19.0,21.0,18.0,20.0,22.0
728,1.0,2.0,0.0,5.0,7.0,4.0,3.0,6.0,11.0,10.0,9.0,8.0,13.0,12.0,15.0,17.0,14.0,16.0,19.0,21.0,20.0,18.0,22.0
777,1.0,2.0,0.0,8.0,6.0,3.0,5.0,4.0,9.0,16.0,13.0,12.0,10.0,15.0,11.0,7.0,14.0,17.0,19.0,20.0,21.0,18.0,22.0
826,1.0,3.0,0.0,4.0,5.0,9.0,2.0,6.0,8.0,10.0,14.0,11.0,12.0,13.0,7.0,16.0,15.0,17.0,18.0,20.0,21.0,19.0,22.0
875,1.0,2.0,0.0,6.0,7.0,3.0,4.0,5.0,8.0,9.0,13.0,10.0,18.0,15.0,11.0,14.0,12.0,16.0,17.0,22.0,19.0,21.0,20.0
924,2.0,0.0,1.0,6.0,4.0,5.0,3.0,8.0,7.0,18.0,15.0,10.0,12.0,14.0,13.0,11.0,9.0,16.0,17.0,20.0,21.0,19.0,22.0
973,2.0,1.0,0.0,4.0,7.0,5.0,3.0,6.0,8.0,19.0,14.0,12.0,9.0,17.0,11.0,13.0,15.0,16.0,10.0,20.0,21.0,18.0,22.0
1022,0.0,1.0,2.0,3.0,6.0,9.0,4.0,5.0,7.0,16.0,8.0,11.0,15.0,13.0,10.0,14.0,12.0,18.0,17.0,22.0,19.0,20.0,21.0
1071,0.0,1.0,3.0,2.0,5.0,7.0,4.0,6.0,9.0,17.0,11.0,12.0,10.0,14.0,8.0,15.0,16.0,13.0,18.0,21.0,20.0,19.0,22.0
1120,0.0,1.0,2.0,4.0,3.0,8.0,7.0,6.0,9.0,16.0,5.0,10.0,12.0,14.0,13.0,11.0,15.0,17.0,18.0,21.0,20.0,19.0,22.0
1169,0.0,1.0,2.0,4.0,3.0,9.0,5.0,6.0,10.0,16.0,8.0,11.0,7.0,12.0,14.0,17.0,13.0,15.0,18.0,21.0,19.0,20.0,22.0
1218,0.0,1.0,2.0,3.0,6.0,7.0,4.0,10.0,11.0,15.0,5.0,8.0,12.0,14.0,16.0,17.0,9.0,13.0,18.0,20.0,19.0,21.0,22.0
1267,0.0,2.0,1.0,3.0,7.0,9.0,5.0,4.0,6.0,14.0,8.0,11.0,15.0,18.0,10.0,17.0,12.0,13.0,16.0,21.0,20.0,19.0,22.0
1316,0.0,1.0,3.0,2.0,4.0,6.0,9.0,8.0,5.0,15.0,11.0,12.0,16.0,13.0,10.0,17.0,18.0,14.0,7.0,21.0,19.0,20.0,22.0
1365,0.0,2.0,1.0,6.0,3.0,8.0,4.0,5.0,7.0,17.0,11.0,12.0,14.0,10.0,9.0,18.0,16.0,15.0,13.0,21.0,19.0,20.0,22.0
1414,1.0,0.0,2.0,3.0,5.0,4.0,8.0,6.0,7.0,21.0,11.0,10.0,13.0,12.0,9.0,17.0,14.0,16.0,15.0,19.0,20.0,18.0,22.0
1463,0.0,1.0,3.0,2.0,5.0,4.0,7.0,11.0,6.0,16.0,9.0,10.0,14.0,12.0,8.0,18.0,13.0,15.0,17.0,21.0,19.0,20.0,22.0
1512,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,16.0,8.0,14.0,10.0,9.0,12.0,11.0,13.0,18.0,15.0,17.0,21.0,19.0,20.0,22.0
1561,0.0,1.0,4.0,2.0,3.0,5.0,7.0,6.0,13.0,8.0,11.0,9.0,14.0,12.0,17.0,15.0,16.0,10.0,18.0,20.0,19.0,21.0,22.0
1610,0.0,1.0,4.0,2.0,5.0,3.0,6.0,7.0,8.0,16.0,10.0,12.0,13.0,9.0,15.0,14.0,17.0,11.0,18.0,20.0,21.0,19.0,22.0
1659,1.0,0.0,2.0,3.0,6.0,4.0,5.0,7.0,8.0,9.0,12.0,11.0,15.0,14.0,10.0,17.0,19.0,13.0,16.0,20.0,21.0,18.0,22.0
1708,0.0,2.0,3.0,1.0,5.0,4.0,6.0,7.0,9.0,8.0,13.0,11.0,16.0,10.0,15.0,19.0,17.0,12.0,14.0,22.0,20.0,18.0,21.0
1757,0.0,1.0,5.0,2.0,4.0,3.0,6.0,8.0,7.0,11.0,14.0,15.0,10.0,13.0,16.0,17.0,18.0,12.0,9.0,21.0,19.0,20.0,22.0
1806,0.0,1.0,2.0,4.0,3.0,6.0,9.0,8.0,7.0,5.0,12.0,10.0,11.0,16.0,13.0,18.0,15.0,14.0,17.0,21.0,20.0,19.0,22.0
1855,0.0,1.0,5.0,4.0,3.0,2.0,6.0,9.0,8.0,7.0,12.0,10.0,14.0,11.0,13.0,17.0,16.0,15.0,18.0,21.0,19.0,20.0,22.0
1904,0.0,1.0,6.0,3.0,5.0,4.0,2.0,7.0,9.0,8.0,15.0,11.0,17.0,16.0,10.0,13.0,14.0,12.0,18.0,21.0,19.0,20.0,22.0
1953,0.0,1.0,3.0,2.0,4.0,5.0,8.0,9.0,7.0,6.0,13.0,10.0,14.0,16.0,11.0,17.0,15.0,12.0,18.0,21.0,20.0,19.0,22.0
2002,0.0,1.0,2.0,6.0,4.0,5.0,3.0,8.0,9.0,12.0,10.0,11.0,7.0,18.0,16.0,13.0,17.0,15.0,14.0,21.0,19.0,20.0,22.0
2051,1.0,0.0,2.0,3.0,4.0,6.0,5.0,8.0,11.0,10.0,9.0,13.0,7.0,16.0,17.0,12.0,14.0,15.0,18.0,21.0,19.0,20.0,22.0
2100,0.0,2.0,1.0,10.0,4.0,3.0,5.0,6.0,8.0,11.0,7.0,13.0,9.0,14.0,18.0,12.0,15.0,16.0,17.0,20.0,19.0,21.0,22.0
2149,0.0,1.0,2.0,4.0,3.0,5.0,8.0,9.0,7.0,16.0,10.0,12.0,6.0,14.0,11.0,21.0,15.0,18.0,13.0,20.0,17.0,19.0,22.0
2198,0.0,1.0,2.0,5.0,3.0,6.0,4.0,8.0,7.0,12.0,13.0,14.0,10.0,16.0,15.0,11.0,17.0,9.0,18.0,21.0,19.0,20.0,22.0
2247,1.0,2.0,0.0,6.0,3.0,5.0,4.0,10.0,7.0,12.0,17.0,15.0,9.0,18.0,11.0,13.0,16.0,8.0,14.0,21.0,19.0,20.0,22.0
2296,0.0,2.0,1.0,4.0,5.0,7.0,3.0,6.0,11.0,15.0,10.0,16.0,9.0,14.0,17.0,8.0,18.0,12.0,13.0,22.0,20.0,19.0,21.0
2345,0.0,1.0,2.0,4.0,3.0,6.0,5.0,12.0,7.0,11.0,15.0,14.0,10.0,18.0,9.0,13.0,17.0,16.0,8.0,21.0,19.0,20.0,22.0
2394,0.0,2.0,1.0,4.0,3.0,7.0,5.0,10.0,6.0,9.0,17.0,8.0,16.0,14.0,13.0,11.0,18.0,12.0,15.0,20.0,19.0,21.0,22.0
2443,0.0,4.0,1.0,5.0,2.0,3.0,7.0,8.0,11.0,18.0,9.0,12.0,6.0,13.0,15.0,10.0,17.0,14.0,16.0,19.0,21.0,20.0,22.0
2492,2.0,0.0,1.0,3.0,7.0,5.0,4.0,6.0,8.0,10.0,9.0,14.0,20.0,13.0,11.0,15.0,12.0,18.0,16.0,19.0,17.0,21.0,22.0
2541,0.0,1.0,2.0,8.0,7.0,3.0,4.0,5.0,6.0,10.0,9.0,12.0,20.0,18.0,13.0,14.0,11.0,15.0,16.0,19.0,17.0,21.0,22.0
2590,1.0,0.0,2.0,3.0,6.0,4.0,5.0,7.0,9.0,18.0,8.0,11.0,15.0,10.0,13.0,14.0,12.0,20.0,17.0,19.0,16.0,21.0,22.0
2639,0.0,2.0,1.0,3.0,6.0,4.0,5.0,7.0,8.0,10.0,9.0,13.0,15.0,14.0,12.0,19.0,11.0,20.0,18.0,17.0,16.0,21.0,22.0
2688,0.0,2.0,1.0,3.0,6.0,7.0,4.0,5.0,12.0,20.0,8.0,10.0,14.0,13.0,9.0,16.0,11.0,18.0,15.0,19.0,17.0,21.0,22.0
2737,0.0,1.0,2.0,3.0,6.0,7.0,4.0,5.0,9.0,8.0,16.0,13.0,14.0,12.0,10.0,15.0,11.0,20.0,18.0,19.0,17.0,21.0,22.0
2786,1.0,0.0,4.0,5.0,3.0,2.0,6.0,8.0,7.0,10.0,9.0,12.0,16.0,14.0,13.0,11.0,15.0,19.0,18.0,22.0,17.0,21.0,20.0
2835,1.0,0.0,2.0,3.0,8.0,5.0,4.0,7.0,6.0,10.0,14.0,12.0,9.0,15.0,13.0,17.0,11.0,18.0,16.0,20.0,19.0,21.0,22.0
2884,0.0,2.0,1.0,3.0,8.0,4.0,5.0,10.0,6.0,12.0,13.0,17.0,14.0,9.0,7.0,15.0,11.0,16.0,18.0,20.0,19.0,21.0,22.0
2933,0.0,1.0,2.0,5.0,7.0,3.0,4.0,17.0,6.0,9.0,8.0,14.0,12.0,10.0,13.0,11.0,16.0,18.0,15.0,19.0,20.0,21.0,22.0
2982,0.0,1.0,3.0,5.0,4.0,2.0,7.0,6.0,8.0,10.0,9.0,12.0,13.0,14.0,11.0,19.0,15.0,16.0,17.0,20.0,18.0,21.0,22.0
3031,0.0,1.0,2.0,5.0,4.0,3.0,8.0,6.0,14.0,11.0,12.0,9.0,13.0,10.0,7.0,15.0,19.0,16.0,18.0,20.0,17.0,21.0,22.0
3080,0.0,2.0,1.0,6.0,4.0,3.0,12.0,5.0,8.0,11.0,10.0,9.0,13.0,14.0,7.0,16.0,19.0,17.0,18.0,20.0,15.0,21.0,22.0
3129,0.0,1.0,2.0,3.0,7.0,4.0,10.0,6.0,14.0,9.0,11.0,12.0,8.0,16.0,5.0,18.0,15.0,13.0,17.0,20.0,19.0,21.0,22.0
3178,1.0,0.0,3.0,6.0,2.0,4.0,8.0,5.0,9.0,17.0,13.0,10.0,12.0,11.0,7.0,16.0,14.0,15.0,19.0,20.0,18.0,21.0,22.0
3227,2.0,0.0,1.0,4.0,3.0,5.0,7.0,6.0,9.0,8.0,13.0,10.0,19.0,14.0,11.0,15.0,12.0,17.0,16.0,22.0,18.0,20.0,21.0
3276,1.0,0.0,2.0,3.0,9.0,8.0,5.0,4.0,7.0,6.0,10.0,11.0,14.0,16.0,12.0,17.0,13.0,15.0,20.0,18.0,19.0,21.0,22.0
3325,0.0,1.0,2.0,4.0,5.0,3.0,12.0,7.0,8.0,14.0,6.0,10.0,17.0,15.0,11.0,9.0,13.0,16.0,19.0,18.0,21.0,20.0,22.0
3374,0.0,1.0,2.0,8.0,3.0,4.0,5.0,7.0,12.0,10.0,6.0,11.0,14.0,16.0,9.0,13.0,18.0,15.0,17.0,19.0,20.0,21.0,22.0
3423,2.0,0.0,1.0,3.0,4.0,5.0,6.0,21.0,9.0,8.0,10.0,11.0,12.0,16.0,7.0,15.0,17.0,13.0,14.0,18.0,19.0,20.0,22.0
3472,0.0,1.0,5.0,2.0,15.0,4.0,3.0,7.0,6.0,8.0,16.0,12.0,9.0,11.0,13.0,10.0,14.0,18.0,17.0,20.0,21.0,19.0,22.0
3521,0.0,1.0,3.0,2.0,9.0,4.0,5.0,8.0,6.0,10.0,12.0,11.0,14.0,7.0,17.0,13.0,15.0,19.0,16.0,20.0,21.0,18.0,22.0
3570,0.0,1.0,3.0,4.0,9.0,2.0,5.0,7.0,6.0,19.0,8.0,11.0,12.0,10.0,14.0,16.0,13.0,18.0,15.0,20.0,21.0,17.0,22.0
3619,0.0,1.0,6.0,2.0,9.0,3.0,5.0,4.0,7.0,15.0,10.0,13.0,8.0,11.0,14.0,18.0,12.0,17.0,21.0,19.0,20.0,16.0,22.0
3668,0.0,1.0,3.0,2.0,10.0,5.0,6.0,4.0,8.0,9.0,16.0,14.0,12.0,13.0,15.0,11.0,7.0,18.0,20.0,19.0,21.0,17.0,22.0
3717,0.0,1.0,2.0,4.0,5.0,7.0,6.0,3.0,8.0,9.0,12.0,10.0,16.0,14.0,17.0,15.0,11.0,18.0,13.0,20.0,21.0,19.0,22.0
3766,0.0,1.0,3.0,2.0,12.0,4.0,8.0,5.0,6.0,9.0,17.0,11.0,10.0,7.0,15.0,14.0,19.0,16.0,13.0,18.0,20.0,21.0,22.0
3815,0.0,1.0,2.0,3.0,8.0,4.0,6.0,5.0,7.0,9.0,11.0,12.0,14.0,17.0,13.0,16.0,10.0,18.0,19.0,22.0,20.0,15.0,21.0
