,HAEMATOPOIETIC,LARGE_INTESTINE,BREAST,GANGLIA,PANCREAS,ENDOMETRIUM,SKIN,AERODIGESTIVE,PLEURA,THYROID,OVARY,LUNG,URINARY,OESOPHAGUS,LIVER,BONE,NERVOUS,STOMACH,SOFT_TISSUE,BILIARY,KIDNEY,SALIVARY,PROSTATE
3864,0.0,1.0,2.0,3.0,9.0,6.0,7.0,4.0,5.0,10.0,8.0,11.0,12.0,13.0,14.0,17.0,15.0,19.0,18.0,20.0,21.0,16.0,22.0
3913,0.0,1.0,2.0,3.0,7.0,6.0,4.0,8.0,5.0,9.0,14.0,12.0,10.0,11.0,15.0,17.0,13.0,18.0,19.0,20.0,21.0,16.0,22.0
3962,1.0,2.0,0.0,5.0,6.0,3.0,4.0,11.0,10.0,9.0,12.0,8.0,17.0,7.0,16.0,13.0,14.0,18.0,15.0,20.0,19.0,21.0,22.0
4011,0.0,1.0,2.0,9.0,5.0,4.0,3.0,7.0,12.0,10.0,6.0,11.0,14.0,13.0,17.0,18.0,16.0,15.0,8.0,19.0,21.0,20.0,22.0
4060,1.0,0.0,2.0,3.0,6.0,4.0,5.0,12.0,7.0,16.0,10.0,8.0,9.0,17.0,11.0,15.0,14.0,18.0,13.0,19.0,20.0,21.0,22.0
4109,0.0,1.0,2.0,4.0,5.0,3.0,6.0,7.0,10.0,8.0,11.0,13.0,9.0,14.0,12.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4158,0.0,1.0,2.0,5.0,3.0,8.0,4.0,10.0,16.0,7.0,6.0,11.0,9.0,15.0,17.0,14.0,13.0,18.0,12.0,19.0,20.0,21.0,22.0
4207,0.0,1.0,2.0,3.0,8.0,5.0,4.0,6.0,16.0,7.0,11.0,10.0,9.0,17.0,15.0,12.0,14.0,18.0,13.0,19.0,20.0,21.0,22.0
4256,0.0,1.0,4.0,8.0,3.0,2.0,6.0,7.0,10.0,11.0,12.0,13.0,5.0,9.0,16.0,15.0,17.0,18.0,14.0,19.0,21.0,20.0,22.0
4305,0.0,1.0,2.0,7.0,6.0,4.0,3.0,8.0,9.0,10.0,5.0,11.0,12.0,15.0,18.0,17.0,14.0,16.0,13.0,22.0,20.0,19.0,21.0
4354,0.0,1.0,2.0,8.0,4.0,3.0,5.0,7.0,9.0,16.0,6.0,11.0,10.0,13.0,15.0,18.0,17.0,14.0,12.0,19.0,20.0,21.0,22.0
4403,1.0,0.0,2.0,5.0,4.0,3.0,9.0,6.0,8.0,7.0,10.0,11.0,14.0,13.0,16.0,15.0,12.0,17.0,19.0,18.0,20.0,21.0,22.0
4452,1.0,0.0,3.0,4.0,11.0,8.0,2.0,6.0,7.0,21.0,9.0,12.0,10.0,13.0,5.0,16.0,17.0,14.0,15.0,20.0,19.0,18.0,22.0
4501,3.0,0.0,2.0,5.0,8.0,4.0,1.0,6.0,9.0,21.0,7.0,12.0,11.0,10.0,14.0,16.0,17.0,15.0,13.0,20.0,18.0,19.0,22.0
4550,1.0,0.0,4.0,3.0,5.0,11.0,2.0,7.0,6.0,17.0,10.0,13.0,8.0,14.0,12.0,15.0,16.0,9.0,19.0,21.0,20.0,18.0,22.0
4599,0.0,1.0,3.0,5.0,4.0,6.0,2.0,9.0,8.0,19.0,16.0,11.0,10.0,7.0,12.0,15.0,17.0,13.0,14.0,20.0,21.0,18.0,22.0
4648,2.0,0.0,1.0,4.0,6.0,5.0,3.0,12.0,7.0,20.0,15.0,10.0,9.0,11.0,8.0,14.0,16.0,13.0,17.0,19.0,21.0,18.0,22.0
4697,5.0,1.0,0.0,8.0,3.0,4.0,2.0,7.0,9.0,21.0,10.0,13.0,6.0,16.0,11.0,19.0,14.0,12.0,20.0,18.0,15.0,17.0,22.0
4746,0.0,2.0,1.0,4.0,5.0,6.0,3.0,8.0,7.0,20.0,10.0,11.0,13.0,14.0,9.0,12.0,18.0,15.0,19.0,22.0,16.0,17.0,21.0
4795,1.0,0.0,2.0,9.0,4.0,11.0,3.0,5.0,10.0,17.0,14.0,12.0,8.0,7.0,6.0,20.0,15.0,13.0,19.0,21.0,16.0,18.0,22.0
4844,4.0,0.0,3.0,5.0,7.0,1.0,2.0,10.0,8.0,20.0,13.0,11.0,14.0,9.0,6.0,17.0,15.0,12.0,19.0,18.0,16.0,21.0,22.0
4893,0.0,2.0,3.0,4.0,5.0,6.0,1.0,7.0,9.0,17.0,14.0,12.0,8.0,11.0,10.0,15.0,13.0,16.0,21.0,20.0,19.0,18.0,22.0
