,1-methylnicotinamide,C22:6 CE,C36:1 DAG,uracil,alpha-glycerophosphocholine,C56:5 TAG,dCMP,GABA,alpha-glycerophosphate,urate,inositol,asparagine,leucine,guanosine,malondialdehyde,C18:0 LPE,creatinine,C18:0 LPC,C34:4 PC,SDMA/ADMA,homocysteine,3-phosphoglycerate,PEP,glutamine,hypoxanthine,pantothenate,C16:0 LPE,serotonin,oxalate,N-carbamoyl-beta-alanine
26,1.0,3.0,28.0,10.0,4.0,23.0,44.0,6.0,12.0,24.0,31.0,2.0,5.0,20.0,7.0,11.0,14.0,15.0,9.0,48.0,38.0,13.0,17.0,0.0,27.0,39.0,26.0,8.0,29.0,46.0
75,2.0,17.0,0.0,14.0,4.0,53.0,22.0,25.0,10.0,12.0,11.0,6.0,30.0,33.0,13.0,34.0,41.0,35.0,32.0,16.0,48.0,50.0,19.0,9.0,1.0,27.0,52.0,26.0,21.0,46.0
124,3.0,5.0,32.0,1.0,6.0,15.0,11.0,19.0,23.0,10.0,49.0,17.0,20.0,27.0,40.0,61.0,13.0,36.0,16.0,2.0,28.0,42.0,26.0,0.0,29.0,39.0,41.0,12.0,24.0,30.0
173,0.0,5.0,51.0,14.0,6.0,31.0,13.0,64.0,22.0,10.0,46.0,15.0,58.0,34.0,9.0,19.0,39.0,17.0,18.0,41.0,49.0,4.0,33.0,21.0,65.0,29.0,28.0,32.0,36.0,23.0
222,1.0,0.0,23.0,17.0,4.0,8.0,53.0,62.0,3.0,12.0,40.0,14.0,66.0,26.0,18.0,61.0,24.0,25.0,32.0,9.0,49.0,7.0,15.0,5.0,43.0,34.0,13.0,39.0,20.0,38.0
271,6.0,0.0,18.0,12.0,27.0,53.0,33.0,10.0,24.0,11.0,21.0,15.0,5.0,4.0,8.0,29.0,26.0,42.0,34.0,48.0,14.0,32.0,19.0,57.0,60.0,7.0,3.0,17.0,30.0,20.0
320,1.0,0.0,15.0,59.0,9.0,27.0,17.0,63.0,20.0,6.0,5.0,10.0,55.0,12.0,13.0,14.0,24.0,37.0,42.0,44.0,3.0,61.0,7.0,53.0,51.0,21.0,43.0,33.0,36.0,18.0
369,0.0,1.0,5.0,31.0,2.0,35.0,22.0,28.0,37.0,23.0,3.0,6.0,7.0,11.0,27.0,62.0,49.0,40.0,19.0,61.0,18.0,17.0,32.0,42.0,25.0,30.0,52.0,59.0,38.0,43.0
418,15.0,0.0,11.0,6.0,13.0,5.0,49.0,22.0,3.0,30.0,42.0,8.0,1.0,21.0,24.0,66.0,17.0,32.0,28.0,16.0,7.0,48.0,18.0,39.0,56.0,19.0,2.0,29.0,35.0,62.0
467,5.0,1.0,9.0,8.0,37.0,27.0,10.0,15.0,21.0,12.0,2.0,13.0,17.0,22.0,25.0,65.0,41.0,31.0,35.0,26.0,43.0,6.0,30.0,47.0,3.0,19.0,20.0,39.0,46.0,11.0
