,pantothenate,isocitrate,beta-alanine,C18:0 LPC,valerylcarnitine,C18:0 LPE,serine,UMP,taurodeoxycholate,C56:5 TAG,DHAP/glyceraldehyde 3P,niacinamide,creatinine,hippurate,oxalate,butyrylcarnitine/isobutyrylcarnitine,GABA,C34:2 DAG,C16:0 LPE,cytidine,guanosine,sarcosine,adenosine,2-deoxyadenosine,C22:6 LPE,phosphocreatine,alpha-glycerophosphate,cotinine,C36:1 DAG,hypoxanthine
22,0.0,1.0,5.0,4.0,24.0,10.0,6.0,9.0,17.0,2.0,12.0,18.0,16.0,7.0,11.0,21.0,25.0,8.0,31.0,37.0,27.0,15.0,14.0,20.0,3.0,22.0,23.0,19.0,13.0,30.0
71,0.0,5.0,1.0,3.0,2.0,34.0,4.0,7.0,8.0,6.0,12.0,17.0,26.0,13.0,9.0,14.0,15.0,10.0,23.0,27.0,19.0,16.0,24.0,18.0,11.0,29.0,35.0,31.0,21.0,39.0
120,1.0,17.0,3.0,8.0,0.0,23.0,2.0,4.0,9.0,13.0,15.0,7.0,14.0,24.0,10.0,22.0,16.0,11.0,6.0,26.0,25.0,32.0,12.0,31.0,21.0,29.0,5.0,19.0,20.0,27.0
169,0.0,3.0,4.0,1.0,2.0,21.0,7.0,20.0,14.0,22.0,15.0,8.0,25.0,12.0,11.0,6.0,9.0,13.0,10.0,19.0,17.0,24.0,18.0,16.0,28.0,36.0,33.0,5.0,30.0,43.0
218,2.0,0.0,3.0,5.0,1.0,23.0,4.0,6.0,7.0,13.0,14.0,9.0,22.0,11.0,16.0,10.0,15.0,8.0,21.0,17.0,30.0,35.0,19.0,18.0,24.0,25.0,32.0,28.0,20.0,27.0
267,0.0,3.0,1.0,5.0,4.0,12.0,7.0,2.0,6.0,15.0,9.0,10.0,17.0,24.0,11.0,14.0,26.0,19.0,22.0,23.0,21.0,20.0,46.0,16.0,28.0,38.0,18.0,25.0,13.0,31.0
316,0.0,7.0,2.0,3.0,1.0,17.0,4.0,10.0,6.0,20.0,12.0,9.0,25.0,5.0,8.0,16.0,22.0,19.0,13.0,15.0,24.0,27.0,26.0,11.0,28.0,35.0,14.0,23.0,18.0,30.0
365,1.0,4.0,2.0,0.0,12.0,22.0,5.0,3.0,14.0,13.0,16.0,10.0,25.0,8.0,9.0,6.0,15.0,7.0,21.0,17.0,11.0,18.0,20.0,29.0,23.0,26.0,34.0,32.0,19.0,36.0
414,0.0,3.0,1.0,4.0,9.0,16.0,15.0,13.0,21.0,7.0,19.0,6.0,18.0,14.0,5.0,12.0,8.0,11.0,31.0,28.0,2.0,10.0,32.0,20.0,26.0,24.0,27.0,23.0,17.0,37.0
463,0.0,2.0,1.0,6.0,3.0,15.0,8.0,4.0,7.0,9.0,26.0,10.0,33.0,38.0,11.0,5.0,12.0,29.0,18.0,28.0,21.0,25.0,20.0,45.0,24.0,19.0,14.0,32.0,23.0,41.0
512,0.0,3.0,12.0,1.0,23.0,17.0,5.0,13.0,44.0,10.0,14.0,11.0,19.0,4.0,21.0,9.0,6.0,26.0,2.0,18.0,22.0,15.0,7.0,25.0,16.0,31.0,20.0,28.0,27.0,45.0
561,0.0,1.0,5.0,2.0,31.0,7.0,4.0,18.0,23.0,10.0,24.0,32.0,20.0,3.0,36.0,13.0,15.0,17.0,12.0,39.0,25.0,28.0,8.0,11.0,14.0,26.0,16.0,30.0,22.0,40.0
610,2.0,0.0,4.0,1.0,20.0,6.0,5.0,25.0,44.0,13.0,12.0,10.0,24.0,8.0,38.0,21.0,14.0,27.0,3.0,33.0,49.0,11.0,7.0,26.0,18.0,29.0,9.0,16.0,34.0,17.0
659,1.0,0.0,6.0,2.0,10.0,27.0,17.0,9.0,31.0,19.0,7.0,16.0,14.0,12.0,22.0,42.0,13.0,29.0,8.0,40.0,33.0,4.0,3.0,15.0,5.0,24.0,18.0,25.0,32.0,28.0
708,7.0,0.0,3.0,1.0,11.0,6.0,21.0,27.0,36.0,2.0,17.0,22.0,31.0,13.0,44.0,34.0,20.0,19.0,5.0,9.0,48.0,23.0,14.0,28.0,15.0,4.0,30.0,33.0,8.0,10.0
757,5.0,2.0,0.0,3.0,21.0,9.0,1.0,6.0,33.0,4.0,36.0,18.0,27.0,10.0,35.0,26.0,17.0,16.0,7.0,15.0,42.0,25.0,8.0,32.0,29.0,14.0,19.0,23.0,12.0,22.0
806,2.0,0.0,4.0,1.0,12.0,9.0,3.0,13.0,22.0,14.0,15.0,24.0,21.0,7.0,34.0,28.0,35.0,6.0,10.0,49.0,51.0,17.0,5.0,20.0,11.0,33.0,29.0,27.0,18.0,19.0
855,5.0,2.0,1.0,0.0,30.0,6.0,3.0,34.0,8.0,13.0,28.0,10.0,7.0,20.0,16.0,23.0,24.0,37.0,14.0,40.0,19.0,39.0,4.0,29.0,41.0,36.0,17.0,22.0,11.0,25.0
904,0.0,2.0,6.0,1.0,29.0,16.0,3.0,11.0,15.0,18.0,23.0,19.0,13.0,7.0,30.0,10.0,4.0,26.0,5.0,14.0,27.0,12.0,9.0,24.0,8.0,43.0,39.0,17.0,32.0,52.0
953,3.0,0.0,8.0,1.0,17.0,6.0,5.0,4.0,18.0,10.0,21.0,19.0,30.0,2.0,26.0,37.0,14.0,11.0,7.0,40.0,23.0,20.0,9.0,24.0,16.0,39.0,35.0,25.0,29.0,22.0
1002,2.0,0.0,3.0,1.0,13.0,14.0,12.0,34.0,23.0,10.0,8.0,19.0,24.0,15.0,31.0,5.0,36.0,35.0,4.0,6.0,18.0,38.0,28.0,7.0,16.0,9.0,29.0,30.0,11.0,21.0
1051,1.0,0.0,2.0,3.0,7.0,16.0,24.0,26.0,11.0,12.0,14.0,25.0,6.0,5.0,21.0,28.0,23.0,27.0,13.0,17.0,19.0,38.0,43.0,22.0,10.0,4.0,20.0,37.0,8.0,9.0
1100,0.0,2.0,1.0,3.0,6.0,51.0,27.0,37.0,17.0,8.0,10.0,12.0,7.0,20.0,25.0,29.0,13.0,32.0,14.0,11.0,31.0,30.0,22.0,21.0,9.0,4.0,16.0,35.0,5.0,19.0
1149,3.0,0.0,1.0,2.0,6.0,35.0,9.0,19.0,8.0,12.0,23.0,22.0,16.0,13.0,17.0,11.0,43.0,29.0,4.0,14.0,21.0,30.0,15.0,31.0,7.0,5.0,27.0,50.0,10.0,18.0
1198,4.0,0.0,2.0,3.0,17.0,13.0,21.0,22.0,23.0,7.0,12.0,19.0,6.0,20.0,37.0,10.0,25.0,27.0,26.0,16.0,24.0,30.0,35.0,9.0,1.0,5.0,15.0,46.0,8.0,14.0
1247,6.0,0.0,2.0,1.0,16.0,20.0,5.0,24.0,17.0,18.0,14.0,12.0,19.0,10.0,41.0,7.0,25.0,51.0,4.0,11.0,28.0,21.0,22.0,9.0,8.0,3.0,26.0,43.0,15.0,13.0
1296,6.0,0.0,5.0,1.0,21.0,36.0,7.0,30.0,25.0,18.0,13.0,19.0,11.0,38.0,23.0,16.0,15.0,49.0,14.0,12.0,32.0,22.0,9.0,17.0,8.0,3.0,20.0,54.0,4.0,34.0
1345,9.0,18.0,0.0,1.0,2.0,20.0,17.0,23.0,21.0,8.0,6.0,5.0,10.0,16.0,24.0,3.0,15.0,35.0,4.0,13.0,19.0,39.0,22.0,14.0,11.0,12.0,7.0,42.0,31.0,30.0
1394,12.0,0.0,2.0,1.0,24.0,17.0,13.0,29.0,14.0,10.0,16.0,26.0,6.0,9.0,38.0,21.0,36.0,28.0,8.0,7.0,20.0,39.0,35.0,18.0,19.0,3.0,32.0,41.0,4.0,11.0
1443,4.0,2.0,0.0,1.0,7.0,5.0,3.0,24.0,8.0,9.0,6.0,35.0,13.0,21.0,32.0,27.0,29.0,20.0,15.0,18.0,44.0,14.0,26.0,22.0,28.0,10.0,11.0,39.0,12.0,16.0
1492,2.0,1.0,4.0,0.0,3.0,12.0,43.0,10.0,5.0,11.0,7.0,20.0,18.0,36.0,14.0,21.0,15.0,6.0,37.0,13.0,32.0,17.0,8.0,34.0,22.0,30.0,23.0,33.0,24.0,26.0
1541,1.0,2.0,3.0,0.0,4.0,13.0,17.0,25.0,8.0,14.0,9.0,10.0,20.0,23.0,16.0,27.0,34.0,12.0,5.0,6.0,19.0,32.0,38.0,11.0,18.0,42.0,7.0,37.0,26.0,29.0
1590,1.0,0.0,2.0,4.0,14.0,18.0,49.0,26.0,3.0,6.0,15.0,7.0,25.0,17.0,5.0,16.0,22.0,10.0,45.0,8.0,29.0,11.0,24.0,19.0,20.0,27.0,30.0,12.0,9.0,23.0
1639,0.0,1.0,3.0,2.0,11.0,9.0,38.0,7.0,4.0,5.0,14.0,13.0,8.0,20.0,18.0,17.0,23.0,6.0,31.0,10.0,16.0,12.0,21.0,30.0,15.0,24.0,36.0,19.0,27.0,41.0
1688,0.0,1.0,2.0,4.0,13.0,3.0,36.0,11.0,19.0,5.0,24.0,16.0,27.0,18.0,12.0,23.0,21.0,6.0,30.0,7.0,17.0,8.0,20.0,9.0,32.0,29.0,37.0,10.0,42.0,26.0
1737,3.0,0.0,2.0,1.0,12.0,17.0,6.0,13.0,8.0,4.0,11.0,16.0,23.0,14.0,9.0,5.0,43.0,7.0,25.0,10.0,31.0,20.0,49.0,18.0,22.0,15.0,35.0,19.0,21.0,44.0
1786,0.0,1.0,2.0,3.0,6.0,9.0,14.0,21.0,5.0,4.0,16.0,13.0,7.0,8.0,17.0,22.0,28.0,10.0,32.0,15.0,49.0,12.0,20.0,43.0,18.0,24.0,29.0,25.0,27.0,30.0
1835,0.0,1.0,3.0,2.0,17.0,4.0,20.0,7.0,21.0,11.0,16.0,13.0,8.0,9.0,19.0,5.0,10.0,14.0,26.0,6.0,33.0,12.0,15.0,27.0,22.0,30.0,36.0,35.0,34.0,45.0
1884,2.0,1.0,3.0,0.0,5.0,15.0,17.0,12.0,10.0,7.0,9.0,14.0,27.0,6.0,19.0,13.0,40.0,4.0,16.0,20.0,18.0,11.0,8.0,38.0,26.0,22.0,24.0,47.0,23.0,31.0
1933,3.0,2.0,0.0,1.0,6.0,9.0,14.0,7.0,5.0,4.0,18.0,17.0,23.0,13.0,10.0,12.0,43.0,21.0,19.0,16.0,20.0,24.0,28.0,22.0,40.0,11.0,8.0,45.0,31.0,15.0
1982,0.0,2.0,1.0,3.0,25.0,6.0,15.0,20.0,7.0,14.0,10.0,27.0,24.0,19.0,8.0,32.0,23.0,12.0,22.0,13.0,9.0,17.0,30.0,11.0,43.0,4.0,36.0,21.0,26.0,5.0
2031,2.0,4.0,0.0,1.0,5.0,3.0,13.0,6.0,12.0,31.0,14.0,26.0,22.0,15.0,11.0,21.0,29.0,17.0,16.0,25.0,18.0,9.0,23.0,46.0,36.0,8.0,10.0,43.0,24.0,7.0
2080,2.0,0.0,7.0,3.0,4.0,6.0,43.0,14.0,5.0,18.0,13.0,17.0,12.0,19.0,9.0,32.0,33.0,11.0,27.0,10.0,1.0,29.0,8.0,44.0,49.0,22.0,30.0,35.0,31.0,24.0
2129,0.0,2.0,1.0,6.0,4.0,8.0,10.0,5.0,9.0,15.0,7.0,27.0,35.0,23.0,12.0,19.0,34.0,11.0,31.0,22.0,25.0,3.0,33.0,17.0,28.0,32.0,14.0,30.0,16.0,18.0
2178,0.0,2.0,4.0,1.0,3.0,10.0,5.0,23.0,6.0,19.0,20.0,41.0,24.0,9.0,11.0,14.0,36.0,7.0,13.0,15.0,8.0,18.0,12.0,21.0,30.0,22.0,26.0,38.0,25.0,28.0
2227,0.0,3.0,2.0,1.0,4.0,8.0,13.0,16.0,12.0,28.0,14.0,21.0,33.0,11.0,23.0,39.0,15.0,29.0,7.0,5.0,27.0,24.0,25.0,18.0,46.0,6.0,9.0,31.0,20.0,19.0
2276,0.0,3.0,1.0,5.0,2.0,4.0,19.0,9.0,8.0,14.0,12.0,33.0,18.0,13.0,17.0,16.0,23.0,11.0,26.0,10.0,6.0,24.0,30.0,31.0,39.0,7.0,28.0,21.0,15.0,20.0
2325,0.0,5.0,10.0,2.0,3.0,1.0,9.0,21.0,11.0,22.0,6.0,16.0,31.0,14.0,4.0,12.0,23.0,13.0,15.0,30.0,7.0,8.0,28.0,24.0,45.0,26.0,34.0,42.0,27.0,35.0
2374,1.0,0.0,2.0,3.0,4.0,7.0,9.0,11.0,10.0,8.0,5.0,18.0,15.0,24.0,6.0,29.0,23.0,22.0,12.0,16.0,14.0,21.0,50.0,26.0,39.0,25.0,41.0,28.0,17.0,37.0
2423,0.0,3.0,1.0,4.0,10.0,2.0,5.0,11.0,8.0,9.0,7.0,27.0,18.0,17.0,21.0,35.0,19.0,16.0,22.0,28.0,38.0,25.0,13.0,41.0,46.0,14.0,12.0,24.0,32.0,20.0
2472,0.0,32.0,1.0,2.0,6.0,3.0,16.0,21.0,7.0,10.0,15.0,4.0,25.0,18.0,8.0,19.0,24.0,5.0,23.0,33.0,9.0,17.0,49.0,11.0,35.0,30.0,12.0,37.0,22.0,34.0
2521,0.0,17.0,2.0,1.0,3.0,21.0,25.0,11.0,15.0,23.0,4.0,9.0,26.0,14.0,31.0,16.0,13.0,30.0,6.0,24.0,19.0,44.0,40.0,8.0,27.0,28.0,5.0,7.0,48.0,18.0
2570,0.0,8.0,1.0,3.0,2.0,23.0,9.0,4.0,13.0,6.0,11.0,12.0,29.0,16.0,21.0,30.0,5.0,7.0,20.0,17.0,10.0,38.0,32.0,14.0,24.0,15.0,19.0,18.0,28.0,26.0
2619,0.0,16.0,3.0,4.0,2.0,1.0,19.0,8.0,17.0,12.0,5.0,32.0,10.0,9.0,14.0,28.0,30.0,7.0,22.0,24.0,26.0,13.0,43.0,27.0,23.0,15.0,11.0,18.0,33.0,6.0
2668,0.0,13.0,1.0,2.0,3.0,9.0,27.0,6.0,4.0,5.0,16.0,21.0,14.0,11.0,23.0,25.0,17.0,7.0,15.0,31.0,8.0,18.0,35.0,12.0,19.0,24.0,10.0,26.0,38.0,20.0
2717,0.0,10.0,1.0,3.0,2.0,14.0,7.0,6.0,11.0,4.0,8.0,5.0,18.0,28.0,25.0,24.0,17.0,16.0,30.0,26.0,12.0,33.0,38.0,13.0,22.0,19.0,9.0,21.0,45.0,15.0
2766,0.0,4.0,1.0,2.0,3.0,7.0,11.0,5.0,6.0,23.0,17.0,9.0,28.0,13.0,37.0,8.0,19.0,25.0,15.0,43.0,24.0,22.0,41.0,20.0,14.0,21.0,10.0,27.0,34.0,16.0
2815,0.0,6.0,3.0,2.0,1.0,4.0,31.0,11.0,5.0,14.0,13.0,9.0,30.0,23.0,15.0,43.0,19.0,8.0,24.0,26.0,7.0,10.0,32.0,22.0,27.0,20.0,12.0,29.0,25.0,18.0
2864,0.0,4.0,3.0,1.0,2.0,5.0,28.0,15.0,12.0,9.0,19.0,16.0,13.0,7.0,8.0,44.0,6.0,17.0,21.0,33.0,14.0,35.0,34.0,24.0,11.0,31.0,18.0,26.0,27.0,40.0
2913,0.0,9.0,1.0,2.0,3.0,6.0,4.0,8.0,17.0,12.0,5.0,24.0,29.0,14.0,45.0,35.0,27.0,7.0,21.0,10.0,22.0,36.0,52.0,11.0,23.0,13.0,16.0,15.0,25.0,19.0
2962,1.0,4.0,5.0,2.0,0.0,16.0,6.0,3.0,12.0,15.0,9.0,11.0,10.0,23.0,7.0,14.0,13.0,22.0,37.0,26.0,8.0,36.0,31.0,24.0,21.0,34.0,35.0,38.0,27.0,46.0
3011,2.0,1.0,7.0,0.0,3.0,21.0,14.0,6.0,4.0,27.0,8.0,12.0,9.0,11.0,16.0,5.0,19.0,20.0,17.0,34.0,49.0,35.0,15.0,10.0,22.0,26.0,24.0,29.0,28.0,33.0
3060,2.0,1.0,3.0,5.0,0.0,19.0,27.0,8.0,4.0,22.0,6.0,16.0,7.0,18.0,24.0,21.0,15.0,25.0,30.0,26.0,13.0,17.0,35.0,9.0,12.0,23.0,50.0,32.0,14.0,52.0
3109,0.0,2.0,4.0,7.0,1.0,5.0,11.0,3.0,6.0,17.0,16.0,10.0,14.0,28.0,15.0,29.0,20.0,25.0,31.0,34.0,18.0,21.0,49.0,33.0,24.0,37.0,40.0,12.0,36.0,13.0
3158,0.0,10.0,2.0,5.0,1.0,7.0,17.0,3.0,6.0,19.0,4.0,8.0,11.0,25.0,16.0,9.0,33.0,15.0,21.0,34.0,20.0,14.0,36.0,13.0,12.0,22.0,26.0,41.0,29.0,32.0
3207,1.0,5.0,0.0,4.0,2.0,15.0,8.0,9.0,13.0,7.0,6.0,20.0,17.0,31.0,23.0,10.0,18.0,12.0,24.0,26.0,11.0,34.0,14.0,19.0,16.0,43.0,21.0,29.0,33.0,40.0
3256,1.0,11.0,2.0,4.0,0.0,5.0,8.0,3.0,7.0,17.0,10.0,16.0,6.0,19.0,13.0,24.0,9.0,14.0,30.0,31.0,20.0,21.0,28.0,23.0,26.0,40.0,15.0,22.0,44.0,38.0
3305,6.0,1.0,7.0,3.0,0.0,4.0,28.0,2.0,5.0,29.0,20.0,14.0,9.0,35.0,21.0,18.0,8.0,17.0,24.0,41.0,15.0,23.0,16.0,11.0,13.0,25.0,31.0,10.0,34.0,40.0
3354,3.0,2.0,9.0,1.0,0.0,4.0,40.0,10.0,5.0,14.0,6.0,18.0,7.0,25.0,29.0,13.0,23.0,27.0,12.0,19.0,15.0,16.0,34.0,22.0,32.0,28.0,35.0,42.0,47.0,26.0
