,ebv-miR-BART8,hsa-miR-22,hsa-miR-1978,hsa-miR-1299,hsa-miR-548d-3p,ebv-miR-BART19-5p,hsa-miR-1183,hsv2-miR-H4-5p,ebv-miR-BART18-3p,ebv-miR-BART12,hsa-miR-663,hsa-miR-216a,hsa-miR-890,hsa-miR-200a,hsa-miR-661,hsa-miR-632,hsa-miR-520c-3p,hsa-miR-512-3p,hsa-miR-1294,hsa-miR-21,hsa-miR-140-5p,hsa-miR-384,hsa-miR-96,hsa-miR-210,hsa-miR-591,hsa-miR-934,hsa-miR-625,hsa-miR-133b,hsa-miR-323-5p,hsa-miR-671-5p
1141,0.0,394.0,118.0,7.0,3.0,4.0,94.0,8.0,62.0,1.0,161.0,27.0,48.0,152.0,234.0,12.0,628.0,186.0,9.0,26.0,262.0,21.0,257.0,173.0,15.0,2.0,5.0,10.0,14.0,82.0
1190,0.0,9.0,220.0,24.0,2.0,27.0,71.0,20.0,1.0,3.0,239.0,42.0,6.0,314.0,46.0,8.0,318.0,148.0,36.0,95.0,70.0,10.0,33.0,77.0,22.0,11.0,13.0,109.0,19.0,159.0
1239,0.0,82.0,499.0,278.0,1.0,17.0,20.0,2.0,12.0,9.0,37.0,29.0,8.0,6.0,69.0,11.0,92.0,272.0,4.0,27.0,232.0,16.0,235.0,241.0,39.0,13.0,167.0,134.0,28.0,79.0
1288,1.0,8.0,135.0,72.0,202.0,73.0,343.0,0.0,218.0,33.0,246.0,24.0,13.0,35.0,451.0,19.0,64.0,377.0,5.0,36.0,41.0,16.0,4.0,29.0,17.0,144.0,3.0,2.0,12.0,227.0
1337,0.0,13.0,56.0,49.0,101.0,188.0,497.0,10.0,6.0,88.0,273.0,248.0,20.0,125.0,73.0,15.0,221.0,106.0,18.0,8.0,374.0,11.0,9.0,16.0,596.0,39.0,7.0,156.0,22.0,66.0
1386,8.0,0.0,4.0,52.0,26.0,24.0,102.0,93.0,48.0,2.0,41.0,248.0,76.0,123.0,11.0,14.0,94.0,510.0,60.0,82.0,9.0,6.0,43.0,19.0,306.0,5.0,17.0,30.0,1.0,198.0
1435,1.0,24.0,22.0,7.0,287.0,15.0,36.0,6.0,42.0,3.0,230.0,21.0,440.0,8.0,5.0,26.0,14.0,603.0,531.0,4.0,9.0,493.0,73.0,85.0,44.0,277.0,0.0,77.0,80.0,492.0
1484,0.0,120.0,10.0,491.0,68.0,232.0,3.0,34.0,268.0,254.0,50.0,280.0,54.0,7.0,174.0,9.0,40.0,65.0,53.0,18.0,25.0,1.0,258.0,74.0,415.0,57.0,56.0,177.0,84.0,61.0
1533,0.0,61.0,3.0,44.0,45.0,1.0,11.0,48.0,39.0,189.0,8.0,174.0,21.0,121.0,214.0,277.0,63.0,143.0,166.0,270.0,142.0,308.0,35.0,94.0,339.0,9.0,100.0,7.0,216.0,16.0
1582,0.0,85.0,34.0,33.0,26.0,14.0,1.0,202.0,2.0,80.0,8.0,10.0,41.0,83.0,61.0,17.0,468.0,115.0,123.0,4.0,89.0,21.0,193.0,3.0,262.0,349.0,212.0,138.0,25.0,46.0
1631,0.0,9.0,3.0,13.0,34.0,518.0,26.0,15.0,2.0,22.0,1.0,4.0,10.0,43.0,201.0,21.0,28.0,32.0,215.0,5.0,181.0,449.0,123.0,133.0,85.0,110.0,180.0,73.0,35.0,90.0
1680,0.0,26.0,32.0,33.0,12.0,440.0,38.0,30.0,158.0,48.0,9.0,236.0,67.0,8.0,2.0,13.0,573.0,21.0,147.0,34.0,35.0,5.0,349.0,111.0,184.0,17.0,132.0,68.0,93.0,216.0
1729,0.0,5.0,3.0,25.0,52.0,21.0,264.0,17.0,106.0,24.0,6.0,59.0,29.0,250.0,94.0,10.0,193.0,2.0,68.0,83.0,38.0,28.0,129.0,219.0,80.0,87.0,12.0,8.0,113.0,397.0
1778,0.0,16.0,1.0,8.0,63.0,55.0,33.0,48.0,500.0,13.0,2.0,547.0,12.0,3.0,9.0,401.0,315.0,330.0,142.0,25.0,21.0,54.0,7.0,276.0,202.0,17.0,34.0,535.0,84.0,592.0
1827,0.0,3.0,1.0,7.0,2.0,11.0,14.0,101.0,111.0,143.0,5.0,193.0,356.0,21.0,4.0,18.0,95.0,30.0,465.0,9.0,85.0,22.0,110.0,102.0,240.0,79.0,6.0,40.0,150.0,195.0
1876,0.0,2.0,4.0,73.0,32.0,43.0,33.0,396.0,170.0,217.0,5.0,68.0,77.0,115.0,8.0,10.0,148.0,6.0,260.0,17.0,270.0,23.0,317.0,341.0,319.0,331.0,14.0,51.0,80.0,294.0
1925,0.0,30.0,9.0,47.0,61.0,23.0,46.0,33.0,13.0,36.0,1.0,65.0,21.0,7.0,2.0,27.0,83.0,3.0,71.0,11.0,124.0,118.0,72.0,12.0,477.0,5.0,43.0,85.0,284.0,38.0
1974,0.0,2.0,405.0,19.0,215.0,3.0,53.0,127.0,28.0,267.0,108.0,221.0,11.0,40.0,7.0,78.0,26.0,57.0,13.0,239.0,63.0,10.0,6.0,147.0,102.0,29.0,64.0,16.0,402.0,1.0
2023,0.0,5.0,152.0,19.0,14.0,31.0,36.0,468.0,287.0,2.0,137.0,45.0,1.0,189.0,9.0,13.0,30.0,4.0,42.0,276.0,342.0,12.0,8.0,171.0,54.0,586.0,125.0,89.0,46.0,3.0
2072,0.0,3.0,424.0,457.0,1.0,35.0,21.0,136.0,47.0,23.0,256.0,37.0,5.0,10.0,8.0,40.0,79.0,15.0,269.0,358.0,6.0,137.0,2.0,357.0,14.0,120.0,127.0,7.0,225.0,4.0
2121,0.0,16.0,123.0,18.0,26.0,41.0,8.0,150.0,107.0,239.0,67.0,235.0,4.0,7.0,9.0,27.0,20.0,25.0,29.0,261.0,45.0,155.0,2.0,63.0,21.0,75.0,10.0,12.0,5.0,3.0
2170,0.0,3.0,288.0,32.0,36.0,25.0,10.0,260.0,67.0,449.0,576.0,49.0,21.0,19.0,22.0,130.0,2.0,9.0,95.0,162.0,7.0,58.0,1.0,60.0,8.0,54.0,47.0,51.0,68.0,12.0
2219,0.0,3.0,137.0,68.0,92.0,16.0,41.0,87.0,94.0,86.0,160.0,113.0,125.0,38.0,48.0,165.0,14.0,2.0,18.0,42.0,21.0,70.0,4.0,158.0,255.0,25.0,36.0,11.0,287.0,9.0
2268,1.0,3.0,111.0,55.0,60.0,36.0,62.0,35.0,160.0,142.0,99.0,40.0,21.0,27.0,12.0,133.0,5.0,202.0,302.0,414.0,247.0,94.0,2.0,8.0,47.0,458.0,141.0,0.0,154.0,71.0
2317,2.0,0.0,33.0,40.0,78.0,71.0,12.0,524.0,238.0,155.0,8.0,17.0,6.0,38.0,73.0,352.0,7.0,65.0,506.0,96.0,475.0,272.0,1.0,136.0,61.0,137.0,186.0,63.0,254.0,36.0
2366,0.0,1.0,296.0,22.0,255.0,9.0,198.0,5.0,184.0,32.0,58.0,382.0,157.0,161.0,54.0,45.0,81.0,470.0,25.0,2.0,221.0,308.0,3.0,74.0,97.0,263.0,10.0,8.0,519.0,4.0
2415,2.0,0.0,249.0,252.0,25.0,23.0,29.0,16.0,113.0,30.0,41.0,12.0,63.0,80.0,99.0,108.0,21.0,90.0,26.0,1.0,50.0,91.0,8.0,49.0,62.0,36.0,11.0,7.0,237.0,4.0
2464,0.0,36.0,22.0,1.0,17.0,13.0,227.0,354.0,4.0,538.0,5.0,2.0,100.0,478.0,47.0,37.0,62.0,408.0,15.0,51.0,19.0,289.0,66.0,140.0,360.0,86.0,57.0,48.0,224.0,97.0
2513,1.0,2.0,144.0,7.0,58.0,122.0,8.0,61.0,3.0,298.0,5.0,0.0,52.0,95.0,574.0,72.0,199.0,402.0,287.0,43.0,60.0,16.0,6.0,528.0,63.0,9.0,32.0,335.0,121.0,42.0
2562,0.0,73.0,10.0,7.0,19.0,201.0,8.0,61.0,28.0,285.0,3.0,1.0,4.0,134.0,78.0,24.0,18.0,9.0,2.0,49.0,5.0,44.0,136.0,70.0,11.0,51.0,205.0,48.0,484.0,65.0
2611,7.0,8.0,15.0,10.0,49.0,101.0,12.0,150.0,0.0,377.0,1.0,2.0,23.0,206.0,6.0,35.0,96.0,186.0,118.0,20.0,46.0,216.0,121.0,175.0,22.0,29.0,267.0,11.0,396.0,442.0
2660,2.0,103.0,11.0,1.0,13.0,17.0,221.0,8.0,5.0,113.0,0.0,12.0,91.0,28.0,207.0,47.0,266.0,151.0,4.0,216.0,56.0,85.0,278.0,54.0,214.0,402.0,253.0,27.0,25.0,39.0
2709,2.0,1.0,10.0,3.0,71.0,117.0,11.0,152.0,14.0,46.0,5.0,0.0,15.0,31.0,80.0,147.0,192.0,8.0,51.0,481.0,101.0,7.0,76.0,63.0,64.0,22.0,427.0,26.0,110.0,37.0
2758,0.0,42.0,43.0,1.0,262.0,11.0,12.0,545.0,3.0,163.0,4.0,5.0,143.0,71.0,14.0,35.0,122.0,66.0,243.0,258.0,95.0,45.0,8.0,37.0,179.0,16.0,315.0,223.0,399.0,144.0
2807,0.0,26.0,1.0,2.0,60.0,23.0,42.0,49.0,5.0,344.0,10.0,129.0,96.0,203.0,11.0,6.0,240.0,143.0,25.0,16.0,386.0,24.0,40.0,78.0,3.0,74.0,261.0,9.0,155.0,85.0
2856,0.0,11.0,14.0,6.0,9.0,129.0,3.0,7.0,122.0,87.0,15.0,34.0,17.0,20.0,13.0,150.0,12.0,89.0,557.0,167.0,2.0,28.0,108.0,101.0,59.0,26.0,201.0,25.0,42.0,29.0
2905,7.0,116.0,321.0,0.0,11.0,25.0,5.0,381.0,3.0,54.0,6.0,1.0,9.0,39.0,8.0,31.0,13.0,52.0,93.0,36.0,425.0,77.0,29.0,559.0,72.0,43.0,258.0,90.0,179.0,49.0
2954,2.0,9.0,575.0,18.0,58.0,16.0,21.0,35.0,33.0,8.0,37.0,3.0,0.0,477.0,1.0,552.0,6.0,29.0,187.0,47.0,144.0,77.0,271.0,5.0,182.0,80.0,194.0,71.0,135.0,298.0
3003,0.0,5.0,4.0,60.0,1.0,2.0,10.0,500.0,238.0,172.0,134.0,103.0,14.0,566.0,3.0,17.0,217.0,9.0,11.0,389.0,376.0,383.0,12.0,89.0,18.0,271.0,25.0,357.0,36.0,34.0
3052,0.0,283.0,18.0,6.0,3.0,277.0,37.0,1.0,47.0,58.0,82.0,145.0,5.0,125.0,52.0,80.0,57.0,133.0,245.0,520.0,50.0,15.0,116.0,19.0,38.0,81.0,138.0,227.0,40.0,24.0
3101,0.0,210.0,62.0,24.0,1.0,65.0,128.0,2.0,48.0,5.0,7.0,417.0,223.0,527.0,34.0,110.0,106.0,4.0,23.0,367.0,47.0,21.0,90.0,22.0,212.0,53.0,214.0,370.0,3.0,542.0
3150,0.0,43.0,210.0,410.0,3.0,222.0,5.0,26.0,74.0,35.0,4.0,109.0,85.0,41.0,18.0,154.0,221.0,40.0,8.0,493.0,87.0,44.0,569.0,585.0,10.0,138.0,341.0,342.0,9.0,107.0
3199,0.0,62.0,14.0,11.0,59.0,5.0,430.0,2.0,43.0,22.0,7.0,238.0,144.0,118.0,75.0,83.0,16.0,624.0,50.0,333.0,63.0,86.0,374.0,51.0,6.0,565.0,627.0,10.0,285.0,202.0
3248,2.0,38.0,71.0,65.0,89.0,22.0,360.0,1.0,141.0,62.0,7.0,475.0,457.0,70.0,6.0,59.0,109.0,310.0,3.0,14.0,9.0,338.0,27.0,18.0,42.0,119.0,500.0,275.0,33.0,11.0
3297,6.0,161.0,162.0,82.0,3.0,49.0,274.0,10.0,491.0,8.0,117.0,281.0,102.0,17.0,2.0,368.0,74.0,11.0,16.0,453.0,85.0,95.0,56.0,122.0,67.0,272.0,55.0,81.0,20.0,123.0
3346,2.0,297.0,62.0,262.0,5.0,28.0,256.0,23.0,403.0,1.0,77.0,25.0,244.0,17.0,35.0,54.0,59.0,108.0,6.0,500.0,49.0,37.0,8.0,19.0,33.0,163.0,516.0,89.0,43.0,14.0
3395,161.0,270.0,3.0,38.0,0.0,7.0,124.0,371.0,344.0,9.0,26.0,307.0,79.0,73.0,50.0,106.0,66.0,163.0,28.0,23.0,108.0,8.0,437.0,2.0,6.0,250.0,415.0,229.0,362.0,48.0
3444,1.0,36.0,0.0,79.0,18.0,140.0,2.0,5.0,95.0,4.0,92.0,16.0,197.0,35.0,81.0,29.0,126.0,217.0,297.0,532.0,131.0,24.0,12.0,182.0,116.0,44.0,8.0,9.0,207.0,506.0
3493,9.0,178.0,58.0,6.0,262.0,34.0,0.0,20.0,25.0,2.0,115.0,11.0,81.0,41.0,5.0,172.0,131.0,56.0,203.0,114.0,57.0,45.0,105.0,86.0,93.0,370.0,154.0,1.0,231.0,567.0
3542,12.0,2.0,115.0,9.0,57.0,35.0,0.0,46.0,134.0,10.0,13.0,7.0,28.0,180.0,6.0,31.0,162.0,315.0,80.0,171.0,248.0,110.0,20.0,342.0,317.0,207.0,186.0,49.0,376.0,53.0
3591,59.0,0.0,10.0,57.0,185.0,22.0,1.0,3.0,34.0,4.0,120.0,2.0,16.0,63.0,79.0,14.0,30.0,35.0,480.0,76.0,31.0,55.0,54.0,11.0,72.0,197.0,24.0,9.0,294.0,74.0
3640,4.0,20.0,19.0,444.0,33.0,262.0,0.0,13.0,45.0,2.0,94.0,31.0,87.0,126.0,1.0,15.0,43.0,38.0,23.0,190.0,5.0,81.0,29.0,234.0,514.0,71.0,25.0,10.0,529.0,63.0
3689,4.0,214.0,123.0,83.0,286.0,543.0,0.0,5.0,9.0,1.0,13.0,237.0,216.0,8.0,3.0,15.0,458.0,74.0,267.0,255.0,49.0,604.0,18.0,53.0,23.0,68.0,171.0,2.0,134.0,113.0
3738,27.0,13.0,7.0,337.0,12.0,106.0,0.0,1.0,3.0,64.0,34.0,22.0,55.0,161.0,30.0,84.0,242.0,73.0,102.0,454.0,507.0,131.0,132.0,207.0,167.0,17.0,14.0,38.0,16.0,24.0
3787,39.0,135.0,392.0,388.0,75.0,185.0,21.0,86.0,16.0,5.0,12.0,73.0,177.0,132.0,15.0,53.0,534.0,101.0,243.0,628.0,369.0,1.0,97.0,103.0,59.0,26.0,67.0,6.0,32.0,29.0
3836,4.0,11.0,20.0,51.0,101.0,92.0,10.0,6.0,1.0,13.0,0.0,3.0,27.0,498.0,22.0,106.0,176.0,320.0,141.0,347.0,235.0,298.0,440.0,52.0,17.0,91.0,131.0,19.0,43.0,307.0
3885,33.0,4.0,6.0,51.0,251.0,26.0,9.0,219.0,0.0,23.0,5.0,65.0,89.0,47.0,16.0,245.0,74.0,86.0,60.0,62.0,423.0,75.0,265.0,249.0,585.0,56.0,235.0,3.0,13.0,105.0
3934,0.0,8.0,25.0,552.0,11.0,364.0,5.0,54.0,64.0,44.0,68.0,151.0,3.0,4.0,512.0,6.0,399.0,2.0,81.0,171.0,15.0,41.0,124.0,27.0,145.0,146.0,197.0,237.0,89.0,259.0
3983,0.0,29.0,72.0,89.0,46.0,20.0,9.0,60.0,507.0,7.0,1.0,40.0,16.0,6.0,77.0,76.0,280.0,4.0,74.0,382.0,41.0,101.0,8.0,135.0,537.0,195.0,97.0,182.0,31.0,230.0
4032,32.0,6.0,13.0,225.0,23.0,139.0,21.0,1.0,8.0,12.0,5.0,49.0,128.0,130.0,68.0,16.0,33.0,3.0,57.0,0.0,61.0,78.0,266.0,4.0,505.0,38.0,94.0,191.0,167.0,182.0
4081,0.0,7.0,23.0,290.0,6.0,622.0,9.0,44.0,257.0,42.0,19.0,230.0,10.0,15.0,171.0,31.0,241.0,20.0,265.0,100.0,250.0,40.0,194.0,12.0,428.0,92.0,63.0,124.0,28.0,125.0
4130,1.0,2.0,48.0,28.0,12.0,155.0,64.0,120.0,99.0,277.0,93.0,10.0,9.0,14.0,75.0,29.0,95.0,26.0,40.0,67.0,103.0,5.0,215.0,153.0,466.0,432.0,22.0,176.0,4.0,324.0
4179,0.0,2.0,39.0,54.0,27.0,82.0,32.0,11.0,16.0,15.0,572.0,198.0,92.0,19.0,60.0,277.0,212.0,18.0,296.0,66.0,155.0,49.0,380.0,43.0,123.0,61.0,271.0,74.0,37.0,226.0
4228,0.0,119.0,248.0,234.0,10.0,88.0,56.0,36.0,26.0,1.0,335.0,121.0,44.0,12.0,24.0,221.0,166.0,27.0,29.0,9.0,39.0,14.0,236.0,310.0,415.0,222.0,37.0,193.0,25.0,17.0
4277,10.0,17.0,9.0,75.0,36.0,121.0,226.0,214.0,161.0,1.0,207.0,240.0,20.0,3.0,54.0,507.0,40.0,14.0,156.0,125.0,117.0,0.0,250.0,19.0,501.0,31.0,510.0,124.0,7.0,58.0
4326,2.0,53.0,4.0,408.0,1.0,18.0,270.0,93.0,0.0,3.0,332.0,89.0,7.0,31.0,17.0,557.0,76.0,143.0,536.0,22.0,19.0,6.0,308.0,9.0,14.0,73.0,21.0,436.0,67.0,64.0
4375,0.0,28.0,13.0,150.0,9.0,263.0,566.0,40.0,2.0,1.0,185.0,29.0,61.0,10.0,109.0,568.0,15.0,101.0,364.0,47.0,277.0,198.0,356.0,39.0,5.0,363.0,116.0,247.0,41.0,134.0
4424,0.0,4.0,5.0,78.0,31.0,9.0,119.0,24.0,159.0,6.0,22.0,3.0,57.0,299.0,60.0,367.0,11.0,347.0,42.0,63.0,336.0,260.0,70.0,2.0,37.0,251.0,32.0,161.0,175.0,30.0
4473,0.0,1.0,9.0,49.0,4.0,263.0,181.0,70.0,39.0,88.0,3.0,73.0,46.0,36.0,14.0,146.0,5.0,10.0,149.0,414.0,189.0,268.0,6.0,15.0,55.0,164.0,103.0,80.0,66.0,48.0
4522,0.0,20.0,4.0,8.0,1.0,10.0,65.0,13.0,9.0,370.0,12.0,384.0,24.0,22.0,108.0,97.0,2.0,33.0,126.0,52.0,164.0,178.0,42.0,122.0,74.0,118.0,29.0,274.0,92.0,157.0
4571,0.0,6.0,2.0,1.0,4.0,42.0,7.0,96.0,17.0,43.0,9.0,15.0,3.0,16.0,172.0,105.0,5.0,22.0,246.0,419.0,53.0,458.0,32.0,261.0,41.0,48.0,51.0,332.0,303.0,174.0
4620,0.0,9.0,7.0,4.0,2.0,62.0,45.0,220.0,5.0,273.0,3.0,104.0,1.0,98.0,18.0,151.0,19.0,13.0,241.0,142.0,160.0,181.0,69.0,448.0,163.0,521.0,216.0,224.0,65.0,20.0
4669,0.0,2.0,7.0,6.0,3.0,224.0,557.0,13.0,186.0,21.0,1.0,35.0,28.0,51.0,142.0,94.0,12.0,322.0,54.0,74.0,195.0,361.0,58.0,23.0,531.0,280.0,29.0,118.0,203.0,62.0
4718,0.0,2.0,3.0,1.0,10.0,7.0,8.0,11.0,6.0,137.0,4.0,66.0,87.0,518.0,44.0,22.0,15.0,76.0,249.0,12.0,457.0,324.0,376.0,234.0,21.0,171.0,67.0,287.0,33.0,88.0
4767,2.0,14.0,3.0,1.0,74.0,76.0,25.0,589.0,0.0,134.0,15.0,123.0,152.0,32.0,496.0,249.0,11.0,173.0,264.0,48.0,164.0,189.0,10.0,72.0,45.0,517.0,144.0,109.0,286.0,12.0
4816,0.0,14.0,163.0,6.0,19.0,63.0,7.0,122.0,148.0,9.0,2.0,35.0,106.0,18.0,17.0,124.0,61.0,527.0,109.0,85.0,195.0,78.0,22.0,37.0,153.0,88.0,3.0,4.0,461.0,41.0
4865,0.0,10.0,20.0,1.0,8.0,24.0,9.0,5.0,12.0,42.0,2.0,147.0,45.0,44.0,376.0,56.0,6.0,175.0,22.0,80.0,7.0,29.0,33.0,140.0,165.0,582.0,57.0,346.0,104.0,15.0
