,Caspase-7_cleavedD198,beta-Catenin,HER2,PAI-1,Bcl-2,Bax,p27_pT157,GATA3,Cyclin_B1,GSK3-alpha-beta,beta Actin,RAD51,Bid,GSK3-alpha-beta_pS21_S9,PKC-pan_BetaII_pS660,Transglutaminase,Chk2_pT68,MSH6,Beclin,ADAR1,Bap1 c-4,XBP1,FoxM1,Cyclin_D1,VHL,JNK_pT183_Y185,G6PD,CD31,PEA15_pS116,MIG-6
1,3.0,0.0,10.0,20.0,6.0,46.0,2.0,5.0,1.0,27.0,11.0,12.0,25.0,29.0,41.0,19.0,34.0,14.0,7.0,17.0,13.0,43.0,28.0,21.0,18.0,48.0,26.0,49.0,44.0,38.0
50,0.0,9.0,20.0,7.0,4.0,8.0,1.0,3.0,2.0,15.0,5.0,18.0,29.0,13.0,10.0,16.0,14.0,6.0,11.0,37.0,27.0,12.0,19.0,35.0,65.0,79.0,40.0,26.0,94.0,17.0
99,1.0,0.0,19.0,4.0,5.0,20.0,2.0,7.0,8.0,14.0,11.0,28.0,15.0,6.0,60.0,37.0,26.0,18.0,24.0,42.0,3.0,27.0,16.0,9.0,35.0,63.0,12.0,29.0,59.0,17.0
148,1.0,6.0,14.0,11.0,13.0,5.0,2.0,7.0,8.0,82.0,0.0,31.0,20.0,4.0,34.0,12.0,10.0,15.0,3.0,19.0,110.0,29.0,9.0,28.0,16.0,43.0,18.0,21.0,30.0,25.0
197,0.0,1.0,15.0,9.0,6.0,3.0,10.0,5.0,30.0,57.0,2.0,8.0,70.0,7.0,27.0,16.0,21.0,18.0,4.0,23.0,11.0,25.0,33.0,13.0,17.0,60.0,20.0,45.0,24.0,19.0
246,0.0,3.0,12.0,22.0,17.0,49.0,8.0,6.0,1.0,51.0,2.0,14.0,16.0,5.0,41.0,21.0,18.0,26.0,24.0,45.0,15.0,7.0,10.0,9.0,13.0,64.0,69.0,4.0,33.0,25.0
295,0.0,1.0,5.0,2.0,22.0,20.0,10.0,3.0,26.0,45.0,14.0,12.0,11.0,4.0,46.0,29.0,13.0,8.0,7.0,54.0,9.0,6.0,17.0,16.0,21.0,32.0,37.0,36.0,52.0,64.0
344,1.0,0.0,30.0,2.0,17.0,7.0,3.0,4.0,19.0,64.0,13.0,5.0,27.0,22.0,36.0,10.0,32.0,8.0,12.0,38.0,20.0,33.0,15.0,14.0,24.0,49.0,6.0,34.0,28.0,26.0
393,1.0,0.0,7.0,13.0,10.0,2.0,3.0,4.0,8.0,83.0,30.0,9.0,27.0,22.0,40.0,72.0,24.0,15.0,5.0,42.0,16.0,17.0,12.0,25.0,14.0,55.0,6.0,31.0,20.0,19.0
442,0.0,1.0,13.0,14.0,3.0,16.0,17.0,20.0,18.0,56.0,8.0,2.0,23.0,15.0,29.0,10.0,5.0,11.0,9.0,80.0,6.0,27.0,47.0,4.0,19.0,67.0,12.0,31.0,64.0,44.0
491,1.0,0.0,10.0,3.0,28.0,2.0,15.0,12.0,22.0,8.0,35.0,16.0,11.0,39.0,7.0,18.0,23.0,25.0,5.0,46.0,78.0,20.0,9.0,40.0,21.0,33.0,4.0,42.0,24.0,47.0
540,1.0,5.0,9.0,0.0,17.0,2.0,14.0,7.0,16.0,6.0,34.0,53.0,3.0,10.0,26.0,4.0,25.0,8.0,36.0,39.0,129.0,31.0,40.0,11.0,35.0,21.0,24.0,22.0,32.0,42.0
589,20.0,1.0,4.0,0.0,28.0,5.0,13.0,12.0,16.0,6.0,3.0,56.0,19.0,46.0,15.0,52.0,7.0,2.0,8.0,37.0,121.0,34.0,39.0,25.0,10.0,38.0,14.0,18.0,29.0,17.0
638,2.0,0.0,18.0,1.0,12.0,7.0,11.0,27.0,33.0,4.0,13.0,6.0,3.0,21.0,8.0,52.0,16.0,5.0,14.0,39.0,56.0,26.0,10.0,36.0,20.0,71.0,17.0,34.0,37.0,45.0
687,6.0,0.0,17.0,2.0,10.0,9.0,4.0,1.0,15.0,14.0,26.0,12.0,13.0,29.0,24.0,58.0,88.0,5.0,57.0,45.0,115.0,8.0,11.0,18.0,23.0,44.0,3.0,32.0,21.0,19.0
736,0.0,7.0,18.0,10.0,37.0,4.0,5.0,13.0,2.0,14.0,47.0,16.0,3.0,8.0,19.0,26.0,6.0,9.0,1.0,55.0,120.0,20.0,35.0,62.0,11.0,31.0,24.0,66.0,28.0,40.0
785,2.0,8.0,7.0,0.0,14.0,5.0,4.0,9.0,12.0,6.0,23.0,25.0,3.0,18.0,10.0,26.0,29.0,1.0,20.0,13.0,108.0,15.0,19.0,79.0,44.0,17.0,28.0,67.0,48.0,38.0
834,0.0,3.0,4.0,6.0,28.0,17.0,1.0,2.0,35.0,9.0,20.0,54.0,5.0,12.0,14.0,11.0,13.0,83.0,8.0,27.0,120.0,25.0,15.0,24.0,29.0,33.0,18.0,45.0,40.0,23.0
883,2.0,0.0,9.0,7.0,14.0,3.0,10.0,13.0,1.0,8.0,37.0,5.0,4.0,20.0,17.0,60.0,21.0,12.0,19.0,35.0,139.0,24.0,11.0,48.0,6.0,46.0,15.0,27.0,26.0,18.0
932,1.0,4.0,27.0,0.0,10.0,17.0,2.0,12.0,25.0,3.0,56.0,13.0,5.0,15.0,21.0,7.0,19.0,24.0,20.0,22.0,86.0,8.0,16.0,18.0,32.0,31.0,11.0,29.0,47.0,52.0
981,1.0,8.0,6.0,19.0,7.0,2.0,9.0,36.0,0.0,3.0,5.0,42.0,16.0,14.0,24.0,11.0,4.0,13.0,18.0,38.0,33.0,30.0,23.0,41.0,10.0,48.0,59.0,34.0,35.0,46.0
1030,0.0,19.0,16.0,6.0,29.0,5.0,15.0,7.0,4.0,1.0,21.0,25.0,8.0,13.0,9.0,40.0,2.0,32.0,22.0,3.0,18.0,31.0,72.0,45.0,17.0,33.0,26.0,77.0,39.0,68.0
1079,2.0,22.0,13.0,26.0,15.0,56.0,5.0,30.0,1.0,0.0,18.0,39.0,4.0,19.0,14.0,45.0,6.0,58.0,38.0,16.0,12.0,17.0,55.0,43.0,74.0,9.0,44.0,96.0,77.0,61.0
1128,0.0,1.0,12.0,17.0,9.0,19.0,8.0,21.0,4.0,10.0,7.0,24.0,16.0,3.0,18.0,5.0,6.0,52.0,47.0,29.0,11.0,49.0,56.0,39.0,36.0,22.0,2.0,41.0,35.0,30.0
1177,2.0,4.0,17.0,5.0,13.0,6.0,11.0,29.0,0.0,3.0,30.0,22.0,15.0,9.0,26.0,32.0,1.0,7.0,20.0,12.0,69.0,14.0,55.0,35.0,10.0,33.0,31.0,86.0,54.0,74.0
1226,0.0,5.0,4.0,7.0,25.0,9.0,6.0,42.0,1.0,2.0,13.0,38.0,8.0,12.0,10.0,16.0,11.0,22.0,17.0,3.0,15.0,23.0,43.0,29.0,32.0,18.0,27.0,40.0,35.0,53.0
1275,0.0,4.0,7.0,26.0,20.0,13.0,3.0,12.0,2.0,17.0,6.0,30.0,14.0,11.0,5.0,10.0,1.0,8.0,37.0,9.0,15.0,57.0,61.0,33.0,43.0,45.0,32.0,86.0,25.0,101.0
1324,4.0,5.0,3.0,8.0,12.0,6.0,13.0,2.0,7.0,1.0,21.0,58.0,51.0,16.0,10.0,49.0,11.0,24.0,43.0,9.0,31.0,96.0,25.0,44.0,42.0,0.0,52.0,71.0,29.0,19.0
1373,0.0,14.0,19.0,3.0,21.0,7.0,5.0,9.0,11.0,10.0,2.0,4.0,23.0,6.0,16.0,8.0,15.0,38.0,55.0,1.0,24.0,13.0,26.0,39.0,70.0,44.0,49.0,50.0,43.0,53.0
1422,1.0,25.0,5.0,3.0,12.0,6.0,9.0,14.0,2.0,0.0,7.0,24.0,10.0,4.0,16.0,20.0,11.0,13.0,18.0,32.0,44.0,62.0,61.0,30.0,27.0,23.0,37.0,98.0,34.0,26.0
1471,0.0,3.0,8.0,4.0,7.0,26.0,11.0,14.0,10.0,25.0,24.0,13.0,81.0,15.0,33.0,9.0,27.0,6.0,82.0,19.0,20.0,23.0,38.0,32.0,61.0,28.0,16.0,12.0,5.0,2.0
