,Caspase-7_cleavedD198,beta-Catenin,HER2,PAI-1,Bcl-2,Bax,p27_pT157,GATA3,Cyclin_B1,GSK3-alpha-beta,beta Actin,RAD51,Bid,GSK3-alpha-beta_pS21_S9,PKC-pan_BetaII_pS660,Transglutaminase,Chk2_pT68,MSH6,Beclin,ADAR1,Bap1 c-4,XBP1,FoxM1,Cyclin_D1,VHL,JNK_pT183_Y185,G6PD,CD31,PEA15_pS116,MIG-6
1520,0.0,10.0,7.0,24.0,1.0,27.0,15.0,16.0,13.0,3.0,6.0,12.0,22.0,4.0,18.0,19.0,31.0,28.0,35.0,29.0,8.0,32.0,30.0,2.0,99.0,26.0,5.0,25.0,14.0,9.0
1569,0.0,1.0,21.0,11.0,7.0,9.0,15.0,14.0,3.0,19.0,8.0,6.0,41.0,4.0,50.0,22.0,51.0,58.0,49.0,53.0,23.0,44.0,28.0,2.0,111.0,31.0,37.0,10.0,13.0,16.0
1618,0.0,2.0,16.0,7.0,4.0,54.0,9.0,1.0,8.0,11.0,17.0,3.0,27.0,15.0,14.0,10.0,84.0,23.0,66.0,44.0,18.0,25.0,43.0,36.0,63.0,21.0,19.0,34.0,5.0,6.0
1667,0.0,12.0,7.0,20.0,2.0,5.0,31.0,38.0,4.0,24.0,36.0,1.0,46.0,8.0,27.0,19.0,67.0,23.0,76.0,63.0,21.0,37.0,11.0,3.0,111.0,40.0,13.0,6.0,32.0,10.0
1716,0.0,14.0,11.0,19.0,7.0,16.0,2.0,1.0,15.0,6.0,4.0,5.0,21.0,12.0,40.0,42.0,17.0,32.0,74.0,39.0,35.0,44.0,27.0,30.0,69.0,3.0,22.0,13.0,10.0,8.0
1765,4.0,3.0,19.0,0.0,9.0,13.0,17.0,8.0,10.0,14.0,22.0,24.0,2.0,6.0,20.0,28.0,15.0,26.0,46.0,54.0,36.0,40.0,23.0,1.0,57.0,27.0,12.0,25.0,16.0,5.0
1814,1.0,0.0,8.0,11.0,16.0,10.0,21.0,3.0,5.0,26.0,19.0,20.0,15.0,6.0,36.0,7.0,32.0,13.0,49.0,23.0,25.0,40.0,46.0,22.0,50.0,12.0,4.0,38.0,2.0,9.0
1863,0.0,1.0,12.0,23.0,8.0,13.0,16.0,7.0,3.0,6.0,10.0,11.0,20.0,17.0,32.0,40.0,35.0,22.0,30.0,42.0,19.0,41.0,26.0,18.0,109.0,31.0,5.0,21.0,2.0,9.0
1912,7.0,11.0,21.0,0.0,1.0,42.0,9.0,8.0,10.0,15.0,32.0,13.0,6.0,19.0,45.0,46.0,34.0,2.0,55.0,23.0,3.0,36.0,30.0,16.0,61.0,17.0,31.0,25.0,27.0,5.0
1961,0.0,10.0,2.0,9.0,18.0,4.0,3.0,13.0,17.0,22.0,6.0,8.0,14.0,23.0,1.0,50.0,21.0,56.0,11.0,7.0,47.0,53.0,24.0,70.0,36.0,5.0,117.0,71.0,34.0,20.0
2010,2.0,13.0,0.0,4.0,7.0,8.0,10.0,15.0,6.0,34.0,1.0,12.0,19.0,18.0,3.0,44.0,9.0,11.0,35.0,5.0,14.0,51.0,37.0,56.0,23.0,36.0,72.0,88.0,29.0,20.0
2059,1.0,3.0,5.0,2.0,4.0,14.0,16.0,11.0,6.0,9.0,10.0,13.0,7.0,15.0,0.0,19.0,8.0,30.0,37.0,12.0,24.0,18.0,72.0,40.0,29.0,23.0,100.0,57.0,55.0,20.0
2108,3.0,25.0,2.0,0.0,4.0,17.0,11.0,13.0,5.0,29.0,16.0,7.0,21.0,40.0,9.0,62.0,1.0,48.0,22.0,15.0,39.0,71.0,14.0,57.0,54.0,8.0,77.0,78.0,33.0,6.0
2157,0.0,2.0,1.0,6.0,13.0,7.0,9.0,12.0,16.0,44.0,11.0,14.0,15.0,31.0,4.0,19.0,10.0,3.0,25.0,33.0,8.0,24.0,39.0,27.0,37.0,5.0,38.0,46.0,49.0,54.0
2206,0.0,6.0,4.0,5.0,17.0,8.0,10.0,36.0,13.0,24.0,1.0,7.0,31.0,27.0,15.0,66.0,35.0,56.0,18.0,20.0,62.0,41.0,23.0,28.0,11.0,45.0,52.0,37.0,51.0,12.0
2255,0.0,24.0,5.0,13.0,31.0,57.0,4.0,1.0,8.0,14.0,2.0,18.0,43.0,29.0,6.0,15.0,38.0,66.0,50.0,25.0,3.0,44.0,9.0,60.0,65.0,12.0,93.0,51.0,37.0,19.0
2304,19.0,4.0,0.0,12.0,24.0,10.0,8.0,40.0,17.0,36.0,5.0,16.0,18.0,53.0,1.0,22.0,3.0,6.0,28.0,15.0,7.0,72.0,48.0,50.0,35.0,38.0,107.0,80.0,59.0,41.0
2353,1.0,0.0,5.0,13.0,28.0,7.0,20.0,17.0,4.0,48.0,8.0,19.0,3.0,34.0,2.0,39.0,9.0,11.0,33.0,6.0,31.0,53.0,99.0,41.0,15.0,47.0,29.0,63.0,43.0,24.0
2402,3.0,10.0,2.0,7.0,20.0,0.0,8.0,1.0,48.0,35.0,5.0,16.0,25.0,15.0,21.0,29.0,9.0,39.0,27.0,19.0,13.0,34.0,53.0,6.0,84.0,47.0,94.0,91.0,41.0,31.0
2451,8.0,1.0,16.0,0.0,2.0,14.0,13.0,10.0,4.0,5.0,26.0,6.0,18.0,29.0,44.0,7.0,66.0,65.0,3.0,11.0,39.0,38.0,32.0,45.0,31.0,36.0,67.0,20.0,15.0,81.0
2500,1.0,5.0,3.0,0.0,4.0,10.0,12.0,15.0,20.0,8.0,24.0,9.0,13.0,31.0,14.0,7.0,6.0,2.0,42.0,32.0,17.0,22.0,54.0,21.0,28.0,46.0,69.0,11.0,37.0,93.0
2549,1.0,2.0,15.0,3.0,0.0,16.0,4.0,7.0,22.0,14.0,8.0,6.0,11.0,28.0,44.0,45.0,21.0,40.0,10.0,20.0,50.0,25.0,56.0,36.0,29.0,18.0,13.0,12.0,17.0,64.0
2598,0.0,6.0,2.0,3.0,4.0,14.0,9.0,1.0,11.0,18.0,25.0,17.0,28.0,29.0,67.0,5.0,41.0,19.0,21.0,39.0,71.0,22.0,16.0,42.0,48.0,55.0,33.0,8.0,40.0,98.0
2647,0.0,6.0,14.0,5.0,8.0,33.0,2.0,7.0,9.0,4.0,21.0,20.0,10.0,25.0,59.0,11.0,16.0,65.0,1.0,17.0,3.0,13.0,67.0,34.0,23.0,66.0,12.0,64.0,30.0,124.0
2696,0.0,4.0,5.0,1.0,3.0,8.0,2.0,12.0,11.0,6.0,7.0,16.0,13.0,31.0,28.0,10.0,15.0,51.0,19.0,45.0,24.0,49.0,75.0,62.0,59.0,14.0,43.0,27.0,23.0,88.0
2745,1.0,7.0,5.0,0.0,2.0,33.0,11.0,3.0,8.0,26.0,6.0,12.0,17.0,28.0,19.0,21.0,52.0,38.0,4.0,25.0,15.0,27.0,54.0,9.0,30.0,14.0,40.0,23.0,29.0,65.0
2794,1.0,8.0,6.0,0.0,13.0,21.0,4.0,2.0,17.0,3.0,29.0,11.0,31.0,60.0,24.0,9.0,40.0,34.0,10.0,12.0,7.0,30.0,52.0,50.0,44.0,37.0,5.0,28.0,23.0,86.0
2843,0.0,3.0,2.0,1.0,5.0,22.0,14.0,4.0,16.0,15.0,47.0,32.0,11.0,31.0,43.0,6.0,17.0,29.0,7.0,9.0,79.0,25.0,45.0,36.0,34.0,13.0,41.0,20.0,21.0,72.0
2892,0.0,23.0,17.0,3.0,4.0,7.0,8.0,2.0,15.0,5.0,24.0,13.0,9.0,20.0,33.0,35.0,22.0,52.0,1.0,11.0,18.0,88.0,53.0,75.0,34.0,6.0,48.0,44.0,12.0,67.0
2941,1.0,0.0,3.0,21.0,6.0,45.0,14.0,2.0,31.0,7.0,57.0,16.0,9.0,34.0,17.0,4.0,26.0,32.0,28.0,20.0,22.0,36.0,24.0,30.0,11.0,12.0,92.0,15.0,43.0,35.0
2990,1.0,0.0,3.0,20.0,4.0,8.0,30.0,21.0,52.0,6.0,51.0,12.0,5.0,7.0,29.0,18.0,48.0,19.0,13.0,2.0,9.0,47.0,14.0,50.0,23.0,64.0,37.0,63.0,58.0,10.0
3039,0.0,1.0,4.0,17.0,12.0,2.0,5.0,16.0,38.0,24.0,32.0,9.0,18.0,29.0,15.0,11.0,7.0,27.0,3.0,6.0,8.0,37.0,28.0,22.0,30.0,20.0,73.0,39.0,25.0,49.0
3088,1.0,3.0,9.0,30.0,4.0,0.0,24.0,17.0,16.0,2.0,20.0,19.0,7.0,38.0,13.0,32.0,41.0,14.0,22.0,11.0,8.0,10.0,6.0,35.0,27.0,21.0,33.0,54.0,36.0,39.0
3137,1.0,0.0,7.0,5.0,26.0,6.0,15.0,11.0,10.0,3.0,95.0,28.0,4.0,13.0,8.0,16.0,21.0,2.0,20.0,19.0,31.0,49.0,37.0,51.0,9.0,22.0,17.0,68.0,41.0,44.0
3186,1.0,0.0,13.0,12.0,7.0,2.0,9.0,10.0,4.0,6.0,20.0,33.0,5.0,3.0,32.0,8.0,19.0,21.0,34.0,14.0,36.0,56.0,24.0,55.0,18.0,28.0,48.0,46.0,11.0,75.0
3235,2.0,1.0,4.0,14.0,8.0,0.0,12.0,5.0,44.0,16.0,58.0,13.0,23.0,21.0,3.0,20.0,22.0,18.0,15.0,11.0,35.0,31.0,6.0,37.0,9.0,39.0,30.0,42.0,17.0,59.0
3284,1.0,0.0,7.0,47.0,2.0,11.0,15.0,5.0,10.0,12.0,27.0,32.0,3.0,17.0,14.0,64.0,33.0,19.0,6.0,22.0,8.0,9.0,4.0,53.0,16.0,40.0,25.0,29.0,30.0,35.0
3333,2.0,1.0,7.0,24.0,18.0,12.0,13.0,0.0,16.0,32.0,33.0,29.0,4.0,48.0,10.0,15.0,11.0,8.0,3.0,56.0,39.0,44.0,6.0,14.0,5.0,37.0,23.0,72.0,17.0,68.0
3382,1.0,0.0,3.0,73.0,5.0,21.0,2.0,24.0,9.0,4.0,33.0,36.0,18.0,17.0,13.0,19.0,26.0,12.0,8.0,15.0,22.0,10.0,27.0,28.0,6.0,7.0,54.0,44.0,20.0,41.0
3431,0.0,1.0,20.0,22.0,7.0,2.0,38.0,4.0,3.0,16.0,14.0,19.0,8.0,15.0,39.0,30.0,21.0,6.0,60.0,48.0,79.0,26.0,56.0,17.0,42.0,13.0,32.0,11.0,57.0,47.0
3480,7.0,2.0,1.0,22.0,13.0,3.0,23.0,36.0,12.0,17.0,0.0,29.0,11.0,15.0,16.0,19.0,43.0,4.0,25.0,5.0,80.0,27.0,31.0,6.0,88.0,53.0,97.0,39.0,81.0,40.0
3529,3.0,1.0,7.0,5.0,9.0,0.0,71.0,24.0,11.0,6.0,8.0,19.0,12.0,10.0,40.0,21.0,36.0,18.0,73.0,15.0,27.0,32.0,28.0,2.0,97.0,14.0,42.0,25.0,105.0,61.0
3578,1.0,8.0,5.0,15.0,10.0,3.0,16.0,44.0,27.0,6.0,2.0,4.0,7.0,19.0,22.0,31.0,14.0,24.0,11.0,9.0,65.0,29.0,56.0,20.0,78.0,12.0,52.0,13.0,91.0,36.0
3627,2.0,5.0,1.0,6.0,10.0,12.0,7.0,37.0,3.0,31.0,13.0,9.0,16.0,29.0,24.0,8.0,64.0,0.0,36.0,23.0,68.0,20.0,34.0,4.0,51.0,30.0,75.0,27.0,79.0,58.0
3676,2.0,0.0,1.0,19.0,16.0,10.0,7.0,60.0,17.0,21.0,3.0,14.0,15.0,20.0,25.0,23.0,39.0,12.0,53.0,11.0,58.0,27.0,51.0,37.0,47.0,6.0,43.0,42.0,64.0,66.0
3725,0.0,3.0,2.0,9.0,8.0,6.0,41.0,16.0,15.0,10.0,1.0,14.0,7.0,30.0,13.0,24.0,21.0,5.0,12.0,18.0,74.0,45.0,39.0,38.0,52.0,22.0,49.0,29.0,81.0,80.0
3774,0.0,4.0,1.0,5.0,14.0,3.0,20.0,8.0,26.0,7.0,13.0,6.0,28.0,17.0,47.0,2.0,21.0,9.0,27.0,19.0,32.0,16.0,30.0,10.0,25.0,46.0,41.0,11.0,109.0,56.0
3823,12.0,8.0,14.0,29.0,2.0,0.0,22.0,23.0,9.0,4.0,7.0,18.0,25.0,26.0,31.0,5.0,47.0,15.0,30.0,6.0,35.0,3.0,33.0,1.0,91.0,66.0,11.0,55.0,86.0,38.0
3872,0.0,9.0,5.0,3.0,6.0,4.0,35.0,11.0,7.0,56.0,1.0,14.0,21.0,46.0,33.0,16.0,65.0,2.0,15.0,8.0,93.0,10.0,23.0,13.0,85.0,67.0,20.0,17.0,77.0,32.0
3921,1.0,4.0,3.0,41.0,2.0,13.0,15.0,8.0,27.0,16.0,21.0,22.0,61.0,18.0,9.0,0.0,14.0,24.0,36.0,85.0,33.0,20.0,5.0,7.0,29.0,47.0,39.0,34.0,37.0,30.0
3970,1.0,18.0,3.0,42.0,2.0,15.0,6.0,4.0,32.0,0.0,27.0,26.0,41.0,10.0,17.0,8.0,7.0,34.0,14.0,35.0,12.0,21.0,11.0,38.0,9.0,91.0,53.0,55.0,58.0,90.0
4019,4.0,0.0,9.0,14.0,1.0,3.0,7.0,6.0,19.0,39.0,2.0,22.0,46.0,10.0,48.0,17.0,12.0,11.0,16.0,36.0,5.0,34.0,20.0,13.0,44.0,94.0,101.0,52.0,64.0,58.0
4068,0.0,8.0,6.0,19.0,1.0,7.0,4.0,15.0,43.0,13.0,3.0,50.0,24.0,16.0,14.0,5.0,2.0,12.0,29.0,27.0,23.0,10.0,18.0,21.0,31.0,68.0,76.0,17.0,60.0,53.0
4117,10.0,11.0,3.0,31.0,0.0,12.0,4.0,16.0,21.0,9.0,26.0,36.0,33.0,23.0,34.0,1.0,8.0,5.0,18.0,29.0,6.0,14.0,43.0,15.0,2.0,92.0,44.0,64.0,88.0,60.0
4166,1.0,13.0,6.0,44.0,3.0,4.0,0.0,8.0,45.0,15.0,33.0,31.0,16.0,21.0,17.0,2.0,10.0,7.0,26.0,39.0,35.0,5.0,9.0,46.0,68.0,83.0,107.0,29.0,41.0,14.0
4215,2.0,18.0,3.0,16.0,1.0,22.0,11.0,10.0,34.0,9.0,5.0,28.0,49.0,13.0,12.0,0.0,6.0,24.0,14.0,36.0,4.0,15.0,19.0,8.0,21.0,86.0,73.0,40.0,50.0,47.0
4264,5.0,34.0,14.0,43.0,3.0,4.0,2.0,1.0,8.0,16.0,25.0,15.0,31.0,33.0,9.0,0.0,35.0,59.0,22.0,57.0,19.0,26.0,7.0,10.0,6.0,71.0,69.0,42.0,20.0,45.0
4313,6.0,12.0,0.0,16.0,1.0,3.0,10.0,11.0,31.0,18.0,5.0,22.0,27.0,17.0,9.0,8.0,4.0,39.0,15.0,63.0,2.0,25.0,58.0,19.0,37.0,90.0,24.0,65.0,80.0,26.0
4362,1.0,9.0,3.0,36.0,6.0,20.0,4.0,11.0,14.0,12.0,7.0,45.0,44.0,10.0,16.0,0.0,5.0,39.0,31.0,30.0,15.0,2.0,33.0,13.0,32.0,65.0,107.0,56.0,69.0,18.0
4411,0.0,10.0,11.0,1.0,4.0,9.0,2.0,3.0,24.0,7.0,42.0,5.0,26.0,6.0,8.0,33.0,20.0,38.0,57.0,14.0,39.0,35.0,18.0,66.0,22.0,28.0,31.0,12.0,21.0,17.0
4460,1.0,6.0,19.0,0.0,3.0,8.0,25.0,7.0,21.0,4.0,10.0,15.0,18.0,2.0,11.0,16.0,22.0,92.0,13.0,5.0,52.0,20.0,31.0,50.0,39.0,28.0,42.0,44.0,30.0,35.0
4509,0.0,11.0,8.0,1.0,3.0,4.0,19.0,2.0,17.0,23.0,7.0,5.0,9.0,6.0,10.0,34.0,31.0,13.0,12.0,16.0,37.0,36.0,35.0,20.0,73.0,43.0,22.0,24.0,53.0,32.0
4558,2.0,11.0,18.0,1.0,10.0,7.0,5.0,13.0,20.0,6.0,25.0,3.0,16.0,4.0,24.0,30.0,15.0,40.0,14.0,0.0,56.0,21.0,19.0,68.0,47.0,23.0,28.0,32.0,53.0,8.0
4607,0.0,3.0,12.0,2.0,6.0,7.0,14.0,11.0,16.0,37.0,4.0,1.0,15.0,5.0,9.0,10.0,30.0,24.0,38.0,22.0,21.0,8.0,20.0,63.0,66.0,36.0,34.0,39.0,42.0,41.0
4656,2.0,9.0,22.0,0.0,3.0,4.0,6.0,13.0,11.0,5.0,29.0,8.0,12.0,10.0,16.0,25.0,19.0,60.0,18.0,1.0,28.0,21.0,20.0,83.0,35.0,17.0,24.0,34.0,27.0,14.0
4705,2.0,21.0,9.0,0.0,14.0,17.0,7.0,43.0,1.0,4.0,13.0,6.0,37.0,12.0,15.0,74.0,5.0,29.0,8.0,10.0,49.0,35.0,18.0,54.0,20.0,19.0,70.0,27.0,16.0,11.0
4754,2.0,3.0,17.0,0.0,1.0,7.0,9.0,8.0,48.0,14.0,11.0,4.0,19.0,40.0,29.0,34.0,24.0,47.0,20.0,5.0,12.0,46.0,35.0,30.0,57.0,13.0,6.0,15.0,27.0,16.0
4803,0.0,5.0,10.0,2.0,8.0,3.0,4.0,1.0,24.0,17.0,19.0,6.0,15.0,7.0,21.0,32.0,11.0,50.0,13.0,43.0,106.0,29.0,18.0,70.0,47.0,35.0,48.0,27.0,12.0,22.0
4852,0.0,6.0,9.0,1.0,5.0,11.0,2.0,3.0,28.0,7.0,36.0,4.0,18.0,14.0,13.0,8.0,25.0,47.0,12.0,15.0,42.0,62.0,20.0,46.0,54.0,73.0,34.0,26.0,19.0,24.0
