,A-Raf_pS299,MEK1_pS217_S221,PKC-delta_pS664,CDK1,Akt_pS473,IGFBP2,BRCA2,4E-BP1,p70S6K_pT389,Annexin_VII,MIG-6,MDM2_pS166,PRAS40_pT246,VEGFR2,Rab25,Notch1,RSK1-2-3,GAPDH,14-3-3_zeta,IRS1,Src_pY527,VAV1,Claudin-7,PREX1,c-Kit,Chk2_pT68,Bcl-2,INPP4B,PDK1,Gab2
5,11.0,2.0,0.0,29.0,17.0,49.0,8.0,124.0,62.0,42.0,88.0,68.0,25.0,45.0,64.0,144.0,163.0,7.0,79.0,30.0,40.0,48.0,10.0,15.0,32.0,150.0,80.0,87.0,63.0,28.0
54,30.0,10.0,0.0,48.0,18.0,19.0,5.0,39.0,20.0,33.0,36.0,25.0,51.0,106.0,56.0,2.0,26.0,155.0,37.0,80.0,98.0,53.0,58.0,1.0,61.0,46.0,64.0,13.0,49.0,157.0
103,17.0,5.0,2.0,22.0,21.0,23.0,9.0,1.0,10.0,62.0,28.0,84.0,74.0,4.0,32.0,12.0,71.0,19.0,95.0,45.0,70.0,101.0,34.0,86.0,68.0,82.0,60.0,78.0,85.0,149.0
152,19.0,9.0,6.0,37.0,34.0,65.0,33.0,29.0,66.0,26.0,41.0,43.0,147.0,32.0,16.0,151.0,121.0,90.0,76.0,39.0,80.0,53.0,14.0,13.0,47.0,129.0,40.0,62.0,79.0,161.0
201,12.0,6.0,4.0,22.0,13.0,65.0,163.0,16.0,77.0,48.0,122.0,47.0,64.0,19.0,7.0,162.0,17.0,10.0,80.0,128.0,50.0,73.0,85.0,44.0,31.0,101.0,41.0,89.0,92.0,135.0
250,12.0,9.0,22.0,15.0,35.0,88.0,23.0,45.0,104.0,40.0,106.0,98.0,5.0,43.0,84.0,145.0,160.0,127.0,21.0,53.0,76.0,78.0,10.0,69.0,70.0,79.0,51.0,36.0,96.0,82.0
299,10.0,6.0,32.0,27.0,31.0,46.0,20.0,134.0,12.0,8.0,45.0,113.0,63.0,62.0,18.0,80.0,15.0,90.0,22.0,109.0,60.0,70.0,17.0,39.0,72.0,14.0,58.0,43.0,47.0,25.0
348,10.0,21.0,111.0,36.0,13.0,27.0,35.0,17.0,9.0,136.0,29.0,146.0,59.0,34.0,11.0,104.0,97.0,112.0,41.0,143.0,18.0,66.0,16.0,44.0,47.0,49.0,23.0,53.0,77.0,89.0
397,18.0,12.0,51.0,17.0,14.0,19.0,6.0,8.0,42.0,81.0,110.0,64.0,47.0,97.0,90.0,142.0,161.0,156.0,32.0,5.0,123.0,92.0,15.0,77.0,62.0,60.0,74.0,147.0,46.0,28.0
446,11.0,10.0,36.0,68.0,21.0,54.0,80.0,14.0,84.0,3.0,75.0,150.0,25.0,131.0,9.0,13.0,122.0,1.0,135.0,12.0,120.0,31.0,59.0,18.0,15.0,86.0,77.0,78.0,70.0,106.0
