,hsa-miR-24,hsa-miR-130a,hsa-miR-574-5p,hsa-let-7e,hsa-miR-142-5p,hsa-miR-10a,hsa-miR-21,hsa-miR-149,hsa-miR-22,hsa-miR-663,hsa-miR-216a,hsa-miR-151-3p,hsa-miR-31,hcmv-miR-US5-1,hsa-miR-150,hsa-miR-593,hsa-miR-888,hsa-miR-378,hsa-miR-135b,hsa-miR-148a,hsa-miR-29c,hsa-miR-222,hsa-miR-137,hsa-miR-219-2-3p,hsa-miR-147b,hsa-miR-1978,hsa-miR-521,hsa-miR-155,hsa-miR-210,ebv-miR-BART18-3p
14,2.0,6.0,1.0,0.0,5.0,4.0,18.0,30.0,9.0,11.0,13.0,8.0,3.0,26.0,49.0,20.0,97.0,82.0,12.0,55.0,10.0,89.0,31.0,17.0,15.0,24.0,40.0,99.0,27.0,28.0
63,3.0,6.0,0.0,2.0,26.0,12.0,25.0,310.0,11.0,21.0,8.0,139.0,5.0,7.0,103.0,33.0,53.0,14.0,38.0,98.0,70.0,51.0,111.0,16.0,10.0,1.0,22.0,248.0,18.0,13.0
112,3.0,1.0,0.0,4.0,2.0,7.0,20.0,16.0,17.0,5.0,6.0,18.0,22.0,27.0,10.0,13.0,26.0,74.0,9.0,19.0,113.0,87.0,118.0,61.0,30.0,11.0,60.0,81.0,15.0,69.0
161,1.0,0.0,2.0,3.0,6.0,8.0,16.0,180.0,82.0,23.0,4.0,12.0,20.0,126.0,42.0,7.0,10.0,445.0,56.0,54.0,37.0,51.0,32.0,14.0,197.0,9.0,13.0,21.0,72.0,11.0
210,7.0,0.0,1.0,2.0,4.0,5.0,11.0,68.0,31.0,19.0,3.0,8.0,20.0,12.0,54.0,6.0,321.0,35.0,34.0,10.0,21.0,119.0,38.0,22.0,18.0,26.0,73.0,251.0,17.0,30.0
259,0.0,1.0,3.0,4.0,2.0,53.0,43.0,12.0,9.0,22.0,7.0,10.0,13.0,251.0,16.0,5.0,40.0,15.0,8.0,83.0,32.0,159.0,29.0,18.0,58.0,6.0,143.0,124.0,11.0,23.0
308,0.0,2.0,1.0,18.0,10.0,6.0,14.0,24.0,4.0,110.0,13.0,40.0,8.0,74.0,11.0,3.0,227.0,20.0,5.0,26.0,83.0,75.0,23.0,16.0,12.0,9.0,22.0,25.0,85.0,43.0
357,3.0,0.0,4.0,2.0,5.0,8.0,1.0,6.0,22.0,15.0,26.0,14.0,13.0,7.0,21.0,11.0,52.0,216.0,197.0,166.0,223.0,17.0,10.0,27.0,50.0,9.0,80.0,158.0,95.0,25.0
406,0.0,4.0,3.0,5.0,6.0,12.0,1.0,13.0,2.0,40.0,37.0,23.0,9.0,50.0,146.0,14.0,25.0,131.0,28.0,147.0,126.0,44.0,27.0,119.0,183.0,10.0,21.0,29.0,17.0,22.0
455,0.0,2.0,16.0,3.0,15.0,6.0,5.0,32.0,12.0,10.0,4.0,461.0,33.0,23.0,28.0,11.0,117.0,34.0,51.0,29.0,335.0,273.0,21.0,9.0,41.0,7.0,79.0,131.0,17.0,20.0
504,0.0,7.0,6.0,1.0,2.0,10.0,13.0,71.0,3.0,11.0,22.0,35.0,5.0,121.0,175.0,145.0,26.0,37.0,117.0,154.0,9.0,66.0,4.0,503.0,238.0,185.0,8.0,402.0,48.0,202.0
553,1.0,0.0,2.0,6.0,5.0,3.0,13.0,12.0,9.0,21.0,4.0,476.0,31.0,32.0,26.0,108.0,29.0,10.0,43.0,56.0,17.0,247.0,37.0,241.0,243.0,259.0,14.0,239.0,23.0,144.0
602,0.0,14.0,6.0,1.0,11.0,7.0,3.0,48.0,8.0,81.0,25.0,88.0,10.0,15.0,28.0,41.0,31.0,12.0,5.0,328.0,60.0,13.0,16.0,18.0,393.0,27.0,395.0,465.0,44.0,30.0
651,0.0,3.0,1.0,9.0,4.0,7.0,5.0,31.0,2.0,56.0,37.0,93.0,6.0,13.0,11.0,41.0,39.0,10.0,18.0,168.0,500.0,248.0,317.0,25.0,481.0,35.0,286.0,19.0,21.0,26.0
700,0.0,3.0,9.0,5.0,2.0,6.0,4.0,31.0,1.0,18.0,33.0,14.0,22.0,23.0,8.0,40.0,98.0,16.0,285.0,10.0,44.0,55.0,102.0,73.0,368.0,162.0,66.0,360.0,478.0,12.0
749,0.0,10.0,5.0,20.0,1.0,2.0,7.0,8.0,9.0,63.0,28.0,3.0,40.0,46.0,12.0,24.0,33.0,36.0,17.0,19.0,26.0,86.0,52.0,66.0,165.0,149.0,58.0,144.0,92.0,210.0
798,0.0,11.0,5.0,1.0,4.0,7.0,2.0,288.0,3.0,41.0,34.0,9.0,8.0,313.0,21.0,195.0,184.0,249.0,63.0,6.0,44.0,33.0,32.0,37.0,19.0,212.0,135.0,70.0,386.0,57.0
847,0.0,16.0,8.0,5.0,2.0,1.0,6.0,27.0,3.0,21.0,15.0,18.0,33.0,28.0,17.0,13.0,70.0,456.0,4.0,52.0,25.0,206.0,190.0,31.0,261.0,41.0,176.0,172.0,54.0,81.0
896,3.0,0.0,8.0,2.0,6.0,66.0,1.0,13.0,37.0,431.0,34.0,4.0,33.0,12.0,9.0,228.0,82.0,291.0,10.0,14.0,11.0,154.0,5.0,25.0,32.0,333.0,269.0,7.0,84.0,588.0
945,0.0,2.0,10.0,1.0,60.0,4.0,17.0,29.0,11.0,59.0,13.0,3.0,20.0,16.0,23.0,18.0,6.0,46.0,48.0,8.0,43.0,126.0,65.0,5.0,47.0,152.0,206.0,33.0,45.0,391.0
994,0.0,5.0,2.0,3.0,6.0,11.0,22.0,1.0,4.0,9.0,14.0,189.0,15.0,43.0,457.0,19.0,150.0,229.0,164.0,191.0,7.0,84.0,18.0,214.0,37.0,34.0,16.0,51.0,8.0,117.0
1043,1.0,5.0,4.0,2.0,13.0,3.0,46.0,0.0,9.0,15.0,11.0,458.0,160.0,43.0,61.0,51.0,75.0,69.0,78.0,8.0,17.0,59.0,131.0,37.0,24.0,370.0,92.0,285.0,80.0,48.0
1092,0.0,12.0,2.0,3.0,7.0,5.0,52.0,1.0,6.0,10.0,42.0,197.0,21.0,44.0,58.0,22.0,8.0,69.0,23.0,151.0,91.0,187.0,43.0,11.0,621.0,429.0,36.0,14.0,164.0,173.0
1141,0.0,14.0,9.0,3.0,116.0,7.0,32.0,1.0,11.0,2.0,121.0,43.0,21.0,534.0,8.0,36.0,47.0,42.0,138.0,64.0,23.0,15.0,10.0,6.0,49.0,71.0,261.0,438.0,423.0,48.0
1190,0.0,9.0,12.0,94.0,16.0,20.0,64.0,2.0,3.0,90.0,91.0,65.0,8.0,515.0,33.0,11.0,21.0,80.0,93.0,240.0,43.0,13.0,218.0,4.0,41.0,117.0,107.0,616.0,45.0,110.0
1239,3.0,2.0,15.0,1.0,11.0,40.0,10.0,12.0,0.0,22.0,20.0,189.0,7.0,52.0,103.0,24.0,18.0,80.0,299.0,6.0,21.0,8.0,134.0,5.0,50.0,305.0,214.0,42.0,137.0,194.0
1288,1.0,4.0,2.0,6.0,7.0,8.0,14.0,0.0,3.0,12.0,38.0,16.0,10.0,629.0,92.0,30.0,315.0,104.0,45.0,13.0,239.0,18.0,582.0,9.0,340.0,26.0,139.0,51.0,17.0,52.0
