,AC138623.1,ZNF215,AC011242.6,SFMBT2,C8orf31,LBX2-AS1,FRMD3,RP11-488P3.1,PGF,CNTN3,CYBA,GNB4,MEIS3P1,INHBA,FNBP1P1,RNF144A-AS1,ITPRIPL1,AEBP1,ZNF595,CDKN2A,CDA,GSTT1,SLC38A5,PPP1R14A,AP000783.1,RP11-108M9.4,MAGEC2,RP11-301O19.1,ADTRP,RP11-319F12.2
1380,0.0,6.0,2.0,4.0,80.0,5.0,58.0,91.0,115.0,16.0,202.0,15.0,288.0,17.0,79.0,34.0,31.0,30.0,35.0,211.0,27.0,10.0,23.0,764.0,26.0,83.0,22.0,38.0,56.0,36.0
1429,0.0,41.0,1.0,8.0,116.0,5.0,18.0,20.0,21.0,12.0,7.0,14.0,238.0,3.0,29.0,27.0,36.0,6.0,15.0,4.0,54.0,2.0,188.0,40.0,97.0,65.0,31.0,150.0,9.0,33.0
1478,0.0,29.0,31.0,49.0,67.0,40.0,72.0,6.0,16.0,522.0,8.0,23.0,2.0,77.0,22.0,61.0,18.0,7.0,52.0,76.0,1.0,54.0,25.0,98.0,295.0,149.0,254.0,12.0,4.0,551.0
1527,1.0,54.0,58.0,11.0,947.0,10.0,26.0,0.0,9.0,8.0,2.0,39.0,22.0,101.0,82.0,16.0,46.0,62.0,13.0,15.0,83.0,53.0,18.0,6.0,133.0,1457.0,1137.0,56.0,3.0,20.0
1576,4.0,14.0,12.0,33.0,0.0,108.0,11.0,2.0,8.0,182.0,15.0,10.0,5.0,9.0,17.0,40.0,27.0,38.0,55.0,87.0,59.0,136.0,559.0,223.0,53.0,573.0,353.0,221.0,1.0,41.0
1625,0.0,25.0,49.0,24.0,15.0,12.0,33.0,7.0,13.0,21.0,1.0,71.0,2.0,259.0,17.0,66.0,38.0,64.0,83.0,171.0,45.0,43.0,8.0,5.0,106.0,196.0,451.0,23.0,37.0,54.0
1674,30.0,25.0,59.0,68.0,3.0,104.0,8.0,14.0,44.0,45.0,2.0,63.0,4.0,87.0,96.0,46.0,10.0,67.0,31.0,9.0,24.0,15.0,28.0,0.0,18.0,147.0,6.0,5.0,60.0,297.0
1723,1.0,2.0,17.0,89.0,12.0,3.0,80.0,49.0,11.0,62.0,0.0,47.0,28.0,23.0,59.0,386.0,7.0,13.0,9.0,15.0,33.0,24.0,48.0,5.0,3554.0,1594.0,73.0,45.0,4.0,63.0
1772,0.0,11.0,8.0,25.0,10.0,12.0,42.0,16.0,50.0,143.0,6.0,2.0,1.0,36.0,23.0,31.0,19.0,5.0,60.0,7.0,34.0,21.0,49.0,30.0,513.0,80.0,176.0,129.0,79.0,28.0
1821,1.0,2.0,5.0,14.0,3.0,26.0,4.0,75.0,93.0,226.0,0.0,29.0,8.0,45.0,50.0,24.0,13.0,16.0,51.0,489.0,11.0,674.0,150.0,109.0,223.0,279.0,82.0,46.0,47.0,48.0
1870,0.0,14.0,2.0,19.0,6.0,8.0,40.0,12.0,17.0,51.0,4.0,24.0,3.0,130.0,82.0,132.0,21.0,27.0,71.0,1.0,7.0,105.0,10.0,15.0,211.0,72.0,110.0,23.0,11.0,44.0
1919,1.0,53.0,49.0,27.0,3.0,4.0,72.0,5.0,13.0,15.0,0.0,84.0,2.0,20.0,30.0,95.0,38.0,9.0,75.0,23.0,8.0,60.0,19.0,10.0,308.0,230.0,139.0,21.0,6.0,43.0
1968,5.0,1.0,0.0,666.0,83.0,17.0,4.0,11.0,14.0,6.0,8.0,19.0,13.0,51.0,102.0,44.0,22.0,52.0,12.0,2.0,20.0,61.0,18.0,39.0,235.0,65.0,9.0,67.0,50.0,32.0
2017,0.0,7.0,1.0,53.0,24.0,9.0,6.0,13.0,3.0,20.0,18.0,5.0,2.0,17.0,52.0,139.0,72.0,46.0,48.0,37.0,60.0,4.0,194.0,10.0,188.0,68.0,25.0,40.0,19.0,43.0
2066,0.0,2.0,1.0,192.0,57.0,3.0,21.0,4.0,7.0,146.0,28.0,52.0,30.0,61.0,33.0,92.0,66.0,6.0,17.0,5.0,11.0,55.0,9.0,31.0,300.0,12.0,15.0,26.0,27.0,40.0
2115,0.0,1.0,2.0,134.0,12.0,7.0,3.0,9.0,33.0,15.0,8.0,10.0,28.0,62.0,49.0,31.0,95.0,36.0,17.0,34.0,84.0,37.0,85.0,11.0,261.0,20.0,23.0,54.0,6.0,21.0
2164,169.0,0.0,18.0,1130.0,21.0,873.0,1.0,1319.0,34.0,9.0,19.0,24.0,159.0,663.0,20.0,248.0,2.0,7.0,8.0,296.0,340.0,11470.0,137.0,96.0,38.0,35.0,3.0,163.0,667.0,15.0
2213,2.0,3.0,15.0,38.0,21.0,13.0,0.0,22.0,8.0,212.0,10.0,6.0,12.0,31.0,47.0,197.0,39.0,108.0,33.0,76.0,60.0,29.0,18.0,16.0,169.0,56.0,54.0,77.0,9.0,28.0
2262,0.0,2.0,1.0,298.0,302.0,6.0,5.0,4.0,13.0,9.0,29.0,8.0,235.0,38.0,23.0,60.0,21.0,7.0,12.0,122.0,176.0,3.0,64.0,85.0,51.0,31.0,22.0,232.0,50.0,42.0
2311,1.0,4.0,0.0,65.0,31.0,10.0,54.0,2.0,11.0,19.0,5.0,23.0,59.0,30.0,29.0,50.0,470.0,37.0,6.0,34.0,13.0,7.0,486.0,112.0,47.0,41.0,8.0,114.0,85.0,238.0
2360,2.0,0.0,1.0,155.0,10.0,4.0,3.0,16.0,27.0,20.0,12.0,90.0,146.0,91.0,30.0,47.0,128.0,14.0,9.0,8.0,81.0,7.0,11.0,31.0,96.0,50.0,5.0,54.0,37.0,64.0
2409,1.0,5.0,3.0,72.0,2151.0,18.0,19.0,4.0,2.0,39.0,188.0,9.0,20.0,139.0,28.0,171.0,17.0,7.0,8.0,35.0,22.0,33.0,16.0,27.0,244.0,87.0,64.0,36.0,12.0,837.0
2458,1.0,0.0,3.0,79.0,109.0,6.0,2.0,41.0,114.0,63.0,14.0,277.0,61.0,10.0,179.0,39.0,97.0,16.0,62.0,8.0,13.0,239.0,5.0,174.0,302.0,36.0,42.0,167.0,17.0,526.0
2507,1.0,6.0,11.0,14.0,148.0,19.0,32.0,17.0,57.0,5.0,4.0,253.0,10.0,2.0,97.0,13.0,542.0,41.0,33.0,0.0,21.0,703.0,324.0,627.0,198.0,260.0,42.0,741.0,52.0,5024.0
2556,7.0,0.0,5.0,22.0,470.0,12.0,2.0,15.0,153.0,4.0,17.0,314.0,89.0,1.0,142.0,31.0,24.0,47.0,82.0,94.0,103.0,44.0,19.0,39.0,78.0,20.0,27.0,310.0,100.0,618.0
2605,7.0,0.0,8.0,21.0,237.0,38.0,11.0,15.0,19.0,4.0,31.0,394.0,47.0,1.0,251.0,101.0,10.0,39.0,208.0,3.0,42.0,474.0,34.0,116.0,154.0,143.0,139.0,593.0,6.0,730.0
2654,0.0,2.0,27.0,3.0,66.0,6.0,51.0,133.0,99.0,8.0,12.0,820.0,58.0,22.0,528.0,4.0,41.0,57.0,18.0,21.0,24.0,112.0,220.0,234.0,28.0,25.0,172.0,346.0,23.0,561.0
