,hsa-miR-27b,hsa-miR-105,hsa-miR-483-3p,hsa-miR-765,hsa-miR-296-5p,hsa-miR-216a,hsa-miR-130a,hsa-miR-363,hsa-miR-616,hsa-miR-34c-5p,hsa-miR-744,hsa-miR-21,hsa-miR-378,hsa-miR-99a,ebv-miR-BHRF1-2,hsa-miR-671-3p,hsa-miR-148a,hsa-miR-323-5p,hsa-miR-513a-5p,hsa-miR-210,hsa-miR-548b-3p,hsa-miR-1248,hsa-miR-34a,hsa-miR-545,hsa-miR-579,hsa-miR-424,hsa-miR-486-3p,hsa-miR-320d,hsa-miR-935,hsa-miR-383
18,254.0,0.0,1.0,2.0,8.0,49.0,21.0,190.0,69.0,22.0,57.0,25.0,234.0,3.0,17.0,38.0,6.0,41.0,13.0,436.0,378.0,78.0,4.0,502.0,168.0,7.0,154.0,16.0,143.0,40.0
67,215.0,3.0,1.0,8.0,0.0,481.0,43.0,9.0,37.0,32.0,157.0,21.0,46.0,252.0,86.0,28.0,6.0,64.0,534.0,513.0,230.0,47.0,22.0,380.0,49.0,146.0,20.0,296.0,30.0,34.0
116,183.0,11.0,2.0,15.0,1.0,71.0,16.0,47.0,141.0,5.0,35.0,479.0,7.0,0.0,3.0,98.0,179.0,109.0,74.0,225.0,70.0,175.0,17.0,52.0,10.0,9.0,49.0,131.0,24.0,43.0
165,49.0,2.0,116.0,10.0,1.0,173.0,326.0,0.0,134.0,11.0,114.0,17.0,118.0,6.0,4.0,315.0,7.0,369.0,177.0,406.0,20.0,19.0,3.0,5.0,25.0,21.0,247.0,57.0,29.0,399.0
214,4.0,7.0,0.0,20.0,3.0,40.0,153.0,79.0,11.0,52.0,152.0,107.0,249.0,23.0,8.0,595.0,14.0,365.0,100.0,227.0,426.0,16.0,26.0,112.0,39.0,133.0,5.0,13.0,37.0,467.0
263,133.0,4.0,59.0,6.0,52.0,49.0,5.0,19.0,120.0,22.0,147.0,215.0,80.0,7.0,12.0,379.0,218.0,51.0,99.0,29.0,27.0,131.0,38.0,69.0,39.0,3.0,354.0,144.0,423.0,50.0
312,7.0,2.0,5.0,0.0,3.0,39.0,176.0,1.0,17.0,128.0,103.0,60.0,21.0,9.0,15.0,125.0,105.0,26.0,22.0,163.0,316.0,16.0,8.0,63.0,24.0,130.0,37.0,47.0,34.0,157.0
361,30.0,1.0,3.0,0.0,9.0,189.0,353.0,536.0,144.0,229.0,436.0,18.0,201.0,2.0,22.0,109.0,60.0,8.0,271.0,28.0,5.0,82.0,19.0,134.0,4.0,25.0,100.0,36.0,11.0,59.0
410,8.0,2.0,20.0,139.0,11.0,470.0,13.0,48.0,81.0,79.0,259.0,66.0,5.0,132.0,21.0,155.0,70.0,36.0,519.0,47.0,411.0,58.0,0.0,253.0,23.0,15.0,33.0,76.0,512.0,82.0
459,296.0,1.0,0.0,2.0,4.0,96.0,14.0,19.0,18.0,11.0,6.0,201.0,20.0,185.0,30.0,146.0,13.0,114.0,8.0,329.0,62.0,25.0,7.0,48.0,135.0,118.0,10.0,389.0,16.0,100.0
508,0.0,28.0,15.0,40.0,21.0,2.0,1.0,87.0,26.0,24.0,11.0,19.0,6.0,59.0,85.0,7.0,32.0,10.0,58.0,381.0,141.0,156.0,72.0,91.0,474.0,12.0,37.0,77.0,83.0,485.0
557,0.0,33.0,7.0,22.0,3.0,23.0,32.0,342.0,30.0,51.0,131.0,208.0,16.0,189.0,173.0,88.0,15.0,34.0,505.0,174.0,1.0,48.0,2.0,66.0,594.0,64.0,12.0,167.0,17.0,253.0
606,3.0,4.0,2.0,16.0,36.0,1.0,23.0,13.0,7.0,22.0,180.0,291.0,42.0,6.0,341.0,47.0,71.0,358.0,144.0,89.0,192.0,52.0,70.0,40.0,563.0,46.0,48.0,627.0,9.0,418.0
655,104.0,9.0,1.0,13.0,80.0,0.0,2.0,165.0,138.0,86.0,289.0,19.0,10.0,62.0,223.0,15.0,157.0,23.0,274.0,552.0,146.0,111.0,12.0,6.0,459.0,499.0,14.0,8.0,95.0,545.0
704,7.0,25.0,41.0,0.0,10.0,6.0,14.0,48.0,3.0,58.0,157.0,16.0,8.0,71.0,4.0,15.0,17.0,1.0,357.0,23.0,78.0,140.0,76.0,213.0,102.0,87.0,195.0,19.0,11.0,370.0
753,1.0,4.0,17.0,13.0,5.0,0.0,70.0,38.0,8.0,61.0,46.0,6.0,19.0,127.0,42.0,48.0,40.0,43.0,20.0,177.0,245.0,131.0,73.0,33.0,540.0,44.0,60.0,36.0,108.0,102.0
