,Shc_pY317,RAD51,EGFR_pY1068,Bim(EP1036),MIG-6,TIGAR,Smac,SHP-2_pY542,HER2_pY1248,p21,ACC1,NDRG1_pT346,PKC-pan_BetaII_pS660,Akt_pS473,PREX1,JNK_pT183_Y185,14-3-3_zeta,MDMX_MDM4(BetIHC-00108),ACC_pS79,G6PD,Paxillin,C-Raf(MP05-739),ACVRL1,Akt,14-3-3_beta,PAI-1,B-Raf,Gab2,4E-BP1,HER3
5,6.0,20.0,35.0,44.0,86.0,27.0,15.0,59.0,65.0,2.0,34.0,69.0,37.0,134.0,33.0,52.0,120.0,1.0,19.0,75.0,11.0,70.0,130.0,103.0,43.0,36.0,49.0,30.0,51.0,83.0
54,3.0,22.0,12.0,23.0,26.0,34.0,63.0,33.0,85.0,4.0,43.0,38.0,101.0,128.0,48.0,103.0,57.0,16.0,17.0,54.0,37.0,58.0,8.0,45.0,79.0,88.0,28.0,7.0,132.0,55.0
103,3.0,4.0,22.0,53.0,62.0,136.0,47.0,45.0,127.0,19.0,46.0,89.0,63.0,40.0,39.0,69.0,128.0,2.0,21.0,15.0,72.0,28.0,11.0,12.0,60.0,105.0,37.0,141.0,87.0,104.0
152,7.0,16.0,58.0,48.0,89.0,4.0,17.0,94.0,70.0,22.0,42.0,34.0,10.0,43.0,37.0,79.0,33.0,13.0,24.0,14.0,51.0,78.0,75.0,99.0,28.0,114.0,98.0,45.0,50.0,26.0
201,6.0,43.0,42.0,63.0,37.0,12.0,47.0,45.0,10.0,5.0,18.0,9.0,1.0,29.0,149.0,77.0,11.0,53.0,46.0,23.0,17.0,146.0,75.0,107.0,90.0,34.0,93.0,56.0,35.0,72.0
250,3.0,34.0,36.0,138.0,42.0,18.0,24.0,7.0,10.0,41.0,80.0,163.0,17.0,47.0,49.0,45.0,135.0,20.0,9.0,48.0,8.0,72.0,71.0,98.0,107.0,63.0,33.0,70.0,79.0,99.0
299,6.0,76.0,87.0,44.0,34.0,128.0,17.0,31.0,37.0,28.0,80.0,50.0,83.0,68.0,155.0,74.0,23.0,15.0,89.0,84.0,61.0,45.0,120.0,40.0,8.0,52.0,1.0,19.0,133.0,39.0
348,3.0,50.0,93.0,16.0,18.0,104.0,27.0,49.0,86.0,41.0,71.0,45.0,51.0,130.0,48.0,94.0,28.0,7.0,133.0,15.0,83.0,55.0,132.0,68.0,32.0,110.0,12.0,142.0,114.0,87.0
397,6.0,40.0,98.0,15.0,17.0,14.0,89.0,93.0,62.0,142.0,96.0,12.0,49.0,69.0,86.0,111.0,60.0,53.0,66.0,31.0,34.0,23.0,2.0,81.0,9.0,58.0,67.0,85.0,33.0,3.0
446,5.0,49.0,96.0,28.0,71.0,127.0,27.0,88.0,132.0,4.0,25.0,21.0,18.0,135.0,58.0,72.0,134.0,0.0,128.0,54.0,68.0,31.0,126.0,92.0,36.0,80.0,30.0,34.0,73.0,94.0
495,10.0,16.0,18.0,15.0,19.0,44.0,86.0,20.0,11.0,34.0,88.0,26.0,28.0,65.0,61.0,49.0,94.0,13.0,112.0,25.0,2.0,48.0,108.0,39.0,37.0,93.0,160.0,141.0,33.0,32.0
544,11.0,18.0,49.0,0.0,2.0,8.0,44.0,13.0,132.0,36.0,50.0,74.0,20.0,59.0,33.0,38.0,21.0,62.0,1.0,61.0,55.0,58.0,103.0,28.0,42.0,97.0,119.0,31.0,136.0,34.0
593,13.0,18.0,1.0,83.0,12.0,48.0,23.0,5.0,110.0,9.0,41.0,101.0,8.0,2.0,43.0,27.0,28.0,107.0,70.0,124.0,57.0,32.0,108.0,157.0,40.0,47.0,36.0,76.0,97.0,19.0
642,6.0,5.0,9.0,8.0,19.0,43.0,27.0,37.0,32.0,56.0,34.0,41.0,149.0,14.0,72.0,45.0,28.0,119.0,128.0,133.0,139.0,77.0,0.0,125.0,76.0,38.0,62.0,54.0,31.0,51.0
