,hsa-miR-921,hsa-miR-223,hsa-miR-34a,hsa-miR-574-5p,hsa-miR-1233,hsv2-miR-H3,hsa-miR-126,hsa-miR-616,hsa-miR-548d-3p,hsa-miR-34c-5p,hsa-miR-548j,hsa-miR-186,hsa-miR-134,hsa-miR-450a,hsa-miR-885-3p,hsa-miR-1284,hsa-miR-744,hsa-miR-550,hsa-miR-140-5p,hsa-miR-31,hsa-miR-877,hsa-miR-1247,hsa-miR-143,hsa-miR-892a,hsa-miR-299-3p,hsa-miR-1323,hsa-miR-142-5p,hsa-miR-33b,hsa-miR-657,hsa-miR-222
17,0.0,11.0,9.0,1.0,4.0,2.0,39.0,14.0,7.0,15.0,23.0,28.0,18.0,6.0,5.0,33.0,3.0,29.0,30.0,20.0,466.0,26.0,74.0,27.0,54.0,62.0,13.0,103.0,58.0,16.0
66,0.0,6.0,2.0,1.0,3.0,16.0,81.0,21.0,42.0,5.0,20.0,7.0,10.0,13.0,12.0,31.0,9.0,35.0,18.0,4.0,82.0,27.0,14.0,19.0,47.0,61.0,15.0,84.0,44.0,17.0
115,1.0,13.0,2.0,0.0,5.0,8.0,28.0,6.0,41.0,9.0,11.0,57.0,3.0,4.0,7.0,25.0,24.0,172.0,19.0,17.0,296.0,63.0,21.0,46.0,38.0,39.0,29.0,81.0,69.0,34.0
164,1.0,3.0,0.0,6.0,2.0,18.0,41.0,5.0,24.0,37.0,9.0,44.0,23.0,11.0,12.0,56.0,21.0,25.0,42.0,4.0,95.0,8.0,13.0,39.0,22.0,19.0,7.0,72.0,27.0,16.0
213,2.0,9.0,5.0,1.0,3.0,35.0,99.0,8.0,41.0,10.0,16.0,20.0,26.0,7.0,4.0,34.0,0.0,17.0,13.0,14.0,81.0,21.0,6.0,49.0,68.0,56.0,29.0,66.0,108.0,25.0
262,0.0,11.0,1.0,2.0,4.0,5.0,13.0,23.0,74.0,19.0,10.0,16.0,12.0,3.0,34.0,31.0,14.0,7.0,9.0,25.0,303.0,45.0,8.0,6.0,15.0,44.0,20.0,50.0,36.0,27.0
311,3.0,2.0,6.0,4.0,0.0,7.0,49.0,10.0,89.0,38.0,12.0,13.0,11.0,83.0,42.0,16.0,1.0,18.0,8.0,5.0,69.0,56.0,68.0,9.0,66.0,52.0,43.0,45.0,229.0,15.0
360,0.0,3.0,2.0,1.0,5.0,31.0,37.0,12.0,67.0,16.0,10.0,39.0,36.0,13.0,6.0,103.0,38.0,44.0,11.0,15.0,262.0,76.0,8.0,17.0,4.0,47.0,9.0,45.0,19.0,26.0
409,0.0,1.0,12.0,2.0,7.0,23.0,71.0,41.0,43.0,20.0,4.0,15.0,10.0,6.0,16.0,39.0,28.0,26.0,8.0,5.0,258.0,36.0,9.0,14.0,25.0,57.0,3.0,47.0,85.0,48.0
458,0.0,3.0,1.0,2.0,4.0,34.0,44.0,11.0,69.0,24.0,15.0,101.0,6.0,32.0,14.0,28.0,10.0,12.0,16.0,17.0,64.0,20.0,7.0,13.0,36.0,53.0,25.0,75.0,60.0,8.0
507,0.0,2.0,1.0,9.0,13.0,67.0,27.0,24.0,8.0,17.0,6.0,34.0,3.0,5.0,38.0,29.0,31.0,68.0,22.0,10.0,18.0,94.0,37.0,55.0,23.0,12.0,33.0,15.0,19.0,35.0
556,5.0,22.0,0.0,1.0,11.0,3.0,12.0,34.0,15.0,46.0,32.0,13.0,21.0,9.0,54.0,8.0,29.0,2.0,25.0,503.0,80.0,4.0,49.0,43.0,7.0,10.0,48.0,17.0,38.0,64.0
605,1.0,0.0,8.0,2.0,33.0,4.0,34.0,21.0,13.0,11.0,9.0,22.0,30.0,3.0,7.0,15.0,52.0,18.0,14.0,95.0,26.0,20.0,47.0,23.0,5.0,12.0,71.0,36.0,61.0,38.0
654,0.0,7.0,3.0,1.0,26.0,13.0,21.0,34.0,9.0,5.0,27.0,22.0,2.0,12.0,11.0,40.0,46.0,20.0,81.0,18.0,62.0,4.0,28.0,69.0,14.0,15.0,41.0,31.0,70.0,52.0
703,0.0,9.0,12.0,7.0,5.0,6.0,16.0,3.0,2.0,111.0,11.0,20.0,17.0,45.0,24.0,1.0,47.0,4.0,23.0,71.0,68.0,37.0,60.0,73.0,26.0,14.0,82.0,21.0,78.0,13.0
752,0.0,2.0,1.0,5.0,13.0,17.0,30.0,36.0,10.0,18.0,20.0,9.0,3.0,4.0,26.0,23.0,35.0,24.0,43.0,50.0,15.0,8.0,21.0,110.0,11.0,19.0,65.0,14.0,57.0,12.0
801,0.0,12.0,1.0,2.0,45.0,8.0,5.0,7.0,9.0,18.0,73.0,27.0,47.0,11.0,3.0,4.0,21.0,23.0,46.0,61.0,13.0,14.0,24.0,52.0,55.0,39.0,38.0,26.0,58.0,16.0
850,0.0,6.0,3.0,5.0,13.0,1.0,11.0,9.0,15.0,24.0,20.0,41.0,44.0,37.0,19.0,8.0,2.0,26.0,14.0,36.0,4.0,81.0,31.0,46.0,25.0,34.0,47.0,21.0,16.0,10.0
899,2.0,1.0,4.0,0.0,27.0,8.0,7.0,5.0,6.0,26.0,10.0,21.0,24.0,50.0,46.0,54.0,11.0,16.0,19.0,62.0,14.0,32.0,17.0,69.0,34.0,22.0,74.0,13.0,39.0,52.0
948,1.0,15.0,2.0,3.0,21.0,0.0,71.0,27.0,10.0,434.0,45.0,22.0,9.0,11.0,59.0,28.0,13.0,4.0,12.0,6.0,73.0,16.0,18.0,55.0,40.0,29.0,43.0,26.0,42.0,345.0
997,0.0,5.0,51.0,8.0,14.0,4.0,28.0,7.0,31.0,17.0,23.0,20.0,34.0,32.0,1.0,3.0,9.0,114.0,29.0,25.0,45.0,92.0,26.0,27.0,50.0,71.0,43.0,63.0,314.0,6.0
1046,0.0,1.0,9.0,5.0,16.0,4.0,7.0,8.0,17.0,12.0,21.0,27.0,18.0,40.0,2.0,13.0,14.0,26.0,41.0,10.0,11.0,24.0,33.0,19.0,64.0,43.0,47.0,29.0,28.0,20.0
1095,1.0,19.0,11.0,13.0,35.0,0.0,6.0,29.0,5.0,7.0,41.0,8.0,3.0,18.0,36.0,10.0,17.0,103.0,39.0,12.0,4.0,353.0,83.0,9.0,81.0,55.0,93.0,22.0,316.0,30.0
1144,0.0,12.0,2.0,1.0,5.0,7.0,46.0,6.0,10.0,17.0,26.0,29.0,20.0,9.0,3.0,13.0,11.0,169.0,45.0,37.0,8.0,40.0,24.0,21.0,72.0,14.0,70.0,33.0,67.0,15.0
1193,0.0,2.0,9.0,3.0,32.0,1.0,4.0,13.0,8.0,18.0,48.0,12.0,25.0,31.0,6.0,20.0,24.0,256.0,53.0,7.0,5.0,23.0,16.0,22.0,43.0,42.0,66.0,55.0,40.0,11.0
1242,0.0,6.0,49.0,7.0,8.0,5.0,3.0,19.0,4.0,1.0,45.0,12.0,33.0,41.0,13.0,2.0,20.0,151.0,379.0,11.0,21.0,29.0,75.0,94.0,23.0,40.0,26.0,31.0,58.0,15.0
1291,1.0,3.0,40.0,32.0,18.0,2.0,23.0,14.0,12.0,4.0,48.0,10.0,11.0,44.0,7.0,9.0,6.0,77.0,37.0,27.0,0.0,24.0,26.0,58.0,65.0,33.0,35.0,16.0,73.0,30.0
1340,14.0,17.0,2.0,6.0,49.0,0.0,18.0,15.0,5.0,4.0,70.0,9.0,20.0,25.0,7.0,16.0,1.0,88.0,50.0,12.0,11.0,26.0,29.0,10.0,87.0,28.0,36.0,34.0,37.0,3.0
1389,2.0,7.0,42.0,3.0,29.0,0.0,11.0,22.0,17.0,6.0,33.0,13.0,16.0,8.0,10.0,1.0,5.0,85.0,63.0,32.0,25.0,56.0,26.0,12.0,492.0,50.0,38.0,41.0,9.0,30.0
1438,0.0,5.0,33.0,2.0,11.0,8.0,34.0,7.0,16.0,27.0,50.0,3.0,86.0,1.0,12.0,6.0,13.0,249.0,65.0,9.0,38.0,37.0,73.0,14.0,466.0,21.0,42.0,20.0,36.0,29.0
1487,1.0,7.0,8.0,9.0,0.0,17.0,6.0,10.0,19.0,13.0,5.0,14.0,4.0,26.0,20.0,21.0,57.0,22.0,15.0,3.0,295.0,12.0,45.0,68.0,43.0,29.0,94.0,72.0,317.0,84.0
1536,22.0,6.0,20.0,0.0,11.0,14.0,4.0,7.0,16.0,27.0,35.0,28.0,26.0,31.0,5.0,3.0,29.0,47.0,73.0,17.0,288.0,15.0,21.0,34.0,82.0,53.0,36.0,60.0,62.0,46.0
1585,3.0,1.0,0.0,20.0,15.0,9.0,14.0,18.0,17.0,11.0,4.0,67.0,7.0,16.0,19.0,8.0,24.0,6.0,68.0,2.0,66.0,33.0,21.0,10.0,35.0,48.0,37.0,41.0,316.0,508.0
1634,2.0,3.0,8.0,7.0,1.0,23.0,5.0,41.0,21.0,19.0,16.0,18.0,12.0,28.0,45.0,0.0,9.0,14.0,39.0,6.0,24.0,13.0,4.0,27.0,78.0,32.0,34.0,91.0,73.0,37.0
1683,3.0,0.0,10.0,14.0,21.0,9.0,13.0,11.0,26.0,24.0,7.0,16.0,4.0,18.0,38.0,2.0,106.0,27.0,30.0,1.0,29.0,35.0,12.0,19.0,62.0,50.0,33.0,83.0,314.0,108.0
1732,17.0,0.0,11.0,4.0,15.0,14.0,40.0,10.0,48.0,3.0,13.0,37.0,1.0,12.0,2.0,5.0,50.0,7.0,29.0,47.0,84.0,28.0,8.0,24.0,27.0,32.0,58.0,520.0,314.0,78.0
1781,14.0,2.0,0.0,20.0,5.0,8.0,9.0,16.0,6.0,17.0,3.0,103.0,1.0,24.0,26.0,4.0,10.0,19.0,380.0,39.0,52.0,29.0,15.0,25.0,40.0,36.0,7.0,35.0,63.0,33.0
1830,6.0,0.0,8.0,26.0,2.0,18.0,4.0,21.0,13.0,17.0,3.0,105.0,11.0,14.0,29.0,1.0,15.0,23.0,47.0,5.0,42.0,70.0,32.0,16.0,12.0,39.0,24.0,82.0,68.0,439.0
1879,2.0,1.0,4.0,9.0,6.0,14.0,5.0,12.0,18.0,43.0,13.0,30.0,19.0,10.0,15.0,0.0,70.0,27.0,72.0,7.0,37.0,28.0,17.0,3.0,25.0,31.0,84.0,98.0,55.0,53.0
1928,20.0,8.0,0.0,16.0,3.0,15.0,2.0,12.0,43.0,41.0,14.0,27.0,7.0,25.0,22.0,11.0,19.0,4.0,6.0,17.0,39.0,35.0,10.0,37.0,23.0,24.0,81.0,97.0,289.0,107.0
1977,5.0,1.0,0.0,7.0,4.0,12.0,2.0,18.0,40.0,6.0,20.0,8.0,68.0,53.0,58.0,46.0,37.0,33.0,15.0,23.0,27.0,49.0,101.0,9.0,10.0,24.0,86.0,43.0,3.0,59.0
2026,3.0,2.0,5.0,6.0,9.0,1.0,4.0,10.0,18.0,13.0,36.0,20.0,102.0,85.0,69.0,7.0,25.0,29.0,17.0,30.0,14.0,58.0,33.0,12.0,22.0,16.0,94.0,41.0,0.0,59.0
2075,7.0,1.0,2.0,5.0,39.0,0.0,6.0,9.0,17.0,27.0,37.0,14.0,24.0,33.0,26.0,46.0,22.0,21.0,43.0,10.0,18.0,20.0,25.0,32.0,15.0,47.0,85.0,75.0,3.0,74.0
2124,1.0,0.0,11.0,9.0,10.0,2.0,23.0,4.0,15.0,31.0,5.0,27.0,34.0,33.0,41.0,21.0,55.0,30.0,3.0,12.0,6.0,16.0,71.0,14.0,29.0,17.0,44.0,61.0,8.0,76.0
2173,0.0,3.0,1.0,6.0,4.0,23.0,2.0,17.0,7.0,40.0,26.0,8.0,46.0,58.0,64.0,60.0,15.0,13.0,12.0,30.0,18.0,38.0,27.0,37.0,5.0,35.0,31.0,24.0,9.0,29.0
2222,2.0,1.0,10.0,7.0,9.0,8.0,5.0,14.0,16.0,15.0,20.0,3.0,68.0,6.0,42.0,24.0,120.0,12.0,53.0,56.0,4.0,13.0,39.0,28.0,23.0,30.0,110.0,26.0,0.0,84.0
2271,4.0,8.0,25.0,1.0,7.0,0.0,3.0,14.0,30.0,10.0,21.0,11.0,18.0,75.0,35.0,39.0,56.0,22.0,13.0,12.0,5.0,6.0,24.0,20.0,31.0,71.0,94.0,42.0,2.0,347.0
2320,7.0,0.0,12.0,3.0,10.0,11.0,2.0,5.0,9.0,34.0,22.0,64.0,20.0,4.0,31.0,17.0,74.0,73.0,21.0,38.0,8.0,28.0,13.0,1.0,51.0,19.0,100.0,41.0,6.0,46.0
2369,23.0,3.0,7.0,8.0,2.0,5.0,0.0,6.0,13.0,17.0,32.0,22.0,31.0,21.0,84.0,72.0,14.0,35.0,25.0,11.0,10.0,20.0,40.0,9.0,15.0,24.0,65.0,30.0,4.0,29.0
2418,3.0,0.0,7.0,6.0,16.0,12.0,8.0,9.0,11.0,4.0,55.0,17.0,15.0,94.0,44.0,84.0,48.0,70.0,19.0,77.0,2.0,18.0,35.0,25.0,20.0,21.0,66.0,41.0,1.0,83.0
2467,11.0,0.0,2.0,5.0,16.0,52.0,1.0,64.0,28.0,513.0,6.0,3.0,19.0,21.0,14.0,20.0,25.0,13.0,49.0,17.0,32.0,27.0,47.0,26.0,8.0,43.0,22.0,18.0,54.0,56.0
2516,1.0,4.0,0.0,5.0,9.0,7.0,6.0,20.0,51.0,43.0,11.0,3.0,22.0,23.0,17.0,14.0,28.0,2.0,19.0,8.0,33.0,76.0,420.0,16.0,10.0,18.0,12.0,21.0,110.0,91.0
2565,11.0,4.0,0.0,1.0,5.0,23.0,6.0,17.0,22.0,14.0,13.0,18.0,16.0,10.0,61.0,70.0,12.0,3.0,9.0,19.0,46.0,75.0,30.0,44.0,57.0,27.0,7.0,29.0,313.0,126.0
2614,2.0,5.0,3.0,11.0,1.0,8.0,0.0,17.0,15.0,35.0,12.0,6.0,45.0,65.0,62.0,25.0,22.0,4.0,14.0,7.0,19.0,51.0,95.0,43.0,18.0,53.0,21.0,27.0,49.0,64.0
2663,1.0,2.0,0.0,4.0,19.0,50.0,9.0,16.0,12.0,5.0,44.0,6.0,54.0,8.0,60.0,18.0,10.0,3.0,22.0,15.0,25.0,29.0,87.0,7.0,24.0,43.0,11.0,13.0,78.0,21.0
2712,1.0,3.0,0.0,4.0,8.0,79.0,2.0,10.0,20.0,7.0,50.0,5.0,34.0,9.0,256.0,11.0,12.0,30.0,56.0,27.0,14.0,17.0,89.0,47.0,21.0,41.0,28.0,25.0,101.0,43.0
2761,0.0,5.0,1.0,2.0,12.0,4.0,6.0,31.0,8.0,40.0,13.0,7.0,28.0,21.0,98.0,27.0,11.0,10.0,9.0,3.0,14.0,37.0,65.0,24.0,22.0,36.0,61.0,16.0,44.0,32.0
2810,3.0,2.0,1.0,8.0,4.0,13.0,11.0,12.0,5.0,15.0,20.0,6.0,18.0,49.0,60.0,32.0,44.0,0.0,35.0,29.0,37.0,16.0,43.0,17.0,30.0,33.0,10.0,9.0,114.0,21.0
2859,5.0,0.0,4.0,3.0,19.0,18.0,2.0,30.0,7.0,1.0,16.0,12.0,10.0,13.0,103.0,21.0,8.0,6.0,20.0,27.0,15.0,68.0,46.0,44.0,9.0,22.0,23.0,17.0,99.0,93.0
2908,2.0,11.0,1.0,10.0,7.0,22.0,5.0,16.0,38.0,24.0,27.0,4.0,9.0,57.0,15.0,17.0,42.0,0.0,19.0,50.0,21.0,26.0,51.0,14.0,13.0,43.0,3.0,40.0,84.0,29.0
2957,2.0,1.0,0.0,15.0,5.0,20.0,29.0,13.0,11.0,8.0,18.0,83.0,105.0,51.0,6.0,22.0,308.0,17.0,16.0,35.0,10.0,4.0,14.0,119.0,26.0,95.0,23.0,33.0,7.0,46.0
3006,3.0,2.0,8.0,4.0,7.0,6.0,29.0,0.0,15.0,40.0,9.0,23.0,56.0,43.0,10.0,12.0,31.0,5.0,20.0,11.0,17.0,1.0,47.0,22.0,45.0,18.0,46.0,34.0,13.0,357.0
3055,18.0,1.0,0.0,4.0,11.0,6.0,17.0,10.0,38.0,2.0,7.0,45.0,84.0,19.0,21.0,14.0,46.0,3.0,27.0,36.0,13.0,5.0,12.0,24.0,20.0,35.0,29.0,41.0,25.0,104.0
3104,29.0,0.0,1.0,20.0,70.0,7.0,28.0,10.0,22.0,26.0,4.0,3.0,23.0,19.0,9.0,6.0,239.0,5.0,14.0,30.0,2.0,8.0,21.0,71.0,18.0,32.0,11.0,39.0,25.0,36.0
3153,0.0,2.0,21.0,25.0,23.0,18.0,11.0,8.0,14.0,10.0,4.0,16.0,61.0,13.0,3.0,34.0,101.0,33.0,26.0,9.0,27.0,35.0,17.0,65.0,22.0,39.0,15.0,70.0,5.0,82.0
3202,0.0,10.0,2.0,4.0,6.0,1.0,23.0,11.0,66.0,9.0,20.0,17.0,294.0,46.0,15.0,25.0,110.0,21.0,16.0,42.0,3.0,7.0,30.0,49.0,83.0,51.0,8.0,41.0,29.0,45.0
3251,14.0,3.0,0.0,10.0,4.0,2.0,15.0,1.0,35.0,6.0,16.0,23.0,79.0,22.0,13.0,37.0,19.0,5.0,62.0,75.0,9.0,7.0,25.0,47.0,20.0,28.0,34.0,42.0,29.0,26.0
