,hsa-miR-205,hsa-miR-223,hsa-miR-216a,hsa-miR-222,hsa-miR-934,hsa-miR-296-5p,hsa-miR-219-2-3p,hsa-miR-196b,hsa-miR-135b,hsa-miR-200a,hsa-miR-31,hsa-miR-517b,hsa-miR-615-3p,hsa-miR-1266,hsa-miR-99a,hsa-miR-497,hsa-miR-1254,hsa-miR-662,hsa-miR-30c,hsa-miR-140-5p,hsa-miR-375,hsa-miR-143,hsa-miR-299-5p,hsa-miR-151-3p,kshv-miR-K12-4-3p,hsa-miR-450b-3p,hsa-miR-29c,hsa-miR-548a-3p,hsa-miR-30a,hsa-miR-137
18,0.0,2.0,1.0,7.0,32.0,12.0,14.0,3.0,33.0,6.0,4.0,291.0,110.0,53.0,55.0,180.0,51.0,21.0,257.0,13.0,94.0,65.0,154.0,195.0,11.0,37.0,88.0,318.0,50.0,156.0
67,0.0,2.0,22.0,47.0,8.0,12.0,5.0,1.0,20.0,24.0,13.0,11.0,25.0,7.0,95.0,41.0,4.0,6.0,108.0,234.0,9.0,297.0,240.0,19.0,29.0,186.0,34.0,308.0,31.0,81.0
116,1.0,9.0,2.0,83.0,8.0,12.0,3.0,0.0,24.0,6.0,72.0,56.0,17.0,7.0,218.0,148.0,55.0,26.0,178.0,39.0,43.0,104.0,240.0,231.0,79.0,181.0,47.0,351.0,49.0,5.0
165,0.0,2.0,9.0,13.0,41.0,47.0,3.0,1.0,5.0,87.0,16.0,448.0,46.0,6.0,571.0,61.0,4.0,69.0,403.0,17.0,67.0,507.0,89.0,236.0,95.0,99.0,28.0,131.0,188.0,471.0
214,0.0,5.0,3.0,13.0,91.0,42.0,4.0,2.0,15.0,7.0,1.0,132.0,20.0,12.0,16.0,8.0,10.0,22.0,45.0,24.0,51.0,36.0,21.0,56.0,172.0,71.0,169.0,512.0,119.0,35.0
263,0.0,2.0,3.0,6.0,10.0,22.0,46.0,1.0,7.0,15.0,11.0,19.0,16.0,9.0,32.0,231.0,13.0,31.0,40.0,26.0,146.0,531.0,12.0,8.0,245.0,81.0,51.0,235.0,62.0,184.0
312,0.0,9.0,6.0,3.0,48.0,18.0,8.0,1.0,52.0,2.0,30.0,50.0,13.0,14.0,150.0,34.0,4.0,11.0,548.0,37.0,16.0,230.0,69.0,88.0,102.0,46.0,401.0,575.0,188.0,249.0
361,0.0,12.0,35.0,5.0,7.0,15.0,2.0,1.0,13.0,8.0,3.0,6.0,183.0,14.0,361.0,28.0,9.0,4.0,113.0,39.0,16.0,214.0,43.0,250.0,10.0,54.0,75.0,89.0,202.0,245.0
410,0.0,1.0,2.0,3.0,9.0,5.0,6.0,4.0,235.0,8.0,17.0,18.0,243.0,31.0,7.0,24.0,13.0,34.0,98.0,125.0,10.0,516.0,36.0,12.0,59.0,305.0,52.0,106.0,15.0,172.0
459,0.0,8.0,6.0,4.0,20.0,9.0,3.0,1.0,11.0,5.0,7.0,2.0,16.0,10.0,13.0,29.0,40.0,17.0,33.0,77.0,12.0,78.0,15.0,90.0,47.0,295.0,103.0,66.0,28.0,626.0
508,0.0,1.0,3.0,18.0,6.0,44.0,2.0,24.0,31.0,7.0,8.0,230.0,49.0,214.0,80.0,9.0,52.0,4.0,47.0,11.0,123.0,42.0,227.0,69.0,19.0,43.0,256.0,56.0,13.0,249.0
557,0.0,1.0,4.0,14.0,8.0,29.0,12.0,127.0,159.0,10.0,106.0,13.0,2.0,149.0,126.0,444.0,201.0,90.0,37.0,7.0,179.0,21.0,164.0,19.0,64.0,27.0,9.0,73.0,202.0,22.0
606,0.0,7.0,1.0,2.0,3.0,4.0,19.0,50.0,157.0,64.0,44.0,6.0,54.0,18.0,26.0,278.0,458.0,245.0,442.0,11.0,295.0,13.0,100.0,9.0,115.0,5.0,150.0,214.0,92.0,71.0
655,0.0,1.0,4.0,30.0,5.0,28.0,101.0,9.0,25.0,63.0,129.0,7.0,23.0,6.0,15.0,149.0,2.0,26.0,37.0,66.0,387.0,43.0,11.0,234.0,3.0,12.0,10.0,227.0,84.0,363.0
704,0.0,3.0,2.0,7.0,5.0,44.0,41.0,32.0,4.0,30.0,10.0,1.0,29.0,11.0,12.0,33.0,31.0,234.0,70.0,84.0,65.0,14.0,277.0,52.0,55.0,21.0,49.0,50.0,101.0,149.0
753,0.0,2.0,1.0,10.0,31.0,6.0,98.0,123.0,153.0,183.0,399.0,3.0,13.0,5.0,8.0,4.0,29.0,208.0,268.0,20.0,77.0,21.0,16.0,100.0,35.0,18.0,91.0,11.0,28.0,258.0
802,0.0,1.0,3.0,14.0,2.0,6.0,276.0,13.0,11.0,54.0,9.0,8.0,81.0,4.0,50.0,23.0,7.0,28.0,119.0,17.0,52.0,16.0,36.0,77.0,15.0,34.0,125.0,46.0,44.0,246.0
851,0.0,3.0,1.0,10.0,7.0,5.0,31.0,2.0,17.0,185.0,59.0,12.0,76.0,4.0,11.0,15.0,19.0,28.0,356.0,202.0,103.0,8.0,33.0,117.0,80.0,6.0,52.0,116.0,34.0,88.0
900,0.0,3.0,1.0,9.0,18.0,52.0,75.0,8.0,5.0,11.0,30.0,2.0,24.0,4.0,95.0,93.0,15.0,6.0,37.0,16.0,97.0,69.0,35.0,164.0,129.0,64.0,10.0,260.0,41.0,76.0
949,0.0,4.0,1.0,9.0,22.0,2.0,15.0,6.0,5.0,168.0,69.0,35.0,30.0,10.0,241.0,24.0,3.0,21.0,567.0,14.0,99.0,19.0,174.0,62.0,17.0,11.0,141.0,91.0,255.0,71.0
998,0.0,3.0,1.0,10.0,5.0,87.0,34.0,11.0,2.0,21.0,8.0,290.0,9.0,135.0,6.0,33.0,330.0,451.0,48.0,110.0,108.0,74.0,20.0,42.0,268.0,23.0,7.0,19.0,112.0,64.0
1047,0.0,1.0,3.0,22.0,16.0,29.0,7.0,21.0,2.0,33.0,15.0,6.0,5.0,49.0,31.0,10.0,9.0,88.0,20.0,486.0,12.0,19.0,200.0,52.0,190.0,113.0,14.0,44.0,4.0,201.0
1096,0.0,1.0,8.0,18.0,12.0,40.0,9.0,2.0,3.0,75.0,4.0,5.0,45.0,583.0,96.0,29.0,22.0,19.0,24.0,477.0,15.0,276.0,23.0,65.0,70.0,20.0,132.0,7.0,32.0,36.0
1145,4.0,2.0,0.0,3.0,22.0,8.0,14.0,1.0,34.0,129.0,67.0,18.0,31.0,26.0,5.0,187.0,9.0,7.0,27.0,548.0,83.0,38.0,23.0,30.0,99.0,29.0,10.0,6.0,11.0,193.0
1194,0.0,1.0,12.0,11.0,20.0,79.0,2.0,24.0,8.0,151.0,122.0,5.0,100.0,92.0,47.0,27.0,77.0,50.0,6.0,188.0,68.0,41.0,229.0,31.0,54.0,13.0,4.0,10.0,39.0,19.0
1243,0.0,1.0,2.0,11.0,15.0,19.0,195.0,5.0,10.0,339.0,119.0,133.0,71.0,85.0,4.0,3.0,147.0,36.0,27.0,61.0,368.0,34.0,29.0,64.0,570.0,9.0,7.0,18.0,78.0,141.0
1292,1.0,0.0,3.0,30.0,18.0,25.0,13.0,4.0,2.0,111.0,24.0,110.0,8.0,177.0,5.0,22.0,97.0,7.0,44.0,539.0,45.0,17.0,422.0,84.0,29.0,48.0,43.0,11.0,235.0,190.0
1341,0.0,1.0,2.0,27.0,32.0,4.0,24.0,7.0,3.0,25.0,5.0,177.0,8.0,19.0,15.0,38.0,28.0,35.0,11.0,29.0,184.0,58.0,118.0,43.0,59.0,255.0,6.0,12.0,21.0,89.0
1390,0.0,8.0,3.0,7.0,45.0,150.0,35.0,2.0,96.0,151.0,218.0,20.0,1.0,170.0,29.0,11.0,118.0,4.0,221.0,409.0,415.0,53.0,297.0,22.0,133.0,17.0,51.0,6.0,346.0,270.0
1439,0.0,3.0,6.0,28.0,2.0,48.0,7.0,1.0,4.0,12.0,120.0,24.0,45.0,51.0,40.0,11.0,13.0,10.0,99.0,94.0,210.0,30.0,405.0,239.0,157.0,164.0,123.0,8.0,9.0,5.0
1488,0.0,1.0,6.0,16.0,2.0,5.0,8.0,3.0,9.0,13.0,20.0,4.0,195.0,10.0,39.0,32.0,7.0,79.0,214.0,17.0,57.0,47.0,23.0,351.0,198.0,598.0,12.0,11.0,18.0,88.0
1537,0.0,1.0,2.0,5.0,3.0,9.0,42.0,6.0,4.0,585.0,105.0,19.0,38.0,11.0,7.0,108.0,28.0,63.0,131.0,139.0,81.0,68.0,45.0,181.0,51.0,97.0,533.0,155.0,14.0,443.0
1586,0.0,4.0,12.0,2.0,5.0,10.0,32.0,89.0,1.0,3.0,11.0,30.0,8.0,6.0,27.0,41.0,21.0,191.0,36.0,19.0,22.0,13.0,158.0,82.0,46.0,59.0,396.0,452.0,17.0,121.0
1635,0.0,3.0,4.0,13.0,2.0,85.0,21.0,5.0,1.0,9.0,10.0,64.0,7.0,348.0,11.0,71.0,48.0,34.0,147.0,223.0,44.0,172.0,19.0,47.0,80.0,6.0,486.0,123.0,28.0,216.0
1684,0.0,3.0,12.0,19.0,18.0,10.0,9.0,5.0,7.0,8.0,6.0,38.0,4.0,1.0,15.0,43.0,40.0,496.0,387.0,17.0,217.0,31.0,439.0,30.0,79.0,198.0,54.0,29.0,16.0,246.0
1733,0.0,5.0,1.0,11.0,3.0,17.0,15.0,27.0,2.0,4.0,9.0,12.0,109.0,18.0,26.0,45.0,6.0,29.0,10.0,63.0,116.0,13.0,115.0,41.0,54.0,557.0,35.0,25.0,8.0,31.0
1782,0.0,5.0,2.0,8.0,1.0,9.0,61.0,38.0,3.0,31.0,133.0,7.0,62.0,15.0,34.0,208.0,35.0,145.0,11.0,23.0,41.0,16.0,109.0,389.0,171.0,37.0,40.0,6.0,103.0,518.0
1831,0.0,7.0,2.0,4.0,1.0,5.0,176.0,11.0,14.0,36.0,33.0,47.0,10.0,3.0,78.0,55.0,6.0,16.0,23.0,20.0,17.0,45.0,364.0,28.0,111.0,64.0,132.0,34.0,13.0,493.0
1880,0.0,2.0,1.0,7.0,5.0,23.0,16.0,30.0,9.0,207.0,20.0,15.0,65.0,8.0,37.0,48.0,6.0,35.0,4.0,25.0,317.0,18.0,11.0,72.0,54.0,14.0,189.0,3.0,240.0,280.0
1929,0.0,2.0,6.0,11.0,1.0,31.0,17.0,8.0,49.0,14.0,13.0,40.0,21.0,10.0,5.0,3.0,15.0,59.0,16.0,244.0,19.0,12.0,277.0,156.0,50.0,169.0,111.0,18.0,308.0,120.0
1978,0.0,2.0,1.0,3.0,9.0,6.0,10.0,128.0,7.0,4.0,163.0,43.0,84.0,14.0,67.0,23.0,16.0,12.0,127.0,15.0,65.0,122.0,18.0,19.0,430.0,61.0,82.0,563.0,71.0,5.0
2027,0.0,3.0,2.0,4.0,18.0,29.0,23.0,42.0,11.0,67.0,7.0,1.0,95.0,5.0,68.0,35.0,74.0,24.0,40.0,12.0,9.0,80.0,136.0,13.0,193.0,59.0,15.0,164.0,44.0,6.0
2076,0.0,3.0,1.0,6.0,21.0,4.0,5.0,59.0,80.0,2.0,45.0,25.0,30.0,36.0,9.0,8.0,210.0,208.0,20.0,11.0,53.0,43.0,27.0,248.0,83.0,15.0,16.0,358.0,125.0,12.0
2125,0.0,10.0,1.0,11.0,8.0,23.0,31.0,245.0,3.0,28.0,110.0,15.0,12.0,289.0,7.0,29.0,133.0,54.0,21.0,50.0,26.0,188.0,44.0,13.0,224.0,381.0,14.0,52.0,17.0,9.0
2174,0.0,1.0,7.0,2.0,6.0,9.0,25.0,16.0,3.0,93.0,38.0,50.0,15.0,5.0,10.0,12.0,28.0,26.0,31.0,138.0,4.0,27.0,65.0,19.0,135.0,88.0,102.0,126.0,48.0,21.0
2223,0.0,5.0,4.0,9.0,137.0,1.0,38.0,92.0,2.0,20.0,172.0,29.0,58.0,36.0,93.0,11.0,189.0,7.0,17.0,65.0,3.0,10.0,43.0,8.0,253.0,12.0,112.0,32.0,15.0,154.0
2272,0.0,1.0,3.0,7.0,14.0,6.0,12.0,40.0,2.0,4.0,8.0,15.0,69.0,22.0,17.0,9.0,370.0,16.0,21.0,55.0,32.0,13.0,63.0,37.0,129.0,223.0,167.0,398.0,10.0,25.0
2321,0.0,2.0,8.0,7.0,35.0,9.0,6.0,31.0,1.0,19.0,268.0,5.0,51.0,13.0,203.0,254.0,26.0,11.0,10.0,12.0,62.0,30.0,37.0,14.0,34.0,40.0,45.0,83.0,36.0,3.0
2370,0.0,2.0,3.0,4.0,33.0,22.0,14.0,131.0,1.0,17.0,222.0,7.0,27.0,26.0,8.0,35.0,25.0,24.0,30.0,159.0,56.0,180.0,43.0,10.0,77.0,50.0,18.0,273.0,59.0,15.0
2419,0.0,6.0,1.0,4.0,18.0,2.0,11.0,231.0,5.0,97.0,42.0,3.0,30.0,20.0,9.0,10.0,56.0,15.0,37.0,33.0,17.0,213.0,25.0,21.0,78.0,19.0,105.0,68.0,39.0,7.0
2468,0.0,6.0,5.0,40.0,4.0,26.0,7.0,36.0,10.0,55.0,20.0,8.0,28.0,12.0,3.0,1.0,25.0,65.0,24.0,269.0,27.0,9.0,88.0,16.0,17.0,97.0,106.0,52.0,121.0,13.0
2517,0.0,3.0,2.0,6.0,9.0,139.0,21.0,17.0,7.0,1.0,11.0,13.0,15.0,34.0,29.0,4.0,111.0,37.0,313.0,66.0,28.0,10.0,202.0,25.0,5.0,23.0,207.0,90.0,366.0,8.0
2566,0.0,1.0,3.0,12.0,4.0,7.0,2.0,28.0,17.0,23.0,6.0,24.0,14.0,21.0,18.0,13.0,8.0,68.0,5.0,48.0,72.0,9.0,29.0,33.0,11.0,173.0,53.0,159.0,387.0,15.0
2615,0.0,2.0,1.0,3.0,4.0,9.0,8.0,21.0,19.0,7.0,11.0,34.0,23.0,30.0,6.0,5.0,31.0,14.0,12.0,197.0,68.0,60.0,38.0,20.0,10.0,97.0,264.0,13.0,342.0,28.0
2664,0.0,1.0,2.0,11.0,5.0,7.0,10.0,3.0,6.0,23.0,373.0,31.0,8.0,251.0,43.0,4.0,37.0,28.0,27.0,33.0,297.0,98.0,19.0,17.0,53.0,21.0,505.0,30.0,45.0,12.0
2713,0.0,1.0,4.0,24.0,2.0,3.0,15.0,11.0,26.0,13.0,22.0,344.0,5.0,167.0,12.0,7.0,49.0,9.0,20.0,37.0,8.0,93.0,206.0,10.0,84.0,34.0,485.0,25.0,242.0,6.0
2762,0.0,7.0,2.0,82.0,8.0,38.0,17.0,4.0,34.0,6.0,15.0,41.0,5.0,109.0,3.0,1.0,32.0,23.0,198.0,11.0,10.0,73.0,28.0,131.0,9.0,31.0,191.0,444.0,458.0,343.0
2811,0.0,4.0,7.0,39.0,3.0,15.0,2.0,14.0,12.0,5.0,8.0,10.0,20.0,69.0,22.0,1.0,83.0,113.0,19.0,60.0,11.0,30.0,29.0,16.0,9.0,90.0,182.0,49.0,88.0,26.0
2860,1.0,0.0,9.0,26.0,18.0,3.0,14.0,11.0,4.0,8.0,24.0,68.0,6.0,50.0,17.0,2.0,27.0,92.0,16.0,252.0,44.0,61.0,227.0,10.0,29.0,7.0,47.0,5.0,244.0,12.0
2909,0.0,1.0,2.0,144.0,36.0,3.0,5.0,8.0,11.0,17.0,24.0,9.0,10.0,16.0,34.0,13.0,7.0,126.0,60.0,6.0,82.0,26.0,14.0,4.0,30.0,164.0,94.0,27.0,50.0,20.0
2958,0.0,2.0,1.0,3.0,9.0,25.0,6.0,4.0,31.0,11.0,5.0,7.0,22.0,50.0,36.0,440.0,12.0,16.0,33.0,96.0,162.0,88.0,48.0,15.0,23.0,109.0,326.0,19.0,164.0,35.0
3007,0.0,2.0,3.0,1.0,16.0,12.0,7.0,6.0,59.0,17.0,4.0,10.0,63.0,14.0,22.0,111.0,9.0,48.0,13.0,18.0,44.0,498.0,28.0,628.0,5.0,8.0,54.0,11.0,223.0,181.0
3056,0.0,5.0,1.0,6.0,14.0,9.0,17.0,2.0,3.0,10.0,4.0,39.0,11.0,25.0,13.0,24.0,27.0,8.0,15.0,52.0,47.0,54.0,269.0,40.0,19.0,21.0,48.0,12.0,63.0,29.0
3105,0.0,2.0,1.0,7.0,14.0,15.0,6.0,4.0,13.0,12.0,11.0,5.0,67.0,128.0,36.0,28.0,10.0,18.0,51.0,8.0,143.0,171.0,99.0,298.0,119.0,3.0,146.0,9.0,256.0,16.0
3154,0.0,5.0,2.0,90.0,37.0,11.0,7.0,1.0,6.0,4.0,3.0,13.0,18.0,107.0,102.0,49.0,15.0,72.0,32.0,10.0,35.0,319.0,20.0,136.0,28.0,9.0,599.0,100.0,256.0,80.0
3203,0.0,14.0,1.0,8.0,10.0,6.0,3.0,2.0,7.0,71.0,36.0,5.0,28.0,43.0,4.0,39.0,18.0,30.0,80.0,61.0,398.0,152.0,9.0,41.0,65.0,81.0,122.0,92.0,172.0,284.0
3252,0.0,3.0,2.0,8.0,51.0,13.0,12.0,1.0,17.0,10.0,4.0,6.0,22.0,135.0,24.0,40.0,5.0,21.0,29.0,37.0,239.0,118.0,23.0,75.0,9.0,26.0,56.0,35.0,128.0,341.0
3301,0.0,3.0,1.0,6.0,15.0,50.0,10.0,4.0,9.0,16.0,13.0,2.0,30.0,7.0,39.0,48.0,37.0,47.0,319.0,8.0,130.0,179.0,85.0,81.0,17.0,14.0,356.0,5.0,119.0,23.0
3350,0.0,1.0,4.0,5.0,14.0,7.0,9.0,3.0,6.0,2.0,15.0,81.0,63.0,24.0,10.0,132.0,11.0,8.0,62.0,30.0,69.0,206.0,45.0,46.0,32.0,73.0,79.0,140.0,326.0,22.0
