,LOC284344_DEL,CDRT7_DEL,ZNF18_DEL,MYH2_DEL,CDRT15P1_DEL,USP17L7_DEL,DEFB130_DEL,ZNF705G_AMP,PRODH_DEL,CDRT4_DEL,BMPR2_AMP,LINC00670_DEL,ZSWIM7_DEL,FAM66D_DEL,SIRPB1_AMP,DNAH9_DEL,MYH8_DEL,CDKN2B_DEL,LOC727677_AMP,ACOT11_DEL,MAP2K4_DEL,TBC1D26_DEL,USP17L2_DEL,ARHGAP44_DEL,KDM5A_MUT,LOC100133267_DEL,KLHL38_AMP,DENND5B_AMP,PSG4_DEL,DNM1L_AMP
518,2637.0,23.0,5.0,77.0,9132.0,781.0,15.0,0.0,2646.0,30.0,1029.0,11.0,20370.0,1461.0,18031.0,881.0,174.0,20959.0,43.0,125.0,11454.0,58.0,4357.0,103.0,76.0,16.0,130.0,131.0,1624.0,16219.0
567,44.0,6512.0,104.0,99.0,7.0,30.0,43.0,0.0,428.0,51.0,1.0,803.0,299.0,555.0,2331.0,1360.0,193.0,20951.0,39.0,15.0,7849.0,115.0,221.0,5766.0,16949.0,132.0,15137.0,17732.0,28.0,16179.0
616,37.0,9109.0,2.0,4.0,9117.0,185.0,15.0,71.0,20.0,69.0,1.0,7.0,18.0,2095.0,18008.0,6086.0,11004.0,14.0,70.0,66.0,195.0,2763.0,2793.0,716.0,187.0,167.0,15202.0,2386.0,1151.0,1017.0
665,30.0,9207.0,28.0,733.0,33.0,8.0,29.0,603.0,12283.0,63.0,22.0,6244.0,100.0,36.0,1830.0,70.0,96.0,20972.0,24090.0,73.0,158.0,315.0,140.0,280.0,251.0,32.0,809.0,111.0,285.0,74.0
714,8.0,7481.0,31.0,78.0,45.0,239.0,468.0,738.0,163.0,24.0,160.0,2878.0,0.0,52.0,18005.0,5.0,10423.0,1171.0,103.0,1294.0,1758.0,188.0,770.0,151.0,16884.0,1045.0,48.0,17733.0,145.0,98.0
763,0.0,1703.0,9068.0,11185.0,5.0,383.0,17.0,80.0,12.0,4.0,73.0,3472.0,35.0,753.0,178.0,1008.0,183.0,1017.0,749.0,420.0,32.0,391.0,3906.0,284.0,63.0,1068.0,342.0,17728.0,42.0,1204.0
812,19.0,53.0,8320.0,347.0,29.0,318.0,17.0,15894.0,351.0,115.0,4.0,14.0,59.0,6.0,2629.0,5492.0,11012.0,20967.0,79.0,641.0,82.0,164.0,567.0,9061.0,85.0,988.0,327.0,227.0,269.0,16198.0
861,3.0,540.0,7855.0,10935.0,33.0,3868.0,1376.0,581.0,267.0,14.0,5.0,10.0,4.0,16.0,2393.0,179.0,10909.0,106.0,58.0,851.0,8309.0,442.0,2376.0,1487.0,16968.0,18623.0,84.0,17732.0,12.0,16193.0
910,246.0,95.0,25.0,390.0,6.0,18.0,126.0,7.0,343.0,13.0,1.0,5.0,21.0,18640.0,17982.0,27.0,10981.0,20978.0,202.0,1678.0,11507.0,4182.0,653.0,630.0,16926.0,77.0,15250.0,459.0,10.0,16174.0
959,40.0,36.0,74.0,7.0,25.0,1.0,181.0,345.0,4.0,6256.0,23505.0,309.0,245.0,18631.0,970.0,90.0,10978.0,20986.0,34.0,6020.0,11400.0,59.0,4318.0,246.0,16913.0,47.0,15238.0,17603.0,2574.0,1117.0
1008,188.0,114.0,115.0,256.0,190.0,25.0,4.0,31.0,12141.0,8.0,0.0,2728.0,26.0,18502.0,661.0,119.0,104.0,22.0,2386.0,159.0,29.0,338.0,4070.0,5833.0,16958.0,5.0,1.0,523.0,12015.0,107.0
1057,1270.0,37.0,0.0,11059.0,3.0,20.0,1248.0,50.0,12411.0,1.0,9.0,6117.0,20352.0,214.0,267.0,78.0,610.0,121.0,6.0,481.0,172.0,222.0,4706.0,10.0,114.0,18525.0,15170.0,17629.0,2546.0,226.0
1106,35.0,36.0,47.0,10.0,5.0,3.0,2517.0,32.0,8.0,6196.0,13.0,6200.0,158.0,409.0,1228.0,5659.0,10975.0,640.0,223.0,123.0,932.0,3085.0,315.0,28.0,1021.0,128.0,9.0,17718.0,2454.0,149.0
1155,432.0,61.0,58.0,37.0,15.0,1812.0,17.0,62.0,57.0,117.0,286.0,348.0,2.0,743.0,16.0,252.0,390.0,41.0,2544.0,262.0,12983.0,160.0,4524.0,9541.0,199.0,19982.0,336.0,134.0,883.0,15449.0
1204,6275.0,7.0,27.0,1.0,6.0,22.0,669.0,28.0,491.0,0.0,10.0,16.0,26.0,116.0,73.0,5832.0,11052.0,21011.0,24100.0,119.0,11468.0,3.0,11.0,9128.0,177.0,60.0,129.0,121.0,77.0,16220.0
