,NERVOUS,SKIN,OESOPHAGUS,SOFT_TISSUE,OVARY,HAEMATOPOIETIC,GANGLIA,AERODIGESTIVE,BONE,LUNG,KIDNEY,LARGE_INTESTINE,LIVER,ENDOMETRIUM,BREAST,PANCREAS,SALIVARY,STOMACH,URINARY,PROSTATE,PLEURA,THYROID,BILIARY
46,0.0,1.0,2.0,3.0,10.0,7.0,6.0,5.0,15.0,8.0,13.0,4.0,14.0,17.0,9.0,11.0,21.0,12.0,16.0,19.0,18.0,20.0,22.0
95,0.0,1.0,2.0,3.0,5.0,10.0,6.0,4.0,17.0,9.0,8.0,7.0,11.0,19.0,12.0,13.0,14.0,16.0,18.0,15.0,20.0,21.0,22.0
144,1.0,0.0,2.0,3.0,8.0,5.0,6.0,4.0,10.0,9.0,7.0,17.0,11.0,13.0,12.0,16.0,14.0,15.0,18.0,19.0,20.0,21.0,22.0
193,0.0,1.0,2.0,3.0,8.0,9.0,6.0,5.0,17.0,7.0,10.0,4.0,16.0,13.0,11.0,15.0,14.0,18.0,19.0,20.0,12.0,21.0,22.0
242,0.0,1.0,2.0,4.0,7.0,6.0,8.0,5.0,3.0,11.0,12.0,10.0,9.0,16.0,14.0,13.0,18.0,19.0,20.0,15.0,17.0,21.0,22.0
291,1.0,0.0,2.0,7.0,10.0,4.0,5.0,3.0,11.0,6.0,9.0,12.0,8.0,14.0,16.0,13.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
340,1.0,0.0,2.0,3.0,7.0,8.0,21.0,6.0,9.0,11.0,13.0,4.0,5.0,15.0,14.0,10.0,12.0,16.0,17.0,19.0,18.0,20.0,22.0
389,0.0,1.0,2.0,4.0,9.0,10.0,3.0,6.0,11.0,8.0,7.0,5.0,17.0,15.0,12.0,14.0,13.0,16.0,18.0,20.0,19.0,21.0,22.0
438,1.0,0.0,2.0,5.0,3.0,6.0,4.0,8.0,11.0,12.0,7.0,14.0,10.0,17.0,9.0,15.0,13.0,16.0,18.0,19.0,20.0,21.0,22.0
487,0.0,2.0,1.0,5.0,3.0,10.0,8.0,6.0,12.0,13.0,9.0,4.0,11.0,7.0,17.0,15.0,14.0,16.0,18.0,20.0,19.0,21.0,22.0
536,0.0,1.0,2.0,4.0,7.0,3.0,8.0,5.0,9.0,11.0,10.0,12.0,17.0,19.0,14.0,15.0,16.0,6.0,18.0,20.0,13.0,21.0,22.0
585,0.0,1.0,2.0,4.0,14.0,5.0,7.0,6.0,3.0,10.0,15.0,9.0,12.0,11.0,13.0,18.0,17.0,8.0,19.0,20.0,16.0,21.0,22.0
634,0.0,1.0,2.0,4.0,11.0,3.0,5.0,7.0,17.0,12.0,8.0,6.0,14.0,9.0,15.0,13.0,16.0,10.0,20.0,18.0,19.0,21.0,22.0
683,0.0,1.0,2.0,5.0,3.0,4.0,6.0,9.0,8.0,7.0,10.0,12.0,13.0,17.0,14.0,15.0,18.0,11.0,19.0,20.0,16.0,21.0,22.0
732,0.0,1.0,4.0,6.0,5.0,2.0,7.0,3.0,12.0,14.0,10.0,13.0,16.0,9.0,8.0,15.0,21.0,11.0,18.0,19.0,17.0,20.0,22.0
